task,method,info,algorithm,q,contrast,block_days,n,delta,relative_pct,ci_low,ci_high
observed_change,sequential_ols,with_positioning,quantile_lightgbm,0.5,add_positioning,7,577,-0.13801914565377948,-1.0929217424718347,-0.23150956324762298,-0.047198550744297046
observed_change,pca_1,without_positioning,linear_qr,0.1,add_residual,3,577,0.06799211290081852,0.9900921889048476,-0.005827774863411622,0.15967596624088232
observed_change,pca_1,without_positioning,linear_qr,0.1,add_residual,7,577,0.06799211290081852,0.9900921889048476,-0.0057249779667146545,0.15099066693857305
observed_change,pca_1,without_positioning,linear_qr,0.5,add_residual,3,577,-0.032879638528972535,-0.26250326551799774,-0.12335239368409602,0.04417490581706203
observed_change,pca_1,without_positioning,linear_qr,0.5,add_residual,7,577,-0.032879638528972535,-0.26250326551799774,-0.10429314404589746,0.03378802241932846
observed_change,pca_1,without_positioning,quantile_lightgbm,0.1,add_residual,3,577,0.18984753961003573,2.9989896348645435,0.0707990474874586,0.3211745755570636
observed_change,pca_1,without_positioning,quantile_lightgbm,0.1,add_residual,7,577,0.18984753961003573,2.9989896348645435,0.059943921381473,0.32347472420956946
observed_change,pca_1,without_positioning,quantile_lightgbm,0.5,add_residual,3,577,0.03287174869828669,0.2605678814182918,-0.08781332588967561,0.14916096766835296
observed_change,pca_1,without_positioning,quantile_lightgbm,0.5,add_residual,7,577,0.03287174869828669,0.2605678814182918,-0.09430371686998061,0.14448602726118762
observed_change,pca_1,with_positioning,linear_qr,0.1,add_residual,3,577,0.06799211290081857,0.9900921889048482,-0.005827774863411606,0.15967596624088243
observed_change,pca_1,with_positioning,linear_qr,0.1,add_residual,7,577,0.06799211290081857,0.9900921889048482,-0.005724977966714629,0.15099066693857313
observed_change,pca_1,with_positioning,linear_qr,0.1,add_positioning,3,577,5.147047817802935e-17,7.421582700267398e-16,1.1758675065608693e-17,1.0421695000835685e-16
observed_change,pca_1,with_positioning,linear_qr,0.1,add_positioning,7,577,5.147047817802935e-17,7.421582700267398e-16,1.170559474080927e-17,1.1092244384175829e-16
observed_change,pca_1,with_positioning,linear_qr,0.5,add_residual,3,577,-0.03143275121943823,-0.2503420079375199,-0.12239307223702602,0.05282402501265321
observed_change,pca_1,with_positioning,linear_qr,0.5,add_residual,7,577,-0.03143275121943823,-0.2503420079375199,-0.10881428728148658,0.041545635197353485
observed_change,pca_1,with_positioning,linear_qr,0.5,add_positioning,3,577,0.03194970759544831,0.25575026946916024,0.00769230097783268,0.05874129931218674
observed_change,pca_1,with_positioning,linear_qr,0.5,add_positioning,7,577,0.03194970759544831,0.25575026946916024,0.013771895399060914,0.05301256187113666
observed_change,pca_1,with_positioning,quantile_lightgbm,0.1,add_residual,3,577,0.06380191947747112,0.9996837901431721,-0.05171222031236503,0.17506952371388648
observed_change,pca_1,with_positioning,quantile_lightgbm,0.1,add_residual,7,577,0.06380191947747112,0.9996837901431721,-0.042025228085581595,0.16825613687946275
observed_change,pca_1,with_positioning,quantile_lightgbm,0.1,add_positioning,3,577,-0.07421887452241638,-1.1382859920447304,-0.18498421436894766,0.03269067459519477
observed_change,pca_1,with_positioning,quantile_lightgbm,0.1,add_positioning,7,577,-0.07421887452241638,-1.1382859920447304,-0.16398045832287256,0.009718410054149118
observed_change,pca_1,with_positioning,quantile_lightgbm,0.5,add_residual,3,577,-0.0716661740419323,-0.5708739808930102,-0.20387474314370746,0.06228260108259681
observed_change,pca_1,with_positioning,quantile_lightgbm,0.5,add_residual,7,577,-0.0716661740419323,-0.5708739808930102,-0.19299735844922677,0.050119023811163996
observed_change,pca_1,with_positioning,quantile_lightgbm,0.5,add_positioning,3,577,-0.16619978554955842,-1.314009099421362,-0.3365888135275259,-0.01761390139023615
observed_change,pca_1,with_positioning,quantile_lightgbm,0.5,add_positioning,7,577,-0.16619978554955842,-1.314009099421362,-0.2999576649799364,-0.05303216136505323
observed_change,pca_2,without_positioning,linear_qr,0.1,add_residual,3,577,-0.030712213943307566,-0.4472272125680227,-0.1244978625669685,0.06515772489699405
observed_change,pca_2,without_positioning,linear_qr,0.1,add_residual,7,577,-0.030712213943307566,-0.4472272125680227,-0.10466039981121884,0.05436885242151016
observed_change,pca_2,without_positioning,linear_qr,0.5,add_residual,3,577,-0.07992879309691804,-0.6381325992487741,-0.20518501063360023,0.034841671215804546
observed_change,pca_2,without_positioning,linear_qr,0.5,add_residual,7,577,-0.07992879309691804,-0.6381325992487741,-0.1838787444401814,0.017452357477126257
observed_change,pca_2,without_positioning,quantile_lightgbm,0.1,add_residual,3,577,0.13171145587247077,2.0806237034508186,0.016660019184042446,0.24139587748090838
observed_change,pca_2,without_positioning,quantile_lightgbm,0.1,add_residual,7,577,0.13171145587247077,2.0806237034508186,0.03528207483606148,0.22850405026031367
observed_change,pca_2,without_positioning,quantile_lightgbm,0.5,add_residual,3,577,-0.12483577354174062,-0.9895486040473533,-0.3049944904273011,0.04085549478934299
observed_change,pca_2,without_positioning,quantile_lightgbm,0.5,add_residual,7,577,-0.12483577354174062,-0.9895486040473533,-0.31660995587559476,0.0456300993796244
observed_change,pca_2,with_positioning,linear_qr,0.1,add_residual,3,577,-0.03071221394330755,-0.4472272125680225,-0.12449786256696847,0.06515772489699406
observed_change,pca_2,with_positioning,linear_qr,0.1,add_residual,7,577,-0.03071221394330755,-0.4472272125680225,-0.10466039981121884,0.05436885242151021
observed_change,pca_2,with_positioning,linear_qr,0.1,add_positioning,3,577,2.016728782816711e-17,2.9499267547867394e-16,-3.874206364376117e-17,8.063978227972375e-17
observed_change,pca_2,with_positioning,linear_qr,0.1,add_positioning,7,577,2.016728782816711e-17,2.9499267547867394e-16,-3.8748909809445786e-17,7.486362728984479e-17
observed_change,pca_2,with_positioning,linear_qr,0.5,add_residual,3,577,-0.009251276749417555,-0.07368057543759206,-0.12611592372306515,0.10765108072927816
observed_change,pca_2,with_positioning,linear_qr,0.5,add_residual,7,577,-0.009251276749417555,-0.07368057543759206,-0.09947040708544301,0.07784178150367073
observed_change,pca_2,with_positioning,linear_qr,0.5,add_positioning,3,577,0.10118033663341448,0.812987842174577,0.025369758859639456,0.181575760525195
observed_change,pca_2,with_positioning,linear_qr,0.5,add_positioning,7,577,0.10118033663341448,0.812987842174577,0.046698325317069266,0.16009109752402517
observed_change,pca_2,with_positioning,quantile_lightgbm,0.1,add_residual,3,577,0.11708882642034647,1.8346125436028569,0.006831066613025457,0.2420791727038607
observed_change,pca_2,with_positioning,quantile_lightgbm,0.1,add_residual,7,577,0.11708882642034647,1.8346125436028569,0.026065127210607247,0.23152531110610391
observed_change,pca_2,with_positioning,quantile_lightgbm,0.1,add_positioning,3,577,0.03720411615802393,0.575728420104466,-0.06848693678880058,0.13763457358602169
observed_change,pca_2,with_positioning,quantile_lightgbm,0.1,add_positioning,7,577,0.03720411615802393,0.575728420104466,-0.040290744630221205,0.10770861000721653
observed_change,pca_2,with_positioning,quantile_lightgbm,0.5,add_residual,3,577,-0.18161638863583557,-1.4467086064241088,-0.37976256953174536,0.01848608644326064
observed_change,pca_2,with_positioning,quantile_lightgbm,0.5,add_residual,7,577,-0.18161638863583557,-1.4467086064241088,-0.3786129610676765,0.012469091410541318
observed_change,pca_2,with_positioning,quantile_lightgbm,0.5,add_positioning,3,577,-0.11844247790343443,-0.9482536386300991,-0.28435249842314436,0.026737235142598813
observed_change,pca_2,with_positioning,quantile_lightgbm,0.5,add_positioning,7,577,-0.11844247790343443,-0.9482536386300991,-0.26121565029374544,0.0008299216355646573
observed_change,ae_selected,without_positioning,linear_qr,0.1,add_residual,3,577,-0.12530281696445764,-1.8246431097861913,-0.19835015035324405,-0.06567346179476286
observed_change,ae_selected,without_positioning,linear_qr,0.1,add_residual,7,577,-0.12530281696445764,-1.8246431097861913,-0.1718713442123612,-0.07354119894708015
