method,scope,algorithm,period,n,mse,baseline_mse,skill
pca_2,all_references,lightgbm,2026-03,237,64.12381808947362,67.7748526823562,0.05387004837906573
ae_selected,mean_market,ridge,all,907,1276.6022342691044,465.0742552664467,-1.744942812492864
ae_selected,mean_market,ridge,2026-01,346,547.8899809301746,586.0174367339415,0.06506198180085421
ae_selected,mean_market,ridge,2026-02,324,1081.1748377942222,528.778554248138,-1.0446646882862485
ae_selected,mean_market,ridge,2026-03,237,2607.6271967717694,201.41799510686351,-11.946346702479474
ae_selected,mean_market,lightgbm,all,907,90.91307330195077,465.0742552664467,0.8045192304831719
ae_selected,mean_market,lightgbm,2026-01,346,79.46700063663107,586.0174367339415,0.8643948188990322
ae_selected,mean_market,lightgbm,2026-02,324,87.57909403209018,528.778554248138,0.8343747239208339
ae_selected,mean_market,lightgbm,2026-03,237,112.18121855779657,201.41799510686351,0.44304272069495
ae_selected,all_references,ridge,all,907,1286.6272404510055,465.0742552664467,-1.7664985233678032
ae_selected,all_references,ridge,2026-01,346,515.6042691933192,586.0174367339415,0.12015541369051563
ae_selected,all_references,ridge,2026-02,324,1126.7877501297196,528.778554248138,-1.1309255851570637
ae_selected,all_references,ridge,2026-03,237,2630.770459519596,201.41799510686351,-12.061248366233738
ae_selected,all_references,lightgbm,all,907,89.00903423290394,465.0742552664467,0.8086132843842118
ae_selected,all_references,lightgbm,2026-01,346,78.01655374238149,586.0174367339415,0.8668699105999437
ae_selected,all_references,lightgbm,2026-02,324,86.04456727015257,528.778554248138,0.8372767454752434
ae_selected,all_references,lightgbm,2026-03,237,109.10981712595121,201.41799510686351,0.45829161357671966
joint_ols,mean_market,ridge,all,907,105.43619662620547,105.47665838094848,0.00038360861411512737
joint_ols,mean_market,ridge,2026-01,346,83.94340618061524,80.28001177423877,-0.04563270888248705
joint_ols,mean_market,ridge,2026-02,324,113.9042865182945,110.10646278502362,-0.03449228716652075
joint_ols,mean_market,ridge,2026-03,237,125.23722771961214,135.93228327124893,0.07867929011605823
joint_ols,mean_market,lightgbm,all,907,105.44872334591133,105.47665838094848,0.0002648456584228853
joint_ols,mean_market,lightgbm,2026-01,346,76.7974204078109,80.28001177423877,0.04338055375753447
joint_ols,mean_market,lightgbm,2026-02,324,111.99457943476342,110.10646278502362,-0.017148100138556277
joint_ols,mean_market,lightgbm,2026-03,237,138.32844251804076,135.93228327124893,-0.0176275950725433
joint_ols,all_references,ridge,all,907,53.678167889145506,105.47665838094848,0.4910896049126162
joint_ols,all_references,ridge,2026-01,346,55.8153640855314,80.28001177423877,0.3047414561610452
joint_ols,all_references,ridge,2026-02,324,48.44566544628485,110.10646278502362,0.5600107003630463
joint_ols,all_references,ridge,2026-03,237,57.71133627537904,135.93228327124893,0.5754405437285436
joint_ols,all_references,lightgbm,all,907,93.38109387253391,105.47665838094848,0.11467527217945417
joint_ols,all_references,lightgbm,2026-01,346,67.19262184153806,80.28001177423877,0.16302177395669437
joint_ols,all_references,lightgbm,2026-02,324,88.99463217528204,110.10646278502362,0.1917401583498436
joint_ols,all_references,lightgbm,2026-03,237,137.61073485411268,135.93228327124893,-0.012347703889549422
