method,sample,h,q,term,n,effect,coefficient
pca_2,all,6,0.5,btc_ret,577,0.21192673272613477,31.773298834600695
pca_2,all,6,0.5,account_ls,577,-0.08666417935931538,-0.15365378098850804
pca_2,matched,1,0.1,e_origin,229,1.5762280841412544,0.23121165049208187
pca_2,matched,1,0.1,downside,229,2.8045881782448387,188762.4422971865
pca_2,matched,1,0.1,btc_vol,229,-2.730698099638729,-1310.0895583341746
pca_2,matched,1,0.1,btc_ret,229,0.8015099591195808,162.34062587334637
pca_2,matched,1,0.1,account_ls,229,-0.24519387828597214,-0.45415846627669193
pca_2,matched,6,0.1,e_origin,229,0.8612455008946438,0.12633323549061015
pca_2,matched,6,0.1,downside,229,0.4406528108584154,29658.080080337993
pca_2,matched,6,0.1,btc_vol,229,0.9730892606516534,466.8528094978766
pca_2,matched,6,0.1,btc_ret,229,-0.4263906831496636,-86.36265785782058
pca_2,matched,6,0.1,account_ls,229,-0.44860180442450265,-0.8309192255965252
pca_2,matched,12,0.1,e_origin,229,-0.2666198239379976,-0.039109574411750114
pca_2,matched,12,0.1,downside,229,0.3622156920265201,24378.880006575633
pca_2,matched,12,0.1,btc_vol,229,-0.49733165140410107,-238.60162484450564
pca_2,matched,12,0.1,btc_ret,229,0.3135832804386477,63.51425260610152
pca_2,matched,12,0.1,account_ls,229,0.6510593280172758,1.205919609145381
ae_selected,all,6,0.1,e_origin,577,1.4372222208619152,0.17577733687043273
ae_selected,all,6,0.1,downside,577,-0.975314389724138,-58604.03894419107
ae_selected,all,6,0.1,btc_vol,577,-0.17872852370660863,-85.15995603593845
ae_selected,all,6,0.1,btc_ret,577,-0.45509136614820006,-68.22996696862806
ae_selected,all,6,0.1,account_ls,577,-1.590402698829061,-2.8197507871877816
ae_selected,all,6,0.5,e_origin,577,1.9569001086923075,0.2393357719038793
ae_selected,all,6,0.5,downside,577,-0.4565781752451633,-27434.564121117295
ae_selected,all,6,0.5,btc_vol,577,0.7169795675514623,341.62397352746126
ae_selected,all,6,0.5,btc_ret,577,0.23362799313909696,35.02687908527903
ae_selected,all,6,0.5,account_ls,577,-1.1913180820405864,-2.112182092056445
ae_selected,matched,1,0.1,e_origin,229,3.2144650833040913,0.39758793100368456
ae_selected,matched,1,0.1,downside,229,3.3555252645200984,225843.19118007467
ae_selected,matched,1,0.1,btc_vol,229,-2.3272437959938004,-1116.5268680682184
ae_selected,matched,1,0.1,btc_ret,229,0.09192558314048375,18.618928599703157
ae_selected,matched,1,0.1,account_ls,229,-1.4752563069282947,-2.7325320942072744
ae_selected,matched,6,0.1,e_origin,229,1.0234292167724592,0.12658501314533957
ae_selected,matched,6,0.1,downside,229,-1.2337506054678213,-83037.42391850293
ae_selected,matched,6,0.1,btc_vol,229,1.0195669071126485,489.15109261183665
ae_selected,matched,6,0.1,btc_ret,229,-1.1382485114181238,-230.54482809670782
ae_selected,matched,6,0.1,account_ls,229,-2.903306446064968,-5.3776269289164205
ae_selected,matched,12,0.1,e_origin,229,0.35402288744139954,0.04378807163806444
ae_selected,matched,12,0.1,downside,229,-0.6229577748652325,-41928.09195436769
ae_selected,matched,12,0.1,btc_vol,229,1.296704273848291,622.1115141365115
ae_selected,matched,12,0.1,btc_ret,229,0.9011175206904427,182.51548920866156
ae_selected,matched,12,0.1,account_ls,229,-1.1894010859591413,-2.203058970163284
joint_ols,all,6,0.1,e_origin,577,0.7013858323515776,0.073294359044629
