definition,h,learner,seed,sample,minimum_gap_bp,block_days,n,premium_n,discount_n,days,outcome,group,estimate,lo,hi,bootstrap_valid,p,group_n,group_days
CAP,12,forest40,20260926,without_2025-12,5,5,210,63,147,52,basket_weights,premium,-0.002645536270433217,-0.004649620649255279,-0.0006367413815031898,1.0,0.014,63,27
CAP,12,forest40,20260926,without_2025-12,5,5,210,63,147,52,numeraire,discount,-0.07210303936334991,-0.17154610764147937,0.015947826349028957,1.0,0.141,147,46
CAP,12,forest40,20260926,without_2025-12,5,5,210,63,147,52,numeraire,premium,-0.053867999956043036,-0.21502726610348763,0.09777601417689179,1.0,0.5085,63,27
CAP,12,forest40,20260926,without_2025-12,5,5,210,63,147,52,global_control,discount,0.015703533104949586,-0.06255874595749314,0.11218096572472931,1.0,0.733,147,46
CAP,12,forest40,20260926,without_2025-12,5,5,210,63,147,52,global_control,premium,-0.08430243861693894,-0.29279136306936865,0.10458713815349362,1.0,0.481,63,27
CAP,12,forest40,20260926,without_2025-12,5,5,210,63,147,52,total,discount,5.403145389173677,4.097691465914943,6.993554034805763,1.0,0.0005,147,46
CAP,12,forest40,20260926,without_2025-12,5,5,210,63,147,52,total,premium,10.220630704115878,8.18011068189603,12.816760964351358,1.0,0.0005,63,27
CAP,12,forest40,20260926,without_2025-12,5,5,210,63,147,52,dominance,discount,8.6331051876112,-9.959219403335322,26.427679987116463,1.0,0.3265,147,46
CAP,12,forest40,20260926,without_2025-12,5,5,210,63,147,52,dominance,premium,4.8011098651693125,-15.304421138606097,24.245815457006636,1.0,0.625,63,27
CAP,12,forest40,20260926,2026-01,5,5,78,14,64,19,local,discount,9.847722526362404,-5.341274611995617,25.300097677344436,1.0,0.1985,64,18
CAP,12,forest40,20260926,2026-01,5,5,78,14,64,19,local,premium,15.5002348925567,-13.11615589708843,28.862842736141015,1.0,0.1465,14,6
CAP,12,forest40,20260926,2026-01,5,5,78,14,64,19,basket_price,discount,-5.170691154031877,-20.574385087212423,10.569152036538314,1.0,0.4885,64,18
CAP,12,forest40,20260926,2026-01,5,5,78,14,64,19,basket_price,premium,-7.4207614807608495,-21.121032011925813,22.269489263083305,1.0,0.549,14,6
CAP,12,forest40,20260926,2026-01,5,5,78,14,64,19,basket_weights,discount,0.0028431147032798817,0.0006493725698373556,0.005200877512541978,1.0,0.018,64,18
CAP,12,forest40,20260926,2026-01,5,5,78,14,64,19,basket_weights,premium,-0.00503381165986287,-0.012568984154148246,-0.0005913240272267898,1.0,0.0755,14,6
CAP,12,forest40,20260926,2026-01,5,5,78,14,64,19,numeraire,discount,-0.052919059995709915,-0.19252268125916416,0.0646772384992946,1.0,0.428,64,18
CAP,12,forest40,20260926,2026-01,5,5,78,14,64,19,numeraire,premium,-0.18251172112164632,-0.7076813220724076,0.2249338946847167,1.0,0.327,14,6
CAP,12,forest40,20260926,2026-01,5,5,78,14,64,19,global_control,discount,0.026503051587418516,-0.11536123574725168,0.28704843565441723,1.0,0.7725,64,18
CAP,12,forest40,20260926,2026-01,5,5,78,14,64,19,global_control,premium,-0.41193314467283637,-0.8292510363348603,0.4958109343121019,1.0,0.299,14,6
CAP,12,forest40,20260926,2026-01,5,5,78,14,64,19,total,discount,4.653458478625694,3.3901093350328404,6.886179815313157,1.0,0.0005,64,18
CAP,12,forest40,20260926,2026-01,5,5,78,14,64,19,total,premium,7.479994734341121,5.454597588092485,10.674525832253114,1.0,0.0005,14,6
CAP,12,forest40,20260926,2026-01,5,5,78,14,64,19,dominance,discount,15.018413680394286,-15.577623296285095,45.70004033954734,1.0,0.3185,64,18
CAP,12,forest40,20260926,2026-01,5,5,78,14,64,19,dominance,premium,22.920996373317543,-35.385645160171734,49.821896487546354,1.0,0.2865,14,6
CAP,12,forest40,20260926,without_2026-01,5,5,197,77,120,55,local,discount,3.6832127659427356,-3.8734706238117695,10.956274877790372,1.0,0.329,120,47
CAP,12,forest40,20260926,without_2026-01,5,5,197,77,120,55,local,premium,3.934207019857454,-3.9607323383577917,12.17494708788324,1.0,0.321,77,35
CAP,12,forest40,20260926,without_2026-01,5,5,197,77,120,55,basket_price,discount,2.9898038903644393,-5.251903282826554,11.744070910698703,1.0,0.481,120,47
CAP,12,forest40,20260926,without_2026-01,5,5,197,77,120,55,basket_price,premium,6.630580486465191,-1.0894509760575415,14.326097071619547,1.0,0.0895,77,35
CAP,12,forest40,20260926,without_2026-01,5,5,197,77,120,55,basket_weights,discount,0.0029314818751344563,0.0004544940901891724,0.007042612485997467,1.0,0.0765,120,47
CAP,12,forest40,20260926,without_2026-01,5,5,197,77,120,55,basket_weights,premium,-0.003925007500856945,-0.0070486366502804315,-0.0011330801442226844,1.0,0.013,77,35
CAP,12,forest40,20260926,without_2026-01,5,5,197,77,120,55,numeraire,discount,-0.0717254579563228,-0.18229483222702644,0.03040195824531754,1.0,0.1775,120,47
CAP,12,forest40,20260926,without_2026-01,5,5,197,77,120,55,numeraire,premium,-0.010798467307109491,-0.15366294541661477,0.10510947732767559,1.0,0.872,77,35
CAP,12,forest40,20260926,without_2026-01,5,5,197,77,120,55,global_control,discount,-0.02181300351916215,-0.09139887868990883,0.06009620434383615,1.0,0.5495,120,47
CAP,12,forest40,20260926,without_2026-01,5,5,197,77,120,55,global_control,premium,-0.003398954460738114,-0.05638383264985796,0.054457053660222424,1.0,0.9,77,35
CAP,12,forest40,20260926,without_2026-01,5,5,197,77,120,55,total,discount,6.582409676706701,5.029416861963124,8.282827616251515,1.0,0.0005,120,47
CAP,12,forest40,20260926,without_2026-01,5,5,197,77,120,55,total,premium,10.546665077053941,8.68716052546598,12.927604601984026,1.0,0.0005,77,35
CAP,12,forest40,20260926,without_2026-01,5,5,197,77,120,55,dominance,discount,0.6934088755782984,-15.6638436848435,16.08205046007337,1.0,0.9315,120,47
CAP,12,forest40,20260926,without_2026-01,5,5,197,77,120,55,dominance,premium,-2.6963734666077346,-18.209526914844076,13.031320335323567,1.0,0.742,77,35
CAP,12,forest40,20260926,2026-02,5,5,58,27,31,19,local,discount,-6.414572260149307,-20.77037758133543,8.203460209645023,1.0,0.4035,31,14
CAP,12,forest40,20260926,2026-02,5,5,58,27,31,19,local,premium,3.1933044534819808,-13.254251698984035,15.257943385134718,1.0,0.615,27,13
CAP,12,forest40,20260926,2026-02,5,5,58,27,31,19,basket_price,discount,13.650856240914136,-1.6232587169608579,29.97413376089076,1.0,0.0915,31,14
CAP,12,forest40,20260926,2026-02,5,5,58,27,31,19,basket_price,premium,6.532374363718005,-5.918578177047751,23.49728700166287,1.0,0.3375,27,13
CAP,12,forest40,20260926,2026-02,5,5,58,27,31,19,basket_weights,discount,0.008727354642034599,0.0008522333136914187,0.02382474806759657,1.0,0.111,31,14
CAP,12,forest40,20260926,2026-02,5,5,58,27,31,19,basket_weights,premium,-0.003019152958223815,-0.006843632106527409,0.001206701077057238,1.0,0.141,27,13
CAP,12,forest40,20260926,2026-02,5,5,58,27,31,19,numeraire,discount,0.07467101150649132,-0.13834656671253565,0.2685176032485943,1.0,0.516,31,14
CAP,12,forest40,20260926,2026-02,5,5,58,27,31,19,numeraire,premium,0.026342751523872443,-0.06409142348520869,0.14841829765513145,1.0,0.6005,27,13
CAP,12,forest40,20260926,2026-02,5,5,58,27,31,19,global_control,discount,0.019749163381703377,-0.12551686586350605,0.18841126339134565,1.0,0.69,31,14
CAP,12,forest40,20260926,2026-02,5,5,58,27,31,19,global_control,premium,0.06235615475157125,-0.05468472807672158,0.16789257519892448,1.0,0.2315,27,13
CAP,12,forest40,20260926,2026-02,5,5,58,27,31,19,total,discount,7.339431510294769,4.588050817551301,12.032274427053558,1.0,0.003,31,14
CAP,12,forest40,20260926,2026-02,5,5,58,27,31,19,total,premium,9.811358570517234,7.703659627559337,13.403849137047132,1.0,0.001,27,13
CAP,12,forest40,20260926,2026-02,5,5,58,27,31,19,dominance,discount,-20.06542850106345,-50.435842928813884,9.36692020956356,1.0,0.184,31,14
CAP,12,forest40,20260926,2026-02,5,5,58,27,31,19,dominance,premium,-3.3390699102360255,-37.438749030329774,21.2505176202998,1.0,0.7995,27,13
CAP,12,forest40,20260926,without_2026-02,5,5,217,64,153,55,local,discount,8.30778767101275,0.15311441613850532,16.31169435705493,1.0,0.044,153,51
CAP,12,forest40,20260926,without_2026-02,5,5,217,64,153,55,local,premium,6.7768438872000685,-2.6348202897913477,16.55363160032066,1.0,0.1635,64,28
CAP,12,forest40,20260926,without_2026-02,5,5,217,64,153,55,basket_price,discount,-2.5838190227623903,-10.92515709825495,6.257067867824945,1.0,0.566,153,51
CAP,12,forest40,20260926,without_2026-02,5,5,217,64,153,55,basket_price,premium,3.598280139168463,-5.569705289456428,12.992711229383342,1.0,0.4465,64,28
CAP,12,forest40,20260926,without_2026-02,5,5,217,64,153,55,basket_weights,discount,0.0017201906674704226,0.00046232882936741635,0.0030242561518465743,1.0,0.0115,153,51
CAP,12,forest40,20260926,without_2026-02,5,5,217,64,153,55,basket_weights,premium,-0.004549715795812842,-0.008370537122145012,-0.0016490137636567725,1.0,0.014,64,28
CAP,12,forest40,20260926,without_2026-02,5,5,217,64,153,55,numeraire,discount,-0.09352075915807455,-0.18809906559001632,-0.00628070718166743,1.0,0.0435,153,51
CAP,12,forest40,20260926,without_2026-02,5,5,217,64,153,55,numeraire,premium,-0.06402969327335992,-0.2660939654332646,0.0939235580168385,1.0,0.4715,64,28
CAP,12,forest40,20260926,without_2026-02,5,5,217,64,153,55,global_control,discount,-0.010023458729003124,-0.08338487392254226,0.08962328964261647,1.0,0.817,153,51
CAP,12,forest40,20260926,without_2026-02,5,5,217,64,153,55,global_control,premium,-0.12050624526857764,-0.31838037334795727,0.0692163803229677,1.0,0.2735,64,28
CAP,12,forest40,20260926,without_2026-02,5,5,217,64,153,55,total,discount,5.622144621030788,4.399346837437528,7.0498007340827336,1.0,0.0005,153,51
CAP,12,forest40,20260926,without_2026-02,5,5,217,64,153,55,total,premium,10.186038372030684,8.123768003530655,13.111240276479943,1.0,0.0005,64,28
CAP,12,forest40,20260926,without_2026-02,5,5,217,64,153,55,dominance,discount,10.891606693775142,-6.043580024222617,27.24714825079936,1.0,0.21,153,51
CAP,12,forest40,20260926,without_2026-02,5,5,217,64,153,55,dominance,premium,3.1785637480316047,-15.450810367423555,22.0800910262116,1.0,0.7435,64,28
CAP,12,forest40,20260926,2026-03,5,5,74,22,52,14,local,discount,11.618200472007883,-4.096005783602238,23.593452936414735,1.0,0.104,52,14
CAP,12,forest40,20260926,2026-03,5,5,74,22,52,14,local,premium,7.927182836374914,-8.815572879381673,29.091804145745755,1.0,0.405,22,8
CAP,12,forest40,20260926,2026-03,5,5,74,22,52,14,basket_price,discount,-6.264804731195566,-19.607532127055876,12.130096273424826,1.0,0.4745,52,14
CAP,12,forest40,20260926,2026-03,5,5,74,22,52,14,basket_price,premium,4.666689206575206,-15.141563467518163,19.710077941662185,1.0,0.544,22,8
CAP,12,forest40,20260926,2026-03,5,5,74,22,52,14,basket_weights,discount,0.0013308180479484923,0.0005352982875985981,0.0020479525607504058,1.0,0.0005,52,14
CAP,12,forest40,20260926,2026-03,5,5,74,22,52,14,basket_weights,premium,-0.0006671950875986152,-0.0019724685349828447,0.0008822487040511294,1.0,0.456,22,8
CAP,12,forest40,20260926,2026-03,5,5,74,22,52,14,numeraire,discount,-0.1832140058343891,-0.3888386391415002,0.008994392797733834,1.0,0.0705,52,14
CAP,12,forest40,20260926,2026-03,5,5,74,22,52,14,numeraire,premium,-0.07044428148510086,-0.5380564097500481,0.2196400589852117,1.0,0.723,22,8
CAP,12,forest40,20260926,2026-03,5,5,74,22,52,14,global_control,discount,-2.135044278125301e-18,-0.07471878752585245,0.08993448979779246,1.0,0.992,52,14
CAP,12,forest40,20260926,2026-03,5,5,74,22,52,14,global_control,premium,-0.055800262988175774,-0.10230048214498892,-0.03131647412601702,1.0,0.0165,22,8
CAP,12,forest40,20260926,2026-03,5,5,74,22,52,14,total,discount,5.171512553025925,2.6668114137474044,7.959943199366595,1.0,0.0005,52,14
CAP,12,forest40,20260926,2026-03,5,5,74,22,52,14,total,premium,12.466960303389055,7.505980120951378,18.704115230021586,1.0,0.0015,22,8
CAP,12,forest40,20260926,2026-03,5,5,74,22,52,14,dominance,discount,17.88300520320345,-16.109544779345843,43.30620315613128,1.0,0.244,52,14
CAP,12,forest40,20260926,2026-03,5,5,74,22,52,14,dominance,premium,3.2604936297997087,-28.490330768775877,43.757352515504614,1.0,0.8495,22,8
CAP,12,forest40,20260926,without_2026-03,5,5,201,69,132,60,local,discount,3.546161735272064,-4.97157100517239,12.151942205503728,1.0,0.4035,132,51
CAP,12,forest40,20260926,without_2026-03,5,5,201,69,132,60,local,premium,5.007814588761881,-4.0827845636942985,13.243002324613729,1.0,0.2545,69,33
CAP,12,forest40,20260926,without_2026-03,5,5,201,69,132,60,basket_price,discount,2.6789551439989547,-5.963445348155881,11.25914695864074,1.0,0.54,132,51
CAP,12,forest40,20260926,without_2026-03,5,5,201,69,132,60,basket_price,premium,4.405751799746568,-4.072193287963174,13.958930610785336,1.0,0.334,69,33
CAP,12,forest40,20260926,without_2026-03,5,5,201,69,132,60,basket_weights,discount,0.0035192017237327695,0.0008582070342260994,0.007170334241466024,1.0,0.0305,132,51
CAP,12,forest40,20260926,without_2026-03,5,5,201,69,132,60,basket_weights,premium,-0.005188705056186889,-0.008907116667628185,-0.0021094678660686303,1.0,0.006,69,33
CAP,12,forest40,20260926,without_2026-03,5,5,201,69,132,60,numeraire,discount,-0.018687473417393505,-0.09867533280203905,0.0695402988012606,1.0,0.6495,132,51
CAP,12,forest40,20260926,without_2026-03,5,5,201,69,132,60,numeraire,premium,-0.026621331676496524,-0.1553193698940187,0.08992649295791978,1.0,0.661,69,33
CAP,12,forest40,20260926,without_2026-03,5,5,201,69,132,60,global_control,discount,-0.00698003879321722,-0.09142415543001084,0.11663594175432249,1.0,0.8875,132,51
CAP,12,forest40,20260926,without_2026-03,5,5,201,69,132,60,global_control,premium,-0.06958228598777795,-0.2587375972034792,0.11857478686105885,1.0,0.5295,69,33
CAP,12,forest40,20260926,without_2026-03,5,5,201,69,132,60,total,discount,6.202968568784095,5.000461426049805,7.753838459262751,1.0,0.0005,132,51
CAP,12,forest40,20260926,without_2026-03,5,5,201,69,132,60,total,premium,9.31217406578797,7.866412268078642,11.433949215813158,1.0,0.0005,69,33
CAP,12,forest40,20260926,without_2026-03,5,5,201,69,132,60,dominance,discount,0.8672065912731095,-16.233943451188225,18.29091728933467,1.0,0.9115,132,51
CAP,12,forest40,20260926,without_2026-03,5,5,201,69,132,60,dominance,premium,0.602062789015311,-18.10353944056096,17.450330685825453,1.0,0.9365,69,33
CAP,12,forest40,20260926,common_path,5,5,128,35,93,67,local,discount,16.214917885220657,5.076294412373044,28.189440770728368,1.0,0.0065,93,50
CAP,12,forest40,20260926,common_path,5,5,128,35,93,67,local,premium,5.072416014885507,-7.879488409760394,18.78329383591941,1.0,0.4275,35,27
CAP,12,forest40,20260926,common_path,5,5,128,35,93,67,basket_price,discount,-10.427984590853276,-22.972394325019707,1.361489229029835,1.0,0.0885,93,50
CAP,12,forest40,20260926,common_path,5,5,128,35,93,67,basket_price,premium,5.327214493420774,-8.61638683089241,20.080216786790192,1.0,0.4445,35,27
CAP,12,forest40,20260926,common_path,5,5,128,35,93,67,basket_weights,discount,0.003720533303263661,0.000230807250973442,0.008424122192435176,1.0,0.073,93,50
CAP,12,forest40,20260926,common_path,5,5,128,35,93,67,basket_weights,premium,-0.007005653376616279,-0.013957433175043703,-0.0017858033413626247,1.0,0.0275,35,27
CAP,12,forest40,20260926,common_path,5,5,128,35,93,67,numeraire,discount,-0.11685572823098538,-0.27374090631467735,0.03841898294349493,1.0,0.1465,93,50
CAP,12,forest40,20260926,common_path,5,5,128,35,93,67,numeraire,premium,-0.14147283126787502,-0.4029722637718386,0.21284960528662714,1.0,0.3755,35,27
CAP,12,forest40,20260926,common_path,5,5,128,35,93,67,global_control,discount,0.18069734070969254,0.09550993874621326,0.274120413079618,1.0,0.0005,93,50
CAP,12,forest40,20260926,common_path,5,5,128,35,93,67,global_control,premium,-0.20330200530197462,-0.4035599643526266,-0.010951907306188642,1.0,0.041,35,27
CAP,12,forest40,20260926,common_path,5,5,128,35,93,67,total,discount,5.8544954401494484,4.352430806113685,7.321478718928183,1.0,0.0005,93,50
CAP,12,forest40,20260926,common_path,5,5,128,35,93,67,total,premium,10.04785001835973,7.488293283541397,13.631874027908962,1.0,0.0005,35,27
CAP,12,forest40,20260926,common_path,5,5,128,35,93,67,dominance,discount,26.64290247607393,3.764325253457893,51.08456199161348,1.0,0.033,93,50
CAP,12,forest40,20260926,common_path,5,5,128,35,93,67,dominance,premium,-0.2547984785352688,-27.721875760727766,27.48317955841165,1.0,0.985,35,27
CAP,12,forest40,20260927,full,5,1,275,91,184,74,local,discount,5.827390073914795,-3.5089816152014563,15.210310658620903,1.0,0.227,184,65
CAP,12,forest40,20260927,full,5,1,275,91,184,74,local,premium,5.713595923349646,-2.5979710448594964,14.489067907146321,1.0,0.186,91,41
CAP,12,forest40,20260927,full,5,1,275,91,184,74,basket_price,discount,0.15137083144398142,-9.940172342349491,9.671795963751162,1.0,0.9775,184,65
CAP,12,forest40,20260927,full,5,1,275,91,184,74,basket_price,premium,4.468835568430414,-4.574013642599464,13.210318355149177,1.0,0.321,91,41
CAP,12,forest40,20260927,full,5,1,275,91,184,74,basket_weights,discount,0.002900745467532865,0.0004992397593385473,0.005933047127164114,1.0,0.0375,184,65
CAP,12,forest40,20260927,full,5,1,275,91,184,74,basket_weights,premium,-0.004095592756088624,-0.007241625421646297,-0.0013404620827149672,1.0,0.0105,91,41
CAP,12,forest40,20260927,full,5,1,275,91,184,74,numeraire,discount,-0.06518410214393573,-0.18080085891131026,0.05380308142837877,1.0,0.2815,184,65
CAP,12,forest40,20260927,full,5,1,275,91,184,74,numeraire,premium,-0.037215890970884374,-0.19376860972026655,0.11049018953418847,1.0,0.641,91,41
CAP,12,forest40,20260927,full,5,1,275,91,184,74,global_control,discount,-0.005007419134264523,-0.08710130495899188,0.079249896153963,1.0,0.915,184,65
CAP,12,forest40,20260927,full,5,1,275,91,184,74,global_control,premium,-0.06625036833952248,-0.20268246360470887,0.07315125122147773,1.0,0.34,91,41
CAP,12,forest40,20260927,full,5,1,275,91,184,74,total,discount,5.911470129548089,4.871775193710677,7.007965804359417,1.0,0.0005,184,65
CAP,12,forest40,20260927,full,5,1,275,91,184,74,total,premium,10.074869639713507,7.9413703920923036,12.450079084070826,1.0,0.0005,91,41
CAP,12,forest40,20260927,full,5,1,275,91,184,74,dominance,discount,5.676019242470813,-13.085039432641745,25.162288395689497,1.0,0.5665,184,65
CAP,12,forest40,20260927,full,5,1,275,91,184,74,dominance,premium,1.2447603549192314,-15.4842462071795,18.659274436564615,1.0,0.881,91,41
CAP,12,forest40,20260927,full,5,5,275,91,184,74,local,discount,5.827390073914795,-1.4191326471201566,12.884582821171751,1.0,0.1165,184,65
CAP,12,forest40,20260927,full,5,5,275,91,184,74,local,premium,5.713595923349646,-2.159404738356854,13.436170972458713,1.0,0.146,91,41
CAP,12,forest40,20260927,full,5,5,275,91,184,74,basket_price,discount,0.15137083144398142,-7.379973632143668,8.04250861868207,1.0,0.9695,184,65
CAP,12,forest40,20260927,full,5,5,275,91,184,74,basket_price,premium,4.468835568430414,-3.0619108298595337,12.482173978020247,1.0,0.2475,91,41
CAP,12,forest40,20260927,full,5,5,275,91,184,74,basket_weights,discount,0.002900745467532865,0.0009666559172759719,0.005438093598138259,1.0,0.0145,184,65
CAP,12,forest40,20260927,full,5,5,275,91,184,74,basket_weights,premium,-0.004095592756088624,-0.006820324208341948,-0.001760729461922266,1.0,0.004,91,41
CAP,12,forest40,20260927,full,5,5,275,91,184,74,numeraire,discount,-0.06518410214393573,-0.1417589931148221,0.019100327051918366,1.0,0.1155,184,65
CAP,12,forest40,20260927,full,5,5,275,91,184,74,numeraire,premium,-0.037215890970884374,-0.1749467238311244,0.08305287782093555,1.0,0.57,91,41
CAP,12,forest40,20260927,full,5,5,275,91,184,74,global_control,discount,-0.005007419134264523,-0.07097277620401382,0.08323641533928959,1.0,0.8995,184,65
CAP,12,forest40,20260927,full,5,5,275,91,184,74,global_control,premium,-0.06625036833952248,-0.2174187464560315,0.0723198087649605,1.0,0.436,91,41
CAP,12,forest40,20260927,full,5,5,275,91,184,74,total,discount,5.911470129548089,4.785160981223729,7.2208660658655255,1.0,0.0005,184,65
CAP,12,forest40,20260927,full,5,5,275,91,184,74,total,premium,10.074869639713507,8.42458990710442,12.186934658134051,1.0,0.0005,91,41
CAP,12,forest40,20260927,full,5,5,275,91,184,74,dominance,discount,5.676019242470813,-9.558635646503753,20.212996076476223,1.0,0.448,184,65
CAP,12,forest40,20260927,full,5,5,275,91,184,74,dominance,premium,1.2447603549192314,-14.345355544354229,16.42741968686925,1.0,0.869,91,41
CAP,12,forest40,20260927,full,5,10,275,91,184,74,local,discount,5.827390073914795,0.08906815992781966,11.734121616099689,1.0,0.0525,184,65
CAP,12,forest40,20260927,full,5,10,275,91,184,74,local,premium,5.713595923349646,-1.7818699581912214,12.547984871415265,1.0,0.121,91,41
CAP,12,forest40,20260927,full,5,10,275,91,184,74,basket_price,discount,0.15137083144398142,-6.138885098479283,6.145418156147063,1.0,0.9625,184,65
CAP,12,forest40,20260927,full,5,10,275,91,184,74,basket_price,premium,4.468835568430414,-2.1078740559086886,12.057922169064115,1.0,0.2305,91,41
CAP,12,forest40,20260927,full,5,10,275,91,184,74,basket_weights,discount,0.002900745467532865,0.0011567398960432725,0.0049394488989207294,1.0,0.0025,184,65
CAP,12,forest40,20260927,full,5,10,275,91,184,74,basket_weights,premium,-0.004095592756088624,-0.006123578158364704,-0.0020819246462747522,1.0,0.001,91,41
CAP,12,forest40,20260927,full,5,10,275,91,184,74,numeraire,discount,-0.06518410214393573,-0.140585321798608,0.0022227599761740617,1.0,0.0745,184,65
CAP,12,forest40,20260927,full,5,10,275,91,184,74,numeraire,premium,-0.037215890970884374,-0.1306549878549401,0.05769433640178211,1.0,0.443,91,41
CAP,12,forest40,20260927,full,5,10,275,91,184,74,global_control,discount,-0.005007419134264523,-0.061297660905020396,0.07519927450703949,1.0,0.902,184,65
CAP,12,forest40,20260927,full,5,10,275,91,184,74,global_control,premium,-0.06625036833952248,-0.19921994747227564,0.057230495920303395,1.0,0.389,91,41
CAP,12,forest40,20260927,full,5,10,275,91,184,74,total,discount,5.911470129548089,4.926570454733377,7.047512752715323,1.0,0.0005,184,65
CAP,12,forest40,20260927,full,5,10,275,91,184,74,total,premium,10.074869639713507,8.601982160900967,11.904774859046753,1.0,0.0005,91,41
CAP,12,forest40,20260927,full,5,10,275,91,184,74,dominance,discount,5.676019242470813,-6.009655524241534,17.93638997844818,1.0,0.369,184,65
CAP,12,forest40,20260927,full,5,10,275,91,184,74,dominance,premium,1.2447603549192314,-13.692435584808502,14.431871150777788,1.0,0.879,91,41
CAP,12,forest40,20260927,full,0,5,509,202,307,78,local,discount,3.6825905707138036,-2.6260551118715965,10.246591005232998,1.0,0.2505,307,77
CAP,12,forest40,20260927,full,0,5,509,202,307,78,local,premium,5.703632368637268,-0.07418837987885317,11.352771959711893,1.0,0.0505,202,64
CAP,12,forest40,20260927,full,0,5,509,202,307,78,basket_price,discount,0.5188653245052481,-6.211878411420696,7.085831278977325,1.0,0.8705,307,77
CAP,12,forest40,20260927,full,0,5,509,202,307,78,basket_price,premium,0.19064403456438625,-5.502050076310328,6.102675223468375,1.0,0.9495,202,64
CAP,12,forest40,20260927,full,0,5,509,202,307,78,basket_weights,discount,0.002538976713398244,0.0009595942776591619,0.004588995456636736,1.0,0.008,307,77
CAP,12,forest40,20260927,full,0,5,509,202,307,78,basket_weights,premium,-0.00345535570132437,-0.005250169988249564,-0.0019177579653416616,1.0,0.001,202,64
CAP,12,forest40,20260927,full,0,5,509,202,307,78,numeraire,discount,-0.057776569579219506,-0.15084676423421017,0.03446519028132138,1.0,0.2165,307,77
CAP,12,forest40,20260927,full,0,5,509,202,307,78,numeraire,premium,-0.039969633370904235,-0.14372536320885626,0.04911987868508278,1.0,0.4,202,64
CAP,12,forest40,20260927,full,0,5,509,202,307,78,global_control,discount,-0.0040947984011501185,-0.06974334518129276,0.06968375054072003,1.0,0.9165,307,77
CAP,12,forest40,20260927,full,0,5,509,202,307,78,global_control,premium,0.048231381637847646,-0.06761935066740568,0.16622501896050484,1.0,0.4425,202,64
CAP,12,forest40,20260927,full,0,5,509,202,307,78,total,discount,4.142123503952031,3.142489893315759,5.248110604286251,1.0,0.0005,307,77
CAP,12,forest40,20260927,full,0,5,509,202,307,78,total,premium,5.899082795767292,4.8669489993300035,7.288298311859422,1.0,0.0005,202,64
CAP,12,forest40,20260927,full,0,5,509,202,307,78,dominance,discount,3.1637252462085557,-9.633952882162458,16.355827234892594,1.0,0.636,307,77
CAP,12,forest40,20260927,full,0,5,509,202,307,78,dominance,premium,5.512988334072883,-5.861919895179005,16.89169182569762,1.0,0.3585,202,64
CAP,12,forest40,20260927,full,10,5,98,30,68,50,local,discount,9.773599046227856,-1.7066919402917395,20.689156226107773,1.0,0.101,68,42
CAP,12,forest40,20260927,full,10,5,98,30,68,50,local,premium,-6.298332606757968,-15.587381492553083,2.44572714526106,1.0,0.1455,30,21
CAP,12,forest40,20260927,full,10,5,98,30,68,50,basket_price,discount,-1.0244219453349472,-13.091649359019282,11.744177268720314,1.0,0.881,68,42
CAP,12,forest40,20260927,full,10,5,98,30,68,50,basket_price,premium,21.25447578781319,12.29821930638072,31.29336171195703,1.0,0.0005,30,21
CAP,12,forest40,20260927,full,10,5,98,30,68,50,basket_weights,discount,0.004854706817735934,0.0006322510566353812,0.011064034656257524,1.0,0.0615,68,42
CAP,12,forest40,20260927,full,10,5,98,30,68,50,basket_weights,premium,-0.0020264098472096703,-0.003939249369422443,-0.0002950742436054833,1.0,0.0315,30,21
CAP,12,forest40,20260927,full,10,5,98,30,68,50,numeraire,discount,-0.1626061633231004,-0.26462669542371353,-0.05635991287803051,1.0,0.0045,68,42
CAP,12,forest40,20260927,full,10,5,98,30,68,50,numeraire,premium,0.2340498185716722,-0.007721927617866988,0.5285232374109105,1.0,0.0835,30,21
CAP,12,forest40,20260927,full,10,5,98,30,68,50,global_control,discount,0.06063166645364747,-0.045241665013922336,0.1945739903527401,1.0,0.334,68,42
CAP,12,forest40,20260927,full,10,5,98,30,68,50,global_control,premium,-0.036628723458080346,-0.13662151631435318,0.04527826065458221,1.0,0.454,30,21
CAP,12,forest40,20260927,full,10,5,98,30,68,50,total,discount,8.652057310841045,6.857643361177783,10.685371284863264,1.0,0.0005,68,42
CAP,12,forest40,20260927,full,10,5,98,30,68,50,total,premium,15.15153786632165,12.657308754135265,18.32698490832591,1.0,0.0005,30,21
CAP,12,forest40,20260927,full,10,5,98,30,68,50,dominance,discount,10.798020991562803,-13.403006730043705,33.474585273805374,1.0,0.381,68,42
CAP,12,forest40,20260927,full,10,5,98,30,68,50,dominance,premium,-27.55280839457116,-46.743304043040446,-10.332849975531865,1.0,0.0065,30,21
CAP,12,forest40,20260927,nonoverlap,5,5,109,40,69,71,local,discount,3.815027528122947,-4.779210163605309,12.280665250480942,1.0,0.36,69,51
CAP,12,forest40,20260927,nonoverlap,5,5,109,40,69,71,local,premium,7.377655716388034,-2.5691834831269116,16.003848208309726,1.0,0.1145,40,32
CAP,12,forest40,20260927,nonoverlap,5,5,109,40,69,71,basket_price,discount,2.393882273447882,-6.320429576012432,11.699843701749396,1.0,0.581,69,51
CAP,12,forest40,20260927,nonoverlap,5,5,109,40,69,71,basket_price,premium,2.1204239405555576,-7.3460397455250845,13.68245492402731,1.0,0.6715,40,32
