definition,h,learner,seed,sample,minimum_gap_bp,block_days,n,premium_n,discount_n,days,outcome,group,estimate,lo,hi,bootstrap_valid,p,group_n,group_days
CAP,6,linear,20260926,common_path,5,5,128,35,93,67,dominance,discount,10.968559150555011,0.7740085842444878,22.402644577559535,1.0,0.049,93,50
CAP,6,linear,20260926,common_path,5,5,128,35,93,67,dominance,premium,2.6260940209017285,-13.624221362244718,16.003830523564332,1.0,0.704,35,27
CAP,12,forest20,20260926,full,5,1,275,91,184,74,local,discount,5.827390073914795,-3.5089816152014563,15.210310658620903,1.0,0.227,184,65
CAP,12,forest20,20260926,full,5,1,275,91,184,74,local,premium,5.713595923349646,-2.5979710448594964,14.489067907146321,1.0,0.186,91,41
CAP,12,forest20,20260926,full,5,1,275,91,184,74,basket_price,discount,0.15137083144398142,-9.940172342349491,9.671795963751162,1.0,0.9775,184,65
CAP,12,forest20,20260926,full,5,1,275,91,184,74,basket_price,premium,4.468835568430414,-4.574013642599464,13.210318355149177,1.0,0.321,91,41
CAP,12,forest20,20260926,full,5,1,275,91,184,74,basket_weights,discount,0.002900745467532865,0.0004992397593385473,0.005933047127164114,1.0,0.0375,184,65
CAP,12,forest20,20260926,full,5,1,275,91,184,74,basket_weights,premium,-0.004095592756088624,-0.007241625421646297,-0.0013404620827149672,1.0,0.0105,91,41
CAP,12,forest20,20260926,full,5,1,275,91,184,74,numeraire,discount,-0.06518410214393573,-0.18080085891131026,0.05380308142837877,1.0,0.2815,184,65
CAP,12,forest20,20260926,full,5,1,275,91,184,74,numeraire,premium,-0.037215890970884374,-0.19376860972026655,0.11049018953418847,1.0,0.641,91,41
CAP,12,forest20,20260926,full,5,1,275,91,184,74,global_control,discount,-0.005007419134264523,-0.08710130495899188,0.079249896153963,1.0,0.915,184,65
CAP,12,forest20,20260926,full,5,1,275,91,184,74,global_control,premium,-0.06625036833952248,-0.20268246360470887,0.07315125122147773,1.0,0.34,91,41
CAP,12,forest20,20260926,full,5,1,275,91,184,74,total,discount,5.911470129548089,4.871775193710677,7.007965804359417,1.0,0.0005,184,65
CAP,12,forest20,20260926,full,5,1,275,91,184,74,total,premium,10.074869639713507,7.9413703920923036,12.450079084070826,1.0,0.0005,91,41
CAP,12,forest20,20260926,full,5,1,275,91,184,74,dominance,discount,5.676019242470813,-13.085039432641745,25.162288395689497,1.0,0.5665,184,65
CAP,12,forest20,20260926,full,5,1,275,91,184,74,dominance,premium,1.2447603549192314,-15.4842462071795,18.659274436564615,1.0,0.881,91,41
CAP,12,forest20,20260926,full,5,5,275,91,184,74,local,discount,5.827390073914795,-1.4191326471201566,12.884582821171751,1.0,0.1165,184,65
CAP,12,forest20,20260926,full,5,5,275,91,184,74,local,premium,5.713595923349646,-2.159404738356854,13.436170972458713,1.0,0.146,91,41
CAP,12,forest20,20260926,full,5,5,275,91,184,74,basket_price,discount,0.15137083144398142,-7.379973632143668,8.04250861868207,1.0,0.9695,184,65
CAP,12,forest20,20260926,full,5,5,275,91,184,74,basket_price,premium,4.468835568430414,-3.0619108298595337,12.482173978020247,1.0,0.2475,91,41
CAP,12,forest20,20260926,full,5,5,275,91,184,74,basket_weights,discount,0.002900745467532865,0.0009666559172759719,0.005438093598138259,1.0,0.0145,184,65
CAP,12,forest20,20260926,full,5,5,275,91,184,74,basket_weights,premium,-0.004095592756088624,-0.006820324208341948,-0.001760729461922266,1.0,0.004,91,41
CAP,12,forest20,20260926,full,5,5,275,91,184,74,numeraire,discount,-0.06518410214393573,-0.1417589931148221,0.019100327051918366,1.0,0.1155,184,65
CAP,12,forest20,20260926,full,5,5,275,91,184,74,numeraire,premium,-0.037215890970884374,-0.1749467238311244,0.08305287782093555,1.0,0.57,91,41
CAP,12,forest20,20260926,full,5,5,275,91,184,74,global_control,discount,-0.005007419134264523,-0.07097277620401382,0.08323641533928959,1.0,0.8995,184,65
CAP,12,forest20,20260926,full,5,5,275,91,184,74,global_control,premium,-0.06625036833952248,-0.2174187464560315,0.0723198087649605,1.0,0.436,91,41
CAP,12,forest20,20260926,full,5,5,275,91,184,74,total,discount,5.911470129548089,4.785160981223729,7.2208660658655255,1.0,0.0005,184,65
CAP,12,forest20,20260926,full,5,5,275,91,184,74,total,premium,10.074869639713507,8.42458990710442,12.186934658134051,1.0,0.0005,91,41
CAP,12,forest20,20260926,full,5,5,275,91,184,74,dominance,discount,5.676019242470813,-9.558635646503753,20.212996076476223,1.0,0.448,184,65
CAP,12,forest20,20260926,full,5,5,275,91,184,74,dominance,premium,1.2447603549192314,-14.345355544354229,16.42741968686925,1.0,0.869,91,41
CAP,12,forest20,20260926,full,5,10,275,91,184,74,local,discount,5.827390073914795,0.08906815992781966,11.734121616099689,1.0,0.0525,184,65
CAP,12,forest20,20260926,full,5,10,275,91,184,74,local,premium,5.713595923349646,-1.7818699581912214,12.547984871415265,1.0,0.121,91,41
CAP,12,forest20,20260926,full,5,10,275,91,184,74,basket_price,discount,0.15137083144398142,-6.138885098479283,6.145418156147063,1.0,0.9625,184,65
CAP,12,forest20,20260926,full,5,10,275,91,184,74,basket_price,premium,4.468835568430414,-2.1078740559086886,12.057922169064115,1.0,0.2305,91,41
CAP,12,forest20,20260926,full,5,10,275,91,184,74,basket_weights,discount,0.002900745467532865,0.0011567398960432725,0.0049394488989207294,1.0,0.0025,184,65
CAP,12,forest20,20260926,full,5,10,275,91,184,74,basket_weights,premium,-0.004095592756088624,-0.006123578158364704,-0.0020819246462747522,1.0,0.001,91,41
CAP,12,forest20,20260926,full,5,10,275,91,184,74,numeraire,discount,-0.06518410214393573,-0.140585321798608,0.0022227599761740617,1.0,0.0745,184,65
CAP,12,forest20,20260926,full,5,10,275,91,184,74,numeraire,premium,-0.037215890970884374,-0.1306549878549401,0.05769433640178211,1.0,0.443,91,41
CAP,12,forest20,20260926,full,5,10,275,91,184,74,global_control,discount,-0.005007419134264523,-0.061297660905020396,0.07519927450703949,1.0,0.902,184,65
