definition,h,learner,seed,sample,minimum_gap_bp,block_days,n,premium_n,discount_n,days,outcome,estimate,lo,hi,bootstrap_valid,p
CAP,12,forest20,20260926,full,5,1,275,91,184,74,dominance,-18.597687652386213,-62.207564386423215,26.310928706600304,1.0,0.4135
CAP,12,forest20,20260926,full,5,5,275,91,184,74,local,-8.014113644715517,-23.934351654292776,9.585479657623372,1.0,0.3375
CAP,12,forest20,20260926,full,5,5,275,91,184,74,basket_price,10.583574007670702,-7.9838107917017105,27.48409296244822,1.0,0.2375
CAP,12,forest20,20260926,full,5,5,275,91,184,74,basket_weights,-0.007565636303031472,-0.011324981813046626,-0.0043308912787881305,1.0,0.0005
CAP,12,forest20,20260926,full,5,5,275,91,184,74,numeraire,0.11275969420799978,-0.05116049951487368,0.2691927723177903,1.0,0.174
CAP,12,forest20,20260926,full,5,5,275,91,184,74,global_control,-0.14829960839949238,-0.36589771956261546,0.02919374703645282,1.0,0.1555
CAP,12,forest20,20260926,full,5,5,275,91,184,74,total,2.526354812460261,0.2929731491654958,4.625896971300615,1.0,0.025
CAP,12,forest20,20260926,full,5,5,275,91,184,74,dominance,-18.597687652386213,-51.354380211400006,17.64087685201007,1.0,0.2845
CAP,12,forest20,20260926,full,5,10,275,91,184,74,local,-8.014113644715517,-21.698218346890812,5.560021842771284,1.0,0.256
CAP,12,forest20,20260926,full,5,10,275,91,184,74,basket_price,10.583574007670702,-3.6164400884327987,24.87234457720333,1.0,0.1525
CAP,12,forest20,20260926,full,5,10,275,91,184,74,basket_weights,-0.007565636303031472,-0.010547089818449524,-0.004584333737980683,1.0,0.0005
CAP,12,forest20,20260926,full,5,10,275,91,184,74,numeraire,0.11275969420799978,-0.009218687670522589,0.24129014564245035,1.0,0.0795
CAP,12,forest20,20260926,full,5,10,275,91,184,74,global_control,-0.14829960839949238,-0.3517633469883726,0.0029349562724042687,1.0,0.1045
CAP,12,forest20,20260926,full,5,10,275,91,184,74,total,2.526354812460261,0.6713497589442737,4.271560867815274,1.0,0.0065
CAP,12,forest20,20260926,full,5,10,275,91,184,74,dominance,-18.597687652386213,-46.05507173002134,9.724573039593437,1.0,0.2
CAP,12,forest20,20260926,full,0,5,509,202,307,78,local,-0.8350671579168952,-12.462481122503561,10.904458506093139,1.0,0.8885
CAP,12,forest20,20260926,full,0,5,509,202,307,78,basket_price,2.7742214367697433,-9.275361579984772,15.129714284411842,1.0,0.662
CAP,12,forest20,20260926,full,0,5,509,202,307,78,basket_weights,-0.005637389021601144,-0.008274841435257783,-0.003337519354716078,1.0,0.0005
CAP,12,forest20,20260926,full,0,5,509,202,307,78,numeraire,0.04227714374584113,-0.1406282785288719,0.21277345433203956,1.0,0.6475
CAP,12,forest20,20260926,full,0,5,509,202,307,78,global_control,0.02565909051451414,-0.146020676783065,0.17418291403295946,1.0,0.7695
CAP,12,forest20,20260926,full,0,5,509,202,307,78,total,2.0014531240915394,0.10413275895840339,3.853190626477304,1.0,0.037
CAP,12,forest20,20260926,full,0,5,509,202,307,78,dominance,-3.6092885946866353,-27.329077052663962,20.177679487637498,1.0,0.7625
CAP,12,forest20,20260926,full,10,5,98,30,68,50,local,-23.391274692049222,-58.76910028029314,19.203877913885634,1.0,0.231
CAP,12,forest20,20260926,full,10,5,98,30,68,50,basket_price,24.08818236409554,-22.362679111561093,61.716432777261375,1.0,0.264
CAP,12,forest20,20260926,full,10,5,98,30,68,50,basket_weights,-0.013657602498973857,-0.031459147672404285,-0.002999161219647428,1.0,0.0565
