definition,h,learner,seed,sample,minimum_gap_bp,block_days,n,premium_n,discount_n,days,status
CAP,12,forest40,20260927,common_path,5,5,128,35,93,67,adequate
CAP,12,linear,20260926,full,5,1,275,91,184,74,adequate
CAP,12,linear,20260926,full,5,5,275,91,184,74,adequate
CAP,12,linear,20260926,full,5,10,275,91,184,74,adequate
CAP,12,linear,20260926,full,0,5,509,202,307,78,adequate
CAP,12,linear,20260926,full,10,5,98,30,68,50,adequate
CAP,12,linear,20260926,nonoverlap,5,5,109,40,69,71,adequate
CAP,12,linear,20260926,overlap,5,5,201,61,140,72,adequate
CAP,12,linear,20260926,2025-12,5,5,65,28,37,22,adequate
CAP,12,linear,20260926,without_2025-12,5,5,210,63,147,52,adequate
CAP,12,linear,20260926,2026-01,5,5,78,14,64,19,limited
CAP,12,linear,20260926,without_2026-01,5,5,197,77,120,55,adequate
CAP,12,linear,20260926,2026-02,5,5,58,27,31,19,adequate
CAP,12,linear,20260926,without_2026-02,5,5,217,64,153,55,adequate
CAP,12,linear,20260926,2026-03,5,5,74,22,52,14,adequate
CAP,12,linear,20260926,without_2026-03,5,5,201,69,132,60,adequate
CAP,12,linear,20260926,common_path,5,5,128,35,93,67,adequate
EQ,1,forest20,20260926,common_path,5,5,146,50,96,72,adequate
EQ,1,forest20,20260927,common_path,5,5,146,50,96,72,adequate
EQ,1,forest40,20260926,common_path,5,5,146,50,96,72,adequate
EQ,1,forest40,20260927,common_path,5,5,146,50,96,72,adequate
EQ,1,linear,20260926,common_path,5,5,146,50,96,72,adequate
EQ,6,forest20,20260926,common_path,5,5,146,50,96,72,adequate
EQ,6,forest20,20260927,common_path,5,5,146,50,96,72,adequate
EQ,6,forest40,20260926,common_path,5,5,146,50,96,72,adequate
EQ,6,forest40,20260927,common_path,5,5,146,50,96,72,adequate
EQ,6,linear,20260926,common_path,5,5,146,50,96,72,adequate
EQ,12,forest20,20260926,full,5,1,318,114,204,76,adequate
EQ,12,forest20,20260926,full,5,5,318,114,204,76,adequate
EQ,12,forest20,20260926,full,5,10,318,114,204,76,adequate
EQ,12,forest20,20260926,full,0,5,509,185,324,78,adequate
EQ,12,forest20,20260926,full,10,5,177,61,116,67,adequate
EQ,12,forest20,20260926,nonoverlap,5,5,115,45,70,74,adequate
EQ,12,forest20,20260926,overlap,5,5,239,92,147,72,adequate
EQ,12,forest20,20260926,2025-12,5,5,84,34,50,23,adequate
EQ,12,forest20,20260926,without_2025-12,5,5,234,80,154,53,adequate
EQ,12,forest20,20260926,2026-01,5,5,77,18,59,20,limited
EQ,12,forest20,20260926,without_2026-01,5,5,241,96,145,56,adequate
EQ,12,forest20,20260926,2026-02,5,5,80,38,42,20,adequate
EQ,12,forest20,20260926,without_2026-02,5,5,238,76,162,56,adequate
EQ,12,forest20,20260926,2026-03,5,5,77,24,53,13,adequate
EQ,12,forest20,20260926,without_2026-03,5,5,241,90,151,63,adequate
EQ,12,forest20,20260926,common_path,5,5,146,50,96,72,adequate
EQ,12,forest20,20260927,full,5,1,318,114,204,76,adequate
EQ,12,forest20,20260927,full,5,5,318,114,204,76,adequate
EQ,12,forest20,20260927,full,5,10,318,114,204,76,adequate
EQ,12,forest20,20260927,full,0,5,509,185,324,78,adequate
EQ,12,forest20,20260927,full,10,5,177,61,116,67,adequate
EQ,12,forest20,20260927,nonoverlap,5,5,115,45,70,74,adequate
EQ,12,forest20,20260927,overlap,5,5,241,93,148,73,adequate
EQ,12,forest20,20260927,2025-12,5,5,84,34,50,23,adequate
EQ,12,forest20,20260927,without_2025-12,5,5,234,80,154,53,adequate
EQ,12,forest20,20260927,2026-01,5,5,77,18,59,20,limited
EQ,12,forest20,20260927,without_2026-01,5,5,241,96,145,56,adequate
EQ,12,forest20,20260927,2026-02,5,5,80,38,42,20,adequate
EQ,12,forest20,20260927,without_2026-02,5,5,238,76,162,56,adequate
EQ,12,forest20,20260927,2026-03,5,5,77,24,53,13,adequate
EQ,12,forest20,20260927,without_2026-03,5,5,241,90,151,63,adequate
EQ,12,forest20,20260927,common_path,5,5,146,50,96,72,adequate
EQ,12,forest40,20260926,full,5,1,318,114,204,76,adequate
EQ,12,forest40,20260926,full,5,5,318,114,204,76,adequate
EQ,12,forest40,20260926,full,5,10,318,114,204,76,adequate
EQ,12,forest40,20260926,full,0,5,509,185,324,78,adequate
EQ,12,forest40,20260926,full,10,5,177,61,116,67,adequate
EQ,12,forest40,20260926,nonoverlap,5,5,115,45,70,74,adequate
EQ,12,forest40,20260926,overlap,5,5,249,91,158,74,adequate
EQ,12,forest40,20260926,2025-12,5,5,84,34,50,23,adequate
EQ,12,forest40,20260926,without_2025-12,5,5,234,80,154,53,adequate
EQ,12,forest40,20260926,2026-01,5,5,77,18,59,20,limited
EQ,12,forest40,20260926,without_2026-01,5,5,241,96,145,56,adequate
EQ,12,forest40,20260926,2026-02,5,5,80,38,42,20,adequate
EQ,12,forest40,20260926,without_2026-02,5,5,238,76,162,56,adequate
EQ,12,forest40,20260926,2026-03,5,5,77,24,53,13,adequate
EQ,12,forest40,20260926,without_2026-03,5,5,241,90,151,63,adequate
EQ,12,forest40,20260926,common_path,5,5,146,50,96,72,adequate
EQ,12,forest40,20260927,full,5,1,318,114,204,76,adequate
EQ,12,forest40,20260927,full,5,5,318,114,204,76,adequate
EQ,12,forest40,20260927,full,5,10,318,114,204,76,adequate
EQ,12,forest40,20260927,full,0,5,509,185,324,78,adequate
EQ,12,forest40,20260927,full,10,5,177,61,116,67,adequate
EQ,12,forest40,20260927,nonoverlap,5,5,115,45,70,74,adequate
EQ,12,forest40,20260927,overlap,5,5,244,89,155,73,adequate
EQ,12,forest40,20260927,2025-12,5,5,84,34,50,23,adequate
EQ,12,forest40,20260927,without_2025-12,5,5,234,80,154,53,adequate
EQ,12,forest40,20260927,2026-01,5,5,77,18,59,20,limited
EQ,12,forest40,20260927,without_2026-01,5,5,241,96,145,56,adequate
EQ,12,forest40,20260927,2026-02,5,5,80,38,42,20,adequate
EQ,12,forest40,20260927,without_2026-02,5,5,238,76,162,56,adequate
EQ,12,forest40,20260927,2026-03,5,5,77,24,53,13,adequate
EQ,12,forest40,20260927,without_2026-03,5,5,241,90,151,63,adequate
EQ,12,forest40,20260927,common_path,5,5,146,50,96,72,adequate
EQ,12,linear,20260926,full,5,1,318,114,204,76,adequate
EQ,12,linear,20260926,full,5,5,318,114,204,76,adequate
EQ,12,linear,20260926,full,5,10,318,114,204,76,adequate
EQ,12,linear,20260926,full,0,5,509,185,324,78,adequate
EQ,12,linear,20260926,full,10,5,177,61,116,67,adequate
EQ,12,linear,20260926,nonoverlap,5,5,115,45,70,74,adequate
EQ,12,linear,20260926,overlap,5,5,219,79,140,75,adequate
EQ,12,linear,20260926,2025-12,5,5,84,34,50,23,adequate
EQ,12,linear,20260926,without_2025-12,5,5,234,80,154,53,adequate
EQ,12,linear,20260926,2026-01,5,5,77,18,59,20,limited
EQ,12,linear,20260926,without_2026-01,5,5,241,96,145,56,adequate
EQ,12,linear,20260926,2026-02,5,5,80,38,42,20,adequate
EQ,12,linear,20260926,without_2026-02,5,5,238,76,162,56,adequate
EQ,12,linear,20260926,2026-03,5,5,77,24,53,13,adequate
EQ,12,linear,20260926,without_2026-03,5,5,241,90,151,63,adequate
EQ,12,linear,20260926,common_path,5,5,146,50,96,72,adequate
PCA,1,forest20,20260926,common_path,5,5,146,50,96,72,adequate
PCA,1,forest20,20260927,common_path,5,5,146,50,96,72,adequate
PCA,1,forest40,20260926,common_path,5,5,146,50,96,72,adequate
PCA,1,forest40,20260927,common_path,5,5,146,50,96,72,adequate
PCA,1,linear,20260926,common_path,5,5,146,50,96,72,adequate
PCA,6,forest20,20260926,common_path,5,5,146,50,96,72,adequate
PCA,6,forest20,20260927,common_path,5,5,146,50,96,72,adequate
PCA,6,forest40,20260926,common_path,5,5,146,50,96,72,adequate
PCA,6,forest40,20260927,common_path,5,5,146,50,96,72,adequate
PCA,6,linear,20260926,common_path,5,5,146,50,96,72,adequate
PCA,12,forest20,20260926,full,5,1,317,114,203,76,adequate
PCA,12,forest20,20260926,full,5,5,317,114,203,76,adequate
PCA,12,forest20,20260926,full,5,10,317,114,203,76,adequate
PCA,12,forest20,20260926,full,0,5,509,186,323,78,adequate
PCA,12,forest20,20260926,full,10,5,173,59,114,66,adequate
PCA,12,forest20,20260926,nonoverlap,5,5,115,45,70,74,adequate
PCA,12,forest20,20260926,overlap,5,5,247,95,152,73,adequate
PCA,12,forest20,20260926,2025-12,5,5,84,34,50,23,adequate
PCA,12,forest20,20260926,without_2025-12,5,5,233,80,153,53,adequate
PCA,12,forest20,20260926,2026-01,5,5,77,18,59,20,limited
PCA,12,forest20,20260926,without_2026-01,5,5,240,96,144,56,adequate
PCA,12,forest20,20260926,2026-02,5,5,80,38,42,20,adequate
PCA,12,forest20,20260926,without_2026-02,5,5,237,76,161,56,adequate
PCA,12,forest20,20260926,2026-03,5,5,76,24,52,13,adequate
PCA,12,forest20,20260926,without_2026-03,5,5,241,90,151,63,adequate
PCA,12,forest20,20260926,common_path,5,5,146,50,96,72,adequate
PCA,12,forest20,20260927,full,5,1,317,114,203,76,adequate
PCA,12,forest20,20260927,full,5,5,317,114,203,76,adequate
PCA,12,forest20,20260927,full,5,10,317,114,203,76,adequate
PCA,12,forest20,20260927,full,0,5,509,186,323,78,adequate
PCA,12,forest20,20260927,full,10,5,173,59,114,66,adequate
PCA,12,forest20,20260927,nonoverlap,5,5,115,45,70,74,adequate
PCA,12,forest20,20260927,overlap,5,5,240,93,147,73,adequate
PCA,12,forest20,20260927,2025-12,5,5,84,34,50,23,adequate
PCA,12,forest20,20260927,without_2025-12,5,5,233,80,153,53,adequate
PCA,12,forest20,20260927,2026-01,5,5,77,18,59,20,limited
PCA,12,forest20,20260927,without_2026-01,5,5,240,96,144,56,adequate
PCA,12,forest20,20260927,2026-02,5,5,80,38,42,20,adequate
PCA,12,forest20,20260927,without_2026-02,5,5,237,76,161,56,adequate
PCA,12,forest20,20260927,2026-03,5,5,76,24,52,13,adequate
PCA,12,forest20,20260927,without_2026-03,5,5,241,90,151,63,adequate
PCA,12,forest20,20260927,common_path,5,5,146,50,96,72,adequate
PCA,12,forest40,20260926,full,5,1,317,114,203,76,adequate
PCA,12,forest40,20260926,full,5,5,317,114,203,76,adequate
PCA,12,forest40,20260926,full,5,10,317,114,203,76,adequate
PCA,12,forest40,20260926,full,0,5,509,186,323,78,adequate
PCA,12,forest40,20260926,full,10,5,173,59,114,66,adequate
PCA,12,forest40,20260926,nonoverlap,5,5,115,45,70,74,adequate
PCA,12,forest40,20260926,overlap,5,5,248,91,157,73,adequate
PCA,12,forest40,20260926,2025-12,5,5,84,34,50,23,adequate
PCA,12,forest40,20260926,without_2025-12,5,5,233,80,153,53,adequate
PCA,12,forest40,20260926,2026-01,5,5,77,18,59,20,limited
PCA,12,forest40,20260926,without_2026-01,5,5,240,96,144,56,adequate
PCA,12,forest40,20260926,2026-02,5,5,80,38,42,20,adequate
PCA,12,forest40,20260926,without_2026-02,5,5,237,76,161,56,adequate
PCA,12,forest40,20260926,2026-03,5,5,76,24,52,13,adequate
PCA,12,forest40,20260926,without_2026-03,5,5,241,90,151,63,adequate
PCA,12,forest40,20260926,common_path,5,5,146,50,96,72,adequate
PCA,12,forest40,20260927,full,5,1,317,114,203,76,adequate
PCA,12,forest40,20260927,full,5,5,317,114,203,76,adequate
PCA,12,forest40,20260927,full,5,10,317,114,203,76,adequate
PCA,12,forest40,20260927,full,0,5,509,186,323,78,adequate
PCA,12,forest40,20260927,full,10,5,173,59,114,66,adequate
PCA,12,forest40,20260927,nonoverlap,5,5,115,45,70,74,adequate
PCA,12,forest40,20260927,overlap,5,5,243,90,153,73,adequate
PCA,12,forest40,20260927,2025-12,5,5,84,34,50,23,adequate
PCA,12,forest40,20260927,without_2025-12,5,5,233,80,153,53,adequate
PCA,12,forest40,20260927,2026-01,5,5,77,18,59,20,limited
PCA,12,forest40,20260927,without_2026-01,5,5,240,96,144,56,adequate
PCA,12,forest40,20260927,2026-02,5,5,80,38,42,20,adequate
PCA,12,forest40,20260927,without_2026-02,5,5,237,76,161,56,adequate
PCA,12,forest40,20260927,2026-03,5,5,76,24,52,13,adequate
PCA,12,forest40,20260927,without_2026-03,5,5,241,90,151,63,adequate
PCA,12,forest40,20260927,common_path,5,5,146,50,96,72,adequate
PCA,12,linear,20260926,full,5,1,317,114,203,76,adequate
PCA,12,linear,20260926,full,5,5,317,114,203,76,adequate
PCA,12,linear,20260926,full,5,10,317,114,203,76,adequate
PCA,12,linear,20260926,full,0,5,509,186,323,78,adequate
PCA,12,linear,20260926,full,10,5,173,59,114,66,adequate
PCA,12,linear,20260926,nonoverlap,5,5,115,45,70,74,adequate
PCA,12,linear,20260926,overlap,5,5,220,79,141,75,adequate
PCA,12,linear,20260926,2025-12,5,5,84,34,50,23,adequate
PCA,12,linear,20260926,without_2025-12,5,5,233,80,153,53,adequate
PCA,12,linear,20260926,2026-01,5,5,77,18,59,20,limited
PCA,12,linear,20260926,without_2026-01,5,5,240,96,144,56,adequate
PCA,12,linear,20260926,2026-02,5,5,80,38,42,20,adequate
PCA,12,linear,20260926,without_2026-02,5,5,237,76,161,56,adequate
PCA,12,linear,20260926,2026-03,5,5,76,24,52,13,adequate
PCA,12,linear,20260926,without_2026-03,5,5,241,90,151,63,adequate
PCA,12,linear,20260926,common_path,5,5,146,50,96,72,adequate
