definition,minimum_gap_bp,group,n,quantity,estimate,lo,hi,bootstrap_valid,p
PCA,0,discount,323,basket_implied_return_bp,-3.584683525139759,-10.741335190250792,3.497507075318809,1.0,0.319
PCA,0,premium,186,absolute_gap_reduction,-0.25297905544711896,-1.4704782319379952,0.8321188922095945,1.0,0.6625
PCA,0,premium,186,crossed_zero,0.553763440860215,0.4722222222222222,0.6457490134175217,1.0,0.0005
PCA,0,premium,186,overshot_farther,0.2903225806451613,0.2209837124201765,0.3758235737278269,1.0,0.0005
PCA,0,premium,186,local_return_bp,-3.685444767433371,-8.866007537186738,1.7303334110790094,1.0,0.182
PCA,0,premium,186,basket_implied_return_bp,5.134860386927357,0.0827186936073142,11.029433593460116,1.0,0.064
PCA,5,discount,203,absolute_gap_reduction,3.501848277978671,2.396755602872256,4.639786273518145,1.0,0.0005
PCA,5,discount,203,crossed_zero,0.3399014778325123,0.26269508306762884,0.4228681318681319,1.0,0.0005
PCA,5,discount,203,overshot_farther,0.09359605911330049,0.05504587155963303,0.13715384615384615,1.0,0.0005
PCA,5,discount,203,local_return_bp,2.793176717247256,-5.074359761623734,10.401398322780299,1.0,0.483
PCA,5,discount,203,basket_implied_return_bp,-5.636579021660834,-14.180766200144431,2.754057993143663,1.0,0.199
PCA,5,premium,114,absolute_gap_reduction,2.8224128606427232,1.1950431229974776,4.111258941411741,1.0,0.002
PCA,5,premium,114,crossed_zero,0.543859649122807,0.4482758620689655,0.6495726495726496,1.0,0.0005
PCA,5,premium,114,overshot_farther,0.19298245614035087,0.12377846790890269,0.27660524316109425,1.0,0.0005
PCA,5,premium,114,local_return_bp,-6.434986780547069,-12.724176845366008,0.8815968181809901,1.0,0.063
PCA,5,premium,114,basket_implied_return_bp,5.709807323362467,-1.0262056844605365,13.405427812498992,1.0,0.127
PCA,10,discount,114,absolute_gap_reduction,6.60541850109445,5.232281251625955,8.035466554979907,1.0,0.0005
PCA,10,discount,114,crossed_zero,0.3157894736842105,0.2288135593220339,0.40709603408718453,1.0,0.0005
PCA,10,discount,114,overshot_farther,0.03508771929824561,0.0,0.07502358490566036,1.0,0.0655
PCA,10,discount,114,local_return_bp,7.317003468497561,-1.579888931028068,16.610323418807134,1.0,0.1225
PCA,10,discount,114,basket_implied_return_bp,-3.61833041897565,-13.402865307105545,6.236297283576508,1.0,0.4875
PCA,10,premium,59,absolute_gap_reduction,7.102090429322264,4.946763393238382,9.151231242412587,1.0,0.0005
PCA,10,premium,59,crossed_zero,0.576271186440678,0.45098039215686275,0.7187774122807017,1.0,0.0005
PCA,10,premium,59,overshot_farther,0.1016949152542373,0.03657427937915743,0.1833503401360544,1.0,0.012
PCA,10,premium,59,local_return_bp,-4.980137509390127,-14.682354617680376,4.803320920893812,1.0,0.3125
