sample,horizon,variant,information,strategy,calibration,n,loss_bp,below_rate
common_origins,1,own_scale,F,linear,calibrated,239,1.575332099849709,0.09205020920502092
common_origins,1,own_scale,F,ml_selected,calibrated,239,1.5817448392315585,0.0794979079497908
common_origins,1,own_scale,F,qrf,calibrated,239,1.5817448392315585,0.0794979079497908
common_origins,1,own_scale,F,threshold,calibrated,239,1.6339252389876655,0.09205020920502092
common_origins,1,own_scale,R,boosting,calibrated,239,1.6120956188014106,0.100418410041841
common_origins,1,own_scale,R,linear,calibrated,239,1.6052471526150032,0.1087866108786611
common_origins,1,own_scale,R,ml_selected,calibrated,239,1.5643654922393084,0.09623430962343096
common_origins,1,own_scale,R,qrf,calibrated,239,1.5943320792759625,0.100418410041841
common_origins,1,own_scale,R,threshold,calibrated,239,1.639700088141759,0.09623430962343096
common_origins,6,original,B,boosting,raw,239,1.7267949852691136,0.1506276150627615
common_origins,6,original,B,linear,raw,239,1.764857899823463,0.11297071129707113
common_origins,6,original,B,ml_selected,raw,239,1.670792898540568,0.12552301255230125
common_origins,6,original,B,qrf,raw,239,1.6529217387584076,0.10460251046025104
common_origins,6,original,B,threshold,raw,239,1.7167156514207194,0.14644351464435146
common_origins,6,original,F,boosting,raw,239,1.6911238700323166,0.13389121338912133
common_origins,6,original,F,linear,raw,239,1.7627441948169376,0.11297071129707113
common_origins,6,original,F,ml_selected,raw,239,1.675776331150939,0.11297071129707113
common_origins,6,original,F,qrf,raw,239,1.6504342836624712,0.1087866108786611
common_origins,6,original,F,threshold,raw,239,1.706760634416024,0.15481171548117154
common_origins,6,original,R,boosting,raw,239,1.700056934784284,0.1506276150627615
common_origins,6,original,R,linear,raw,239,1.7290833773526069,0.11297071129707113
common_origins,6,original,R,ml_selected,raw,239,1.69917361450052,0.12552301255230125
common_origins,6,original,R,qrf,raw,239,1.6293488485841663,0.1087866108786611
common_origins,6,original,R,threshold,raw,239,1.7269241732186995,0.1506276150627615
common_origins,6,own_scale,B,boosting,raw,239,1.6922682611908142,0.12552301255230125
common_origins,6,own_scale,B,linear,raw,239,1.7430645088304202,0.11297071129707113
common_origins,6,own_scale,B,ml_selected,raw,239,1.6760900706073287,0.12133891213389121
common_origins,6,own_scale,B,qrf,raw,239,1.635951015428056,0.11715481171548117
common_origins,6,own_scale,B,threshold,raw,239,1.7134591883565036,0.12552301255230125
common_origins,6,own_scale,F,boosting,raw,239,1.6858305742594264,0.12552301255230125
common_origins,6,own_scale,F,linear,raw,239,1.7571035662255203,0.11715481171548117
common_origins,6,own_scale,F,ml_selected,raw,239,1.645469230424211,0.10460251046025104
common_origins,6,own_scale,F,qrf,raw,239,1.645469230424211,0.10460251046025104
common_origins,6,own_scale,F,threshold,raw,239,1.7425986105387334,0.14644351464435146
common_origins,6,own_scale,R,boosting,raw,239,1.7051555117940371,0.12552301255230125
common_origins,6,own_scale,R,linear,raw,239,1.7651727088802636,0.09205020920502092
common_origins,6,own_scale,R,ml_selected,raw,239,1.6840557242850716,0.12552301255230125
common_origins,6,own_scale,R,qrf,raw,239,1.6571688471743846,0.1087866108786611
common_origins,6,own_scale,R,threshold,raw,239,1.6647057869924426,0.09205020920502092
common_origins,6,original,B,boosting,calibrated,239,1.8592106724427484,0.07112970711297072
common_origins,6,original,B,linear,calibrated,239,1.8765904662093271,0.05439330543933055
