sample,horizon,calibration,comparison,n,fold,improvement_pct
native,6,raw,original__total_F_vs_R,703,2026-03,6.878766407562297
native,6,raw,original__ml_vs_threshold_F,703,2025-12,3.9700845128321394
native,6,raw,original__ml_vs_threshold_F,703,2026-01,-5.978323089262005
native,6,raw,original__ml_vs_threshold_F,703,2026-02,-4.534833468521082
native,6,raw,original__ml_vs_threshold_F,703,2026-03,1.2586215020489067
native,6,raw,own_scale__nonlinear_R,703,2025-12,11.899026819225899
native,6,raw,own_scale__nonlinear_R,703,2026-01,14.207906337362196
native,6,raw,own_scale__nonlinear_R,703,2026-02,-6.951145584038709
native,6,raw,own_scale__nonlinear_R,703,2026-03,-11.439915126684873
native,6,raw,own_scale__nonlinear_F,703,2025-12,12.753065032547639
native,6,raw,own_scale__nonlinear_F,703,2026-01,9.630514951402802
native,6,raw,own_scale__nonlinear_F,703,2026-02,10.361870374493376
native,6,raw,own_scale__nonlinear_F,703,2026-03,-8.306546198326338
native,6,raw,own_scale__market_B_vs_R,703,2025-12,1.1996567925793733
native,6,raw,own_scale__market_B_vs_R,703,2026-01,-7.918384763492403
native,6,raw,own_scale__market_B_vs_R,703,2026-02,-3.5516534906283814
native,6,raw,own_scale__market_B_vs_R,703,2026-03,-1.109708031856349
native,6,raw,own_scale__position_F_vs_B,703,2025-12,-0.23306712341581992
native,6,raw,own_scale__position_F_vs_B,703,2026-01,2.393418063754116
native,6,raw,own_scale__position_F_vs_B,703,2026-02,-1.0741114270053753
native,6,raw,own_scale__position_F_vs_B,703,2026-03,-0.479412301783233
native,6,raw,own_scale__total_F_vs_R,703,2025-12,0.9693856747408858
native,6,raw,own_scale__total_F_vs_R,703,2026-01,-5.335446648451292
native,6,raw,own_scale__total_F_vs_R,703,2026-02,-4.663913633624217
native,6,raw,own_scale__total_F_vs_R,703,2026-03,-1.5944404104581755
native,6,raw,own_scale__ml_vs_threshold_F,703,2025-12,3.8720184386107803
native,6,raw,own_scale__ml_vs_threshold_F,703,2026-01,-0.9749427653960696
native,6,raw,own_scale__ml_vs_threshold_F,703,2026-02,6.510787440189903
native,6,raw,own_scale__ml_vs_threshold_F,703,2026-03,3.020512583628654
native,6,raw,scale__R__linear,703,2025-12,0.0
native,6,raw,scale__R__linear,703,2026-01,0.0
native,6,raw,scale__R__linear,703,2026-02,19.9225241311618
native,6,raw,scale__R__linear,703,2026-03,0.34246645956276245
native,6,raw,scale__R__qrf,703,2025-12,0.7194124313567585
native,6,raw,scale__R__qrf,703,2026-01,5.4091171534244475
native,6,raw,scale__R__qrf,703,2026-02,3.3127631074736708
native,6,raw,scale__R__qrf,703,2026-03,2.791793153015465
native,6,raw,scale__R__boosting,703,2025-12,-3.319272262481854
native,6,raw,scale__R__boosting,703,2026-01,2.736945856532502
native,6,raw,scale__R__boosting,703,2026-02,4.971788977345925
native,6,raw,scale__R__boosting,703,2026-03,11.911701938064311
native,6,raw,scale__R__threshold,703,2025-12,3.946662292081715
native,6,raw,scale__R__threshold,703,2026-01,0.4146508048323172
native,6,raw,scale__R__threshold,703,2026-02,11.854493033722557
native,6,raw,scale__R__threshold,703,2026-03,9.390756569207436
native,6,raw,scale__R__ml_selected,703,2025-12,-1.7517933298396793
native,6,raw,scale__R__ml_selected,703,2026-01,7.238719387495173
native,6,raw,scale__R__ml_selected,703,2026-02,9.231590064434814
native,6,raw,scale__R__ml_selected,703,2026-03,9.812370662034942
native,6,raw,scale__B__linear,703,2025-12,0.0
native,6,raw,scale__B__linear,703,2026-01,0.0
native,6,raw,scale__B__linear,703,2026-02,0.0
native,6,raw,scale__B__linear,703,2026-03,-0.6633517509765152
native,6,raw,scale__B__qrf,703,2025-12,0.3846803710044311
native,6,raw,scale__B__qrf,703,2026-01,6.067368096998527
native,6,raw,scale__B__qrf,703,2026-02,4.515038316748033
native,6,raw,scale__B__qrf,703,2026-03,3.053193727507597
native,6,raw,scale__B__boosting,703,2025-12,2.725327275868228
native,6,raw,scale__B__boosting,703,2026-01,0.936909856436452
native,6,raw,scale__B__boosting,703,2026-02,4.914374416654244
native,6,raw,scale__B__boosting,703,2026-03,5.967766541500685
native,6,raw,scale__B__threshold,703,2025-12,5.880167312765061
native,6,raw,scale__B__threshold,703,2026-01,-0.5201867334712507
native,6,raw,scale__B__threshold,703,2026-02,-1.051009907250644
native,6,raw,scale__B__threshold,703,2026-03,2.7216540097060538
native,6,raw,scale__B__ml_selected,703,2025-12,0.3846803710044311
native,6,raw,scale__B__ml_selected,703,2026-01,0.936909856436452
native,6,raw,scale__B__ml_selected,703,2026-02,10.58583793397906
native,6,raw,scale__B__ml_selected,703,2026-03,3.053193727507597
native,6,raw,scale__F__linear,703,2025-12,0.0
native,6,raw,scale__F__linear,703,2026-01,0.0
native,6,raw,scale__F__linear,703,2026-02,0.0
native,6,raw,scale__F__linear,703,2026-03,-2.7361313851978597
native,6,raw,scale__F__qrf,703,2025-12,1.7758248036522595
native,6,raw,scale__F__qrf,703,2026-01,0.138143517218825
native,6,raw,scale__F__qrf,703,2026-02,2.304163128950487
native,6,raw,scale__F__qrf,703,2026-03,1.6060958273166004
native,6,raw,scale__F__boosting,703,2025-12,0.9872294046097352
native,6,raw,scale__F__boosting,703,2026-01,2.1002263570835678
native,6,raw,scale__F__boosting,703,2026-02,3.378602365438288
native,6,raw,scale__F__boosting,703,2026-03,5.433977483469543
native,6,raw,scale__F__threshold,703,2025-12,1.8760293340988388
native,6,raw,scale__F__threshold,703,2026-01,-0.6003966723331811
native,6,raw,scale__F__threshold,703,2026-02,-0.9851417976902255
native,6,raw,scale__F__threshold,703,2026-03,-0.18149190759648715
native,6,raw,scale__F__ml_selected,703,2025-12,1.7758248036522595
native,6,raw,scale__F__ml_selected,703,2026-01,4.149084453722319
native,6,raw,scale__F__ml_selected,703,2026-02,9.685402715547154
native,6,raw,scale__F__ml_selected,703,2026-03,1.6060958273166004
native,6,calibrated,original__nonlinear_R,703,2025-12,2.982698685944296
native,6,calibrated,original__nonlinear_R,703,2026-01,19.27026152396072
native,6,calibrated,original__nonlinear_R,703,2026-02,4.962573686073712
native,6,calibrated,original__nonlinear_R,703,2026-03,-8.91938331015194
native,6,calibrated,original__nonlinear_F,703,2025-12,3.1316950593583637
native,6,calibrated,original__nonlinear_F,703,2026-01,9.13482262100327
native,6,calibrated,original__nonlinear_F,703,2026-02,3.2011073265334034
native,6,calibrated,original__nonlinear_F,703,2026-03,-5.811226815366388
native,6,calibrated,original__market_B_vs_R,703,2025-12,0.037319624928611184
native,6,calibrated,original__market_B_vs_R,703,2026-01,-4.543676859865764
native,6,calibrated,original__market_B_vs_R,703,2026-02,-2.981585333631731
native,6,calibrated,original__market_B_vs_R,703,2026-03,-2.026151279711441
native,6,calibrated,original__position_F_vs_B,703,2025-12,0.11630089416485578
native,6,calibrated,original__position_F_vs_B,703,2026-01,-7.662922051844601
native,6,calibrated,original__position_F_vs_B,703,2026-02,1.0954777983447905
native,6,calibrated,original__position_F_vs_B,703,2026-03,0.5326715581058905
native,6,calibrated,original__total_F_vs_R,703,2025-12,0.15357711603597446
native,6,calibrated,original__total_F_vs_R,703,2026-01,-12.554777327769596
native,6,calibrated,original__total_F_vs_R,703,2026-02,-1.853444929918302
native,6,calibrated,original__total_F_vs_R,703,2026-03,-1.4826869900143258
native,6,calibrated,original__ml_vs_threshold_F,703,2025-12,3.091986040104089
native,6,calibrated,original__ml_vs_threshold_F,703,2026-01,-14.349232859608453
native,6,calibrated,original__ml_vs_threshold_F,703,2026-02,-3.5757114101095056
native,6,calibrated,original__ml_vs_threshold_F,703,2026-03,-4.493752369190918
native,6,calibrated,own_scale__nonlinear_R,703,2025-12,2.1264040776553306
native,6,calibrated,own_scale__nonlinear_R,703,2026-01,21.719083826518936
native,6,calibrated,own_scale__nonlinear_R,703,2026-02,-2.318283625355866
native,6,calibrated,own_scale__nonlinear_R,703,2026-03,-7.395298296524411
native,6,calibrated,own_scale__nonlinear_F,703,2025-12,3.4863801388580473
native,6,calibrated,own_scale__nonlinear_F,703,2026-01,12.752852980876616
native,6,calibrated,own_scale__nonlinear_F,703,2026-02,9.098449737733072
native,6,calibrated,own_scale__nonlinear_F,703,2026-03,0.3291735363580961
native,6,calibrated,own_scale__market_B_vs_R,703,2025-12,1.1626365539873396
native,6,calibrated,own_scale__market_B_vs_R,703,2026-01,-8.49855707664715
native,6,calibrated,own_scale__market_B_vs_R,703,2026-02,-0.3438235954824842
native,6,calibrated,own_scale__market_B_vs_R,703,2026-03,-0.4741323439295231
native,6,calibrated,own_scale__position_F_vs_B,703,2025-12,0.2295552730498085
native,6,calibrated,own_scale__position_F_vs_B,703,2026-01,-2.7238698786143267
native,6,calibrated,own_scale__position_F_vs_B,703,2026-02,0.9154004560207096
native,6,calibrated,own_scale__position_F_vs_B,703,2026-03,0.8583223318057831
native,6,calibrated,own_scale__total_F_vs_R,703,2025-12,1.3895229335210701
native,6,calibrated,own_scale__total_F_vs_R,703,2026-01,-11.45391659158912
native,6,calibrated,own_scale__total_F_vs_R,703,2026-02,0.5747242232991723
native,6,calibrated,own_scale__total_F_vs_R,703,2026-03,0.38825957166652714
native,6,calibrated,own_scale__ml_vs_threshold_F,703,2025-12,3.2200644406547685
native,6,calibrated,own_scale__ml_vs_threshold_F,703,2026-01,-9.134057187131916
native,6,calibrated,own_scale__ml_vs_threshold_F,703,2026-02,4.3764169003363
native,6,calibrated,own_scale__ml_vs_threshold_F,703,2026-03,-1.164411931171494
native,6,calibrated,scale__R__linear,703,2025-12,0.0
native,6,calibrated,scale__R__linear,703,2026-01,0.0
native,6,calibrated,scale__R__linear,703,2026-02,10.644510288900456
native,6,calibrated,scale__R__linear,703,2026-03,-3.355929030872362
native,6,calibrated,scale__R__qrf,703,2025-12,-1.3526054234695994
native,6,calibrated,scale__R__qrf,703,2026-01,10.47237799777767
native,6,calibrated,scale__R__qrf,703,2026-02,-2.322388477107973
native,6,calibrated,scale__R__qrf,703,2026-03,-0.1158911285650932
native,6,calibrated,scale__R__boosting,703,2025-12,-7.1920313303712735
native,6,calibrated,scale__R__boosting,703,2026-01,-1.3853354802670692
native,6,calibrated,scale__R__boosting,703,2026-02,4.0593925309268535
native,6,calibrated,scale__R__boosting,703,2026-03,-0.9607817684625486
native,6,calibrated,scale__R__threshold,703,2025-12,-1.3423703114079144
native,6,calibrated,scale__R__threshold,703,2026-01,3.0024230107741134
native,6,calibrated,scale__R__threshold,703,2026-02,1.814012895446493
native,6,calibrated,scale__R__threshold,703,2026-03,-1.0225812511240662
native,6,calibrated,scale__R__ml_selected,703,2025-12,-0.882620518908328
native,6,calibrated,scale__R__ml_selected,703,2026-01,3.0333583990056145
native,6,calibrated,scale__R__ml_selected,703,2026-02,3.798948536939417
native,6,calibrated,scale__R__ml_selected,703,2026-03,-1.9096922113252868
native,6,calibrated,scale__B__linear,703,2025-12,0.0
native,6,calibrated,scale__B__linear,703,2026-01,0.0
native,6,calibrated,scale__B__linear,703,2026-02,0.0
native,6,calibrated,scale__B__linear,703,2026-03,-1.0927314682335654
native,6,calibrated,scale__B__qrf,703,2025-12,0.2530525171865139
