sample,horizon,variant,information,strategy,calibration,state,bin,fold,n,loss_bp,below_rate
native,1,own_scale,F,boosting,raw,e_change1,1,2026-03,50,1.946832699756072,0.16
native,1,own_scale,F,boosting,raw,e_change1,2,all,432,1.7314789166097289,0.19212962962962962
native,1,own_scale,F,boosting,raw,e_change1,2,2025-12,136,1.7327291284285016,0.19852941176470587
native,1,own_scale,F,boosting,raw,e_change1,2,2026-01,107,1.5187438012840702,0.21495327102803738
native,1,own_scale,F,boosting,raw,e_change1,2,2026-02,116,1.964112594837608,0.21551724137931033
native,1,own_scale,F,boosting,raw,e_change1,2,2026-03,73,1.6713025037064213,0.1095890410958904
native,1,own_scale,F,boosting,raw,e_rms72,0,all,16,1.742927645118132,0.25
native,1,own_scale,F,boosting,raw,e_rms72,0,2026-01,16,1.742927645118132,0.25
native,1,own_scale,F,boosting,raw,e_rms72,1,all,123,1.4730687313759954,0.17886178861788618
native,1,own_scale,F,boosting,raw,e_rms72,1,2025-12,9,1.9448316830939858,0.4444444444444444
native,1,own_scale,F,boosting,raw,e_rms72,1,2026-01,114,1.435824287819312,0.15789473684210525
native,1,own_scale,F,boosting,raw,e_rms72,2,all,949,1.7643374712870388,0.1749209694415174
native,1,own_scale,F,boosting,raw,e_rms72,2,2025-12,304,1.6480065114789728,0.1513157894736842
native,1,own_scale,F,boosting,raw,e_rms72,2,2026-01,164,1.5433815217211686,0.20121951219512196
native,1,own_scale,F,boosting,raw,e_rms72,2,2026-02,280,1.9536785385522697,0.19642857142857142
native,1,own_scale,F,boosting,raw,e_rms72,2,2026-03,201,1.8568045791287804,0.15920398009950248
native,1,own_scale,F,linear,raw,e_now,0,all,519,1.7362049947266038,0.10982658959537572
native,1,own_scale,F,linear,raw,e_now,0,2025-12,139,2.143291866752211,0.1366906474820144
native,1,own_scale,F,linear,raw,e_now,0,2026-01,160,1.2891458361769996,0.1125
native,1,own_scale,F,linear,raw,e_now,0,2026-02,117,1.944466241557563,0.03418803418803419
native,1,own_scale,F,linear,raw,e_now,0,2026-03,103,1.6447275605242255,0.1553398058252427
native,1,own_scale,F,linear,raw,e_now,1,all,248,1.5208200513309909,0.11693548387096774
native,1,own_scale,F,linear,raw,e_now,1,2025-12,69,1.3102882318834763,0.11594202898550725
native,1,own_scale,F,linear,raw,e_now,1,2026-01,73,1.3690200559405612,0.0958904109589041
native,1,own_scale,F,linear,raw,e_now,1,2026-02,60,1.7002819078971492,0.1
native,1,own_scale,F,linear,raw,e_now,1,2026-03,46,1.843437090709474,0.17391304347826086
native,1,own_scale,F,linear,raw,e_now,2,all,321,1.8040038290811022,0.17757009345794392
native,1,own_scale,F,linear,raw,e_now,2,2025-12,105,1.7530234797190831,0.18095238095238095
native,1,own_scale,F,linear,raw,e_now,2,2026-01,61,1.5278067097553647,0.2459016393442623
native,1,own_scale,F,linear,raw,e_now,2,2026-02,103,1.8192041141149535,0.1262135922330097
native,1,own_scale,F,linear,raw,e_now,2,2026-03,52,2.200837129146397,0.19230769230769232
native,1,own_scale,F,linear,raw,e_change1,0,all,430,1.6174997220611589,0.12558139534883722
native,1,own_scale,F,linear,raw,e_change1,0,2025-12,115,1.4833573784009186,0.11304347826086956
native,1,own_scale,F,linear,raw,e_change1,0,2026-01,116,1.3231608394819176,0.14655172413793102
native,1,own_scale,F,linear,raw,e_change1,0,2026-02,121,1.8358286922665457,0.06611570247933884
native,1,own_scale,F,linear,raw,e_change1,0,2026-03,78,1.9143186259748484,0.20512820512820512
native,1,own_scale,F,linear,raw,e_change1,1,all,226,1.8927187498436786,0.14601769911504425
native,1,own_scale,F,linear,raw,e_change1,1,2025-12,62,2.3865370715116137,0.14516129032258066
native,1,own_scale,F,linear,raw,e_change1,1,2026-01,71,1.3972441317532567,0.11267605633802817
native,1,own_scale,F,linear,raw,e_change1,1,2026-02,43,1.8340372598649695,0.13953488372093023
native,1,own_scale,F,linear,raw,e_change1,1,2026-03,50,2.0344240700455263,0.2
native,1,own_scale,F,linear,raw,e_change1,2,all,432,1.6992122133732808,0.12962962962962962
native,1,own_scale,F,linear,raw,e_change1,2,2025-12,136,1.866496513964671,0.17647058823529413
native,1,own_scale,F,linear,raw,e_change1,2,2026-01,107,1.3710936115203218,0.14018691588785046
native,1,own_scale,F,linear,raw,e_change1,2,2026-02,116,1.8611949530298137,0.07758620689655173
native,1,own_scale,F,linear,raw,e_change1,2,2026-03,73,1.611103004026427,0.1095890410958904
native,1,own_scale,F,linear,raw,e_rms72,0,all,16,1.5762717078410462,0.25
native,1,own_scale,F,linear,raw,e_rms72,0,2026-01,16,1.5762717078410462,0.25
native,1,own_scale,F,linear,raw,e_rms72,1,all,123,1.400291251361184,0.17886178861788618
native,1,own_scale,F,linear,raw,e_rms72,1,2025-12,9,1.8044565328534696,0.4444444444444444
native,1,own_scale,F,linear,raw,e_rms72,1,2026-01,114,1.3683834659802143,0.15789473684210525
native,1,own_scale,F,linear,raw,e_rms72,2,all,949,1.7490862201110058,0.1232876712328767
native,1,own_scale,F,linear,raw,e_rms72,2,2025-12,304,1.8294566251754598,0.13815789473684212
native,1,own_scale,F,linear,raw,e_rms72,2,2026-01,164,1.330377711706445,0.10975609756097561
native,1,own_scale,F,linear,raw,e_rms72,2,2026-02,280,1.846062458892515,0.08214285714285714
native,1,own_scale,F,linear,raw,e_rms72,2,2026-03,201,1.8340725155335507,0.1691542288557214
native,1,own_scale,F,ml_selected,raw,e_now,0,all,519,1.6934793546124156,0.15028901734104047
native,1,own_scale,F,ml_selected,raw,e_now,0,2025-12,139,1.7708176826212314,0.11510791366906475
native,1,own_scale,F,ml_selected,raw,e_now,0,2026-01,160,1.3304866831569913,0.175
native,1,own_scale,F,ml_selected,raw,e_now,0,2026-02,117,2.0393426628960203,0.1452991452991453
native,1,own_scale,F,ml_selected,raw,e_now,0,2026-03,103,1.7601084106363063,0.1650485436893204
native,1,own_scale,F,ml_selected,raw,e_now,1,all,248,1.7635311352664653,0.24193548387096775
native,1,own_scale,F,ml_selected,raw,e_now,1,2025-12,69,1.3570282259464854,0.2028985507246377
native,1,own_scale,F,ml_selected,raw,e_now,1,2026-01,73,1.44317504399639,0.1780821917808219
native,1,own_scale,F,ml_selected,raw,e_now,1,2026-02,60,2.23864563007682,0.3333333333333333
native,1,own_scale,F,ml_selected,raw,e_now,1,2026-03,46,2.2619621291180483,0.2826086956521739
native,1,own_scale,F,ml_selected,raw,e_now,2,all,321,1.8433736809459962,0.20249221183800623
native,1,own_scale,F,ml_selected,raw,e_now,2,2025-12,105,1.6525764242946956,0.19047619047619047
native,1,own_scale,F,ml_selected,raw,e_now,2,2026-01,61,1.6838354356722305,0.2459016393442623
native,1,own_scale,F,ml_selected,raw,e_now,2,2026-02,103,1.9965664372923582,0.1941747572815534
native,1,own_scale,F,ml_selected,raw,e_now,2,2026-03,52,2.11234850799236,0.19230769230769232
native,1,own_scale,F,ml_selected,raw,e_change1,0,all,430,1.624521263369413,0.16511627906976745
