method,info,algorithm,q,period,n,days,pinball,below_rate
joint_linear,without_positioning,quantile_lightgbm,0.5,all,577,55,4.180012541808485,0.561525129982669
joint_linear,without_positioning,quantile_lightgbm,0.5,2026-01,220,21,3.531794999336458,0.6181818181818182
joint_linear,without_positioning,quantile_lightgbm,0.5,2026-02,204,20,4.688212481048915,0.4950980392156863
joint_linear,without_positioning,quantile_lightgbm,0.5,2026-03,153,14,4.434490134872524,0.5686274509803921
joint_linear,without_positioning,quantile_lightgbm,0.9,all,577,55,1.8498446412807983,0.8821490467937608
joint_linear,without_positioning,quantile_lightgbm,0.9,2026-01,220,21,1.5125329164828043,0.9454545454545454
joint_linear,without_positioning,quantile_lightgbm,0.9,2026-02,204,20,2.1982526756969505,0.7892156862745098
joint_linear,without_positioning,quantile_lightgbm,0.9,2026-03,153,14,1.8703239905269657,0.9150326797385621
joint_linear,with_positioning,linear_qr,0.1,all,577,55,2.073781993380159,0.17677642980935876
joint_linear,with_positioning,linear_qr,0.1,2026-01,220,21,1.6426202588489853,0.1318181818181818
joint_linear,with_positioning,linear_qr,0.1,2026-02,204,20,2.1895742001527854,0.14215686274509803
joint_linear,with_positioning,linear_qr,0.1,2026-03,153,14,2.539363505898083,0.2875816993464052
joint_linear,with_positioning,linear_qr,0.5,all,577,55,4.046790394243362,0.5563258232235702
joint_linear,with_positioning,linear_qr,0.5,2026-01,220,21,3.3466455370289094,0.65
joint_linear,with_positioning,linear_qr,0.5,2026-02,204,20,4.595849823343619,0.5
joint_linear,with_positioning,linear_qr,0.5,2026-03,153,14,4.321455394574911,0.49673202614379086
joint_linear,with_positioning,linear_qr,0.9,all,577,55,1.8580139929709893,0.8925476603119584
joint_linear,with_positioning,linear_qr,0.9,2026-01,220,21,1.5994831189727956,0.9545454545454546
joint_linear,with_positioning,linear_qr,0.9,2026-02,204,20,2.117664474161317,0.8088235294117647
joint_linear,with_positioning,linear_qr,0.9,2026-03,153,14,1.8835570917734448,0.9150326797385621
joint_linear,with_positioning,quantile_lightgbm,0.1,all,577,55,2.059310367067708,0.17850953206239167
joint_linear,with_positioning,quantile_lightgbm,0.1,2026-01,220,21,1.7951568844033388,0.20909090909090908
joint_linear,with_positioning,quantile_lightgbm,0.1,2026-02,204,20,2.2432528291333043,0.1568627450980392
joint_linear,with_positioning,quantile_lightgbm,0.1,2026-03,153,14,2.193882288144699,0.16339869281045752
joint_linear,with_positioning,quantile_lightgbm,0.5,all,577,55,4.228411247393772,0.5511265164644714
joint_linear,with_positioning,quantile_lightgbm,0.5,2026-01,220,21,3.5432289767920055,0.6045454545454545
joint_linear,with_positioning,quantile_lightgbm,0.5,2026-02,204,20,4.794176098034231,0.47549019607843135
joint_linear,with_positioning,quantile_lightgbm,0.5,2026-03,153,14,4.459287521914917,0.5751633986928104
joint_linear,with_positioning,quantile_lightgbm,0.9,all,577,55,1.8467270841781693,0.8838821490467937
joint_linear,with_positioning,quantile_lightgbm,0.9,2026-01,220,21,1.5109472493751464,0.9545454545454546
joint_linear,with_positioning,quantile_lightgbm,0.9,2026-02,204,20,2.2056897862575604,0.7892156862745098
joint_linear,with_positioning,quantile_lightgbm,0.9,2026-03,153,14,1.8509308255668588,0.9084967320261438
