method,info,algorithm,q,period,n,days,pinball,below_rate
ml,without_positioning,quantile_lightgbm,0.1,2026-02,204,20,2.0322537174265776,0.15196078431372548
ml,without_positioning,quantile_lightgbm,0.1,2026-03,152,14,2.6152712930667414,0.25
ml,without_positioning,quantile_lightgbm,0.5,all,576,55,3.9364557090544445,0.5920138888888888
ml,without_positioning,quantile_lightgbm,0.5,2026-01,220,21,3.2983137694510156,0.6318181818181818
ml,without_positioning,quantile_lightgbm,0.5,2026-02,204,20,4.2407529123600245,0.5245098039215687
ml,without_positioning,quantile_lightgbm,0.5,2026-03,152,14,4.451683322465075,0.625
ml,without_positioning,quantile_lightgbm,0.9,all,576,55,1.7531814368441383,0.8836805555555556
ml,without_positioning,quantile_lightgbm,0.9,2026-01,220,21,1.3875060182964762,0.9318181818181818
ml,without_positioning,quantile_lightgbm,0.9,2026-02,204,20,2.07079479696539,0.7941176470588235
ml,without_positioning,quantile_lightgbm,0.9,2026-03,152,14,1.8561779277372341,0.9342105263157895
ml,with_positioning,linear_qr,0.1,all,576,55,2.0369752449597547,0.1892361111111111
ml,with_positioning,linear_qr,0.1,2026-01,220,21,1.465109862027131,0.12727272727272726
ml,with_positioning,linear_qr,0.1,2026-02,204,20,2.010092718151757,0.12745098039215685
ml,with_positioning,linear_qr,0.1,2026-03,152,14,2.900754322025604,0.3618421052631579
ml,with_positioning,linear_qr,0.5,all,576,55,3.759874051590799,0.5833333333333334
ml,with_positioning,linear_qr,0.5,2026-01,220,21,3.100970986254147,0.6636363636363637
ml,with_positioning,linear_qr,0.5,2026-02,204,20,4.152808531815356,0.5
ml,with_positioning,linear_qr,0.5,2026-03,152,14,4.186190106908259,0.5789473684210527
ml,with_positioning,linear_qr,0.9,all,576,55,1.7670308723213362,0.8993055555555556
ml,with_positioning,linear_qr,0.9,2026-01,220,21,1.525671699981384,0.9681818181818181
ml,with_positioning,linear_qr,0.9,2026-02,204,20,2.008483681781871,0.8186274509803921
ml,with_positioning,linear_qr,0.9,2026-03,152,14,1.7923114301163385,0.9078947368421053
ml,with_positioning,quantile_lightgbm,0.1,all,576,55,2.0200978447927347,0.19791666666666666
ml,with_positioning,quantile_lightgbm,0.1,2026-01,220,21,1.5570968839389476,0.19090909090909092
ml,with_positioning,quantile_lightgbm,0.1,2026-02,204,20,2.0216860604327884,0.1568627450980392
ml,with_positioning,quantile_lightgbm,0.1,2026-03,152,14,2.688099261879985,0.2631578947368421
ml,with_positioning,quantile_lightgbm,0.5,all,576,55,3.90806512322725,0.5868055555555556
ml,with_positioning,quantile_lightgbm,0.5,2026-01,220,21,3.3006302769301468,0.6272727272727273
ml,with_positioning,quantile_lightgbm,0.5,2026-02,204,20,4.1327701325836905,0.5245098039215687
ml,with_positioning,quantile_lightgbm,0.5,2026-03,152,14,4.485669361889412,0.6118421052631579
ml,with_positioning,quantile_lightgbm,0.9,all,576,55,1.7628018561871868,0.8871527777777778
ml,with_positioning,quantile_lightgbm,0.9,2026-01,220,21,1.4341067445829674,0.9409090909090909
ml,with_positioning,quantile_lightgbm,0.9,2026-02,204,20,2.065000562389049,0.7990196078431373
ml,with_positioning,quantile_lightgbm,0.9,2026-03,152,14,1.8329623067644782,0.9276315789473685
joint_linear,without_positioning,linear_qr,0.1,all,576,55,1.9604608614901773,0.18055555555555555
joint_linear,without_positioning,linear_qr,0.1,2026-01,220,21,1.545569500008413,0.1318181818181818
joint_linear,without_positioning,linear_qr,0.1,2026-02,204,20,2.0599999201714647,0.14705882352941177
joint_linear,without_positioning,linear_qr,0.1,2026-03,152,14,2.4273696217204765,0.29605263157894735
joint_linear,without_positioning,linear_qr,0.5,all,576,55,3.879960341362303,0.5833333333333334
joint_linear,without_positioning,linear_qr,0.5,2026-01,220,21,3.292800970271685,0.6909090909090909
joint_linear,without_positioning,linear_qr,0.5,2026-02,204,20,4.2588647376120505,0.5441176470588235
joint_linear,without_positioning,linear_qr,0.5,2026-03,152,14,4.221266688763534,0.48026315789473684
joint_linear,without_positioning,linear_qr,0.9,all,576,55,1.7630072768055212,0.90625
joint_linear,without_positioning,linear_qr,0.9,2026-01,220,21,1.5971529754402984,0.9590909090909091
joint_linear,without_positioning,linear_qr,0.9,2026-02,204,20,1.9332454673399637,0.8480392156862745
joint_linear,without_positioning,linear_qr,0.9,2026-03,152,14,1.7745819835905392,0.9078947368421053
joint_linear,without_positioning,quantile_lightgbm,0.1,all,576,55,2.0307879454749553,0.19270833333333334
joint_linear,without_positioning,quantile_lightgbm,0.1,2026-01,220,21,1.7328880970453693,0.20909090909090908
joint_linear,without_positioning,quantile_lightgbm,0.1,2026-02,204,20,2.155698554753502,0.16176470588235295
joint_linear,without_positioning,quantile_lightgbm,0.1,2026-03,152,14,2.2943155925913077,0.21052631578947367
joint_linear,without_positioning,quantile_lightgbm,0.5,all,576,55,4.003410796404946,0.5815972222222222
joint_linear,without_positioning,quantile_lightgbm,0.5,2026-01,220,21,3.5368392338800643,0.6227272727272727
joint_linear,without_positioning,quantile_lightgbm,0.5,2026-02,204,20,4.299493838610718,0.553921568627451
joint_linear,without_positioning,quantile_lightgbm,0.5,2026-03,152,14,4.281337132888479,0.5592105263157895
joint_linear,without_positioning,quantile_lightgbm,0.9,all,576,55,1.7398758601636686,0.8940972222222222
joint_linear,without_positioning,quantile_lightgbm,0.9,2026-01,220,21,1.453076660798165,0.9363636363636364
joint_linear,without_positioning,quantile_lightgbm,0.9,2026-02,204,20,1.9993225993169141,0.8284313725490197
joint_linear,without_positioning,quantile_lightgbm,0.9,2026-03,152,14,1.8067751303817512,0.9210526315789473
joint_linear,with_positioning,linear_qr,0.1,all,576,55,1.9604608614901773,0.18055555555555555
joint_linear,with_positioning,linear_qr,0.1,2026-01,220,21,1.5455695000084133,0.1318181818181818
joint_linear,with_positioning,linear_qr,0.1,2026-02,204,20,2.0599999201714647,0.14705882352941177
joint_linear,with_positioning,linear_qr,0.1,2026-03,152,14,2.4273696217204765,0.29605263157894735
joint_linear,with_positioning,linear_qr,0.5,all,576,55,4.040820008120572,0.6111111111111112
joint_linear,with_positioning,linear_qr,0.5,2026-01,220,21,3.714233671742667,0.759090909090909
joint_linear,with_positioning,linear_qr,0.5,2026-02,204,20,4.258864737612052,0.5441176470588235
joint_linear,with_positioning,linear_qr,0.5,2026-03,152,14,4.220871779086868,0.4868421052631579
