method,info,algorithm,q,period,n,days,pinball,below_rate
linear,with_positioning,linear_qr,0.9,2026-02,204,24,1.808574275349975,0.8333333333333334
linear,with_positioning,linear_qr,0.9,2026-03,153,17,1.8941684087627002,0.9215686274509803
linear,with_positioning,quantile_lightgbm,0.1,all,577,67,1.9146609819430975,0.17850953206239167
linear,with_positioning,quantile_lightgbm,0.1,2026-01,220,26,1.7365798109101218,0.18181818181818182
linear,with_positioning,quantile_lightgbm,0.1,2026-02,204,24,1.8974909976718146,0.14215686274509803
linear,with_positioning,quantile_lightgbm,0.1,2026-03,153,17,2.1936187232411144,0.2222222222222222
linear,with_positioning,quantile_lightgbm,0.5,all,577,67,3.9457802303469816,0.5771230502599654
linear,with_positioning,quantile_lightgbm,0.5,2026-01,220,26,3.505448068967734,0.6045454545454545
linear,with_positioning,quantile_lightgbm,0.5,2026-02,204,24,4.0620083046271915,0.5
linear,with_positioning,quantile_lightgbm,0.5,2026-03,153,17,4.4239668208716285,0.6405228758169934
linear,with_positioning,quantile_lightgbm,0.9,all,577,67,1.737841966354568,0.8717504332755632
linear,with_positioning,quantile_lightgbm,0.9,2026-01,220,26,1.5015341405667206,0.9045454545454545
linear,with_positioning,quantile_lightgbm,0.9,2026-02,204,24,1.8665514816653233,0.8088235294117647
linear,with_positioning,quantile_lightgbm,0.9,2026-03,153,17,1.9060183098181778,0.9084967320261438
pca,without_positioning,linear_qr,0.1,all,577,67,1.8619452629793716,0.1854419410745234
pca,without_positioning,linear_qr,0.1,2026-01,220,26,1.636331324002304,0.16818181818181818
pca,without_positioning,linear_qr,0.1,2026-02,204,24,1.8197847787011734,0.14215686274509803
pca,without_positioning,linear_qr,0.1,2026-03,153,17,2.2425714418532756,0.2679738562091503
pca,without_positioning,linear_qr,0.5,all,577,67,3.793118390751648,0.5528596187175043
pca,without_positioning,linear_qr,0.5,2026-01,220,26,3.4106095644005423,0.6
pca,without_positioning,linear_qr,0.5,2026-02,204,24,4.052057590388569,0.5
pca,without_positioning,linear_qr,0.5,2026-03,153,17,3.9978788160543366,0.5555555555555556
pca,without_positioning,linear_qr,0.9,all,577,67,1.7009819341400692,0.8873483535528596
pca,without_positioning,linear_qr,0.9,2026-01,220,26,1.5008803036338514,0.9
pca,without_positioning,linear_qr,0.9,2026-02,204,24,1.7857539761178511,0.8431372549019608
pca,without_positioning,linear_qr,0.9,2026-03,153,17,1.8756803795511823,0.9281045751633987
pca,without_positioning,quantile_lightgbm,0.1,all,577,67,1.8804653060746925,0.17504332755632582
pca,without_positioning,quantile_lightgbm,0.1,2026-01,220,26,1.701070426944882,0.17727272727272728
pca,without_positioning,quantile_lightgbm,0.1,2026-02,204,24,1.884981202675429,0.14705882352941177
pca,without_positioning,quantile_lightgbm,0.1,2026-03,153,17,2.132397531578014,0.20915032679738563
pca,without_positioning,quantile_lightgbm,0.5,all,577,67,3.8616620158219166,0.5823223570190641
pca,without_positioning,quantile_lightgbm,0.5,2026-01,220,26,3.477444296289572,0.6318181818181818
pca,without_positioning,quantile_lightgbm,0.5,2026-02,204,24,4.036419413247838,0.5
pca,without_positioning,quantile_lightgbm,0.5,2026-03,153,17,4.181122076097915,0.6209150326797386
pca,without_positioning,quantile_lightgbm,0.9,all,577,67,1.7201615909797947,0.8700173310225303
pca,without_positioning,quantile_lightgbm,0.9,2026-01,220,26,1.4863259419566743,0.9045454545454545
pca,without_positioning,quantile_lightgbm,0.9,2026-02,204,24,1.8313127420283186,0.803921568627451
pca,without_positioning,quantile_lightgbm,0.9,2026-03,153,17,1.9081943228176226,0.9084967320261438
pca,with_positioning,linear_qr,0.1,all,577,67,1.861945262979372,0.1854419410745234
pca,with_positioning,linear_qr,0.1,2026-01,220,26,1.6363313240023054,0.16818181818181818
pca,with_positioning,linear_qr,0.1,2026-02,204,24,1.8197847787011734,0.14215686274509803
pca,with_positioning,linear_qr,0.1,2026-03,153,17,2.2425714418532756,0.2679738562091503
pca,with_positioning,linear_qr,0.5,all,577,67,3.793118390751648,0.5528596187175043
pca,with_positioning,linear_qr,0.5,2026-01,220,26,3.4106095644005423,0.6
pca,with_positioning,linear_qr,0.5,2026-02,204,24,4.052057590388569,0.5
pca,with_positioning,linear_qr,0.5,2026-03,153,17,3.9978788160543366,0.5555555555555556
pca,with_positioning,linear_qr,0.9,all,577,67,1.7009819341400692,0.8873483535528596
pca,with_positioning,linear_qr,0.9,2026-01,220,26,1.5008803036338514,0.9
pca,with_positioning,linear_qr,0.9,2026-02,204,24,1.7857539761178511,0.8431372549019608
pca,with_positioning,linear_qr,0.9,2026-03,153,17,1.8756803795511823,0.9281045751633987
pca,with_positioning,quantile_lightgbm,0.1,all,577,67,1.9066265158450668,0.18197573656845753
pca,with_positioning,quantile_lightgbm,0.1,2026-01,220,26,1.709706857391769,0.18181818181818182
pca,with_positioning,quantile_lightgbm,0.1,2026-02,204,24,1.8961606840827556,0.14215686274509803
pca,with_positioning,quantile_lightgbm,0.1,2026-03,153,17,2.20373340825838,0.23529411764705882
pca,with_positioning,quantile_lightgbm,0.5,all,577,67,3.9025662693653844,0.5753899480069324
pca,with_positioning,quantile_lightgbm,0.5,2026-01,220,26,3.4765196419679536,0.6
pca,with_positioning,quantile_lightgbm,0.5,2026-02,204,24,4.0153213642476535,0.5
pca,with_positioning,quantile_lightgbm,0.5,2026-03,153,17,4.364842208394479,0.6405228758169934
pca,with_positioning,quantile_lightgbm,0.9,all,577,67,1.722451562661578,0.8717504332755632
pca,with_positioning,quantile_lightgbm,0.9,2026-01,220,26,1.494667678203993,0.9045454545454545
pca,with_positioning,quantile_lightgbm,0.9,2026-02,204,24,1.8467526366226643,0.8088235294117647
pca,with_positioning,quantile_lightgbm,0.9,2026-03,153,17,1.8842491802603163,0.9084967320261438
ml,without_positioning,linear_qr,0.1,all,577,67,1.9893860037514746,0.19584055459272098
ml,without_positioning,linear_qr,0.1,2026-01,220,26,1.5676343126557282,0.15454545454545454
ml,without_positioning,linear_qr,0.1,2026-02,204,24,1.8212261228044084,0.12254901960784313
ml,without_positioning,linear_qr,0.1,2026-03,153,17,2.820039518485238,0.35294117647058826
ml,without_positioning,linear_qr,0.5,all,577,67,3.856694340683046,0.5459272097053726
ml,without_positioning,linear_qr,0.5,2026-01,220,26,3.364841741861825,0.5545454545454546
ml,without_positioning,linear_qr,0.5,2026-02,204,24,4.065385085541131,0.47058823529411764
ml,without_positioning,linear_qr,0.5,2026-03,153,17,4.285679045190359,0.6339869281045751
ml,without_positioning,linear_qr,0.9,all,577,67,1.792423510819458,0.8804159445407279
ml,without_positioning,linear_qr,0.9,2026-01,220,26,1.5519242112063414,0.8909090909090909
ml,without_positioning,linear_qr,0.9,2026-02,204,24,1.8548373045165407,0.8235294117647058
ml,without_positioning,linear_qr,0.9,2026-03,153,17,2.055021105595148,0.9411764705882353
ml,without_positioning,quantile_lightgbm,0.1,all,577,67,1.9004459356217422,0.18890814558058924
ml,without_positioning,quantile_lightgbm,0.1,2026-01,220,26,1.630621362985262,0.1590909090909091
ml,without_positioning,quantile_lightgbm,0.1,2026-02,204,24,1.8701124487475678,0.12254901960784313
ml,without_positioning,quantile_lightgbm,0.1,2026-03,153,17,2.3288736304083915,0.3202614379084967
ml,without_positioning,quantile_lightgbm,0.5,all,577,67,4.002759463622536,0.5580589254766031
ml,without_positioning,quantile_lightgbm,0.5,2026-01,220,26,3.4798815733704993,0.55
ml,without_positioning,quantile_lightgbm,0.5,2026-02,204,24,4.089189598868681,0.46568627450980393
ml,without_positioning,quantile_lightgbm,0.5,2026-03,153,17,4.639369844441061,0.6928104575163399
ml,without_positioning,quantile_lightgbm,0.9,all,577,67,1.8181285519560295,0.8526863084922011
ml,without_positioning,quantile_lightgbm,0.9,2026-01,220,26,1.5633587620868112,0.8727272727272727
ml,without_positioning,quantile_lightgbm,0.9,2026-02,204,24,1.9040586429223478,0.7745098039215687
ml,without_positioning,quantile_lightgbm,0.9,2026-03,153,17,2.0698907428978544,0.9281045751633987
ml,with_positioning,linear_qr,0.1,all,577,67,1.9899355550296873,0.19584055459272098
ml,with_positioning,linear_qr,0.1,2026-01,220,26,1.5676343126557282,0.15454545454545454
ml,with_positioning,linear_qr,0.1,2026-02,204,24,1.82278049088053,0.12254901960784313
ml,with_positioning,linear_qr,0.1,2026-03,153,17,2.820039518485238,0.35294117647058826
ml,with_positioning,linear_qr,0.5,all,577,67,3.898120670306014,0.5649913344887348
ml,with_positioning,linear_qr,0.5,2026-01,220,26,3.4778832428229913,0.6090909090909091
ml,with_positioning,linear_qr,0.5,2026-02,204,24,4.072758824070502,0.46568627450980393
ml,with_positioning,linear_qr,0.5,2026-03,153,17,4.269532766242677,0.6339869281045751
ml,with_positioning,linear_qr,0.9,all,577,67,1.792423510819458,0.8804159445407279
ml,with_positioning,linear_qr,0.9,2026-01,220,26,1.5519242112063414,0.8909090909090909
ml,with_positioning,linear_qr,0.9,2026-02,204,24,1.8548373045165407,0.8235294117647058
ml,with_positioning,linear_qr,0.9,2026-03,153,17,2.055021105595148,0.9411764705882353
ml,with_positioning,quantile_lightgbm,0.1,all,577,67,1.8905043505951575,0.18717504332755633
ml,with_positioning,quantile_lightgbm,0.1,2026-01,220,26,1.640344035644213,0.16363636363636364
ml,with_positioning,quantile_lightgbm,0.1,2026-02,204,24,1.8803131564840063,0.12254901960784313
ml,with_positioning,quantile_lightgbm,0.1,2026-03,153,17,2.263800251823148,0.30718954248366015
ml,with_positioning,quantile_lightgbm,0.5,all,577,67,4.019257421945191,0.5441941074523396
ml,with_positioning,quantile_lightgbm,0.5,2026-01,220,26,3.5044377645360822,0.5454545454545454
ml,with_positioning,quantile_lightgbm,0.5,2026-02,204,24,4.071142559067903,0.4362745098039216
ml,with_positioning,quantile_lightgbm,0.5,2026-03,153,17,4.690340798788137,0.6862745098039216
ml,with_positioning,quantile_lightgbm,0.9,all,577,67,1.8041546090442218,0.8596187175043327
ml,with_positioning,quantile_lightgbm,0.9,2026-01,220,26,1.5513551968123729,0.8818181818181818
ml,with_positioning,quantile_lightgbm,0.9,2026-02,204,24,1.8937329676704668,0.7794117647058824
ml,with_positioning,quantile_lightgbm,0.9,2026-03,153,17,2.0482192203596,0.934640522875817
joint_linear,without_positioning,linear_qr,0.1,all,577,67,1.8873064504640094,0.19064124783362218
joint_linear,without_positioning,linear_qr,0.1,2026-01,220,26,1.6676266524871637,0.18181818181818182
joint_linear,without_positioning,linear_qr,0.1,2026-02,204,24,1.8367881785963065,0.14215686274509803
joint_linear,without_positioning,linear_qr,0.1,2026-03,153,17,2.2705435943588945,0.2679738562091503
joint_linear,without_positioning,linear_qr,0.5,all,577,67,3.8278366661328573,0.5528596187175043
joint_linear,without_positioning,linear_qr,0.5,2026-01,220,26,3.4386447215392235,0.6045454545454545
joint_linear,without_positioning,linear_qr,0.5,2026-02,204,24,4.095626321902205,0.4950980392156863
joint_linear,without_positioning,linear_qr,0.5,2026-03,153,17,4.030406195764574,0.5555555555555556
joint_linear,without_positioning,linear_qr,0.9,all,577,67,1.717444280093857,0.8856152512998267
joint_linear,without_positioning,linear_qr,0.9,2026-01,220,26,1.508519172910378,0.9
joint_linear,without_positioning,linear_qr,0.9,2026-02,204,24,1.8079714307640482,0.8382352941176471
joint_linear,without_positioning,linear_qr,0.9,2026-03,153,17,1.8971565993333748,0.9281045751633987
joint_linear,without_positioning,quantile_lightgbm,0.1,all,577,67,1.9003382991233864,0.1733102253032929
joint_linear,without_positioning,quantile_lightgbm,0.1,2026-01,220,26,1.7139742120474646,0.17272727272727273
joint_linear,without_positioning,quantile_lightgbm,0.1,2026-02,204,24,1.8939711979217015,0.13725490196078433
joint_linear,without_positioning,quantile_lightgbm,0.1,2026-03,153,17,2.1768022716844757,0.2222222222222222
joint_linear,without_positioning,quantile_lightgbm,0.5,all,577,67,3.89202384655999,0.58578856152513
joint_linear,without_positioning,quantile_lightgbm,0.5,2026-01,220,26,3.4858922595696495,0.6363636363636364
joint_linear,without_positioning,quantile_lightgbm,0.5,2026-02,204,24,4.05751861790181,0.49019607843137253
joint_linear,without_positioning,quantile_lightgbm,0.5,2026-03,153,17,4.255344211162237,0.6405228758169934
joint_linear,without_positioning,quantile_lightgbm,0.9,all,577,67,1.7362643593976719,0.8665511265164645
joint_linear,without_positioning,quantile_lightgbm,0.9,2026-01,220,26,1.4959929191105494,0.9045454545454545
joint_linear,without_positioning,quantile_lightgbm,0.9,2026-02,204,24,1.8518036555372555,0.7941176470588235
joint_linear,without_positioning,quantile_lightgbm,0.9,2026-03,153,17,1.9277003100557892,0.9084967320261438
joint_linear,with_positioning,linear_qr,0.1,all,577,67,1.8873064504640094,0.19064124783362218
joint_linear,with_positioning,linear_qr,0.1,2026-01,220,26,1.6676266524871637,0.18181818181818182
joint_linear,with_positioning,linear_qr,0.1,2026-02,204,24,1.8367881785963065,0.14215686274509803
joint_linear,with_positioning,linear_qr,0.1,2026-03,153,17,2.2705435943588945,0.2679738562091503
joint_linear,with_positioning,linear_qr,0.5,all,577,67,3.8278366661328573,0.5528596187175043
joint_linear,with_positioning,linear_qr,0.5,2026-01,220,26,3.4386447215392235,0.6045454545454545
joint_linear,with_positioning,linear_qr,0.5,2026-02,204,24,4.095626321902205,0.4950980392156863
joint_linear,with_positioning,linear_qr,0.5,2026-03,153,17,4.030406195764574,0.5555555555555556
joint_linear,with_positioning,linear_qr,0.9,all,577,67,1.717444280093857,0.8856152512998267
joint_linear,with_positioning,linear_qr,0.9,2026-01,220,26,1.508519172910378,0.9
joint_linear,with_positioning,linear_qr,0.9,2026-02,204,24,1.8079714307640482,0.8382352941176471
joint_linear,with_positioning,linear_qr,0.9,2026-03,153,17,1.8971565993333748,0.9281045751633987
joint_linear,with_positioning,quantile_lightgbm,0.1,all,577,67,1.9247076922955422,0.17677642980935876
joint_linear,with_positioning,quantile_lightgbm,0.1,2026-01,220,26,1.7319310643516395,0.17272727272727273
joint_linear,with_positioning,quantile_lightgbm,0.1,2026-02,204,24,1.9054082542137634,0.1323529411764706
joint_linear,with_positioning,quantile_lightgbm,0.1,2026-03,153,17,2.227635427696467,0.24183006535947713
joint_linear,with_positioning,quantile_lightgbm,0.5,all,577,67,3.943416321678235,0.587521663778163
joint_linear,with_positioning,quantile_lightgbm,0.5,2026-01,220,26,3.508037280730359,0.6090909090909091
joint_linear,with_positioning,quantile_lightgbm,0.5,2026-02,204,24,4.042333555459923,0.5098039215686274
joint_linear,with_positioning,quantile_lightgbm,0.5,2026-03,153,17,4.4375618989139785,0.6601307189542484
joint_linear,with_positioning,quantile_lightgbm,0.9,all,577,67,1.747118774974616,0.8717504332755632
joint_linear,with_positioning,quantile_lightgbm,0.9,2026-01,220,26,1.5084944205625697,0.9045454545454545
joint_linear,with_positioning,quantile_lightgbm,0.9,2026-02,204,24,1.8844876137448139,0.8088235294117647
joint_linear,with_positioning,quantile_lightgbm,0.9,2026-03,153,17,1.907080310017295,0.9084967320261438
