month,method,candidate_id,member_prediction_sd_bp,member_rmses_bp,scenario
2025-10,ae_selected,f05,62.72680551791837,"[18.862019988293365, 178.45577807655218, 179.45897359872492]",clock_FXUTC_USNY_quote
2025-10,ae_reconstruction_selected,f05,62.72680551791837,"[18.862019988293365, 178.45577807655218, 179.45897359872492]",clock_FXUTC_USNY_quote
2025-11,ae_relu_1,f05,0.0112107678682482,"[8.809809292482205, 8.81041059284766, 8.809498602477777]",clock_FXUTC_USNY_quote
2025-11,ae_relu_2,f06,0.6121123146315232,"[8.478336386659837, 8.809938520380536, 8.844993480979115]",clock_FXUTC_USNY_quote
2025-11,ae_tanh_1,f08,1.1917587747168237,"[11.830036758711872, 11.220787423904659, 11.27387649947554]",clock_FXUTC_USNY_quote
2025-11,ae_tanh_2,f10,0.3421414612578554,"[13.491439047085075, 13.072657313722651, 13.39236408053155]",clock_FXUTC_USNY_quote
2025-11,ae_selected,f05,0.0112107678682482,"[8.809809292482205, 8.81041059284766, 8.809498602477777]",clock_FXUTC_USNY_quote
2025-11,ae_reconstruction_selected,f05,0.0112107678682482,"[8.809809292482205, 8.81041059284766, 8.809498602477777]",clock_FXUTC_USNY_quote
2025-12,ae_relu_1,f05,0.0028973578932637,"[13.816511908664223, 13.821658628029477, 13.819291876572908]",clock_FXUTC_USNY_quote
2025-12,ae_relu_2,f06,3.2686890682701857,"[9.650313722232806, 15.173910266136945, 13.928402707107017]",clock_FXUTC_USNY_quote
2025-12,ae_tanh_1,f08,0.5039913600675173,"[13.175203792084456, 13.975956818600572, 13.016787730711194]",clock_FXUTC_USNY_quote
2025-12,ae_tanh_2,f10,0.2306095707711727,"[13.111122121758113, 12.841036177398669, 12.892828137739881]",clock_FXUTC_USNY_quote
2025-12,ae_selected,f05,0.0028973578932637,"[13.816511908664223, 13.821658628029477, 13.819291876572908]",clock_FXUTC_USNY_quote
2025-12,ae_reconstruction_selected,f05,0.0028973578932637,"[13.816511908664223, 13.821658628029477, 13.819291876572908]",clock_FXUTC_USNY_quote
2026-01,ae_relu_1,f05,0.0106282565686784,"[8.411305074602764, 8.410988710388745, 8.410428101961452]",clock_FXUTC_USNY_quote
2026-01,ae_relu_2,f06,4.882037102504508,"[6.565690085136542, 11.158519521420015, 8.188606623453124]",clock_FXUTC_USNY_quote
2026-01,ae_tanh_1,f08,0.3335614417272,"[10.330016683366203, 10.15101933511708, 10.158935154514776]",clock_FXUTC_USNY_quote
2026-01,ae_tanh_2,f10,0.6248225895916312,"[10.727999787042782, 10.567258398020025, 10.778909673157377]",clock_FXUTC_USNY_quote
2026-01,ae_selected,f05,0.0106282565686784,"[8.411305074602764, 8.410988710388745, 8.410428101961452]",clock_FXUTC_USNY_quote
2026-01,ae_reconstruction_selected,f05,0.0106282565686784,"[8.411305074602764, 8.410988710388745, 8.410428101961452]",clock_FXUTC_USNY_quote
2026-02,ae_relu_1,f05,0.0063224109466033,"[9.853990250394943, 9.863096854884176, 9.859963103495758]",clock_FXUTC_USNY_quote
2026-02,ae_relu_2,f06,10.278998912908074,"[7.199855431005824, 19.477645760265357, 9.880285653072661]",clock_FXUTC_USNY_quote
2026-02,ae_tanh_1,f08,1.0982558818324548,"[10.516777138328175, 9.95362749023175, 9.916299804194537]",clock_FXUTC_USNY_quote
2026-02,ae_tanh_2,f11,0.0816395487775427,"[11.898603838743705, 11.897746813396472, 11.812920601560087]",clock_FXUTC_USNY_quote
2026-02,ae_selected,f06,10.278998912908074,"[7.199855431005824, 19.477645760265357, 9.880285653072661]",clock_FXUTC_USNY_quote
2026-02,ae_reconstruction_selected,f06,10.278998912908074,"[7.199855431005824, 19.477645760265357, 9.880285653072661]",clock_FXUTC_USNY_quote
2026-03,ae_relu_1,f05,0.0490617127791443,"[10.62033012876705, 10.608479758896697, 10.599732144250819]",clock_FXUTC_USNY_quote
2026-03,ae_relu_2,f06,7.030971499195118,"[7.687241398570477, 11.1149650188544, 10.846314748168107]",clock_FXUTC_USNY_quote
2026-03,ae_tanh_1,f08,1.1763354205189418,"[14.063335823606899, 12.508309454521175, 13.64269567851372]",clock_FXUTC_USNY_quote
2026-03,ae_tanh_2,f10,0.9724262068748746,"[14.762517513481173, 14.796988253400606, 14.868922795075886]",clock_FXUTC_USNY_quote
2026-03,ae_selected,f06,7.030971499195118,"[7.687241398570477, 11.1149650188544, 10.846314748168107]",clock_FXUTC_USNY_quote
2026-03,ae_reconstruction_selected,f06,7.030971499195118,"[7.687241398570477, 11.1149650188544, 10.846314748168107]",clock_FXUTC_USNY_quote
2025-08,ae_relu_1,f05,0.0002702039787406,"[7.6490599260658065, 7.649008852773267, 7.648799240549782]",clock_FXKST_USNY_quote
2025-08,ae_relu_2,f07,0.0002215488233449,"[7.648764192410783, 7.648967914622877, 7.648781231044838]",clock_FXKST_USNY_quote
2025-08,ae_tanh_1,f08,0.2274343810077561,"[8.116721166740685, 8.030643122136784, 8.046871408606053]",clock_FXKST_USNY_quote
2025-08,ae_tanh_2,f10,0.1186497101217212,"[8.337216249218633, 8.353681198844457, 8.329455689960616]",clock_FXKST_USNY_quote
2025-08,ae_selected,f07,0.0002215488233449,"[7.648764192410783, 7.648967914622877, 7.648781231044838]",clock_FXKST_USNY_quote
2025-08,ae_reconstruction_selected,f07,0.0002215488233449,"[7.648764192410783, 7.648967914622877, 7.648781231044838]",clock_FXKST_USNY_quote
