month,method,feature,bin,n,residual_mean_bp,cuts,scenario
2025-09,ae_relu_1,m,4,121,2.34837483948363,"[-104.28195937686756, -18.710489127588524, 54.743878350295105, 104.52068184485832]",clock_NY_macro_end1h_quote
2025-09,ae_relu_1,g,0,9,4.068139456041215,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,ae_relu_1,g,1,56,1.2880919077955306,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,ae_relu_1,g,2,89,0.995403986431499,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,ae_relu_1,g,3,69,1.5836534043225488,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,ae_relu_1,g,4,151,1.000974165037269,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,ae_relu_2,m,1,36,1.50011100331134,"[-104.28195937686756, -18.710489127588524, 54.743878350295105, 104.52068184485832]",clock_NY_macro_end1h_quote
2025-09,ae_relu_2,m,2,172,0.8356684666476779,"[-104.28195937686756, -18.710489127588524, 54.743878350295105, 104.52068184485832]",clock_NY_macro_end1h_quote
2025-09,ae_relu_2,m,3,45,-0.5741553665852233,"[-104.28195937686756, -18.710489127588524, 54.743878350295105, 104.52068184485832]",clock_NY_macro_end1h_quote
2025-09,ae_relu_2,m,4,121,2.3046799530251367,"[-104.28195937686756, -18.710489127588524, 54.743878350295105, 104.52068184485832]",clock_NY_macro_end1h_quote
2025-09,ae_relu_2,g,0,9,4.044968317938168,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,ae_relu_2,g,1,56,1.2729746300590448,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,ae_relu_2,g,2,89,0.9744760689549696,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,ae_relu_2,g,3,69,1.5582036168975588,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,ae_relu_2,g,4,151,0.9856459692360356,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,ae_tanh_1,m,1,36,4.885802501612314,"[-104.28195937686756, -18.710489127588524, 54.743878350295105, 104.52068184485832]",clock_NY_macro_end1h_quote
2025-09,ae_tanh_1,m,2,172,5.181996670589112,"[-104.28195937686756, -18.710489127588524, 54.743878350295105, 104.52068184485832]",clock_NY_macro_end1h_quote
2025-09,ae_tanh_1,m,3,45,5.515363904089293,"[-104.28195937686756, -18.710489127588524, 54.743878350295105, 104.52068184485832]",clock_NY_macro_end1h_quote
2025-09,ae_tanh_1,m,4,121,-10.631180473487415,"[-104.28195937686756, -18.710489127588524, 54.743878350295105, 104.52068184485832]",clock_NY_macro_end1h_quote
2025-09,ae_tanh_1,g,0,9,5.984436113146313,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,ae_tanh_1,g,1,56,3.707244753948941,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,ae_tanh_1,g,2,89,2.9794572330853897,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,ae_tanh_1,g,3,69,2.1723962761169906,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,ae_tanh_1,g,4,151,-4.288223922150448,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,ae_tanh_2,m,1,36,1.897282039125277,"[-104.28195937686756, -18.710489127588524, 54.743878350295105, 104.52068184485832]",clock_NY_macro_end1h_quote
2025-09,ae_tanh_2,m,2,172,3.137787019129811,"[-104.28195937686756, -18.710489127588524, 54.743878350295105, 104.52068184485832]",clock_NY_macro_end1h_quote
2025-09,ae_tanh_2,m,3,45,4.166039716220288,"[-104.28195937686756, -18.710489127588524, 54.743878350295105, 104.52068184485832]",clock_NY_macro_end1h_quote
2025-09,ae_tanh_2,m,4,121,-7.822716469441841,"[-104.28195937686756, -18.710489127588524, 54.743878350295105, 104.52068184485832]",clock_NY_macro_end1h_quote
2025-09,ae_tanh_2,g,0,9,5.96543110934014,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
2025-09,ae_tanh_2,g,1,56,2.998892702472433,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 4.999999999999449]",clock_NY_macro_end1h_quote
