scenario,model,period,n,days,mae_bp,rmse_bp,residual_mean_bp,residual_q10_bp,residual_q50_bp,residual_q90_bp,residual_lag1h_corr,exact_1h_pairs,reference_reconstruction_mse
clock_UTC_quote,conditional_linear,2025-11,324,25,6.453641475515731,8.729606199104762,-0.956612412882654,-11.103340882316195,-0.638466307191834,9.108131743094477,0.37198130519800054,303,0.0029522613661559826
clock_UTC_quote,ae_relu_1,2025-11,324,25,6.508601232985878,8.809897742493952,-0.8253181267466067,-11.278199089050464,0.3977079198305802,8.976332546049616,0.3860315733473963,303,0.0030302523688013347
clock_UTC_quote,ae_relu_2,2025-11,324,25,6.363088395875665,8.696001443463363,-1.021610676611281,-11.443182925007417,0.2746241352243146,8.429321337880983,0.4003808346603551,303,0.0029461918292905055
clock_UTC_quote,ae_tanh_1,2025-11,324,25,9.314912247067452,11.398947548807557,4.490715866596175,-8.495777047803529,5.3703733151032935,16.698539237455936,0.62204422762944,303,0.002956033636563525
clock_UTC_quote,ae_tanh_2,2025-11,324,25,11.044204172848898,13.316207627390854,6.947043862002396,-7.0327035164578255,7.620685806285806,20.697366607877004,0.6808671879317593,303,0.0029546523022020614
clock_UTC_quote,conditional_neural,2025-11,324,25,6.600794313413371,8.898802346030147,-0.6608662164930356,-11.151779155886798,0.5346944878641011,9.12165937866836,0.32587649590452555,303,0.0029522613661559826
clock_UTC_quote,pca_selected,2025-11,324,25,5.150045272439101,7.89680543249937,-1.3400700322366292,-8.527282414478236,-0.35625268028606166,6.176426948681739,0.591372705910364,303,0.0007777045736802432
clock_UTC_quote,ae_selected,2025-11,324,25,6.508601232985878,8.809897742493952,-0.8253181267466067,-11.278199089050464,0.3977079198305802,8.976332546049616,0.3860315733473963,303,0.0030302523688013347
clock_UTC_quote,ae_reconstruction_selected,2025-11,324,25,6.508601232985878,8.809897742493952,-0.8253181267466067,-11.278199089050464,0.3977079198305802,8.976332546049616,0.3860315733473963,303,0.0030302523688013347
clock_UTC_quote,sequential_ols,2025-12,361,27,9.256317330447589,13.88302463838236,-3.4065699024567584,-14.73326761455482,-2.147839812737516,10.12078053969148,0.681909364973334,333,
