method,sample,h,q,term,n,effect,coefficient,ci_low,ci_high,successful,scenario,block_days,refit_first_stage
pca_2,matched,6,0.1,e_origin,229,-0.0765102927633832,-0.0110260155484381,-1.2933849428992825,2.2453280380142533,199,clock_UTC_quote,7,True
pca_2,matched,6,0.1,downside,229,-0.4963058194413146,-23252.610536464723,-4.6166982539655095,2.911061443997109,199,clock_UTC_quote,7,True
pca_2,matched,6,0.1,btc_vol,229,1.3096098369350415,605.0815890707584,-1.4109965720545357,3.4947251708519587,199,clock_UTC_quote,7,True
pca_2,matched,6,0.1,btc_ret,229,-0.0787892517985781,-14.792598994249682,-0.9143227412386783,1.483092925531421,199,clock_UTC_quote,7,True
pca_2,matched,6,0.1,account_ls,229,0.5274090860028051,0.8681719734195312,-0.5428887295060335,2.701786725285005,199,clock_UTC_quote,7,True
pca_2,matched,12,0.1,e_origin,229,0.8442033533885998,0.1216594390677998,-0.47444136532520687,2.0233962895022493,199,clock_UTC_quote,7,True
pca_2,matched,12,0.1,downside,229,1.405362649151526,65843.17383181275,-2.677510851079217,2.923303781216257,199,clock_UTC_quote,7,True
pca_2,matched,12,0.1,btc_vol,229,-1.018990770100909,-470.80629438772064,-2.478317587595966,1.7201671891099641,199,clock_UTC_quote,7,True
pca_2,matched,12,0.1,btc_ret,229,-0.239293512540428,-44.92710480339767,-1.7902428055171686,1.6238665168103903,199,clock_UTC_quote,7,True
pca_2,matched,12,0.1,account_ls,229,-0.5650132472514144,-0.9300724596766408,-1.434197457866281,3.0049280883069986,199,clock_UTC_quote,7,True
ae_selected,all,6,0.1,e_origin,577,0.5924895448989476,0.0701036650762357,-0.8762511898561108,2.338043014406015,199,clock_UTC_quote,7,True
ae_selected,all,6,0.1,downside,577,-1.8794513941207345,-85104.53075286739,-4.772404285117586,0.5539782744330102,199,clock_UTC_quote,7,True
ae_selected,all,6,0.1,btc_vol,577,1.951277001705006,898.6393065686552,-1.0091483448556835,3.262449701083931,199,clock_UTC_quote,7,True
ae_selected,all,6,0.1,btc_ret,577,0.2518876097494841,44.06241364385272,-0.954178166745489,1.3407747487078463,199,clock_UTC_quote,7,True
ae_selected,all,6,0.1,account_ls,577,-0.7294759441788059,-1.211714733829747,-2.653125692945603,1.8016860752354833,199,clock_UTC_quote,7,True
ae_selected,all,6,0.5,e_origin,577,0.9325999641718262,0.1103457033145822,0.25595148043640237,2.3936226084150487,199,clock_UTC_quote,7,True
ae_selected,all,6,0.5,downside,577,-1.9440714608149945,-88030.62954448142,-4.540255540649364,-0.252482277212812,199,clock_UTC_quote,7,True
ae_selected,all,6,0.5,btc_vol,577,0.7783150063703773,358.44447354501915,-0.6046450997974454,2.7573127092972527,199,clock_UTC_quote,7,True
