month,method,feature,bin,n,residual_mean_bp,cuts
2026-01,joint_selected,m,3,54,-3.492990382146215,"[-20.46956402321272, 66.00242519934056, 136.4965273454338, 234.65581573600667]"
2026-01,joint_selected,m,4,18,-3.8668743131793377,"[-20.46956402321272, 66.00242519934056, 136.4965273454338, 234.65581573600667]"
2026-01,joint_selected,g,0,12,-3.749675261732898,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 5.999999999999339]"
2026-01,joint_selected,g,1,29,0.1375289920603393,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 5.999999999999339]"
2026-01,joint_selected,g,2,70,-2.869344777297807,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 5.999999999999339]"
2026-01,joint_selected,g,3,19,-4.130357783190527,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 5.999999999999339]"
2026-01,joint_selected,g,4,216,-2.758646817192397,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 5.999999999999339]"
2026-01,joint_shrunk,m,0,27,2.9639140600018496,"[-20.46956402321272, 66.00242519934056, 136.4965273454338, 234.65581573600667]"
2026-01,joint_shrunk,m,1,164,-3.027354595109485,"[-20.46956402321272, 66.00242519934056, 136.4965273454338, 234.65581573600667]"
2026-01,joint_shrunk,m,2,83,-2.9098881316269876,"[-20.46956402321272, 66.00242519934056, 136.4965273454338, 234.65581573600667]"
2026-01,joint_shrunk,m,3,54,-3.492990382146215,"[-20.46956402321272, 66.00242519934056, 136.4965273454338, 234.65581573600667]"
2026-01,joint_shrunk,m,4,18,-3.8668743131793377,"[-20.46956402321272, 66.00242519934056, 136.4965273454338, 234.65581573600667]"
2026-01,joint_shrunk,g,0,12,-3.749675261732898,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 5.999999999999339]"
2026-01,joint_shrunk,g,1,29,0.1375289920603393,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 5.999999999999339]"
2026-01,joint_shrunk,g,2,70,-2.869344777297807,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 5.999999999999339]"
2026-01,joint_shrunk,g,3,19,-4.130357783190527,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 5.999999999999339]"
2026-01,joint_shrunk,g,4,216,-2.758646817192397,"[0.9999999999998899, 1.9999999999997797, 3.9999999999995595, 5.999999999999339]"
2026-02,sequential_ols,m,0,1,25.92531148877637,"[-12.006040599158752, 60.5459270242389, 126.7334216179142, 221.97791370688594]"
2026-02,sequential_ols,m,1,23,-1.3461393642393973,"[-12.006040599158752, 60.5459270242389, 126.7334216179142, 221.97791370688594]"
2026-02,sequential_ols,m,2,45,1.7858087683351884,"[-12.006040599158752, 60.5459270242389, 126.7334216179142, 221.97791370688594]"
2026-02,sequential_ols,m,3,142,1.556246285762153,"[-12.006040599158752, 60.5459270242389, 126.7334216179142, 221.97791370688594]"
2026-02,sequential_ols,m,4,113,-3.6539076281424956,"[-12.006040599158752, 60.5459270242389, 126.7334216179142, 221.97791370688594]"
2026-02,sequential_ols,g,0,22,-0.32459466357313027,"[0.9999999999998899, 2.9999999999996696, 3.9999999999995595, 6.000000000000449]"
