mode,definition,information,strategy,calibration,fold,n,loss_bp,below_rate
available_macro,CAP,F,boosting,raw,2026-01,294,1.2922924277261385,0.17346938775510204
available_macro,CAP,F,boosting,raw,2026-02,280,1.2884656882274677,0.14642857142857144
available_macro,CAP,F,boosting,raw,2026-03,201,1.401586535901226,0.208955223880597
available_macro,CAP,F,linear,raw,2025-12,313,1.269952716885192,0.12779552715654952
available_macro,CAP,F,linear,raw,2026-01,294,1.270449842189984,0.14285714285714285
available_macro,CAP,F,linear,raw,2026-02,280,1.3215568810531988,0.14642857142857144
available_macro,CAP,F,linear,raw,2026-03,201,1.5622083386478853,0.24875621890547264
available_macro,CAP,F,matched_full_spec,raw,2025-12,313,1.1088484276111727,0.13738019169329074
available_macro,CAP,F,matched_full_spec,raw,2026-01,294,1.2916894126864638,0.19047619047619047
available_macro,CAP,F,matched_full_spec,raw,2026-02,280,1.2884656882274677,0.14642857142857144
available_macro,CAP,F,matched_full_spec,raw,2026-03,201,1.401586535901226,0.208955223880597
available_macro,CAP,F,ml_selected,raw,2025-12,313,1.1088484276111727,0.13738019169329074
available_macro,CAP,F,ml_selected,raw,2026-01,294,1.2916894126864638,0.19047619047619047
available_macro,CAP,F,ml_selected,raw,2026-02,280,1.2884656882274677,0.14642857142857144
available_macro,CAP,F,ml_selected,raw,2026-03,201,1.401586535901226,0.208955223880597
available_macro,CAP,F,qrf,raw,2025-12,313,1.1088484276111727,0.13738019169329074
available_macro,CAP,F,qrf,raw,2026-01,294,1.2916894126864638,0.19047619047619047
available_macro,CAP,F,qrf,raw,2026-02,280,1.2531353397084428,0.13214285714285715
available_macro,CAP,F,qrf,raw,2026-03,201,1.3294583868932848,0.19402985074626866
available_macro,CAP,F,threshold,raw,2025-12,313,1.2547620213584074,0.16293929712460065
available_macro,CAP,F,threshold,raw,2026-01,294,1.341114883285754,0.1870748299319728
available_macro,CAP,F,threshold,raw,2026-02,280,1.4110855898105952,0.14285714285714285
available_macro,CAP,F,threshold,raw,2026-03,201,1.4235637725682067,0.22885572139303484
available_macro,CAP,R,boosting,raw,2025-12,313,1.2124986375299687,0.16932907348242812
available_macro,CAP,R,boosting,raw,2026-01,294,1.2968777510372995,0.17346938775510204
available_macro,CAP,R,boosting,raw,2026-02,280,1.2665056037712055,0.14642857142857144
available_macro,CAP,R,boosting,raw,2026-03,201,1.406529858721968,0.23383084577114427
available_macro,CAP,R,linear,raw,2025-12,313,1.2016274070537338,0.12460063897763578
available_macro,CAP,R,linear,raw,2026-01,294,1.270449842189984,0.14285714285714285
available_macro,CAP,R,linear,raw,2026-02,280,1.3215568810531988,0.14642857142857144
available_macro,CAP,R,linear,raw,2026-03,201,1.3750591217233703,0.23880597014925373
available_macro,CAP,R,matched_full_spec,raw,2025-12,313,1.1375724756786065,0.14057507987220447
available_macro,CAP,R,matched_full_spec,raw,2026-01,294,1.2885793318742385,0.19047619047619047
available_macro,CAP,R,matched_full_spec,raw,2026-02,280,1.2665056037712055,0.14642857142857144
available_macro,CAP,R,matched_full_spec,raw,2026-03,201,1.406529858721968,0.23383084577114427
available_macro,CAP,R,ml_selected,raw,2025-12,313,1.1375724756786065,0.14057507987220447
available_macro,CAP,R,ml_selected,raw,2026-01,294,1.2885793318742385,0.19047619047619047
available_macro,CAP,R,ml_selected,raw,2026-02,280,1.2279729644022341,0.12857142857142856
available_macro,CAP,R,ml_selected,raw,2026-03,201,1.340176861232562,0.20398009950248755
available_macro,CAP,R,qrf,raw,2025-12,313,1.1375724756786065,0.14057507987220447
available_macro,CAP,R,qrf,raw,2026-01,294,1.2885793318742385,0.19047619047619047
