mode,definition,comparison,primary_comparison,calibration,n,reference_information,reference_strategy,candidate_information,candidate_strategy,seed,difference_bp,improvement_pct
available_macro,EQ,nonlinear_R,True,calibrated,1088,R,linear,R,ml_selected,20260925,0.07366949203852058,4.195522536964158
available_macro,EQ,nonlinear_R,True,calibrated,1088,R,linear,R,ml_selected,20260926,0.07318829549771655,4.168118100259244
available_macro,EQ,nonlinear_R,True,calibrated,1088,R,linear,R,ml_selected,20260927,0.07408433806621884,4.21914827144958
available_macro,EQ,nonlinear_R,True,calibrated,1088,R,linear,R,ml_selected,20260928,0.06890311446995723,3.9240744251985538
available_macro,EQ,nonlinear_F,True,calibrated,1088,F,linear,F,ml_selected,20260925,0.06471391792855341,3.688439001004462
available_macro,EQ,nonlinear_F,True,calibrated,1088,F,linear,F,ml_selected,20260926,0.07216594110696661,4.113175036272709
available_macro,EQ,nonlinear_F,True,calibrated,1088,F,linear,F,ml_selected,20260927,0.06490021682210312,3.699057305795894
available_macro,EQ,nonlinear_F,True,calibrated,1088,F,linear,F,ml_selected,20260928,0.06863840453058434,3.912119314377416
available_macro,EQ,market_B_vs_R,True,calibrated,1088,R,ml_selected,B,ml_selected,20260925,-0.011152262634358534,-0.6629420469792979
available_macro,EQ,market_B_vs_R,True,calibrated,1088,R,ml_selected,B,ml_selected,20260926,-0.0065979421188491205,-0.39210002285321455
available_macro,EQ,market_B_vs_R,True,calibrated,1088,R,ml_selected,B,ml_selected,20260927,-0.004274137925807109,-0.2541371884581256
available_macro,EQ,market_B_vs_R,True,calibrated,1088,R,ml_selected,B,ml_selected,20260928,-0.008401122038679265,-0.4979905475815505
available_macro,EQ,position_F_vs_B,True,calibrated,1088,B,ml_selected,F,ml_selected,20260925,0.003597189264677114,0.21242530275218385
available_macro,EQ,position_F_vs_B,True,calibrated,1088,B,ml_selected,F,ml_selected,20260926,0.006976088468384933,0.41295317241490936
available_macro,EQ,position_F_vs_B,True,calibrated,1088,B,ml_selected,F,ml_selected,20260927,-0.00350948257802286,-0.20814236045663126
available_macro,EQ,position_F_vs_B,True,calibrated,1088,B,ml_selected,F,ml_selected,20260928,0.009536912839592127,0.5625151728851363
available_macro,EQ,total_F_vs_R,True,calibrated,1088,R,ml_selected,F,ml_selected,20260925,-0.00755507336968142,-0.4491084875767326
available_macro,EQ,total_F_vs_R,True,calibrated,1088,R,ml_selected,F,ml_selected,20260926,0.00037814634953581283,0.022472339045120915
available_macro,EQ,total_F_vs_R,True,calibrated,1088,R,ml_selected,F,ml_selected,20260927,-0.007783620503829969,-0.4628085160576223
available_macro,EQ,total_F_vs_R,True,calibrated,1088,R,ml_selected,F,ml_selected,20260928,0.0011357908009128614,0.06732589769326003
available_macro,EQ,ml_vs_threshold_F,True,calibrated,1088,F,threshold,F,ml_selected,20260925,0.043509638925892435,2.5102159088487896
available_macro,EQ,ml_vs_threshold_F,True,calibrated,1088,F,threshold,F,ml_selected,20260926,0.05096166210430564,2.9401479330474656
available_macro,EQ,ml_vs_threshold_F,True,calibrated,1088,F,threshold,F,ml_selected,20260927,0.04369593781944214,2.520964112187951
available_macro,EQ,ml_vs_threshold_F,True,calibrated,1088,F,threshold,F,ml_selected,20260928,0.047434125527923365,2.7366326051413314
available_macro,EQ,qrf_vs_linear_R,False,calibrated,1088,R,linear,R,qrf,20260925,0.07231488637205685,4.118376917453492
available_macro,EQ,qrf_vs_linear_R,False,calibrated,1088,R,linear,R,qrf,20260926,0.07051002156576747,4.01558876510677
available_macro,EQ,qrf_vs_linear_R,False,calibrated,1088,R,linear,R,qrf,20260927,0.07010330580606028,3.992426054345888
available_macro,EQ,qrf_vs_linear_R,False,calibrated,1088,R,linear,R,qrf,20260928,0.062260138359504946,3.5457528810599825
available_macro,EQ,boosting_vs_linear_R,False,calibrated,1088,R,linear,R,boosting,20260925,0.04958113976580392,2.823676172316092
