mode,definition,information,fold,strategy,candidate,kind,window,form,params,inner_score,inner_months,choice_source_information
available_macro,CAP,F,2025-12,boosting,27,boosting,all,change,"{'max_depth': 1, 'n_estimators': 150, 'min_samples_leaf': 20}",1.1181117814241017,"['2025-09', '2025-10', '2025-11']",F
available_macro,CAP,F,2025-12,threshold,56,threshold,90,change,"{'band': [0.2, 0.8], 'alpha': 0.01}",1.1566069404173163,"['2025-09', '2025-10', '2025-11']",F
available_macro,CAP,F,2025-12,ml_selected,16,qrf,all,change,"{'max_depth': None, 'min_samples_leaf': 20, 'max_features': 0.7}",1.1054182097301704,"['2025-09', '2025-10', '2025-11']",F
available_macro,CAP,F,2026-01,linear,5,linear,all,change,{'alpha': 0.05},1.3424952491691338,"['2025-10', '2025-11', '2025-12']",F
available_macro,CAP,F,2026-01,qrf,16,qrf,all,change,"{'max_depth': None, 'min_samples_leaf': 20, 'max_features': 0.7}",1.16376183569374,"['2025-10', '2025-11', '2025-12']",F
available_macro,CAP,F,2026-01,boosting,27,boosting,all,change,"{'max_depth': 1, 'n_estimators': 150, 'min_samples_leaf': 20}",1.1716573895511284,"['2025-10', '2025-11', '2025-12']",F
available_macro,CAP,F,2026-01,threshold,56,threshold,90,change,"{'band': [0.2, 0.8], 'alpha': 0.01}",1.2743987668706298,"['2025-10', '2025-11', '2025-12']",F
available_macro,CAP,F,2026-01,ml_selected,16,qrf,all,change,"{'max_depth': None, 'min_samples_leaf': 20, 'max_features': 0.7}",1.16376183569374,"['2025-10', '2025-11', '2025-12']",F
available_macro,CAP,F,2026-02,linear,5,linear,all,change,{'alpha': 0.05},1.4178277499860152,"['2025-11', '2025-12', '2026-01']",F
available_macro,CAP,F,2026-02,qrf,16,qrf,all,change,"{'max_depth': None, 'min_samples_leaf': 20, 'max_features': 0.7}",1.2346253569217835,"['2025-11', '2025-12', '2026-01']",F
available_macro,CAP,F,2026-02,boosting,28,boosting,all,change,"{'max_depth': 2, 'n_estimators': 150, 'min_samples_leaf': 20}",1.2201973963552615,"['2025-11', '2025-12', '2026-01']",F
available_macro,CAP,F,2026-02,threshold,56,threshold,90,change,"{'band': [0.2, 0.8], 'alpha': 0.01}",1.355320748715345,"['2025-11', '2025-12', '2026-01']",F
available_macro,CAP,F,2026-02,ml_selected,28,boosting,all,change,"{'max_depth': 2, 'n_estimators': 150, 'min_samples_leaf': 20}",1.2201973963552615,"['2025-11', '2025-12', '2026-01']",F
available_macro,CAP,F,2026-03,linear,2,linear,all,level,{'alpha': 0.05},1.3182924935140417,"['2025-12', '2026-01', '2026-02']",F
available_macro,CAP,F,2026-03,qrf,16,qrf,all,change,"{'max_depth': None, 'min_samples_leaf': 20, 'max_features': 0.7}",1.2040681182080768,"['2025-12', '2026-01', '2026-02']",F
available_macro,CAP,F,2026-03,boosting,28,boosting,all,change,"{'max_depth': 2, 'n_estimators': 150, 'min_samples_leaf': 20}",1.2039742981843096,"['2025-12', '2026-01', '2026-02']",F
available_macro,CAP,F,2026-03,threshold,56,threshold,90,change,"{'band': [0.2, 0.8], 'alpha': 0.01}",1.3368290684529804,"['2025-12', '2026-01', '2026-02']",F
available_macro,CAP,F,2026-03,ml_selected,28,boosting,all,change,"{'max_depth': 2, 'n_estimators': 150, 'min_samples_leaf': 20}",1.2039742981843096,"['2025-12', '2026-01', '2026-02']",F
available_macro,CAP,R,2025-12,matched_full_spec,16,qrf,all,change,"{'max_depth': None, 'min_samples_leaf': 20, 'max_features': 0.7}",1.1054182097301704,"['2025-09', '2025-10', '2025-11']",F
available_macro,CAP,R,2026-01,matched_full_spec,16,qrf,all,change,"{'max_depth': None, 'min_samples_leaf': 20, 'max_features': 0.7}",1.16376183569374,"['2025-10', '2025-11', '2025-12']",F
available_macro,CAP,R,2026-02,matched_full_spec,28,boosting,all,change,"{'max_depth': 2, 'n_estimators': 150, 'min_samples_leaf': 20}",1.2201973963552615,"['2025-11', '2025-12', '2026-01']",F
available_macro,CAP,R,2026-03,matched_full_spec,28,boosting,all,change,"{'max_depth': 2, 'n_estimators': 150, 'min_samples_leaf': 20}",1.2039742981843096,"['2025-12', '2026-01', '2026-02']",F
available_macro,CAP,B,2025-12,matched_full_spec,16,qrf,all,change,"{'max_depth': None, 'min_samples_leaf': 20, 'max_features': 0.7}",1.1054182097301704,"['2025-09', '2025-10', '2025-11']",F
available_macro,CAP,B,2026-01,matched_full_spec,16,qrf,all,change,"{'max_depth': None, 'min_samples_leaf': 20, 'max_features': 0.7}",1.16376183569374,"['2025-10', '2025-11', '2025-12']",F
available_macro,CAP,B,2026-02,matched_full_spec,28,boosting,all,change,"{'max_depth': 2, 'n_estimators': 150, 'min_samples_leaf': 20}",1.2201973963552615,"['2025-11', '2025-12', '2026-01']",F
available_macro,CAP,B,2026-03,matched_full_spec,28,boosting,all,change,"{'max_depth': 2, 'n_estimators': 150, 'min_samples_leaf': 20}",1.2039742981843096,"['2025-12', '2026-01', '2026-02']",F
available_macro,CAP,F,2025-12,matched_full_spec,16,qrf,all,change,"{'max_depth': None, 'min_samples_leaf': 20, 'max_features': 0.7}",1.1054182097301704,"['2025-09', '2025-10', '2025-11']",F
available_macro,CAP,F,2026-01,matched_full_spec,16,qrf,all,change,"{'max_depth': None, 'min_samples_leaf': 20, 'max_features': 0.7}",1.16376183569374,"['2025-10', '2025-11', '2025-12']",F
available_macro,CAP,F,2026-02,matched_full_spec,28,boosting,all,change,"{'max_depth': 2, 'n_estimators': 150, 'min_samples_leaf': 20}",1.2201973963552615,"['2025-11', '2025-12', '2026-01']",F
available_macro,CAP,F,2026-03,matched_full_spec,28,boosting,all,change,"{'max_depth': 2, 'n_estimators': 150, 'min_samples_leaf': 20}",1.2039742981843096,"['2025-12', '2026-01', '2026-02']",F
available_macro,PCA,R,2025-12,linear,10,linear,90,change,{'alpha': 0.01},1.2979897992913025,"['2025-09', '2025-10', '2025-11']",R
available_macro,PCA,R,2025-12,qrf,16,qrf,all,change,"{'max_depth': None, 'min_samples_leaf': 20, 'max_features': 0.7}",1.2737090109977491,"['2025-09', '2025-10', '2025-11']",R
available_macro,PCA,R,2025-12,boosting,35,boosting,90,change,"{'max_depth': 2, 'n_estimators': 250, 'min_samples_leaf': 40}",1.277557200614223,"['2025-09', '2025-10', '2025-11']",R
available_macro,PCA,R,2025-12,threshold,44,threshold,all,change,"{'band': [0.2, 0.8], 'alpha': 0.01}",1.2756038065727273,"['2025-09', '2025-10', '2025-11']",R
available_macro,PCA,R,2025-12,ml_selected,16,qrf,all,change,"{'max_depth': None, 'min_samples_leaf': 20, 'max_features': 0.7}",1.2737090109977491,"['2025-09', '2025-10', '2025-11']",R
available_macro,PCA,R,2026-01,linear,10,linear,90,change,{'alpha': 0.01},1.5088101790203672,"['2025-10', '2025-11', '2025-12']",R
