definition,category,reference_policy,reference_family,new_policy,new_family,endpoint,sample,block_days,n,difference,difference_lo,difference_hi,improvement_pct,improvement_lo,improvement_hi,ratio_valid_fraction,p_centered_boot,reference_mean,new_mean
CAP,calibration,global_window_selected,ml_selected,joint_selected,ml_selected,cost_10,full,5,509,-0.00014734774066797645,-0.00032261540600667414,0.0,-0.2819548872180451,-0.6993356643356644,0.0,1.0,0.115,0.05225933202357564,0.05240667976424362
CAP,model_advantage,joint_selected,linear,joint_selected,ml_selected,pinball,full,10,509,0.11419669176152186,-0.011510934470198247,0.2465902690180018,7.717916563068848,-0.8907242433679166,14.869829856918367,1.0,0.0875,1.4796310743752616,1.3654343826137396
CAP,model_advantage,joint_selected,linear,joint_selected,ml_selected,cost_10,full,10,509,-0.0007367387033398817,-0.00564676776763912,0.004469151510248508,-1.425855513307984,-12.234585323491096,8.278304826967188,1.0,0.7955,0.05166994106090373,0.05240667976424362
CAP,model_advantage,joint_selected,threshold,joint_selected,ml_selected,pinball,full,10,509,0.11605025436310946,-0.030971567930563704,0.278541454118868,7.83337548473835,-2.3677772685028953,16.29270389007951,1.0,0.1545,1.4814846369768493,1.3654343826137396
CAP,model_advantage,joint_selected,threshold,joint_selected,ml_selected,cost_10,full,10,509,-0.004469548133595284,-0.00867973423838012,-0.00047700853336429393,-9.323770491803277,-20.814072140484104,-1.014842300556593,1.0,0.0365,0.04793713163064833,0.05240667976424362
CAP,model_advantage,joint_selected,historical,joint_selected,ml_selected,pinball,full,10,509,0.10030504496721497,0.031611020130569656,0.1677099629249817,6.843306735137612,2.2098135454786245,11.183158443164787,1.0,0.003,1.4657394275809548,1.3654343826137396
CAP,model_advantage,joint_selected,historical,joint_selected,ml_selected,cost_10,full,10,509,0.00024557956777995895,-0.0056434250764526,0.00550721677559913,0.4664179104477578,-11.504153123871433,10.22751246643652,1.0,0.9325,0.05265225933202358,0.05240667976424362
CAP,model_advantage,joint_selected,state_hist,joint_selected,ml_selected,pinball,full,10,509,0.07174509320483761,0.03122735765582016,0.1130094255062841,4.992076105454652,2.1931367175175,7.707373436971357,1.0,0.002,1.4371794758185772,1.3654343826137396
CAP,model_advantage,joint_selected,state_hist,joint_selected,ml_selected,cost_10,full,10,509,-0.008595284872298626,-0.013465538452453595,-0.004250231035036967,-19.618834080717484,-33.743359053823276,-9.007502220530391,1.0,0.0005,0.043811394891945,0.05240667976424362
CAP,calibration,legacy,ml_selected,fixed_model_selected_cal,ml_selected,pinball,full,10,509,0.006387235472439978,-0.012256629349478194,0.02444387275100532,0.4782020523806127,-0.9591855252922482,1.7822584178943115,1.0,0.556,1.335677134935469,1.329289899463029
CAP,calibration,legacy,ml_selected,fixed_model_selected_cal,ml_selected,cost_10,full,10,509,-0.0022102161100196463,-0.00608334127331974,0.0018570349351415083,-4.4204322200392925,-13.440860215053759,3.4537424159528323,1.0,0.376,0.05,0.05221021611001965
CAP,calibration,legacy,ml_selected,joint_selected,ml_selected,pinball,full,10,509,-0.029757247678270843,-0.06424461300318614,0.004283201256371393,-2.2278772990830986,-5.018639364495885,0.30509603122202783,1.0,0.0875,1.335677134935469,1.3654343826137396
CAP,calibration,legacy,ml_selected,joint_selected,ml_selected,cost_10,full,10,509,-0.002406679764243615,-0.0056437220459497695,0.0008113590263691687,-4.81335952848723,-12.482140501008425,1.447061838855491,1.0,0.141,0.05,0.05240667976424362
CAP,calibration,global_window_selected,ml_selected,joint_selected,ml_selected,pinball,full,10,509,0.005126635812382064,-0.00192330491737366,0.012477423986149707,0.37405381763076956,-0.14494464853509595,0.8895024866700519,1.0,0.2155,1.3705610184261217,1.3654343826137396
CAP,calibration,global_window_selected,ml_selected,joint_selected,ml_selected,cost_10,full,10,509,-0.00014734774066797645,-0.00024366471734892786,-4.9701789264413534e-05,-0.2819548872180451,-0.49309664694280075,-0.09633911368015417,1.0,0.0005,0.05225933202357564,0.05240667976424362
CAP,model_advantage,joint_selected,linear,joint_selected,ml_selected,pinball,nonoverlap,5,138,0.24946081830090758,0.10030146342934917,0.41323853713355907,16.01241040756254,7.191966041791513,24.287440709387006,1.0,0.001,1.5579217116686512,1.308460893367744
CAP,model_advantage,joint_selected,linear,joint_selected,ml_selected,cost_10,nonoverlap,5,138,-0.0036231884057971024,-0.015942028985507246,0.005479452054794521,-8.06451612903226,-38.98511781727986,12.96698872785829,1.0,0.5715,0.04492753623188406,0.048550724637681154
CAP,model_advantage,joint_selected,threshold,joint_selected,ml_selected,pinball,nonoverlap,5,138,0.11690797717765213,-0.03172696017808706,0.27186956964971554,8.201945446789436,-2.5221418468056145,17.00722990363207,1.0,0.136,1.425368870545396,1.308460893367744
CAP,model_advantage,joint_selected,threshold,joint_selected,ml_selected,cost_10,nonoverlap,5,138,-0.0007246376811594205,-0.0036778322440087145,0.002256493506493506,-1.5151515151515156,-10.416666666666664,5.000000000000001,1.0,0.7345,0.047826086956521734,0.048550724637681154
CAP,model_advantage,joint_selected,historical,joint_selected,ml_selected,pinball,nonoverlap,5,138,0.13436922157311196,0.01249327464439736,0.26474632302059736,9.312892777998332,0.8795575547202358,17.48904143231147,1.0,0.0385,1.4428301149408556,1.308460893367744
CAP,model_advantage,joint_selected,historical,joint_selected,ml_selected,cost_10,nonoverlap,5,138,-0.008695652173913045,-0.02381135531135531,0.004512987012987012,-21.81818181818182,-78.80681818181817,10.815724815724813,1.0,0.2585,0.03985507246376812,0.048550724637681154
CAP,model_advantage,joint_selected,state_hist,joint_selected,ml_selected,pinball,nonoverlap,5,138,0.05986778848466754,-0.041573676495975403,0.16874670612509837,4.375249110734121,-3.179762744717197,12.246074181760264,1.0,0.284,1.3683286818524112,1.308460893367744
CAP,model_advantage,joint_selected,state_hist,joint_selected,ml_selected,cost_10,nonoverlap,5,138,-0.010869565217391308,-0.02707142857142857,0.002273594725884802,-28.846153846153854,-78.59022556390977,6.580385389703747,1.0,0.156,0.03768115942028986,0.048550724637681154
CAP,calibration,legacy,ml_selected,fixed_model_selected_cal,ml_selected,pinball,nonoverlap,5,138,0.016000189139554234,-0.025464671353080913,0.06028592390580511,1.2695187051564694,-2.0172656506301783,5.021695990793435,1.0,0.473,1.2603350446563288,1.2443348555167746
CAP,calibration,legacy,ml_selected,fixed_model_selected_cal,ml_selected,cost_10,nonoverlap,5,138,0.0021739130434782613,0.0,0.004580152671755726,4.347826086956522,0.0,8.51063829787234,1.0,0.0785,0.05,0.047826086956521734
CAP,calibration,legacy,ml_selected,joint_selected,ml_selected,pinball,nonoverlap,5,138,-0.0481258487114151,-0.1332060836719462,0.03704280030527072,-3.8184964319974277,-10.864767330001776,2.9085681407759165,1.0,0.279,1.2603350446563288,1.308460893367744
CAP,calibration,legacy,ml_selected,joint_selected,ml_selected,cost_10,nonoverlap,5,138,0.0014492753623188408,-0.0008,0.004033347863993024,2.8985507246376816,-2.631578947368421,7.142857142857144,1.0,0.363,0.05,0.048550724637681154
CAP,calibration,global_window_selected,ml_selected,joint_selected,ml_selected,pinball,nonoverlap,5,138,0.0030485148484904255,-0.004434584964823498,0.012460140146318703,0.23244323139371664,-0.328353219560241,0.9010938407074581,1.0,0.4775,1.3115094082162344,1.308460893367744
CAP,calibration,global_window_selected,ml_selected,joint_selected,ml_selected,cost_10,nonoverlap,5,138,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.048550724637681154,0.048550724637681154
CAP,model_advantage,joint_selected,linear,joint_selected,ml_selected,pinball,2025-12,5,139,0.5422983568123962,0.17644033902614115,0.8744188142762219,28.221823822345677,11.947784848752313,37.836005871530105,1.0,0.001,1.9215567364679365,1.37925837965554
CAP,model_advantage,joint_selected,linear,joint_selected,ml_selected,cost_10,2025-12,5,139,0.012230215827338131,0.003120265151515152,0.023589870903674277,19.540229885057474,5.1533174729050995,40.96484297847127,1.0,0.02,0.06258992805755395,0.050359712230215826
CAP,model_advantage,joint_selected,threshold,joint_selected,ml_selected,pinball,2025-12,5,139,0.4867559887237482,-0.0001319481479182833,0.9132585609370482,26.085329082782795,-0.012628842451331451,38.42664360900955,1.0,0.039,1.8660143683792885,1.37925837965554
CAP,model_advantage,joint_selected,threshold,joint_selected,ml_selected,cost_10,2025-12,5,139,0.0007194244604316545,-0.005147058823529412,0.007857142857142858,1.4084507042253518,-16.666666666666664,13.213836477987416,1.0,0.8645,0.05107913669064748,0.050359712230215826
CAP,model_advantage,joint_selected,historical,joint_selected,ml_selected,pinball,2025-12,5,139,0.11722522517258364,-0.07333972341046463,0.31883988460773305,7.833378514430658,-5.1351625730888335,22.268113161140896,1.0,0.258,1.4964836048281238,1.37925837965554
CAP,model_advantage,joint_selected,historical,joint_selected,ml_selected,cost_10,2025-12,5,139,0.010071942446043165,-0.0070658823529411744,0.029837398373983727,16.666666666666668,-14.929104477611942,45.207110241356816,1.0,0.2905,0.06043165467625898,0.050359712230215826
CAP,model_advantage,joint_selected,state_hist,joint_selected,ml_selected,pinball,2025-12,5,139,0.02790566217756728,-0.07739389593186538,0.15830088210897209,1.9831136490110046,-5.736405686679614,11.899784359388306,1.0,0.637,1.4071640418331077,1.37925837965554
CAP,model_advantage,joint_selected,state_hist,joint_selected,ml_selected,cost_10,2025-12,5,139,-0.001438848920863309,-0.008968061051441493,0.009090909090909089,-2.941176470588234,-33.333333333333336,14.707430340557272,1.0,0.753,0.048920863309352525,0.050359712230215826
CAP,calibration,legacy,ml_selected,fixed_model_selected_cal,ml_selected,pinball,2025-12,5,139,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.37925837965554,1.37925837965554
CAP,calibration,legacy,ml_selected,fixed_model_selected_cal,ml_selected,cost_10,2025-12,5,139,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.050359712230215826,0.050359712230215826
CAP,calibration,legacy,ml_selected,joint_selected,ml_selected,pinball,2025-12,5,139,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.37925837965554,1.37925837965554
CAP,calibration,legacy,ml_selected,joint_selected,ml_selected,cost_10,2025-12,5,139,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.050359712230215826,0.050359712230215826
CAP,calibration,global_window_selected,ml_selected,joint_selected,ml_selected,pinball,2025-12,5,139,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.37925837965554,1.37925837965554
CAP,calibration,global_window_selected,ml_selected,joint_selected,ml_selected,cost_10,2025-12,5,139,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.050359712230215826,0.050359712230215826
CAP,model_advantage,joint_selected,linear,joint_selected,ml_selected,pinball,2026-01,5,137,-0.053384853132611515,-0.20910970191536052,0.09471190006951237,-4.89886772368755,-21.911439627027555,7.723307330881527,1.0,0.515,1.089738611934328,1.1431234650669397
CAP,model_advantage,joint_selected,linear,joint_selected,ml_selected,cost_10,2026-01,5,137,0.001459854014598541,-0.010406315789473687,0.011865592035083559,4.166666666666669,-43.63247863247864,28.571428571428573,1.0,0.815,0.035036496350364967,0.033576642335766425
CAP,model_advantage,joint_selected,threshold,joint_selected,ml_selected,pinball,2026-01,5,137,0.00973169433639216,-0.04169160575819766,0.07238073649642389,0.8441385075145837,-3.9723493759126955,5.93792521569713,1.0,0.746,1.1528551594033316,1.1431234650669397
CAP,model_advantage,joint_selected,threshold,joint_selected,ml_selected,cost_10,2026-01,5,137,-0.008029197080291971,-0.01840105263157895,-0.000689186019235281,-31.42857142857143,-109.39393939393939,-2.1210106382978777,0.9979989994997499,0.078,0.025547445255474453,0.033576642335766425
CAP,model_advantage,joint_selected,historical,joint_selected,ml_selected,pinball,2026-01,5,137,0.024130660680545788,-0.1631400823891748,0.19750003742755967,2.067301382643905,-15.884860135979892,15.254462219936803,1.0,0.8085,1.1672541257474853,1.1431234650669397
CAP,model_advantage,joint_selected,historical,joint_selected,ml_selected,cost_10,2026-01,5,137,0.0036496350364963502,-0.0029411764705882353,0.010063345549975115,9.80392156862745,-11.11111111111111,22.862934362934357,1.0,0.305,0.03722627737226278,0.033576642335766425
CAP,model_advantage,joint_selected,state_hist,joint_selected,ml_selected,pinball,2026-01,5,137,0.09687911019291162,0.020372128071768757,0.1791501981363518,7.812815241340118,1.7182255049614887,13.784404015106027,1.0,0.015,1.2400025752598511,1.1431234650669397
CAP,model_advantage,joint_selected,state_hist,joint_selected,ml_selected,cost_10,2026-01,5,137,-0.0072992700729927005,-0.016059045881126173,0.0007057787903893943,-27.777777777777782,-91.76282051282051,2.1573478476001706,0.9979989994997499,0.0875,0.02627737226277372,0.033576642335766425
CAP,calibration,legacy,ml_selected,fixed_model_selected_cal,ml_selected,pinball,2026-01,5,137,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.06576424151494,1.06576424151494
CAP,calibration,legacy,ml_selected,fixed_model_selected_cal,ml_selected,cost_10,2026-01,5,137,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0364963503649635,0.0364963503649635
CAP,calibration,legacy,ml_selected,joint_selected,ml_selected,pinball,2026-01,5,137,-0.07735922355199963,-0.19610124631957013,0.03589763362485584,-7.2585681277912535,-19.89063473691572,3.089086031476421,1.0,0.189,1.06576424151494,1.1431234650669397
CAP,calibration,legacy,ml_selected,joint_selected,ml_selected,cost_10,2026-01,5,137,0.0029197080291970805,-0.006250000000000001,0.014969321061758035,8.000000000000002,-22.222222222222225,30.95238095238095,1.0,0.6245,0.0364963503649635,0.033576642335766425
CAP,calibration,global_window_selected,ml_selected,joint_selected,ml_selected,pinball,2026-01,5,137,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.1431234650669397,1.1431234650669397
CAP,calibration,global_window_selected,ml_selected,joint_selected,ml_selected,cost_10,2026-01,5,137,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.033576642335766425,0.033576642335766425
CAP,model_advantage,joint_selected,linear,joint_selected,ml_selected,pinball,2026-02,5,128,0.04015792611915028,-0.054802025510685456,0.1338198904412393,2.9674453836973793,-4.299688011116577,9.49369081124309,1.0,0.4015,1.3532827373932754,1.313124811274125
CAP,model_advantage,joint_selected,linear,joint_selected,ml_selected,cost_10,2026-02,5,128,0.0015624999999999997,-0.0067226890756302525,0.011000000000000001,2.816901408450703,-17.653594771241835,19.71830985915493,1.0,0.761,0.05546875000000001,0.05390625
CAP,model_advantage,joint_selected,threshold,joint_selected,ml_selected,pinball,2026-02,5,128,-0.04391505898893051,-0.08870963742646563,0.007229297270205018,-3.4600316385736916,-7.473541480658591,0.5481392204762846,1.0,0.0685,1.2692097522851946,1.313124811274125
CAP,model_advantage,joint_selected,threshold,joint_selected,ml_selected,cost_10,2026-02,5,128,-0.0015624999999999997,-0.009232193732193732,0.008264773504007951,-2.9850746268656705,-25.0,14.89520482692917,1.0,0.751,0.05234375000000001,0.05390625
CAP,model_advantage,joint_selected,historical,joint_selected,ml_selected,pinball,2026-02,5,128,0.14527092517839457,0.056978142290277124,0.23612957967022435,9.96100863074102,4.159778467660574,15.532102705729773,1.0,0.0025,1.4583957364525197,1.313124811274125
CAP,model_advantage,joint_selected,historical,joint_selected,ml_selected,cost_10,2026-02,5,128,0.00390625,-0.0013644594528458866,0.00814814814814815,6.756756756756756,-2.900682011935209,16.185828877005335,1.0,0.1295,0.0578125,0.05390625
CAP,model_advantage,joint_selected,state_hist,joint_selected,ml_selected,pinball,2026-02,5,128,0.04202200547564159,-0.0029617803235143813,0.09388624322052716,3.100919026355292,-0.21428178267996673,6.971189376678718,1.0,0.087,1.3551468167497664,1.313124811274125
CAP,model_advantage,joint_selected,state_hist,joint_selected,ml_selected,cost_10,2026-02,5,128,-0.0007812499999999998,-0.014517595307917887,0.009160623409669213,-1.4705882352941173,-23.076923076923077,20.463564213564204,1.0,0.925,0.053125000000000006,0.05390625
CAP,calibration,legacy,ml_selected,fixed_model_selected_cal,ml_selected,pinball,2026-02,5,128,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.313124811274125,1.313124811274125
CAP,calibration,legacy,ml_selected,fixed_model_selected_cal,ml_selected,cost_10,2026-02,5,128,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05390625,0.05390625
CAP,calibration,legacy,ml_selected,joint_selected,ml_selected,pinball,2026-02,5,128,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.313124811274125,1.313124811274125
CAP,calibration,legacy,ml_selected,joint_selected,ml_selected,cost_10,2026-02,5,128,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05390625,0.05390625
CAP,calibration,global_window_selected,ml_selected,joint_selected,ml_selected,pinball,2026-02,5,128,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.313124811274125,1.313124811274125
CAP,calibration,global_window_selected,ml_selected,joint_selected,ml_selected,cost_10,2026-02,5,128,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.05390625,0.05390625
CAP,model_advantage,joint_selected,linear,joint_selected,ml_selected,pinball,2026-03,5,105,-0.14361757289897037,-0.3288286840217428,0.035418486264367985,-9.221937017928902,-22.519899294698877,2.4848737483545458,1.0,0.1275,1.5573471453964078,1.700964718295378
CAP,model_advantage,joint_selected,linear,joint_selected,ml_selected,cost_10,2026-03,5,105,-0.02357142857142857,-0.04915730337078652,0.002552335367136544,-43.42105263157894,-118.94519519519523,5.473090277777773,1.0,0.074,0.054285714285714284,0.07785714285714286
CAP,model_advantage,joint_selected,threshold,joint_selected,ml_selected,pinball,2026-03,5,105,-0.0409677860502944,-0.14566998440534165,0.0604731928046127,-2.4679434795633632,-9.473155432337634,3.109628808808478,1.0,0.4435,1.6599969322450836,1.700964718295378
CAP,model_advantage,joint_selected,threshold,joint_selected,ml_selected,cost_10,2026-03,5,105,-0.010238095238095237,-0.02546896565722173,-0.0006756756756756758,-15.140845070422534,-41.008823529411764,-0.8241758241758244,1.0,0.095,0.06761904761904762,0.07785714285714286
CAP,model_advantage,joint_selected,historical,joint_selected,ml_selected,pinball,2026-03,5,105,0.12247983479289544,0.010286087092048353,0.26751960273466385,6.71694867746089,0.6888850584769866,12.35680028808457,1.0,0.06,1.8234445530882737,1.700964718295378
CAP,model_advantage,joint_selected,historical,joint_selected,ml_selected,cost_10,2026-03,5,105,-0.02166666666666667,-0.04691011235955057,0.0036491852310230988,-38.55932203389831,-103.00151515151516,7.049989329918901,1.0,0.087,0.05619047619047619,0.07785714285714286
CAP,model_advantage,joint_selected,state_hist,joint_selected,ml_selected,pinball,2026-03,5,105,0.1332201009644712,-0.013147952805376655,0.2754461415770188,7.263177601602312,-0.8935820832510457,12.977888719236077,1.0,0.08,1.834184819259849,1.700964718295378
CAP,model_advantage,joint_selected,state_hist,joint_selected,ml_selected,cost_10,2026-03,5,105,-0.029285714285714286,-0.05283018867924528,-0.003365290669272111,-60.29411764705882,-117.04521276595744,-8.30128205128208,1.0,0.0225,0.04857142857142858,0.07785714285714286
CAP,calibration,legacy,ml_selected,fixed_model_selected_cal,ml_selected,pinball,2026-03,5,105,0.030962884337828095,-0.11307438581922659,0.2141111564395102,1.8678802136938786,-7.618338769469562,11.907655471793413,1.0,0.708,1.6576482855180836,1.6266854011802558
CAP,calibration,legacy,ml_selected,fixed_model_selected_cal,ml_selected,cost_10,2026-03,5,105,-0.010714285714285714,-0.03211378255826215,0.008878808243727592,-17.175572519083968,-60.75012276968407,12.617560255779633,1.0,0.366,0.06238095238095239,0.0730952380952381
CAP,calibration,legacy,ml_selected,joint_selected,ml_selected,pinball,2026-03,5,105,-0.04331643277729435,-0.21248203387625192,0.17193383281428506,-2.613125664577041,-14.150771030980653,9.552355882132739,1.0,0.6525,1.6576482855180836,1.700964718295378
CAP,calibration,legacy,ml_selected,joint_selected,ml_selected,cost_10,2026-03,5,105,-0.015476190476190477,-0.03380847328244274,0.0047475889089813135,-24.809160305343507,-56.24999999999999,7.061177355247563,1.0,0.1105,0.06238095238095239,0.07785714285714286
CAP,calibration,global_window_selected,ml_selected,joint_selected,ml_selected,pinball,2026-03,5,105,0.02485197741430924,-0.016810254643217882,0.06492233450972774,1.4400125735305656,-1.2482272663479557,3.4844541272270777,1.0,0.2545,1.7258166957096877,1.700964718295378
CAP,calibration,global_window_selected,ml_selected,joint_selected,ml_selected,cost_10,2026-03,5,105,-0.0007142857142857144,-0.0017328451595159519,0.0,-0.9259259259259259,-3.2258064516129035,0.0,1.0,0.131,0.07714285714285715,0.07785714285714286
PCA,model_advantage,joint_selected,linear,joint_selected,ml_selected,pinball,full,1,509,0.12734099479627087,0.0038053519839134045,0.2665671273795353,6.414680920391718,0.19879898512112765,11.418547384864157,1.0,0.0575,1.9851493219477967,1.857808327151526
PCA,model_advantage,joint_selected,linear,joint_selected,ml_selected,cost_10,full,1,509,0.00918467583497053,-0.0006374430460223446,0.018045004537579408,13.75,-1.021782964682877,26.595550774101014,1.0,0.053,0.06679764243614932,0.05761296660117879
PCA,model_advantage,joint_selected,threshold,joint_selected,ml_selected,pinball,full,1,509,0.1592675848176395,-0.04267986205020756,0.4239400097338095,7.8959638490826505,-2.467074031030835,18.625150480187276,1.0,0.1785,2.0170759119691657,1.857808327151526
PCA,model_advantage,joint_selected,threshold,joint_selected,ml_selected,cost_10,full,1,509,-0.0006385068762278973,-0.011102992202729046,0.009490247847390705,-1.1206896551724128,-21.027202379294014,15.73616034366887,1.0,0.896,0.05697445972495088,0.05761296660117879
PCA,model_advantage,joint_selected,historical,joint_selected,ml_selected,pinball,full,1,509,0.0800451120168448,-0.03266749250575002,0.21738107713338445,4.130607113982579,-1.875216369449377,9.339364802925083,1.0,0.196,1.9378534391683708,1.857808327151526
PCA,model_advantage,joint_selected,historical,joint_selected,ml_selected,cost_10,full,1,509,-0.006139489194499017,-0.01270465947096382,-4.576107899807568e-05,-11.927480916030532,-27.85413987363006,-0.0728527607362009,1.0,0.0595,0.05147347740667977,0.05761296660117879
PCA,model_advantage,joint_selected,state_hist,joint_selected,ml_selected,pinball,full,1,509,-0.0037903361985758945,-0.09773401112820251,0.0862912554507292,-0.20443901931219624,-5.568414769286354,4.614275503870332,1.0,0.937,1.8540179909529502,1.857808327151526
PCA,model_advantage,joint_selected,state_hist,joint_selected,ml_selected,cost_10,full,1,509,-0.00594302554027505,-0.013105697105226088,0.0007984590236780265,-11.501901140684412,-27.82002281110464,1.5307514136292435,1.0,0.0975,0.05166994106090374,0.05761296660117879
