definition,fold,candidate,kind,rule,rule_rank,score,n
EQ,2025-12,31,boosting,global60,0,1.4560018843154203,479
EQ,2025-12,31,boosting,global180,1,1.555022069246522,479
EQ,2025-12,31,boosting,scaled180,2,1.539052136373157,479
EQ,2025-12,31,boosting,local180,3,1.5169367354323036,479
EQ,2025-12,31,boosting,local_scaled180,4,1.5208184376733602,479
EQ,2025-12,31,boosting,local_shrink180,5,1.5181583186083134,479
EQ,2025-12,31,boosting,local_scaled_shrink180,6,1.5156411466092397,479
EQ,2025-12,32,boosting,global60,0,1.4992260583598422,479
EQ,2025-12,32,boosting,global180,1,1.60629730578217,479
EQ,2025-12,32,boosting,scaled180,2,1.587441032881291,479
EQ,2025-12,32,boosting,local180,3,1.5571228745307306,479
EQ,2025-12,32,boosting,local_scaled180,4,1.5605166000023971,479
EQ,2025-12,32,boosting,local_shrink180,5,1.5681019434291106,479
EQ,2025-12,32,boosting,local_scaled_shrink180,6,1.5586586761504104,479
EQ,2025-12,33,boosting,global60,0,1.404112299302594,479
EQ,2025-12,33,boosting,global180,1,1.4042110051274983,479
EQ,2025-12,33,boosting,scaled180,2,1.409639129068633,479
EQ,2025-12,33,boosting,local180,3,1.4039303156838268,479
EQ,2025-12,33,boosting,local_scaled180,4,1.4064964643784934,479
EQ,2025-12,33,boosting,local_shrink180,5,1.3916297867986267,479
EQ,2025-12,33,boosting,local_scaled_shrink180,6,1.39494499888606,479
EQ,2025-12,34,boosting,global60,0,1.3904143356530039,479
EQ,2025-12,34,boosting,global180,1,1.3931887246284635,479
EQ,2025-12,34,boosting,scaled180,2,1.3868747212577075,479
EQ,2025-12,34,boosting,local180,3,1.3937920558482664,479
EQ,2025-12,34,boosting,local_scaled180,4,1.3943082872289807,479
EQ,2025-12,34,boosting,local_shrink180,5,1.382900152770671,479
EQ,2025-12,34,boosting,local_scaled_shrink180,6,1.379172880105274,479
EQ,2025-12,35,boosting,global60,0,1.3548564099902192,479
EQ,2025-12,35,boosting,global180,1,1.3757682749344584,479
EQ,2025-12,35,boosting,scaled180,2,1.3719431968633058,479
EQ,2025-12,35,boosting,local180,3,1.3921650565870245,479
EQ,2025-12,35,boosting,local_scaled180,4,1.3962536593279482,479
EQ,2025-12,35,boosting,local_shrink180,5,1.3747019415597421,479
EQ,2025-12,35,boosting,local_scaled_shrink180,6,1.372260191968488,479
EQ,2025-12,36,threshold,global60,0,1.7790972261844575,479
EQ,2025-12,36,threshold,global180,1,1.8994064264467239,479
EQ,2025-12,36,threshold,scaled180,2,1.8922693983867132,479
EQ,2025-12,36,threshold,local180,3,1.8617452976565223,479
EQ,2025-12,36,threshold,local_scaled180,4,1.8259594415090101,479
EQ,2025-12,36,threshold,local_shrink180,5,1.8644655090291757,479
EQ,2025-12,36,threshold,local_scaled_shrink180,6,1.8412571295435942,479
EQ,2025-12,37,threshold,global60,0,1.644879031349031,479
EQ,2025-12,37,threshold,global180,1,1.6800034150574785,479
EQ,2025-12,37,threshold,scaled180,2,1.679114125669555,479
EQ,2025-12,37,threshold,local180,3,1.656553967177557,479
EQ,2025-12,37,threshold,local_scaled180,4,1.6382437505642014,479
EQ,2025-12,37,threshold,local_shrink180,5,1.6598093550875226,479
EQ,2025-12,37,threshold,local_scaled_shrink180,6,1.6498072408510667,479
EQ,2025-12,38,threshold,global60,0,1.4904652401200686,479
EQ,2025-12,38,threshold,global180,1,1.5061347484252177,479
EQ,2025-12,38,threshold,scaled180,2,1.5124682508995928,479
EQ,2025-12,38,threshold,local180,3,1.501479948649539,479
EQ,2025-12,38,threshold,local_scaled180,4,1.494295272143887,479
EQ,2025-12,38,threshold,local_shrink180,5,1.496130075933426,479
EQ,2025-12,38,threshold,local_scaled_shrink180,6,1.4943375965917562,479
EQ,2025-12,39,threshold,global60,0,1.6540966172257545,479
EQ,2025-12,39,threshold,global180,1,1.6539127259385367,479
EQ,2025-12,39,threshold,scaled180,2,1.6490266925947572,479
EQ,2025-12,39,threshold,local180,3,1.644267886511248,479
EQ,2025-12,39,threshold,local_scaled180,4,1.6377776127610362,479
EQ,2025-12,39,threshold,local_shrink180,5,1.64282527384294,479
EQ,2025-12,39,threshold,local_scaled_shrink180,6,1.637666700329787,479
EQ,2025-12,40,threshold,global60,0,1.606839901028851,479
EQ,2025-12,40,threshold,global180,1,1.5771691151934517,479
EQ,2025-12,40,threshold,scaled180,2,1.5820646220174497,479
EQ,2025-12,40,threshold,local180,3,1.5827193536439919,479
EQ,2025-12,40,threshold,local_scaled180,4,1.574596451074675,479
EQ,2025-12,40,threshold,local_shrink180,5,1.568111182075226,479
EQ,2025-12,40,threshold,local_scaled_shrink180,6,1.5661374188450679,479
EQ,2025-12,41,threshold,global60,0,1.4680248043214243,479
EQ,2025-12,41,threshold,global180,1,1.4914600207331907,479
EQ,2025-12,41,threshold,scaled180,2,1.4982162473646847,479
EQ,2025-12,41,threshold,local180,3,1.473950420085247,479
EQ,2025-12,41,threshold,local_scaled180,4,1.4708708667631998,479
EQ,2025-12,41,threshold,local_shrink180,5,1.4745231736440148,479
EQ,2025-12,41,threshold,local_scaled_shrink180,6,1.4743891748240008,479
EQ,2025-12,42,threshold,global60,0,1.7790972261844673,479
EQ,2025-12,42,threshold,global180,1,1.8994064264467267,479
EQ,2025-12,42,threshold,scaled180,2,1.892269398386711,479
EQ,2025-12,42,threshold,local180,3,1.8617452976565259,479
EQ,2025-12,42,threshold,local_scaled180,4,1.8259594415090135,479
EQ,2025-12,42,threshold,local_shrink180,5,1.864465509029179,479
EQ,2025-12,42,threshold,local_scaled_shrink180,6,1.8412571295435967,479
EQ,2025-12,43,threshold,global60,0,1.6388958226392807,479
EQ,2025-12,43,threshold,global180,1,1.7114601565240102,479
EQ,2025-12,43,threshold,scaled180,2,1.7020494153739885,479
EQ,2025-12,43,threshold,local180,3,1.6883779403235022,479
EQ,2025-12,43,threshold,local_scaled180,4,1.6704847770291533,479
EQ,2025-12,43,threshold,local_shrink180,5,1.6876069732009409,479
EQ,2025-12,43,threshold,local_scaled_shrink180,6,1.6722001134224456,479
EQ,2025-12,44,threshold,global60,0,1.5173254134159015,479
EQ,2025-12,44,threshold,global180,1,1.5039589544999439,479
EQ,2025-12,44,threshold,scaled180,2,1.5105989121354244,479
EQ,2025-12,44,threshold,local180,3,1.4854677560057392,479
EQ,2025-12,44,threshold,local_scaled180,4,1.4804993604482397,479
EQ,2025-12,44,threshold,local_shrink180,5,1.4812671176974805,479
EQ,2025-12,44,threshold,local_scaled_shrink180,6,1.4815643362756457,479
EQ,2025-12,45,threshold,global60,0,1.6540966172257492,479
EQ,2025-12,45,threshold,global180,1,1.653912725938537,479
EQ,2025-12,45,threshold,scaled180,2,1.6490266925947554,479
EQ,2025-12,45,threshold,local180,3,1.6442678865112543,479
EQ,2025-12,45,threshold,local_scaled180,4,1.6377776127610446,479
EQ,2025-12,45,threshold,local_shrink180,5,1.6428252738429439,479
EQ,2025-12,45,threshold,local_scaled_shrink180,6,1.637666700329792,479
EQ,2025-12,46,threshold,global60,0,1.607286495497652,479
EQ,2025-12,46,threshold,global180,1,1.5698536222325716,479
EQ,2025-12,46,threshold,scaled180,2,1.5743954018380961,479
EQ,2025-12,46,threshold,local180,3,1.5639382698671784,479
EQ,2025-12,46,threshold,local_scaled180,4,1.5556067147611037,479
EQ,2025-12,46,threshold,local_shrink180,5,1.5607462279296758,479
EQ,2025-12,46,threshold,local_scaled_shrink180,6,1.5571723782290015,479
EQ,2025-12,47,threshold,global60,0,1.4288157604459337,479
EQ,2025-12,47,threshold,global180,1,1.4217739619180216,479
EQ,2025-12,47,threshold,scaled180,2,1.4253886505402114,479
EQ,2025-12,47,threshold,local180,3,1.4354266185993076,479
EQ,2025-12,47,threshold,local_scaled180,4,1.4349207455280484,479
EQ,2025-12,47,threshold,local_shrink180,5,1.4240620386956389,479
EQ,2025-12,47,threshold,local_scaled_shrink180,6,1.4253945601799458,479
EQ,2025-12,48,threshold,global60,0,2.2546301133377686,479
EQ,2025-12,48,threshold,global180,1,2.387675531002746,479
EQ,2025-12,48,threshold,scaled180,2,2.3724980718546456,479
EQ,2025-12,48,threshold,local180,3,2.4172582726072465,479
EQ,2025-12,48,threshold,local_scaled180,4,2.3618257990916707,479
EQ,2025-12,48,threshold,local_shrink180,5,2.3558044623226633,479
EQ,2025-12,48,threshold,local_scaled_shrink180,6,2.3188458371967307,479
EQ,2025-12,49,threshold,global60,0,1.6740944476060726,479
EQ,2025-12,49,threshold,global180,1,1.745219699646682,479
EQ,2025-12,49,threshold,scaled180,2,1.7301870954882628,479
EQ,2025-12,49,threshold,local180,3,1.7409545050559836,479
EQ,2025-12,49,threshold,local_scaled180,4,1.7289454374867044,479
EQ,2025-12,49,threshold,local_shrink180,5,1.732375792190247,479
EQ,2025-12,49,threshold,local_scaled_shrink180,6,1.7130746929230414,479
EQ,2025-12,50,threshold,global60,0,1.5012828683592756,479
EQ,2025-12,50,threshold,global180,1,1.545278647601086,479
EQ,2025-12,50,threshold,scaled180,2,1.5402285498097112,479
EQ,2025-12,50,threshold,local180,3,1.5458420594458395,479
EQ,2025-12,50,threshold,local_scaled180,4,1.5274989275366229,479
EQ,2025-12,50,threshold,local_shrink180,5,1.5323153180800428,479
EQ,2025-12,50,threshold,local_scaled_shrink180,6,1.5177297065644797,479
EQ,2025-12,51,threshold,global60,0,1.6043940319443424,479
EQ,2025-12,51,threshold,global180,1,1.6590569583480201,479
EQ,2025-12,51,threshold,scaled180,2,1.645283151074941,479
EQ,2025-12,51,threshold,local180,3,1.643801380180874,479
EQ,2025-12,51,threshold,local_scaled180,4,1.6436638436424467,479
EQ,2025-12,51,threshold,local_shrink180,5,1.6440469023513526,479
EQ,2025-12,51,threshold,local_scaled_shrink180,6,1.632905005706173,479
EQ,2025-12,52,threshold,global60,0,1.5987698252097806,479
EQ,2025-12,52,threshold,global180,1,1.6414068093605525,479
EQ,2025-12,52,threshold,scaled180,2,1.6188919941242184,479
EQ,2025-12,52,threshold,local180,3,1.6404442418445004,479
EQ,2025-12,52,threshold,local_scaled180,4,1.6244767186054445,479
EQ,2025-12,52,threshold,local_shrink180,5,1.6287058998140413,479
EQ,2025-12,52,threshold,local_scaled_shrink180,6,1.6121267675689746,479
EQ,2025-12,53,threshold,global60,0,1.465562619951282,479
EQ,2025-12,53,threshold,global180,1,1.5857602730165774,479
EQ,2025-12,53,threshold,scaled180,2,1.5781181764967567,479
EQ,2025-12,53,threshold,local180,3,1.5136226694530375,479
EQ,2025-12,53,threshold,local_scaled180,4,1.494495138591289,479
EQ,2025-12,53,threshold,local_shrink180,5,1.5430166265306398,479
EQ,2025-12,53,threshold,local_scaled_shrink180,6,1.5289108680220107,479
EQ,2025-12,54,threshold,global60,0,2.2546301133377598,479
EQ,2025-12,54,threshold,global180,1,2.3876755310027558,479
