definition,fold,family,policy,candidate,kind,rule,rule_rank,score,n
EQ,2026-02,state_hist,legacy,61,state_hist,global60,0,1.7362864673941292,400
EQ,2026-02,state_hist,fixed_model_selected_cal,61,state_hist,scaled180,2,1.7164742363514636,400
EQ,2026-02,state_hist,joint_selected,61,state_hist,scaled180,2,1.7164742363514636,400
EQ,2026-02,state_hist,global_window_selected,61,state_hist,global180,1,1.718081066028293,400
EQ,2026-03,linear,legacy,4,linear,global60,0,1.9419662554003612,404
EQ,2026-03,linear,fixed_model_selected_cal,4,linear,global180,1,1.8671039871719024,404
EQ,2026-03,linear,joint_selected,5,linear,local_scaled180,4,1.8551061905001307,404
EQ,2026-03,linear,global_window_selected,4,linear,global180,1,1.8671039871719024,404
EQ,2026-03,threshold,legacy,41,threshold,global60,0,1.9224798189911179,404
EQ,2026-03,threshold,fixed_model_selected_cal,41,threshold,local_scaled_shrink180,6,1.8406230019472611,404
EQ,2026-03,threshold,joint_selected,41,threshold,local_scaled_shrink180,6,1.8406230019472611,404
EQ,2026-03,threshold,global_window_selected,41,threshold,global180,1,1.8413397616047213,404
EQ,2026-03,ml_selected,legacy,16,qrf,global60,0,1.7909803380331075,404
EQ,2026-03,ml_selected,fixed_model_selected_cal,16,qrf,global180,1,1.7809101524144677,404
EQ,2026-03,ml_selected,joint_selected,28,boosting,local_scaled_shrink180,6,1.7620437367564237,404
EQ,2026-03,ml_selected,global_window_selected,15,qrf,global180,1,1.7767736594305927,404
EQ,2026-03,historical,legacy,60,historical,global60,0,2.4174092932232067,404
EQ,2026-03,historical,fixed_model_selected_cal,60,historical,local180,3,1.8424097275082685,404
EQ,2026-03,historical,joint_selected,60,historical,local180,3,1.8424097275082685,404
EQ,2026-03,historical,global_window_selected,60,historical,global60,0,2.4174092932232067,404
EQ,2026-03,state_hist,legacy,61,state_hist,global60,0,1.824282294542855,404
EQ,2026-03,state_hist,fixed_model_selected_cal,61,state_hist,local_scaled_shrink180,6,1.8068351416563693,404
EQ,2026-03,state_hist,joint_selected,61,state_hist,local_scaled_shrink180,6,1.8068351416563693,404
EQ,2026-03,state_hist,global_window_selected,61,state_hist,global180,1,1.813119360978051,404
CAP,2025-12,linear,legacy,5,linear,global60,0,1.3729773186967953,479
CAP,2025-12,linear,fixed_model_selected_cal,5,linear,global60,0,1.3729773186967953,479
CAP,2025-12,linear,joint_selected,5,linear,global60,0,1.3729773186967953,479
CAP,2025-12,linear,global_window_selected,5,linear,global60,0,1.3729773186967953,479
CAP,2025-12,threshold,legacy,47,threshold,global60,0,1.4152317074214877,479
CAP,2025-12,threshold,fixed_model_selected_cal,47,threshold,global60,0,1.4152317074214877,479
CAP,2025-12,threshold,joint_selected,47,threshold,global60,0,1.4152317074214877,479
CAP,2025-12,threshold,global_window_selected,47,threshold,global60,0,1.4152317074214877,479
CAP,2025-12,ml_selected,legacy,27,boosting,global60,0,1.2612440566024223,479
CAP,2025-12,ml_selected,fixed_model_selected_cal,27,boosting,global60,0,1.2612440566024223,479
CAP,2025-12,ml_selected,joint_selected,27,boosting,global60,0,1.2612440566024223,479
CAP,2025-12,ml_selected,global_window_selected,27,boosting,global60,0,1.2612440566024223,479
CAP,2025-12,historical,legacy,60,historical,global60,0,1.531486531805769,479
CAP,2025-12,historical,fixed_model_selected_cal,60,historical,local180,3,1.3798063251302333,479
CAP,2025-12,historical,joint_selected,60,historical,local180,3,1.3798063251302333,479
CAP,2025-12,historical,global_window_selected,60,historical,global180,1,1.517583021491025,479
CAP,2025-12,state_hist,legacy,61,state_hist,global60,0,1.3606566606623705,479
CAP,2025-12,state_hist,fixed_model_selected_cal,61,state_hist,global60,0,1.3606566606623705,479
CAP,2025-12,state_hist,joint_selected,61,state_hist,global60,0,1.3606566606623705,479
CAP,2025-12,state_hist,global_window_selected,61,state_hist,global60,0,1.3606566606623705,479
CAP,2026-01,linear,legacy,5,linear,global60,0,1.6663095810088513,445
CAP,2026-01,linear,fixed_model_selected_cal,5,linear,scaled180,2,1.5819607008329077,445
CAP,2026-01,linear,joint_selected,5,linear,scaled180,2,1.5819607008329077,445
CAP,2026-01,linear,global_window_selected,5,linear,global180,1,1.5950157705563985,445
CAP,2026-01,threshold,legacy,47,threshold,global60,0,1.710710632928928,445
CAP,2026-01,threshold,fixed_model_selected_cal,47,threshold,global180,1,1.5853661775282135,445
CAP,2026-01,threshold,joint_selected,47,threshold,global180,1,1.5853661775282135,445
CAP,2026-01,threshold,global_window_selected,47,threshold,global180,1,1.5853661775282135,445
CAP,2026-01,ml_selected,legacy,27,boosting,global60,0,1.3755914349338552,445
CAP,2026-01,ml_selected,fixed_model_selected_cal,27,boosting,global60,0,1.3755914349338552,445
CAP,2026-01,ml_selected,joint_selected,28,boosting,global180,1,1.374814766852602,445
CAP,2026-01,ml_selected,global_window_selected,28,boosting,global180,1,1.374814766852602,445
CAP,2026-01,historical,legacy,60,historical,global60,0,1.5949461281566046,445
CAP,2026-01,historical,fixed_model_selected_cal,60,historical,local180,3,1.4678299387722091,445
CAP,2026-01,historical,joint_selected,60,historical,local180,3,1.4678299387722091,445
CAP,2026-01,historical,global_window_selected,60,historical,global180,1,1.594419551453595,445
CAP,2026-01,state_hist,legacy,61,state_hist,global60,0,1.4700709302455282,445
CAP,2026-01,state_hist,fixed_model_selected_cal,61,state_hist,global180,1,1.444045543764336,445
CAP,2026-01,state_hist,joint_selected,61,state_hist,global180,1,1.444045543764336,445
CAP,2026-01,state_hist,global_window_selected,61,state_hist,global180,1,1.444045543764336,445
CAP,2026-02,linear,legacy,5,linear,global60,0,1.7164350853591623,400
CAP,2026-02,linear,fixed_model_selected_cal,5,linear,scaled180,2,1.641525986552789,400
CAP,2026-02,linear,joint_selected,5,linear,scaled180,2,1.641525986552789,400
CAP,2026-02,linear,global_window_selected,5,linear,global180,1,1.663582995057826,400
CAP,2026-02,threshold,legacy,47,threshold,global60,0,1.7782363668810706,400
CAP,2026-02,threshold,fixed_model_selected_cal,47,threshold,global180,1,1.6796892607242513,400
CAP,2026-02,threshold,joint_selected,47,threshold,global180,1,1.6796892607242513,400
CAP,2026-02,threshold,global_window_selected,47,threshold,global180,1,1.6796892607242513,400
CAP,2026-02,ml_selected,legacy,27,boosting,global60,0,1.3775407811066258,400
CAP,2026-02,ml_selected,fixed_model_selected_cal,27,boosting,global60,0,1.3775407811066258,400
CAP,2026-02,ml_selected,joint_selected,27,boosting,global60,0,1.3775407811066258,400
CAP,2026-02,ml_selected,global_window_selected,27,boosting,global60,0,1.3775407811066258,400
CAP,2026-02,historical,legacy,60,historical,global60,0,1.633322972406142,400
CAP,2026-02,historical,fixed_model_selected_cal,60,historical,local180,3,1.4739325212944896,400
CAP,2026-02,historical,joint_selected,60,historical,local180,3,1.4739325212944896,400
CAP,2026-02,historical,global_window_selected,60,historical,global60,0,1.633322972406142,400
CAP,2026-02,state_hist,legacy,61,state_hist,global60,0,1.4719452042188923,400
CAP,2026-02,state_hist,fixed_model_selected_cal,61,state_hist,local_shrink180,5,1.4498256311793898,400
CAP,2026-02,state_hist,joint_selected,61,state_hist,local_shrink180,5,1.4498256311793898,400
CAP,2026-02,state_hist,global_window_selected,61,state_hist,global180,1,1.4543151889100523,400
CAP,2026-03,linear,legacy,4,linear,global60,0,1.4293359919654827,404
CAP,2026-03,linear,fixed_model_selected_cal,4,linear,global180,1,1.2174538387234008,404
CAP,2026-03,linear,joint_selected,8,linear,scaled180,2,1.172280658853682,404
CAP,2026-03,linear,global_window_selected,8,linear,global180,1,1.1789422619987584,404
CAP,2026-03,threshold,legacy,47,threshold,global60,0,1.4347855257639373,404
CAP,2026-03,threshold,fixed_model_selected_cal,47,threshold,global180,1,1.2183929060622596,404
CAP,2026-03,threshold,joint_selected,41,threshold,global180,1,1.2174775998211818,404
CAP,2026-03,threshold,global_window_selected,41,threshold,global180,1,1.2174775998211818,404
CAP,2026-03,ml_selected,legacy,17,qrf,global60,0,1.241364441183983,404
CAP,2026-03,ml_selected,fixed_model_selected_cal,17,qrf,scaled180,2,1.2014168955872013,404
CAP,2026-03,ml_selected,joint_selected,16,qrf,scaled180,2,1.1842625700743965,404
CAP,2026-03,ml_selected,global_window_selected,16,qrf,global180,1,1.1875448325048334,404
CAP,2026-03,historical,legacy,60,historical,global60,0,1.6122575356480011,404
CAP,2026-03,historical,fixed_model_selected_cal,60,historical,local_scaled180,4,1.3675002053955547,404
CAP,2026-03,historical,joint_selected,60,historical,local_scaled180,4,1.3675002053955547,404
CAP,2026-03,historical,global_window_selected,60,historical,global60,0,1.6122575356480011,404
CAP,2026-03,state_hist,legacy,61,state_hist,global60,0,1.3554783585962222,404
CAP,2026-03,state_hist,fixed_model_selected_cal,61,state_hist,local_shrink180,5,1.2675903267556057,404
CAP,2026-03,state_hist,joint_selected,61,state_hist,local_shrink180,5,1.2675903267556057,404
CAP,2026-03,state_hist,global_window_selected,61,state_hist,global180,1,1.2749314351451357,404
PCA,2025-12,linear,legacy,7,linear,global60,0,1.4142315155535163,479
PCA,2025-12,linear,fixed_model_selected_cal,7,linear,global60,0,1.4142315155535163,479
PCA,2025-12,linear,joint_selected,5,linear,local_shrink180,5,1.3741217356223323,479
PCA,2025-12,linear,global_window_selected,5,linear,global180,1,1.4094162979951472,479
PCA,2025-12,threshold,legacy,59,threshold,global60,0,1.4142179749495354,479
PCA,2025-12,threshold,fixed_model_selected_cal,59,threshold,global60,0,1.4142179749495354,479
PCA,2025-12,threshold,joint_selected,47,threshold,global180,1,1.4133562074981973,479
PCA,2025-12,threshold,global_window_selected,47,threshold,global180,1,1.4133562074981973,479
PCA,2025-12,ml_selected,legacy,16,qrf,global60,0,1.3385946506252209,479
PCA,2025-12,ml_selected,fixed_model_selected_cal,16,qrf,global60,0,1.3385946506252209,479
PCA,2025-12,ml_selected,joint_selected,29,boosting,local_scaled_shrink180,6,1.3337591313382275,479
PCA,2025-12,ml_selected,global_window_selected,16,qrf,global60,0,1.3385946506252209,479
PCA,2025-12,historical,legacy,60,historical,global60,0,1.7427831378768526,479
PCA,2025-12,historical,fixed_model_selected_cal,60,historical,local_scaled180,4,1.3844789436856566,479
PCA,2025-12,historical,joint_selected,60,historical,local_scaled180,4,1.3844789436856566,479
PCA,2025-12,historical,global_window_selected,60,historical,global180,1,1.6778677594854174,479
PCA,2025-12,state_hist,legacy,61,state_hist,global60,0,1.4554902700104888,479
PCA,2025-12,state_hist,fixed_model_selected_cal,61,state_hist,local_shrink180,5,1.4195821988580957,479
PCA,2025-12,state_hist,joint_selected,61,state_hist,local_shrink180,5,1.4195821988580957,479
PCA,2025-12,state_hist,global_window_selected,61,state_hist,global180,1,1.42718130128553,479
PCA,2026-01,linear,legacy,11,linear,global60,0,1.7484577986241532,445
PCA,2026-01,linear,fixed_model_selected_cal,11,linear,global60,0,1.7484577986241532,445
PCA,2026-01,linear,joint_selected,5,linear,global180,1,1.7238976885934312,445
PCA,2026-01,linear,global_window_selected,5,linear,global180,1,1.7238976885934312,445
PCA,2026-01,threshold,legacy,59,threshold,global60,0,1.786941826029979,445
PCA,2026-01,threshold,fixed_model_selected_cal,59,threshold,local_scaled180,4,1.7489421639784148,445
PCA,2026-01,threshold,joint_selected,59,threshold,local_scaled180,4,1.7489421639784148,445
PCA,2026-01,threshold,global_window_selected,59,threshold,global60,0,1.786941826029979,445
PCA,2026-01,ml_selected,legacy,16,qrf,global60,0,1.6548771463451921,445
PCA,2026-01,ml_selected,fixed_model_selected_cal,16,qrf,global60,0,1.6548771463451921,445
PCA,2026-01,ml_selected,joint_selected,29,boosting,scaled180,2,1.605729467474193,445
PCA,2026-01,ml_selected,global_window_selected,29,boosting,global180,1,1.6165856874502713,445
PCA,2026-01,historical,legacy,60,historical,global60,0,2.0315451563506883,445
PCA,2026-01,historical,fixed_model_selected_cal,60,historical,local180,3,1.68134588804417,445
PCA,2026-01,historical,joint_selected,60,historical,local180,3,1.68134588804417,445
PCA,2026-01,historical,global_window_selected,60,historical,global180,1,2.003328982287955,445
PCA,2026-01,state_hist,legacy,61,state_hist,global60,0,1.7126014599825297,445
PCA,2026-01,state_hist,fixed_model_selected_cal,61,state_hist,scaled180,2,1.6766290951699696,445
PCA,2026-01,state_hist,joint_selected,61,state_hist,scaled180,2,1.6766290951699696,445
PCA,2026-01,state_hist,global_window_selected,61,state_hist,global180,1,1.6812531118936211,445
PCA,2026-02,linear,legacy,5,linear,global60,0,1.9399352356325616,400
PCA,2026-02,linear,fixed_model_selected_cal,5,linear,scaled180,2,1.853352366062345,400
PCA,2026-02,linear,joint_selected,5,linear,scaled180,2,1.853352366062345,400
PCA,2026-02,linear,global_window_selected,5,linear,global180,1,1.8581583204453838,400
PCA,2026-02,threshold,legacy,59,threshold,global60,0,1.8875747653322077,400
PCA,2026-02,threshold,fixed_model_selected_cal,59,threshold,local_scaled180,4,1.8489932660876567,400
PCA,2026-02,threshold,joint_selected,59,threshold,local_scaled180,4,1.8489932660876567,400
PCA,2026-02,threshold,global_window_selected,59,threshold,global60,0,1.8875747653322077,400
PCA,2026-02,ml_selected,legacy,16,qrf,global60,0,1.7182642151799201,400
PCA,2026-02,ml_selected,fixed_model_selected_cal,16,qrf,global60,0,1.7182642151799201,400
PCA,2026-02,ml_selected,joint_selected,29,boosting,scaled180,2,1.703774783438426,400
PCA,2026-02,ml_selected,global_window_selected,28,boosting,global180,1,1.7125828833320411,400
PCA,2026-02,historical,legacy,60,historical,global60,0,2.1551295725381174,400
PCA,2026-02,historical,fixed_model_selected_cal,60,historical,local180,3,1.727217974094311,400
PCA,2026-02,historical,joint_selected,60,historical,local180,3,1.727217974094311,400
PCA,2026-02,historical,global_window_selected,60,historical,global180,1,2.1443789340408648,400
PCA,2026-02,state_hist,legacy,61,state_hist,global60,0,1.7273212332230399,400
PCA,2026-02,state_hist,fixed_model_selected_cal,61,state_hist,global180,1,1.722539901416069,400
PCA,2026-02,state_hist,joint_selected,61,state_hist,global180,1,1.722539901416069,400
PCA,2026-02,state_hist,global_window_selected,61,state_hist,global180,1,1.722539901416069,400
PCA,2026-03,linear,legacy,4,linear,global60,0,1.928155206596478,404
PCA,2026-03,linear,fixed_model_selected_cal,4,linear,global180,1,1.8587146744495102,404
PCA,2026-03,linear,joint_selected,5,linear,local_scaled180,4,1.8452793646703238,404
PCA,2026-03,linear,global_window_selected,4,linear,global180,1,1.8587146744495102,404
PCA,2026-03,threshold,legacy,41,threshold,global60,0,1.907081612451634,404
PCA,2026-03,threshold,fixed_model_selected_cal,41,threshold,global180,1,1.8328345579674232,404
PCA,2026-03,threshold,joint_selected,41,threshold,global180,1,1.8328345579674232,404
PCA,2026-03,threshold,global_window_selected,41,threshold,global180,1,1.8328345579674232,404
PCA,2026-03,ml_selected,legacy,16,qrf,global60,0,1.7834986661743815,404
PCA,2026-03,ml_selected,fixed_model_selected_cal,16,qrf,global180,1,1.775452747874346,404
PCA,2026-03,ml_selected,joint_selected,28,boosting,local_scaled180,4,1.7495060120261754,404
PCA,2026-03,ml_selected,global_window_selected,15,qrf,global180,1,1.7674542628928631,404
PCA,2026-03,historical,legacy,60,historical,global60,0,2.403452816364645,404
PCA,2026-03,historical,fixed_model_selected_cal,60,historical,local180,3,1.8296417380631602,404
PCA,2026-03,historical,joint_selected,60,historical,local180,3,1.8296417380631602,404
PCA,2026-03,historical,global_window_selected,60,historical,global60,0,2.403452816364645,404
PCA,2026-03,state_hist,legacy,61,state_hist,global60,0,1.8042440658034695,404
PCA,2026-03,state_hist,fixed_model_selected_cal,61,state_hist,local_scaled_shrink180,6,1.7904257655217408,404
PCA,2026-03,state_hist,joint_selected,61,state_hist,local_scaled_shrink180,6,1.7904257655217408,404
PCA,2026-03,state_hist,global_window_selected,61,state_hist,global180,1,1.7940704920875132,404
