definition,policy,family,fold,n,pinball,below,q_change,too_low,too_high,cost_5,missed_severity_5,cost_10,missed_severity_10,cost_20,missed_severity_20,event_5,alarm_5,tp_5,fp_5,fn_5,event_10,alarm_10,tp_10,fp_10,fn_10,event_20,alarm_20,tp_20,fp_20,fn_20,coverage_abs_error,conditional_abs_error
EQ,joint_selected,historical,2026-03,105,2.0933652114525745,0.1523809523809524,-13.166707828310352,1.2488006215578922,0.8445645898946821,0.04857142857142857,0.0823761760772005,0.06952380952380953,0.2658668626379436,0.02666666666666667,0.027634625416174903,41.0,82.0,40.0,42.0,1.0,31.0,44.0,25.0,19.0,6.0,16.0,34.0,15.0,19.0,1.0,0.05238095238095239,0.052380952380952375
EQ,joint_selected,linear,2025-12,139,2.3453228051341,0.1079136690647482,-11.030421238096293,1.3169590426830917,1.0283637624510085,0.07194244604316546,0.5793654440601517,0.06474820143884892,0.5233776528752218,0.039568345323741004,0.41451007486962643,48.0,128.0,46.0,82.0,2.0,29.0,89.0,26.0,63.0,3.0,8.0,13.0,3.0,10.0,5.0,0.007913669064748191,0.046762589928057555
EQ,joint_selected,linear,2026-01,137,1.4594390829906374,0.0948905109489051,-11.364628050748443,1.2578518497188653,0.20158723327177203,0.0708029197080292,0.0,0.07153284671532847,0.023280574839004975,0.01386861313868613,0.028161535771752223,35.0,132.0,35.0,97.0,0.0,17.0,85.0,14.0,71.0,3.0,2.0,1.0,0.0,1.0,2.0,0.005109489051094901,0.056204379562043806
EQ,joint_selected,linear,2026-02,128,2.155337110220371,0.1171875,-14.205525150231136,1.552950014927074,0.6023870952932971,0.06796875,0.0,0.05859375,0.0,0.05625,0.27679190553209065,40.0,127.0,40.0,87.0,0.0,27.0,102.0,27.0,75.0,0.0,13.0,15.0,6.0,9.0,7.0,0.017187499999999994,0.11562499999999999
EQ,joint_selected,linear,2026-03,105,2.028290994483575,0.17142857142857143,-11.27495755651385,1.0720356753993072,0.9562553190842683,0.03619047619047619,0.0823761760772005,0.07428571428571429,0.34751652211452094,0.032380952380952385,0.03196325517760112,41.0,69.0,40.0,29.0,1.0,31.0,39.0,24.0,15.0,7.0,16.0,30.0,14.0,16.0,2.0,0.07142857142857142,0.07142857142857142
EQ,joint_selected,ml_selected,2025-12,139,2.100962223745711,0.10071942446043165,-11.151386005507094,1.3034098136112249,0.7975524101344862,0.052517985611510797,0.07050646559920415,0.05755395683453238,0.5542315538960553,0.0460431654676259,0.41451007486962643,48.0,108.5,46.75,61.75,1.25,29.0,64.0,24.5,39.5,4.5,8.0,22.0,3.0,19.0,5.0,0.0007194244604316474,0.025179856115107913
EQ,joint_selected,ml_selected,2026-01,137,1.4719837210646336,0.14233576642335766,-9.26937016017215,1.0705331033743986,0.40145061769023505,0.07846715328467153,0.09678580584316694,0.06113138686131387,0.08277360740714391,0.008576642335766424,0.028035268081821982,35.0,105.0,31.25,73.75,3.75,17.0,50.75,12.0,38.75,5.0,2.0,3.75,1.0,2.75,1.0,0.04233576642335765,0.05985401459854014
EQ,joint_selected,ml_selected,2026-02,128,1.7976122996809676,0.09765625,-13.885710725049467,1.4883942356067836,0.30921806407418395,0.065234375,0.0,0.044140625,0.0,0.014843750000000001,0.0,40.0,123.5,40.0,83.5,0.0,27.0,83.5,27.0,56.5,0.0,13.0,32.0,13.0,19.0,0.0,0.0023437500000000056,0.06484375
EQ,joint_selected,ml_selected,2026-03,105,2.21022797570571,0.1523809523809524,-13.27894369028533,1.2705881255609541,0.9396398501447562,0.06,0.0823761760772005,0.07523809523809524,0.2658668626379436,0.043809523809523805,0.16755196739509215,41.0,94.0,40.0,54.0,1.0,31.0,50.0,25.0,25.0,6.0,16.0,22.0,12.0,10.0,4.0,0.05238095238095239,0.052380952380952375
EQ,joint_selected,state_hist,2025-12,139,2.1175604212224783,0.09352517985611511,-11.225313768140138,1.3117231319958753,0.805837289226603,0.0712230215827338,0.018247830542211498,0.06187050359712231,0.5839594856592192,0.04388489208633094,0.3938781987908149,48.0,137.0,47.0,90.0,1.0,29.0,55.0,23.0,32.0,6.0,8.0,29.0,4.0,25.0,4.0,0.006474820143884896,0.017985611510791366
