definition,family,rule,sample,n,pinball,below,q_change,too_low,too_high,cost_5,missed_severity_5,cost_10,missed_severity_10,cost_20,missed_severity_20,event_5,alarm_5,tp_5,fp_5,fn_5,event_10,alarm_10,tp_10,fp_10,fn_10,event_20,alarm_20,tp_20,fp_20,fn_20,coverage_abs_error,conditional_abs_error
CAP,linear,local_scaled180,2025-12,139,1.6713167790660644,0.08633093525179857,-14.625075825483554,1.4721407367010038,0.1991760423650607,0.06474820143884892,0.0,0.061870503597122296,0.024359699492734522,0.03237410071942446,0.03292301868384474,44.0,134.0,44.0,90.0,0.0,24.0,100.0,23.0,77.0,1.0,2.0,27.0,0.0,27.0,2.0,0.01366906474820144,0.09712230215827339
CAP,linear,local_scaled180,2026-01,137,1.1502621093186163,0.10948905109489052,-7.9865802520360605,0.9017742638561518,0.24848784546246452,0.056204379562043806,0.04166426148072618,0.043065693430656936,0.06541050393805095,0.0014598540145985403,0.0,34.0,81.0,31.0,50.0,3.0,10.0,49.0,8.0,41.0,2.0,1.0,3.0,1.0,2.0,0.0,0.00948905109489051,0.03284671532846715
CAP,linear,local_scaled180,2026-02,128,1.3269764558430213,0.09375,-9.436254597708412,1.0208968189653191,0.30607963687770195,0.05546875,0.0,0.05937500000000001,0.06138434303313045,0.0140625,0.06122156833654879,32.0,103.0,32.0,71.0,0.0,16.0,62.0,13.0,49.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0062500000000000056,0.03906250000000001
CAP,linear,local_scaled180,2026-03,105,1.6074178661605982,0.18095238095238095,-8.060529977774284,0.8335342143427062,0.7738836518178921,0.04571428571428572,0.1360798202197318,0.06380952380952382,0.10794904191438032,0.018095238095238095,0.10606556395960648,33.0,61.0,31.0,30.0,2.0,21.0,38.0,16.0,22.0,5.0,7.0,6.0,5.0,1.0,2.0,0.08095238095238094,0.08095238095238096
CAP,linear,local_scaled_shrink180,full,509,1.3718150960326316,0.10216110019646366,-9.742413381743525,1.028147136724709,0.34366795930792243,0.05854616895874263,0.03737776605278727,0.05225933202357564,0.045875516499245615,0.015324165029469547,0.06126859648236766,143.0,401.0,139.0,262.0,4.0,71.0,247.0,62.0,185.0,9.0,12.0,10.0,4.0,6.0,8.0,0.00216110019646365,0.047740667976424365
CAP,linear,local_scaled_shrink180,2025-12,139,1.5160429435721963,0.07913669064748201,-13.224368674005978,1.3305497095186347,0.18549323405356147,0.0683453237410072,0.0,0.05971223021582733,0.0,0.016546762589928057,0.03292301868384474,44.0,139.0,44.0,95.0,0.0,24.0,107.0,24.0,83.0,0.0,2.0,5.0,0.0,5.0,2.0,0.020863309352517997,0.08992805755395683
CAP,linear,local_scaled_shrink180,2026-01,137,1.0948866563189295,0.08029197080291971,-8.191212256053479,0.914653598917751,0.18023305740117865,0.058394160583941604,0.03457592553136408,0.03722627737226278,0.030356150283688967,0.006569343065693431,0.011267890936370904,34.0,94.0,32.0,62.0,2.0,10.0,51.0,9.0,42.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0197080291970803,0.031386861313868614
CAP,linear,local_scaled_shrink180,2026-02,128,1.3302289407662644,0.09375,-8.94093066034295,0.9766429130947518,0.3535860276715125,0.057812499999999996,0.0,0.05234375000000001,0.06138434303313045,0.0140625,0.06122156833654879,32.0,106.0,32.0,74.0,0.0,16.0,53.0,13.0,40.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0062500000000000056,0.0546875
CAP,linear,local_scaled_shrink180,2026-03,105,1.5929060799076102,0.17142857142857143,-8.133961543022844,0.838691876589778,0.7542142033178323,0.04666666666666667,0.1360798202197318,0.06190476190476191,0.10794904191438032,0.026666666666666665,0.16408908768675867,33.0,62.0,31.0,31.0,2.0,21.0,36.0,16.0,20.0,5.0,7.0,5.0,4.0,1.0,3.0,0.07142857142857142,0.07142857142857142
CAP,linear,local_shrink180,full,509,1.3764650130763232,0.10609037328094302,-9.804540675240633,1.0342035848438187,0.3422614282325049,0.05854616895874263,0.03737776605278727,0.05658153241650294,0.053207134018459945,0.014734774066797643,0.06126859648236766,143.0,401.0,139.0,262.0,4.0,71.0,249.0,60.0,189.0,11.0,12.0,7.0,4.0,3.0,8.0,0.006090373280943015,0.05166994106090373
CAP,linear,local_shrink180,2025-12,139,1.5186824977502544,0.07913669064748201,-13.354735925534944,1.342546717574048,0.1761357801762067,0.0683453237410072,0.0,0.0683453237410072,0.024359699492734522,0.014388489208633094,0.03292301868384474,44.0,139.0,44.0,95.0,0.0,24.0,109.0,23.0,86.0,1.0,2.0,2.0,0.0,2.0,2.0,0.020863309352517997,0.10431654676258993
CAP,linear,local_shrink180,2026-01,137,1.1096794323112693,0.08759124087591241,-8.359239159205725,0.9312552978006869,0.17842413451058256,0.058394160583941604,0.03457592553136408,0.03795620437956204,0.030356150283688967,0.006569343065693431,0.011267890936370904,34.0,94.0,32.0,62.0,2.0,10.0,52.0,9.0,43.0,1.0,1.0,0.0,0.0,0.0,1.0,0.012408759124087593,0.02408759124087591
CAP,linear,local_shrink180,2026-02,128,1.3269671502424867,0.09375,-8.933434903705718,0.9756421159450233,0.35132503429746326,0.057812499999999996,0.0,0.05234375000000001,0.06138434303313045,0.0140625,0.06122156833654879,32.0,106.0,32.0,74.0,0.0,16.0,53.0,13.0,40.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0062500000000000056,0.0546875
CAP,linear,local_shrink180,2026-03,105,1.5966280667702952,0.18095238095238095,-8.052452167262949,0.831728231457656,0.7648998353126393,0.04666666666666667,0.1360798202197318,0.07047619047619048,0.1112423284647612,0.026666666666666665,0.16408908768675867,33.0,62.0,31.0,31.0,2.0,21.0,35.0,15.0,20.0,6.0,7.0,5.0,4.0,1.0,3.0,0.08095238095238094,0.08095238095238096
CAP,linear,scaled180,full,509,1.3390765966446025,0.10609037328094302,-9.30556690013905,0.9855571034415037,0.35351949320309867,0.05972495088408644,0.03287640940536842,0.05284872298624754,0.0515280506373756,0.014341846758349704,0.06126859648236766,143.0,417.0,140.0,277.0,3.0,71.0,230.0,60.0,170.0,11.0,12.0,5.0,4.0,1.0,8.0,0.006090373280943015,0.0555992141453831
CAP,linear,scaled180,2025-12,139,1.3793324457734748,0.07194244604316546,-11.823661522528399,1.1908150161057807,0.18851742966769428,0.06762589928057552,0.0,0.05323741007194244,0.0,0.012949640287769784,0.03292301868384474,44.0,138.0,44.0,94.0,0.0,24.0,98.0,24.0,74.0,0.0,2.0,0.0,0.0,0.0,2.0,0.02805755395683454,0.08273381294964029
CAP,linear,scaled180,2026-01,137,1.089738611934328,0.08029197080291971,-8.395844260070898,0.9325556748408586,0.15718293709346937,0.06058394160583942,0.01785190703839919,0.035036496350364967,0.030356150283688967,0.006569343065693431,0.011267890936370904,34.0,107.0,33.0,74.0,1.0,10.0,48.0,9.0,39.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0197080291970803,0.03722627737226278
CAP,linear,scaled180,2026-02,128,1.3532827373932754,0.109375,-8.445606722977486,0.9343691383945613,0.4189135989987141,0.05859374999999999,0.0,0.05546875000000001,0.08116047419342867,0.0140625,0.06122156833654879,32.0,107.0,32.0,75.0,0.0,16.0,47.0,12.0,35.0,4.0,2.0,0.0,0.0,0.0,2.0,0.009374999999999994,0.0703125
