definition,policy,family,seed,n,pinball,below,q_change,too_low,too_high,cost_5,missed_severity_5,cost_10,missed_severity_10,cost_20,missed_severity_20,event_5,alarm_5,tp_5,fp_5,fn_5,event_10,alarm_10,tp_10,fp_10,fn_10,event_20,alarm_20,tp_20,fp_20,fn_20,coverage_abs_error,conditional_abs_error
PCA,fixed_model_selected_cal,ml_selected,20260927,509,1.848173857027202,0.10805500982318271,-11.907293376153573,1.2897592029209284,0.5584146541062734,0.06031434184675836,0.03462615882851688,0.055992141453831044,0.21600798543983202,0.02632612966601179,0.14223597122510354,161.0,418.0,156.0,262.0,5.0,104.0,259.0,91.0,168.0,13.0,37.0,91.0,29.0,62.0,8.0,0.008055009823182704,0.03791748526522594
PCA,fixed_model_selected_cal,ml_selected,20260928,509,1.84354544932973,0.10019646365422397,-11.754366119478771,1.2755329090504488,0.5680125402792812,0.059528487229862474,0.03462615882851688,0.05697445972495089,0.22089143976885386,0.02612966601178782,0.14223597122510354,161.0,414.0,156.0,258.0,5.0,104.0,254.0,90.0,164.0,14.0,37.0,90.0,29.0,61.0,8.0,0.00019646365422396062,0.03831041257367388
PCA,fixed_model_selected_cal,state_hist,20260925,509,1.8540179909529502,0.1100196463654224,-11.57803974250182,1.2607107892848455,0.5933072016681045,0.07131630648330059,0.03410670546310062,0.05166994106090374,0.22131511553088756,0.025933202357563852,0.111650333551125,161.0,484.0,157.0,327.0,4.0,104.0,207.0,88.0,119.0,16.0,37.0,119.0,32.0,87.0,5.0,0.010019646365422394,0.025343811394891943
PCA,fixed_model_selected_cal,threshold,20260925,509,2.0104498025174053,0.11198428290766209,-13.001072859819901,1.4044269509999183,0.6060228515174869,0.06326129666011789,0.1409582421780863,0.06345776031434186,0.2230838639238926,0.03929273084479372,0.20037015301326302,161.0,413.0,154.0,259.0,7.0,104.0,307.0,92.0,215.0,12.0,37.0,107.0,24.0,83.0,13.0,0.011984282907662083,0.03516699410609037
PCA,global_window_selected,historical,20260925,509,2.4956524306323895,0.10412573673870335,-16.728766553561595,1.7884396462481693,0.7072127843842205,0.06836935166994106,0.0,0.07956777996070727,0.0,0.05618860510805501,0.3305528109915314,161.0,509.0,161.0,348.0,0.0,104.0,509.0,104.0,405.0,0.0,37.0,103.0,15.0,88.0,22.0,0.0041257367387033395,0.12907662082514737
PCA,global_window_selected,linear,20260925,509,1.9855866371856967,0.1237721021611002,-11.599203174008244,1.2757723627436983,0.7098142744419985,0.06385068762278978,0.15748174078976226,0.06168958742632613,0.18749802196708149,0.04066797642436149,0.27877477288738534,161.0,466.0,159.0,307.0,2.0,104.0,328.0,95.0,233.0,9.0,37.0,34.0,16.0,18.0,21.0,0.023772102161100192,0.07760314341846758
PCA,global_window_selected,ml_selected,20260925,509,1.896397414109663,0.1237721021611002,-11.683276917539292,1.2744200773538894,0.6219773367557733,0.06463654223968567,0.04890109592399711,0.056581532416502954,0.21648022415655416,0.03025540275049116,0.16095638920085192,161.0,430.0,155.0,275.0,6.0,104.0,252.0,90.0,162.0,14.0,37.0,81.0,26.0,55.0,11.0,0.023772102161100192,0.04223968565815324
PCA,global_window_selected,ml_selected,20260926,509,1.8906028002192776,0.1237721021611002,-11.640513450163391,1.2699919039010197,0.6206108963182579,0.06483300589390963,0.04890109592399711,0.05834970530451867,0.22136367848557598,0.028290766208251477,0.13760355734937252,161.0,431.0,155.0,276.0,6.0,104.0,251.0,89.0,162.0,15.0,37.0,81.0,27.0,54.0,10.0,0.023772102161100192,0.04616895874263262
PCA,global_window_selected,ml_selected,20260927,509,1.8950449241264156,0.12770137524557956,-11.701521113610571,1.2759268060019795,0.6191181181244362,0.06424361493123773,0.04890109592399711,0.055992141453831044,0.21648022415655416,0.02848722986247544,0.1532311138350516,161.0,428.0,155.0,273.0,6.0,104.0,249.0,90.0,159.0,14.0,37.0,82.0,27.0,55.0,10.0,0.027701375245579557,0.043025540275049116
PCA,global_window_selected,ml_selected,20260928,509,1.8909984356960263,0.12180746561886051,-11.6999189648909,1.2753779637741702,0.6156204719218559,0.06640471512770138,0.06940748474744222,0.056581532416502954,0.21648022415655416,0.028683693516699412,0.1532311138350516,161.0,429.0,154.0,275.0,7.0,104.0,252.0,90.0,162.0,14.0,37.0,83.0,27.0,56.0,10.0,0.021807465618860503,0.04420432220039293
PCA,global_window_selected,state_hist,20260925,509,1.8475089358745853,0.11198428290766209,-11.682768756737458,1.2694854950582166,0.5780234408163691,0.06817288801571708,0.00597184389378534,0.05265225933202358,0.22131511553088756,0.027308447937131632,0.11750178433469523,161.0,498.0,160.0,338.0,1.0,104.0,212.0,88.0,124.0,16.0,37.0,116.0,31.0,85.0,6.0,0.011984282907662083,0.03084479371316307
PCA,global_window_selected,threshold,20260925,509,2.0811522901478763,0.11198428290766209,-13.106322680150333,1.4209696835927044,0.6601826065551718,0.06110019646365423,0.17423731924485003,0.0644400785854617,0.24143338460113634,0.038899803536345784,0.23594724301144154,161.0,432.0,157.0,275.0,4.0,104.0,292.0,90.0,202.0,14.0,37.0,75.0,21.0,54.0,16.0,0.011984282907662083,0.05795677799607073
PCA,joint_selected,historical,20260925,509,1.9378534391683708,0.12180746561886051,-11.82780471890248,1.2915731819824467,0.646280257185924,0.07249508840864441,0.21665671898454125,0.05147347740667977,0.22006570785256283,0.036345776031434185,0.14685745871498898,161.0,440.0,152.0,288.0,9.0,104.0,216.0,89.0,127.0,15.0,37.0,112.0,26.0,86.0,11.0,0.021807465618860503,0.029666011787819257
PCA,joint_selected,linear,20260925,509,1.9851493219477967,0.1237721021611002,-11.891540177385425,1.302038961523855,0.6831103604239421,0.0636542239685658,0.17429013175967456,0.06679764243614932,0.2178060339113924,0.03477406679764243,0.21068855676872558,161.0,455.0,158.0,297.0,3.0,104.0,314.0,91.0,223.0,13.0,37.0,54.0,21.0,33.0,16.0,0.023772102161100192,0.05009823182711198
PCA,joint_selected,ml_selected,20260925,509,1.859295334993996,0.12966601178781925,-11.338267406407358,1.2396590134404484,0.6196363215535476,0.0681728880157171,0.1397514927562315,0.05697445972495088,0.22838455609450387,0.022593320235756387,0.1251110342079544,161.0,398.0,150.0,248.0,11.0,104.0,234.0,88.0,146.0,16.0,37.0,82.0,30.0,52.0,7.0,0.029666011787819246,0.03359528487229861
PCA,joint_selected,ml_selected,20260926,509,1.8602277397659155,0.12966601178781925,-11.387147971598067,1.2441515047848042,0.6160762349811114,0.06915520628683694,0.1397514927562315,0.05952848722986248,0.228856794811226,0.022593320235756387,0.1251110342079544,161.0,403.0,150.0,253.0,11.0,104.0,237.0,87.0,150.0,17.0,37.0,82.0,30.0,52.0,7.0,0.029666011787819246,0.03359528487229861
PCA,joint_selected,ml_selected,20260927,509,1.8552689733750685,0.1237721021611002,-11.362354470303481,1.2414242130292068,0.6138447603458618,0.06738703339882121,0.08969855546962589,0.05677799607072692,0.22838455609450387,0.022789783889980354,0.1251110342079544,161.0,404.0,151.0,253.0,10.0,104.0,233.0,88.0,145.0,16.0,37.0,83.0,30.0,53.0,7.0,0.023772102161100192,0.031237721021611
PCA,joint_selected,ml_selected,20260928,509,1.8564412604711238,0.12770137524557956,-11.34819714093688,1.2402672820958185,0.6161739783753054,0.06895874263261298,0.1397514927562315,0.05717092337917486,0.22838455609450387,0.022593320235756387,0.1251110342079544,161.0,402.0,150.0,252.0,11.0,104.0,235.0,88.0,147.0,16.0,37.0,82.0,30.0,52.0,7.0,0.027701375245579557,0.031630648330058936
PCA,joint_selected,state_hist,20260925,509,1.8540179909529502,0.1100196463654224,-11.57803974250182,1.2607107892848455,0.5933072016681045,0.07131630648330059,0.03410670546310062,0.05166994106090374,0.22131511553088756,0.025933202357563852,0.111650333551125,161.0,484.0,157.0,327.0,4.0,104.0,207.0,88.0,119.0,16.0,37.0,119.0,32.0,87.0,5.0,0.010019646365422394,0.025343811394891943
PCA,joint_selected,threshold,20260925,509,2.0170759119691657,0.11394891944990176,-12.924678365664386,1.398214057471098,0.6188618544980676,0.06031434184675836,0.1743291808402069,0.05697445972495088,0.2187150138497409,0.03634577603143419,0.20809542837906334,161.0,408.0,155.0,253.0,6.0,104.0,284.0,93.0,191.0,11.0,37.0,82.0,23.0,59.0,14.0,0.013948919449901759,0.036345776031434185
PCA,legacy,historical,20260925,509,2.4736843861736024,0.0962671905697446,-18.266228202425257,1.9246143902000197,0.5490699959735822,0.06836935166994106,0.0,0.07956777996070727,0.0,0.05776031434184675,0.24674504318506932,161.0,509.0,161.0,348.0,0.0,104.0,509.0,104.0,405.0,0.0,37.0,181.0,22.0,159.0,15.0,0.0037328094302554043,0.10550098231827112
PCA,legacy,linear,20260925,509,2.1733908765749588,0.10805500982318271,-14.40187583887595,1.546793326520718,0.6265975500542406,0.06286836935166994,0.15748174078976226,0.07308447937131632,0.19963856199622962,0.03948919449901769,0.20968571860917082,161.0,461.0,159.0,302.0,2.0,104.0,386.0,95.0,291.0,9.0,37.0,108.0,24.0,84.0,13.0,0.008055009823182704,0.06581532416502947
PCA,legacy,ml_selected,20260925,509,1.8587382843672984,0.10216110019646366,-12.16726678184498,1.3142132521671648,0.5445250322001337,0.06286836935166994,0.04890109592399711,0.05893909626719058,0.21600798543983202,0.026719056974459726,0.14911082713268017,161.0,421.0,155.0,266.0,6.0,104.0,274.0,91.0,183.0,13.0,37.0,93.0,29.0,64.0,8.0,0.00216110019646365,0.03595284872298624
PCA,legacy,ml_selected,20260926,509,1.8422907786390166,0.10019646365422397,-12.142268094915233,1.3103186197706593,0.5319721588683576,0.06110019646365423,0.03462615882851688,0.05677799607072692,0.203011055364189,0.021807465618860513,0.13077597428439225,161.0,422.0,156.0,266.0,5.0,104.0,273.0,92.0,181.0,12.0,37.0,98.0,32.0,66.0,5.0,0.00019646365422396062,0.0343811394891945
PCA,legacy,ml_selected,20260927,509,1.850898344895792,0.10412573673870335,-12.208920670623932,1.31717810821012,0.5337202366856721,0.06149312377210217,0.03462615882851688,0.05579567779960708,0.203011055364189,0.022986247544204325,0.13114387609581546,161.0,424.0,156.0,268.0,5.0,104.0,268.0,92.0,176.0,12.0,37.0,94.0,31.0,63.0,6.0,0.0041257367387033395,0.03398821218074655
PCA,legacy,ml_selected,20260928,509,1.8460933437059484,0.09823182711198428,-12.081684933980274,1.305246391793206,0.5408469519127423,0.06110019646365422,0.03462615882851688,0.0575638506876228,0.21600798543983202,0.022593320235756387,0.13114387609581546,161.0,422.0,156.0,266.0,5.0,104.0,267.0,91.0,176.0,13.0,37.0,92.0,31.0,61.0,6.0,0.0017681728880157288,0.036345776031434185
PCA,legacy,state_hist,20260925,509,1.8668922310322213,0.08840864440078586,-12.8322099012288,1.374873527578201,0.4920187034540203,0.06777996070726916,0.01605366991456851,0.05481335952848724,0.19153595959196962,0.024754420432220044,0.10393735118139485,161.0,486.0,159.0,327.0,2.0,104.0,273.0,93.0,180.0,11.0,37.0,123.0,33.0,90.0,4.0,0.011591355599214148,0.038703339882121816
PCA,legacy,threshold,20260925,509,2.0627777015317275,0.10609037328094302,-13.551302049893057,1.4591803680079347,0.603597333523793,0.06483300589390963,0.14086638058272946,0.06935166994106093,0.22002034455770628,0.036935166994106094,0.21601824712630743,161.0,441.0,156.0,285.0,5.0,104.0,327.0,91.0,236.0,13.0,37.0,105.0,25.0,80.0,12.0,0.006090373280943015,0.0481335952848723
