task,method,info,algorithm,q,contrast,block_days,n,delta,relative_pct,ci_low,ci_high
observed_change,pca_2,with_positioning,linear_qr,0.1,add_residual,7,577,0.00956408437124822,0.10174929133018674,-0.05516394608263982,0.07737300195333044
observed_change,pca_2,with_positioning,linear_qr,0.1,add_positioning,3,577,-0.0838023181435945,-0.8827779592371962,-0.1595642070519793,-0.023004645815884742
observed_change,pca_2,with_positioning,linear_qr,0.1,add_positioning,7,577,-0.0838023181435945,-0.8827779592371962,-0.1418551020023325,-0.03080648727859688
observed_change,pca_2,with_positioning,linear_qr,0.5,add_residual,3,577,0.037529593562956896,0.21510207304372256,-0.021230701387862004,0.10377118543881399
observed_change,pca_2,with_positioning,linear_qr,0.5,add_residual,7,577,0.037529593562956896,0.21510207304372256,-0.02232049200299092,0.10199636829772792
observed_change,pca_2,with_positioning,linear_qr,0.5,add_positioning,3,577,4.7718424628602913e-17,2.7291264537055567e-16,-9.325638992374783e-18,1.0772981075233343e-16
observed_change,pca_2,with_positioning,linear_qr,0.5,add_positioning,7,577,4.7718424628602913e-17,2.7291264537055567e-16,-1.8320511957509793e-20,9.763288994018076e-17
observed_change,pca_2,with_positioning,quantile_lightgbm,0.1,add_residual,3,577,0.20391428926075558,2.2801161141326616,0.030145590484789885,0.3815250230778698
observed_change,pca_2,with_positioning,quantile_lightgbm,0.1,add_residual,7,577,0.20391428926075558,2.2801161141326616,0.051075180659396695,0.38405867310883507
observed_change,pca_2,with_positioning,quantile_lightgbm,0.1,add_positioning,3,577,-0.22125152943856793,-2.361699217653785,-0.42322562059371793,-0.043577334085385576
observed_change,pca_2,with_positioning,quantile_lightgbm,0.1,add_positioning,7,577,-0.22125152943856793,-2.361699217653785,-0.3836472186780367,-0.07060416719820949
observed_change,pca_2,with_positioning,quantile_lightgbm,0.5,add_residual,3,577,-0.05556413697635054,-0.3080603032210107,-0.17512758386981878,0.07074683937770014
observed_change,pca_2,with_positioning,quantile_lightgbm,0.5,add_residual,7,577,-0.05556413697635054,-0.3080603032210107,-0.16742761229843472,0.05632559830140732
observed_change,pca_2,with_positioning,quantile_lightgbm,0.5,add_positioning,3,577,-0.22722974960319556,-1.247936503199586,-0.5746441899699843,0.12700307322798465
observed_change,pca_2,with_positioning,quantile_lightgbm,0.5,add_positioning,7,577,-0.22722974960319556,-1.247936503199586,-0.4989349089722837,0.03734045444131112
observed_change,ae_selected,without_positioning,linear_qr,0.1,add_residual,3,577,-0.3359107037902318,-3.5463236574551953,-0.6738370508398268,-0.025947338803169313
observed_change,ae_selected,without_positioning,linear_qr,0.1,add_residual,7,577,-0.3359107037902318,-3.5463236574551953,-0.566814559038843,-0.11521460394687853
observed_change,ae_selected,without_positioning,linear_qr,0.1,AE_minus_sequential_ols,3,577,-0.3149983184670651,-3.3329028414525084,-0.6656594354732462,0.04727556109817633
observed_change,ae_selected,without_positioning,linear_qr,0.1,AE_minus_sequential_ols,7,577,-0.3149983184670651,-3.3329028414525084,-0.6048877506149433,-0.059051480084919374
observed_change,ae_selected,without_positioning,linear_qr,0.1,AE_minus_pca_2,3,577,-0.35685155788164946,-3.7590927911754384,-0.6996315959162848,-0.02225591582401201
observed_change,ae_selected,without_positioning,linear_qr,0.1,AE_minus_pca_2,7,577,-0.35685155788164946,-3.7590927911754384,-0.6101625441103175,-0.12564233459982424
observed_change,ae_selected,without_positioning,linear_qr,0.5,add_residual,3,577,0.0,0.0,0.0,0.0
observed_change,ae_selected,without_positioning,linear_qr,0.5,add_residual,7,577,0.0,0.0,0.0,0.0
observed_change,ae_selected,without_positioning,linear_qr,0.5,AE_minus_sequential_ols,3,577,-0.007776244729639349,-0.04454994105512447,-0.05021664433935736,0.03798002957914903
observed_change,ae_selected,without_positioning,linear_qr,0.5,AE_minus_sequential_ols,7,577,-0.007776244729639349,-0.04454994105512447,-0.043704787539548616,0.02640925815987438
observed_change,ae_selected,without_positioning,linear_qr,0.5,AE_minus_pca_2,3,577,-0.037529593562956765,-0.21464037714289855,-0.10377118543881385,0.021230701387862053
observed_change,ae_selected,without_positioning,linear_qr,0.5,AE_minus_pca_2,7,577,-0.037529593562956765,-0.21464037714289855,-0.10199636829772783,0.02232049200299101
observed_change,ae_selected,without_positioning,quantile_lightgbm,0.1,add_residual,3,577,-0.07099159970228096,-0.7677455500038441,-0.20640180552825269,0.05559492159754448
observed_change,ae_selected,without_positioning,quantile_lightgbm,0.1,add_residual,7,577,-0.07099159970228096,-0.7677455500038441,-0.18526763063981685,0.039597390636811544
observed_change,ae_selected,without_positioning,quantile_lightgbm,0.1,AE_minus_sequential_ols,3,577,-0.21373572590749396,-2.2763256672759087,-0.41566531009124813,-0.03098497829347919
observed_change,ae_selected,without_positioning,quantile_lightgbm,0.1,AE_minus_sequential_ols,7,577,-0.21373572590749396,-2.2763256672759087,-0.41282148031631527,-0.040049315062354804
observed_change,ae_selected,without_positioning,quantile_lightgbm,0.1,AE_minus_pca_2,3,577,-0.19254967667440784,-2.0553278068421275,-0.3404578024464616,-0.035399669759456374
observed_change,ae_selected,without_positioning,quantile_lightgbm,0.1,AE_minus_pca_2,7,577,-0.19254967667440784,-2.0553278068421275,-0.3203494247142207,-0.06569648024596253
observed_change,ae_selected,without_positioning,quantile_lightgbm,0.5,add_residual,3,577,-0.126609191414453,-0.6914045954386301,-0.20405314572012073,-0.041726843306016136
observed_change,ae_selected,without_positioning,quantile_lightgbm,0.5,add_residual,7,577,-0.126609191414453,-0.6914045954386301,-0.18590374753760883,-0.06612561758023718
observed_change,ae_selected,without_positioning,quantile_lightgbm,0.5,AE_minus_sequential_ols,3,577,-0.09705532258536609,-0.5308696114228031,-0.2637636595255798,0.05921039365602009
observed_change,ae_selected,without_positioning,quantile_lightgbm,0.5,AE_minus_sequential_ols,7,577,-0.09705532258536609,-0.5308696114228031,-0.22958175574267978,0.03023856389508677
observed_change,ae_selected,without_positioning,quantile_lightgbm,0.5,AE_minus_pca_2,3,577,-0.023165927871805252,-0.12722632961660366,-0.15724956161428777,0.11428363262196137
observed_change,ae_selected,without_positioning,quantile_lightgbm,0.5,AE_minus_pca_2,7,577,-0.023165927871805252,-0.12722632961660366,-0.174529141966185,0.12841410771148584
observed_change,ae_selected,with_positioning,linear_qr,0.1,add_residual,3,577,-0.2645912744099235,-2.8149035096651995,-0.5873680122413149,0.033503140468680824
observed_change,ae_selected,with_positioning,linear_qr,0.1,add_residual,7,577,-0.2645912744099235,-2.8149035096651995,-0.4906794770440326,-0.047373559159660274
observed_change,ae_selected,with_positioning,linear_qr,0.1,add_positioning,3,577,-0.001106119043116748,-0.012107029766510402,-0.00647578359051722,0.003651142476129033
observed_change,ae_selected,with_positioning,linear_qr,0.1,add_positioning,7,577,-0.001106119043116748,-0.012107029766510402,-0.005127606998165016,0.002992849509809066
observed_change,ae_selected,with_positioning,linear_qr,0.1,AE_minus_sequential_ols,3,577,-0.24038729617779866,-2.564007264133311,-0.5607614823355522,0.09444680556767436
observed_change,ae_selected,with_positioning,linear_qr,0.1,AE_minus_sequential_ols,7,577,-0.24038729617779866,-2.564007264133311,-0.5087209014796518,0.0038451057659807425
observed_change,ae_selected,with_positioning,linear_qr,0.1,AE_minus_pca_2,3,577,-0.27415535878117175,-2.913688143957337,-0.588825660540381,0.025550949678188963
observed_change,ae_selected,with_positioning,linear_qr,0.1,AE_minus_pca_2,7,577,-0.27415535878117175,-2.913688143957337,-0.5024456068900722,-0.0584256239284367
observed_change,ae_selected,with_positioning,linear_qr,0.5,add_residual,3,577,0.0,0.0,0.0,0.0
observed_change,ae_selected,with_positioning,linear_qr,0.5,add_residual,7,577,0.0,0.0,0.0,0.0
observed_change,ae_selected,with_positioning,linear_qr,0.5,add_positioning,3,577,-8.081346106456945e-17,-4.631849523141347e-16,-1.801178999948576e-16,1.7668678041881837e-17
observed_change,ae_selected,with_positioning,linear_qr,0.5,add_positioning,7,577,-8.081346106456945e-17,-4.631849523141347e-16,-1.4456864301703132e-16,-1.4401600393575185e-17
observed_change,ae_selected,with_positioning,linear_qr,0.5,AE_minus_sequential_ols,3,577,-0.012573480745518655,-0.07201341276362083,-0.056192253316667794,0.0355850423241645
observed_change,ae_selected,with_positioning,linear_qr,0.5,AE_minus_sequential_ols,7,577,-0.012573480745518655,-0.07201341276362083,-0.04886015013861242,0.022740876523291084
observed_change,ae_selected,with_positioning,linear_qr,0.5,AE_minus_pca_2,3,577,-0.037529593562956896,-0.2146403771428993,-0.103771185438814,0.02123070138786196
observed_change,ae_selected,with_positioning,linear_qr,0.5,AE_minus_pca_2,7,577,-0.037529593562956896,-0.2146403771428993,-0.10199636829772792,0.022320492002990855
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.1,add_residual,3,577,0.12102700394777767,1.353292223644252,-0.0692222594831715,0.3613090875632502
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.1,add_residual,7,577,0.12102700394777767,1.353292223644252,-0.05188256511230491,0.3166152604985525
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.1,add_positioning,3,577,-0.11158913807713795,-1.2161283430100902,-0.2731929720822638,0.06489090422271013
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.1,add_positioning,7,577,-0.11158913807713795,-1.2161283430100902,-0.2455608309109391,0.05027709790687758
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.1,AE_minus_sequential_ols,3,577,-0.007732200668350078,-0.08523230685629486,-0.155873319311105,0.14002543061302206
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.1,AE_minus_sequential_ols,7,577,-0.007732200668350078,-0.08523230685629486,-0.13246679430485084,0.1212786789729653
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.1,AE_minus_pca_2,3,577,-0.0828872853129779,-0.9061623370217748,-0.24448028768125404,0.08530454735864179
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.1,AE_minus_pca_2,7,577,-0.0828872853129779,-0.9061623370217748,-0.22491621398206024,0.06888669612466612
observed_change,ae_selected,with_positioning,quantile_lightgbm,0.5,add_residual,3,577,-0.05683843721888844,-0.31512531566380114,-0.16082473990820587,0.04981281478068507
