model,month,n,clean_tail,clean_q10,coverage80,width80,worst_tail_h1,sensitivity_h1,worst_tail_h6,sensitivity_h6,worst_tail_h24,sensitivity_h24
tcn_shuffled_20260910_raw,2026-01,699,1.3889803542803583,1.346100340715599,0.8125894134477826,21.139689162735944,1.4598108532808087,0.877955032861625,1.5543950820128352,2.343699406827127,1.5945621188349415,2.940053412501563
tcn_shuffled_20260910_raw,2026-02,672,1.947877995224998,1.7978611364600825,0.6875,22.75121045999584,2.0614390618026266,1.0914460065818967,2.2173311686147623,2.633652001619339,2.330187595066435,3.7592769407090687
tcn_shuffled_20260910_raw,2026-03,443,1.8626417998379523,1.8822905950073294,0.7494356659142212,25.415940506463663,1.9300160548261724,0.7068818072971318,1.9682998046153737,1.0375732202293104,1.9624038438191609,0.9557212007234113
tcn_shuffled_20260910_cal,2026-01,699,1.4111039182734604,1.351091485524787,0.8340486409155937,22.474299039096515,1.4779276470711766,0.877955032861625,1.5641777731753779,2.343699406827127,1.6018596646829442,2.940053412501563
tcn_shuffled_20260910_cal,2026-02,672,1.8553871183782036,1.8041160494467618,0.7485119047619048,24.88597314958921,1.9545196863571996,1.0914460065818967,2.0888337077388797,2.633652001619339,2.1875518480355507,3.7592769407090687
tcn_shuffled_20260910_cal,2026-03,443,1.8997381580253891,1.8423458227458307,0.8058690744920993,30.130966764578822,1.9598151783171842,0.7068818072971318,1.9947247809057003,1.0375732202293104,1.9885013275486305,0.9557212007234113
tcn_shuffled_20260911_raw,2026-01,699,1.4040162081437744,1.3508267790279882,0.8340486409155937,22.457149391010596,1.4964378127400406,1.4345161890949474,1.5962787295129433,3.080186449577539,1.651459666642504,4.008171581573923
tcn_shuffled_20260911_raw,2026-02,672,1.9562413405469987,1.850250947110506,0.7291666666666666,25.648844836368447,2.038309450990445,0.9167341675077166,2.1649760311404616,2.401933702684584,2.2105984530361,2.976670964842751
tcn_shuffled_20260911_raw,2026-03,443,1.8188256768319468,1.785944652719999,0.7652370203160271,26.357806065819872,1.9060050881963428,1.1393618938885208,1.9879121611564425,2.2724630881109302,1.9863555049509842,2.2336413532024584
tcn_shuffled_20260911_cal,2026-01,699,1.44645088193391,1.3703225919638735,0.8183118741058655,22.222368202572934,1.5430348550812805,1.4345161890949474,1.6491782441268061,3.080186449577539,1.706781406598141,4.008171581573923
