model,month,epochs,n_train,n_inner,n_valid,n_forecast,n_parameters,last_training_target,first_test_origin
gru_clean_20260911,2026-01,1,3557,2888,663,699,5673,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
gru_clean_20260912,2026-01,3,3557,2888,663,699,5673,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
gru_shuffled_20260910,2026-01,6,3557,2888,663,699,5673,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
gru_shuffled_20260911,2026-01,1,3557,2888,663,699,5673,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
gru_shuffled_20260912,2026-01,3,3557,2888,663,699,5673,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
gru_tick_20260910,2026-01,3,3557,2888,663,699,5673,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
gru_tick_20260911,2026-01,1,3557,2888,663,699,5673,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
gru_tick_20260912,2026-01,3,3557,2888,663,699,5673,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
mlp_clean_20260910,2026-01,3,3557,2888,663,699,5795,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
mlp_clean_20260911,2026-01,3,3557,2888,663,699,5795,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
mlp_clean_20260912,2026-01,1,3557,2888,663,699,5795,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
mlp_shuffled_20260910,2026-01,6,3557,2888,663,699,5795,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
mlp_shuffled_20260911,2026-01,3,3557,2888,663,699,5795,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
mlp_shuffled_20260912,2026-01,1,3557,2888,663,699,5795,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
mlp_tick_20260910,2026-01,6,3557,2888,663,699,5795,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
mlp_tick_20260911,2026-01,3,3557,2888,663,699,5795,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
mlp_tick_20260912,2026-01,1,3557,2888,663,699,5795,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
tcn_hard_shuffled_20260910,2026-01,6,3557,2888,663,699,5923,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
tcn_hard_shuffled_20260911,2026-01,4,3557,2888,663,699,5923,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
tcn_hard_shuffled_20260912,2026-01,5,3557,2888,663,699,5923,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
tcn_hard_tick_20260910,2026-01,1,3557,2888,663,699,5923,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
tcn_hard_tick_20260911,2026-01,8,3557,2888,663,699,5923,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
tcn_hard_tick_20260912,2026-01,1,3557,2888,663,699,5923,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
gru_clean_20260910,2026-02,2,4251,3579,666,672,5673,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
gru_clean_20260911,2026-02,2,4251,3579,666,672,5673,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
gru_clean_20260912,2026-02,2,4251,3579,666,672,5673,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
gru_shuffled_20260910,2026-02,3,4251,3579,666,672,5673,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
gru_shuffled_20260911,2026-02,2,4251,3579,666,672,5673,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
gru_shuffled_20260912,2026-02,2,4251,3579,666,672,5673,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
gru_tick_20260910,2026-02,3,4251,3579,666,672,5673,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
gru_tick_20260911,2026-02,2,4251,3579,666,672,5673,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
gru_tick_20260912,2026-02,2,4251,3579,666,672,5673,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mlp_clean_20260910,2026-02,5,4251,3579,666,672,5795,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mlp_clean_20260911,2026-02,1,4251,3579,666,672,5795,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mlp_clean_20260912,2026-02,2,4251,3579,666,672,5795,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mlp_shuffled_20260910,2026-02,5,4251,3579,666,672,5795,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mlp_shuffled_20260911,2026-02,1,4251,3579,666,672,5795,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mlp_shuffled_20260912,2026-02,2,4251,3579,666,672,5795,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mlp_tick_20260910,2026-02,5,4251,3579,666,672,5795,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mlp_tick_20260911,2026-02,2,4251,3579,666,672,5795,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mlp_tick_20260912,2026-02,2,4251,3579,666,672,5795,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
tcn_hard_shuffled_20260910,2026-02,2,4251,3579,666,672,5923,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
tcn_hard_shuffled_20260911,2026-02,4,4251,3579,666,672,5923,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
tcn_hard_shuffled_20260912,2026-02,5,4251,3579,666,672,5923,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
tcn_hard_tick_20260910,2026-02,2,4251,3579,666,672,5923,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
tcn_hard_tick_20260911,2026-02,6,4251,3579,666,672,5923,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
tcn_hard_tick_20260912,2026-02,5,4251,3579,666,672,5923,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
gru_clean_20260910,2026-03,4,4923,4251,666,443,5673,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
gru_clean_20260911,2026-03,7,4923,4251,666,443,5673,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
gru_clean_20260912,2026-03,4,4923,4251,666,443,5673,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
gru_shuffled_20260910,2026-03,4,4923,4251,666,443,5673,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
gru_shuffled_20260911,2026-03,13,4923,4251,666,443,5673,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
gru_shuffled_20260912,2026-03,4,4923,4251,666,443,5673,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
gru_tick_20260910,2026-03,4,4923,4251,666,443,5673,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
gru_tick_20260911,2026-03,7,4923,4251,666,443,5673,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
gru_tick_20260912,2026-03,4,4923,4251,666,443,5673,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
mlp_clean_20260910,2026-03,2,4923,4251,666,443,5795,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
mlp_clean_20260911,2026-03,2,4923,4251,666,443,5795,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
mlp_clean_20260912,2026-03,4,4923,4251,666,443,5795,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
mlp_shuffled_20260910,2026-03,2,4923,4251,666,443,5795,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
mlp_shuffled_20260911,2026-03,2,4923,4251,666,443,5795,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
mlp_shuffled_20260912,2026-03,5,4923,4251,666,443,5795,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
mlp_tick_20260910,2026-03,2,4923,4251,666,443,5795,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
mlp_tick_20260911,2026-03,2,4923,4251,666,443,5795,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
mlp_tick_20260912,2026-03,6,4923,4251,666,443,5795,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
tcn_hard_shuffled_20260910,2026-03,7,4923,4251,666,443,5923,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
tcn_hard_shuffled_20260911,2026-03,7,4923,4251,666,443,5923,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
tcn_hard_shuffled_20260912,2026-03,10,4923,4251,666,443,5923,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
tcn_hard_tick_20260910,2026-03,7,4923,4251,666,443,5923,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
tcn_hard_tick_20260911,2026-03,8,4923,4251,666,443,5923,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
tcn_hard_tick_20260912,2026-03,13,4923,4251,666,443,5923,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
