method,scope,algorithm,scenario,period,n,zero_mse,probe_mse,past_mean_mse,skill_vs_zero,skill_vs_past_mean
pca_1,mean_market,ridge,clock_UTC_quote,2026-01,346,70.79346155725646,75.57267231081534,75.53011598098644,-0.06750921128067078,-0.00056343525064384
pca_1,mean_market,ridge,clock_UTC_quote,2026-02,324,97.14198291219725,100.71161717465893,97.54059333307983,-0.0367465657530186,-0.032509786266634144
pca_1,mean_market,ridge,clock_UTC_quote,2026-03,237,112.81265510642737,106.83018041767868,115.34711229627187,0.05303017363703422,0.07383740874862343
pca_2,all_references,lightgbm,clock_UTC_quote,all,907,48.698702454140296,50.540401393454694,51.60538010990975,-0.03781823429584663,0.020636970683809652
pca_2,all_references,lightgbm,clock_UTC_quote,2026-01,346,41.8226781976747,44.38157133604263,47.199192384518376,-0.061184344203719876,0.05969638263132526
pca_2,all_references,lightgbm,clock_UTC_quote,2026-02,324,48.914751114349194,51.67626139699517,49.83974858131326,-0.05645557259793321,-0.0368483563412374
pca_2,all_references,lightgbm,clock_UTC_quote,2026-03,237,58.44175995131083,57.978952274119074,60.451817106748074,0.00791912628191438,0.040906377193961285
pca_2,all_references,ridge,clock_UTC_quote,all,907,48.698702454140296,52.99429414188665,51.60538010990975,-0.08820751829664308,-0.0269141323834603
pca_2,all_references,ridge,clock_UTC_quote,2026-01,346,41.8226781976747,51.78163493455417,47.199192384518376,-0.23812336191882566,-0.09708730845866897
pca_2,all_references,ridge,clock_UTC_quote,2026-02,324,48.914751114349194,53.08532355384045,49.83974858131326,-0.08526205989971425,-0.06512021157634962
pca_2,all_references,ridge,clock_UTC_quote,2026-03,237,58.44175995131083,54.64022897844364,60.451817106748074,0.06504819457925859,0.0961358716156061
pca_2,mean_market,lightgbm,clock_UTC_quote,all,907,48.698702454140296,49.75247458500736,51.60538010990975,-0.021638607966185663,0.03590527811162425
pca_2,mean_market,lightgbm,clock_UTC_quote,2026-01,346,41.8226781976747,44.84644779709627,47.199192384518376,-0.07229976007585504,0.049847136541129156
pca_2,mean_market,lightgbm,clock_UTC_quote,2026-02,324,48.914751114349194,49.606872994312305,49.83974858131326,-0.014149553339137366,0.004672487194051889
pca_2,mean_market,lightgbm,clock_UTC_quote,2026-03,237,58.44175995131083,57.11390996054506,60.451817106748074,0.022720910387914905,0.055215993595507884
pca_2,mean_market,ridge,clock_UTC_quote,all,907,48.698702454140296,51.64846515848084,51.60538010990975,-0.06057168991552375,-0.0008348945105980388
