method,scope,algorithm,block_days,n,delta,relative_pct,ci_low,ci_high,scenario
sequential_ols,mean_market,lightgbm,3,907,0.7576071788580475,0.7978017804555104,-2.045758294910908,3.5282544778425136,clock_FXUTC_USNY_quote
sequential_ols,mean_market,lightgbm,7,907,0.7576071788580475,0.7978017804555104,-1.5590689805172184,3.2816620953346027,clock_FXUTC_USNY_quote
sequential_ols,all_references,ridge,3,907,-45.38290756629812,-47.79068291461439,-53.927101987633904,-37.3199522920492,clock_FXUTC_USNY_quote
sequential_ols,all_references,ridge,7,907,-45.38290756629812,-47.79068291461439,-50.86424717123639,-40.31153019072644,clock_FXUTC_USNY_quote
sequential_ols,all_references,lightgbm,3,907,-9.154952317780255,-9.640665324897755,-15.169931335318113,-3.761289038193979,clock_FXUTC_USNY_quote
sequential_ols,all_references,lightgbm,7,907,-9.154952317780255,-9.640665324897755,-14.687575151998196,-3.864056725444717,clock_FXUTC_USNY_quote
pca_1,mean_market,ridge,3,907,-1.0764902320112153,-1.1476814301276754,-4.609366194110682,2.657967968797459,clock_FXUTC_USNY_quote
pca_1,mean_market,ridge,7,907,-1.0764902320112153,-1.1476814301276754,-3.8445813914752094,1.7581051700672072,clock_FXUTC_USNY_quote
pca_1,mean_market,lightgbm,3,907,0.3489660247521887,0.3720440877622279,-2.450008735393184,3.059871648693239,clock_FXUTC_USNY_quote
pca_1,mean_market,lightgbm,7,907,0.3489660247521887,0.3720440877622279,-1.973495106376378,2.847505514062737,clock_FXUTC_USNY_quote
pca_1,all_references,ridge,3,907,-44.03459332587399,-46.94671957116572,-52.569780307812266,-35.99264789539572,clock_FXUTC_USNY_quote
pca_1,all_references,ridge,7,907,-44.03459332587399,-46.94671957116572,-49.44300082636249,-39.0245527035012,clock_FXUTC_USNY_quote
pca_1,all_references,lightgbm,3,907,-9.053060135187948,-9.65176338253676,-15.22735316634321,-3.612274833232665,clock_FXUTC_USNY_quote
pca_1,all_references,lightgbm,7,907,-9.053060135187948,-9.65176338253676,-14.45440549445512,-3.834428178762911,clock_FXUTC_USNY_quote
pca_2,mean_market,ridge,3,907,0.0430850485710885,0.0834894510598033,-3.7346081150113606,4.19897244804766,clock_FXUTC_USNY_quote
pca_2,mean_market,ridge,7,907,0.0430850485710885,0.0834894510598033,-3.173168460307717,3.4143678047358907,clock_FXUTC_USNY_quote
pca_2,mean_market,lightgbm,3,907,-1.8529055249023931,-3.590527811162428,-4.241571281360709,0.3615670373308035,clock_FXUTC_USNY_quote
pca_2,mean_market,lightgbm,7,907,-1.8529055249023931,-3.590527811162428,-3.846724160918114,0.3338696966070994,clock_FXUTC_USNY_quote
pca_2,all_references,ridge,3,907,1.3889140319769004,2.6914132383460303,-2.488541236569689,5.403336331794192,clock_FXUTC_USNY_quote
pca_2,all_references,ridge,7,907,1.3889140319769004,2.6914132383460303,-1.5420966719839515,4.432480549095499,clock_FXUTC_USNY_quote
