method,scope,algorithm,scenario,block_days,n,delta,relative_pct,ci_low,ci_high
pca_1,mean_market,lightgbm,clock_UTC_quote,3,907,2.9605410644100476,3.246727790034545,0.19183553559336622,5.685351161795836
pca_1,mean_market,lightgbm,clock_UTC_quote,7,907,2.9605410644100476,3.246727790034545,0.5386345739340859,5.606150719386352
pca_1,mean_market,ridge,clock_UTC_quote,3,907,1.5350848076466432,1.6834769039217368,-1.4292667619707073,4.818506981220755
pca_1,mean_market,ridge,clock_UTC_quote,7,907,1.5350848076466432,1.6834769039217368,-0.6944041945986035,3.9809153239562693
pca_2,all_references,lightgbm,clock_UTC_quote,3,907,1.8416989393143925,3.78182342958465,-0.3791095808617918,4.072490764709231
pca_2,all_references,lightgbm,clock_UTC_quote,7,907,1.8416989393143925,3.78182342958465,-0.3051488874919589,4.19856505179079
pca_2,all_references,ridge,clock_UTC_quote,3,907,4.295591687746351,8.820751829664294,0.6710468719938237,8.171469775801393
pca_2,all_references,ridge,clock_UTC_quote,7,907,4.295591687746351,8.820751829664294,1.514207993127351,7.227695753973543
pca_2,mean_market,lightgbm,clock_UTC_quote,3,907,1.0537721308670576,2.16386079661855,-0.6602097212529706,2.8559590153953427
pca_2,mean_market,lightgbm,clock_UTC_quote,7,907,1.0537721308670576,2.16386079661855,-0.6219796704246606,2.87815788848118
pca_2,mean_market,ridge,clock_UTC_quote,3,907,2.94976270434054,6.0571689915523725,-0.5977489635067129,7.07416564839951
pca_2,mean_market,ridge,clock_UTC_quote,7,907,2.94976270434054,6.0571689915523725,-0.12830394872444978,6.24189613332812
sequential_ols,all_references,lightgbm,clock_UTC_quote,3,907,-6.87976976007357,-7.422611424726735,-12.722424892028853,-1.5650299084101045
sequential_ols,all_references,lightgbm,clock_UTC_quote,7,907,-6.87976976007357,-7.422611424726735,-12.39946787274879,-1.5918079037871635
sequential_ols,all_references,ridge,clock_UTC_quote,3,907,-43.10772500859144,-46.5090988945141,-51.171631102148034,-35.428009069406336
sequential_ols,all_references,ridge,clock_UTC_quote,7,907,-43.10772500859144,-46.5090988945141,-48.50063828656686,-38.26178390130432
sequential_ols,mean_market,lightgbm,clock_UTC_quote,3,907,3.032789736564733,3.2720891152582188,0.1862194438831152,5.823553602146361
sequential_ols,mean_market,lightgbm,clock_UTC_quote,7,907,3.032789736564733,3.2720891152582188,0.5726758821656841,5.732904727478884
sequential_ols,mean_market,ridge,clock_UTC_quote,3,907,1.4450896248159895,1.559113042003681,-1.4157852895422671,4.589365735422211
sequential_ols,mean_market,ridge,clock_UTC_quote,7,907,1.4450896248159895,1.559113042003681,-0.728058627627387,3.831551236765887
ae_selected,all_references,lightgbm,clock_NY_quote,3,907,1.6767042020506169,1.919912364021732,-0.35356013535021524,3.8815175019880046
ae_selected,all_references,lightgbm,clock_NY_quote,7,907,1.6767042020506169,1.919912364021732,-0.13003943785312194,3.6530169480975996
ae_selected,all_references,ridge,clock_NY_quote,3,907,1199.294910420152,1373.2542232601118,916.5103355195321,1506.833886635373
ae_selected,all_references,ridge,clock_NY_quote,7,907,1199.294910420152,1373.2542232601118,901.9613001586738,1537.7054930640259
ae_selected,mean_market,lightgbm,clock_NY_quote,3,907,3.580743271097462,4.100134818150889,1.8662102574553703,5.390453290265755
ae_selected,mean_market,lightgbm,clock_NY_quote,7,907,3.580743271097462,4.100134818150889,2.1329493288495454,5.150359961551829
ae_selected,mean_market,ridge,clock_NY_quote,3,907,1189.2699042382512,1361.7750766733218,892.0758778511306,1510.4340328341661
ae_selected,mean_market,ridge,clock_NY_quote,7,907,1189.2699042382512,1361.7750766733218,869.9324685012957,1548.6044227361735
joint_ols,all_references,lightgbm,clock_NY_quote,3,907,-7.697289759453618,-7.61516902315968,-14.523122209365889,-1.4553487408374866
joint_ols,all_references,lightgbm,clock_NY_quote,7,907,-7.697289759453618,-7.61516902315968,-14.805427746219644,-0.8212201158523356
joint_ols,all_references,ridge,clock_NY_quote,3,907,-47.400215742841986,-46.89451299045269,-57.63471401722644,-37.975330595479335
joint_ols,all_references,ridge,clock_NY_quote,7,907,-47.400215742841986,-46.89451299045269,-54.24592830955419,-40.938380634165
joint_ols,mean_market,lightgbm,clock_NY_quote,3,907,4.370339713923825,4.323713495296513,0.8916665150942308,8.24224920922123
joint_ols,mean_market,lightgbm,clock_NY_quote,7,907,4.370339713923825,4.323713495296513,1.1792562930381825,8.56865994137628
joint_ols,mean_market,ridge,clock_NY_quote,3,907,4.357812994217965,4.311320420480963,0.2334479840952722,9.289452496643106
joint_ols,mean_market,ridge,clock_NY_quote,7,907,4.357812994217965,4.311320420480963,0.6682089079918205,8.711618296292531
pca_1,all_references,lightgbm,clock_NY_quote,3,907,-7.303159521141202,-7.353212935147876,-13.993576194513315,-1.1587842674118605
pca_1,all_references,lightgbm,clock_NY_quote,7,907,-7.303159521141202,-7.353212935147876,-14.28969473613341,-0.5999660983646405
pca_1,all_references,ridge,clock_NY_quote,3,907,-45.62187939019459,-45.93455650073415,-55.68786176155468,-36.351603237307074
pca_1,all_references,ridge,clock_NY_quote,7,907,-45.62187939019459,-45.93455650073415,-52.331080514115165,-39.233618979113295
pca_1,mean_market,lightgbm,clock_NY_quote,3,907,4.441719392463399,4.472161452370328,0.9521231866697524,8.321896131445891
pca_1,mean_market,lightgbm,clock_NY_quote,7,907,4.441719392463399,4.472161452370328,1.2187600125934073,8.709140412713072
pca_1,mean_market,ridge,clock_NY_quote,3,907,4.379814304269051,4.409832087395562,0.25670488061221575,9.321800374882082
pca_1,mean_market,ridge,clock_NY_quote,7,907,4.379814304269051,4.409832087395562,0.683290252079484,8.740084611050102
pca_2,all_references,lightgbm,clock_NY_quote,3,907,2.4757371178758594,4.9618646432781,0.23781347787273704,4.994338795046667
pca_2,all_references,lightgbm,clock_NY_quote,7,907,2.4757371178758594,4.9618646432781,0.26210075699676216,5.102168394610267
pca_2,all_references,ridge,clock_NY_quote,3,907,6.400238692481748,12.827338511615771,2.223364157454913,11.027417058009467
pca_2,all_references,ridge,clock_NY_quote,7,907,6.400238692481748,12.827338511615771,2.644769519114653,10.673545354047812
pca_2,mean_market,lightgbm,clock_NY_quote,3,907,1.6984911473446183,3.4041106828664125,-0.3172533759181751,3.828787137395855
pca_2,mean_market,lightgbm,clock_NY_quote,7,907,1.6984911473446183,3.4041106828664125,-0.18665272969486937,4.072383710789241
pca_2,mean_market,ridge,clock_NY_quote,3,907,3.8750108974796516,7.766284806933906,-0.12139835810557606,8.544489011063735
pca_2,mean_market,ridge,clock_NY_quote,7,907,3.8750108974796516,7.766284806933906,0.06052983490230414,8.400663411757797
sequential_ols,all_references,lightgbm,clock_NY_quote,3,907,-7.5069525990171835,-7.433126805982237,-14.270667281767366,-1.2508368030959132
sequential_ols,all_references,lightgbm,clock_NY_quote,7,907,-7.5069525990171835,-7.433126805982237,-14.642051912776525,-0.6750193239538728
sequential_ols,all_references,ridge,clock_NY_quote,3,907,-47.45125405463499,-46.984603118069224,-57.65424732963616,-38.093207589309905
sequential_ols,all_references,ridge,clock_NY_quote,7,907,-47.45125405463499,-46.984603118069224,-54.25890525420275,-41.01880491122237
sequential_ols,mean_market,lightgbm,clock_NY_quote,3,907,4.358174009671519,4.315314320842471,0.8593193183450369,8.249534494338427
sequential_ols,mean_market,lightgbm,clock_NY_quote,7,907,4.358174009671519,4.315314320842471,1.1280193355260015,8.620853772135622
sequential_ols,mean_market,ridge,clock_NY_quote,3,907,4.293980006225742,4.251751621930719,0.24129635389766022,9.136772778999687
sequential_ols,mean_market,ridge,clock_NY_quote,7,907,4.293980006225742,4.251751621930719,0.6560405331489184,8.590780018084779
ae_selected,all_references,lightgbm,clock_FXUTC_USNY_quote,3,907,-0.635001585492761,-0.8410643735761283,-2.601655168552223,1.3274771087237804
ae_selected,all_references,lightgbm,clock_FXUTC_USNY_quote,7,907,-0.635001585492761,-0.8410643735761283,-2.497078855997572,1.1470376142221022
ae_selected,all_references,ridge,clock_FXUTC_USNY_quote,3,907,989.8779259210941,1311.1007542376492,780.2907960033026,1225.6885280592355
ae_selected,all_references,ridge,clock_FXUTC_USNY_quote,7,907,989.8779259210941,1311.1007542376492,769.8202133404668,1227.5499364752636
ae_selected,mean_market,lightgbm,clock_FXUTC_USNY_quote,3,907,1.611681136686328,2.1346837812690813,0.18960556639970755,3.170057266902586
ae_selected,mean_market,lightgbm,clock_FXUTC_USNY_quote,7,907,1.611681136686328,2.1346837812690813,0.22505505625776356,3.039313958363301
ae_selected,mean_market,ridge,clock_FXUTC_USNY_quote,3,907,954.6993493205217,1264.5064650770948,748.5591856223446,1188.917345908872
ae_selected,mean_market,ridge,clock_FXUTC_USNY_quote,7,907,954.6993493205217,1264.5064650770948,732.8393090727453,1204.458737901728
joint_ols,all_references,lightgbm,clock_FXUTC_USNY_quote,3,907,-6.849085513589292,-7.384911936726831,-12.7613839120587,-1.388041980203579
joint_ols,all_references,lightgbm,clock_FXUTC_USNY_quote,7,907,-6.849085513589292,-7.384911936726831,-12.41530477676993,-1.539180196142484
joint_ols,all_references,ridge,clock_FXUTC_USNY_quote,3,907,-43.07364464465645,-46.4434371367564,-51.16109184987055,-35.34290669708607
joint_ols,all_references,ridge,clock_FXUTC_USNY_quote,7,907,-43.07364464465645,-46.4434371367564,-48.46625475900573,-38.22997049408586
joint_ols,mean_market,lightgbm,clock_FXUTC_USNY_quote,3,907,2.8304986856736107,3.0519378812320244,0.06585263856782281,5.538715563293029
joint_ols,mean_market,lightgbm,clock_FXUTC_USNY_quote,7,907,2.8304986856736107,3.0519378812320244,0.42245621132949396,5.487537108060599
joint_ols,mean_market,ridge,clock_FXUTC_USNY_quote,3,907,1.4761888725522931,1.5916759696086438,-1.4580130908139062,4.73691779306549
joint_ols,mean_market,ridge,clock_FXUTC_USNY_quote,7,907,1.4761888725522931,1.5916759696086438,-0.7260505652836906,3.8773318911595664
pca_1,all_references,lightgbm,clock_FXUTC_USNY_quote,3,907,-6.441485095530088,-7.0641643583884495,-12.301041398683225,-1.0268477010385895
pca_1,all_references,lightgbm,clock_FXUTC_USNY_quote,7,907,-6.441485095530088,-7.0641643583884495,-11.949498632018754,-1.2033447787402256
pca_1,all_references,ridge,clock_FXUTC_USNY_quote,3,907,-41.42301828621613,-45.427258629755556,-49.46706172369152,-33.732698403422624
pca_1,all_references,ridge,clock_FXUTC_USNY_quote,7,907,-41.42301828621613,-45.427258629755556,-46.716454142422016,-36.63735390256784
pca_1,mean_market,lightgbm,clock_FXUTC_USNY_quote,3,907,2.9605410644100476,3.246727790034545,0.19183553559336622,5.685351161795836
pca_1,mean_market,lightgbm,clock_FXUTC_USNY_quote,7,907,2.9605410644100476,3.246727790034545,0.5386345739340859,5.606150719386352
pca_1,mean_market,ridge,clock_FXUTC_USNY_quote,3,907,1.5350848076466432,1.6834769039217368,-1.4292667619707073,4.818506981220755
pca_1,mean_market,ridge,clock_FXUTC_USNY_quote,7,907,1.5350848076466432,1.6834769039217368,-0.6944041945986035,3.9809153239562693
pca_2,all_references,lightgbm,clock_FXUTC_USNY_quote,3,907,1.8416989393143925,3.78182342958465,-0.3791095808617918,4.072490764709231
pca_2,all_references,lightgbm,clock_FXUTC_USNY_quote,7,907,1.8416989393143925,3.78182342958465,-0.3051488874919589,4.19856505179079
pca_2,all_references,ridge,clock_FXUTC_USNY_quote,3,907,4.295591687746351,8.820751829664294,0.6710468719938237,8.171469775801393
pca_2,all_references,ridge,clock_FXUTC_USNY_quote,7,907,4.295591687746351,8.820751829664294,1.514207993127351,7.227695753973543
pca_2,mean_market,lightgbm,clock_FXUTC_USNY_quote,3,907,1.0537721308670576,2.16386079661855,-0.6602097212529706,2.8559590153953427
pca_2,mean_market,lightgbm,clock_FXUTC_USNY_quote,7,907,1.0537721308670576,2.16386079661855,-0.6219796704246606,2.87815788848118
pca_2,mean_market,ridge,clock_FXUTC_USNY_quote,3,907,2.94976270434054,6.0571689915523725,-0.5977489635067129,7.07416564839951
pca_2,mean_market,ridge,clock_FXUTC_USNY_quote,7,907,2.94976270434054,6.0571689915523725,-0.12830394872444978,6.24189613332812
sequential_ols,all_references,lightgbm,clock_FXUTC_USNY_quote,3,907,-6.87976976007357,-7.422611424726735,-12.722424892028853,-1.5650299084101045
sequential_ols,all_references,lightgbm,clock_FXUTC_USNY_quote,7,907,-6.87976976007357,-7.422611424726735,-12.39946787274879,-1.5918079037871635
sequential_ols,all_references,ridge,clock_FXUTC_USNY_quote,3,907,-43.10772500859144,-46.5090988945141,-51.171631102148034,-35.428009069406336
sequential_ols,all_references,ridge,clock_FXUTC_USNY_quote,7,907,-43.10772500859144,-46.5090988945141,-48.50063828656686,-38.26178390130432
sequential_ols,mean_market,lightgbm,clock_FXUTC_USNY_quote,3,907,3.032789736564733,3.2720891152582188,0.1862194438831152,5.823553602146361
sequential_ols,mean_market,lightgbm,clock_FXUTC_USNY_quote,7,907,3.032789736564733,3.2720891152582188,0.5726758821656841,5.732904727478884
sequential_ols,mean_market,ridge,clock_FXUTC_USNY_quote,3,907,1.4450896248159895,1.559113042003681,-1.4157852895422671,4.589365735422211
sequential_ols,mean_market,ridge,clock_FXUTC_USNY_quote,7,907,1.4450896248159895,1.559113042003681,-0.728058627627387,3.831551236765887
ae_selected,all_references,lightgbm,clock_FXKST_USNY_quote,3,912,-1.9377725467678413,-2.523704142677325,-4.267006883842183,0.25346205642830216
ae_selected,all_references,lightgbm,clock_FXKST_USNY_quote,7,912,-1.9377725467678413,-2.523704142677325,-4.1568446689554515,0.08079632183604935
ae_selected,all_references,ridge,clock_FXKST_USNY_quote,3,912,1772.8941822196953,2308.9708849778754,1429.3696202142507,2154.529703548643
ae_selected,all_references,ridge,clock_FXKST_USNY_quote,7,912,1772.8941822196953,2308.9708849778754,1404.2538904244493,2178.380119369287
ae_selected,mean_market,lightgbm,clock_FXKST_USNY_quote,3,912,-1.3564325340500376,-1.7665821569999303,-3.851495972437654,1.3738076247656077
ae_selected,mean_market,lightgbm,clock_FXKST_USNY_quote,7,912,-1.3564325340500376,-1.7665821569999303,-3.6692750367933726,0.8007272069818817
ae_selected,mean_market,ridge,clock_FXKST_USNY_quote,3,912,1708.553353089895,2225.1750765951974,1370.846574794631,2081.027277869294
ae_selected,mean_market,ridge,clock_FXKST_USNY_quote,7,912,1708.553353089895,2225.1750765951974,1336.1736936982845,2100.684554480522
joint_ols,all_references,lightgbm,clock_FXKST_USNY_quote,3,912,-11.780051891473697,-12.425867082929068,-16.94728651635598,-6.85090708498897
joint_ols,all_references,lightgbm,clock_FXKST_USNY_quote,7,912,-11.780051891473697,-12.425867082929068,-16.934447701513623,-7.217495301440782
joint_ols,all_references,ridge,clock_FXKST_USNY_quote,3,912,-45.84001745515715,-48.35309464037287,-55.12983587633057,-36.96857882423052
joint_ols,all_references,ridge,clock_FXKST_USNY_quote,7,912,-45.84001745515715,-48.35309464037287,-53.24139590661631,-38.7263500618972
joint_ols,mean_market,lightgbm,clock_FXKST_USNY_quote,3,912,3.4640410492881206,3.65394940912094,0.2122661420040126,6.830408840486135
joint_ols,mean_market,lightgbm,clock_FXKST_USNY_quote,7,912,3.4640410492881206,3.65394940912094,0.5789919523552453,6.435388050218514
joint_ols,mean_market,ridge,clock_FXKST_USNY_quote,3,912,1.892281281397948,1.9960214015003008,-0.3392717937047968,4.3110179325653935
joint_ols,mean_market,ridge,clock_FXKST_USNY_quote,7,912,1.892281281397948,1.9960214015003008,-0.23874147757744296,4.232584219749622
pca_1,all_references,lightgbm,clock_FXKST_USNY_quote,3,912,-11.708668760323885,-12.533948001627799,-16.785298288037907,-6.9121944832115645
pca_1,all_references,lightgbm,clock_FXKST_USNY_quote,7,912,-11.708668760323885,-12.533948001627799,-16.725680218622824,-7.2752643098656264
pca_1,all_references,ridge,clock_FXKST_USNY_quote,3,912,-44.33719563589587,-47.462279103960704,-53.541883229693376,-35.55386152313541
pca_1,all_references,ridge,clock_FXKST_USNY_quote,7,912,-44.33719563589587,-47.462279103960704,-51.65245607965598,-37.25238884095971
pca_1,mean_market,lightgbm,clock_FXKST_USNY_quote,3,912,3.4299487544788967,3.671706853862464,0.23466638837658058,6.714203855008662
pca_1,mean_market,lightgbm,clock_FXKST_USNY_quote,7,912,3.4299487544788967,3.671706853862464,0.6101028845905762,6.343599061663742
pca_1,mean_market,ridge,clock_FXKST_USNY_quote,3,912,1.9503310857768579,2.0877991269102414,-0.2741831689018859,4.392374020502008
pca_1,mean_market,ridge,clock_FXKST_USNY_quote,7,912,1.9503310857768579,2.0877991269102414,-0.21754197908349415,4.343441914380529
pca_2,all_references,lightgbm,clock_FXKST_USNY_quote,3,912,1.7592027814573512,3.668173323880323,-0.4617338191640177,3.98927976185235
pca_2,all_references,lightgbm,clock_FXKST_USNY_quote,7,912,1.7592027814573512,3.668173323880323,-0.03399290398232531,3.598932330996836
pca_2,all_references,ridge,clock_FXKST_USNY_quote,3,912,5.815666035551666,12.12644229367064,3.1664030557399054,8.754739770807117
pca_2,all_references,ridge,clock_FXKST_USNY_quote,7,912,5.815666035551666,12.12644229367064,3.208989735837763,8.836024545327195
pca_2,mean_market,lightgbm,clock_FXKST_USNY_quote,3,912,1.6343264972596527,3.407789552715622,-0.2153077876042389,3.6208759661793755
pca_2,mean_market,lightgbm,clock_FXKST_USNY_quote,7,912,1.6343264972596527,3.407789552715622,0.05097542202793147,3.2813679461526455
pca_2,mean_market,ridge,clock_FXKST_USNY_quote,3,912,2.2946811642043157,4.784717442506485,0.3059735071198641,4.668229819791864
pca_2,mean_market,ridge,clock_FXKST_USNY_quote,7,912,2.2946811642043157,4.784717442506485,0.20622323317416116,4.861273216945259
sequential_ols,all_references,lightgbm,clock_FXKST_USNY_quote,3,912,-11.867739115169032,-12.523712152543848,-17.104469692372344,-6.863687726606289
sequential_ols,all_references,lightgbm,clock_FXKST_USNY_quote,7,912,-11.867739115169032,-12.523712152543848,-17.057642959974594,-7.220558419089371
sequential_ols,all_references,ridge,clock_FXKST_USNY_quote,3,912,-45.86928369018218,-48.40464556934558,-55.1901535826328,-37.014625555108104
sequential_ols,all_references,ridge,clock_FXKST_USNY_quote,7,912,-45.86928369018218,-48.40464556934558,-53.29488686976525,-38.759287224612855
sequential_ols,mean_market,lightgbm,clock_FXKST_USNY_quote,3,912,3.5042885430776414,3.6979832963185726,0.08471732832699204,6.995104461581208
sequential_ols,mean_market,lightgbm,clock_FXKST_USNY_quote,7,912,3.5042885430776414,3.6979832963185726,0.5654951847940654,6.610902465523936
sequential_ols,mean_market,ridge,clock_FXKST_USNY_quote,3,912,1.8703900164600262,1.9737732647996018,-0.261658317701009,4.2340544549383585
sequential_ols,mean_market,ridge,clock_FXKST_USNY_quote,7,912,1.8703900164600262,1.9737732647996018,-0.2026747573843611,4.16478510783273
ae_selected,all_references,lightgbm,clock_NY_macro_end1h_quote,3,906,0.8736367296616526,1.0863348844698093,-1.4907716427199793,3.3529168583118403
ae_selected,all_references,lightgbm,clock_NY_macro_end1h_quote,7,906,0.8736367296616526,1.0863348844698093,-1.440717512185327,3.207087754477165
ae_selected,all_references,ridge,clock_NY_macro_end1h_quote,3,906,1041.1020434438767,1294.571793614837,798.5903687237762,1302.8869215118602
ae_selected,all_references,ridge,clock_NY_macro_end1h_quote,7,906,1041.1020434438767,1294.571793614837,792.3848076001686,1321.9372474959039
ae_selected,mean_market,lightgbm,clock_NY_macro_end1h_quote,3,906,2.9418434685326957,3.658073288372878,1.0240705109029908,5.037532146106497
ae_selected,mean_market,lightgbm,clock_NY_macro_end1h_quote,7,906,2.9418434685326957,3.658073288372878,1.312588921158646,4.705825753110002
ae_selected,mean_market,ridge,clock_NY_macro_end1h_quote,3,906,1012.2344523250283,1258.6760142842666,762.7836254941163,1281.6698718602763
ae_selected,mean_market,ridge,clock_NY_macro_end1h_quote,7,906,1012.2344523250283,1258.6760142842666,747.3119951291211,1311.0333554345943
joint_ols,all_references,lightgbm,clock_NY_macro_end1h_quote,3,906,-6.87081904947586,-6.90366989067437,-14.367071105717404,-0.06994292068738023
joint_ols,all_references,lightgbm,clock_NY_macro_end1h_quote,7,906,-6.87081904947586,-6.90366989067437,-14.74365286761884,0.6872243903124259
joint_ols,all_references,ridge,clock_NY_macro_end1h_quote,3,906,-46.32480308523951,-46.546291780946255,-56.24305705748999,-36.75124456531897
joint_ols,all_references,ridge,clock_NY_macro_end1h_quote,7,906,-46.32480308523951,-46.546291780946255,-52.81039543165471,-40.0913273269034
joint_ols,mean_market,lightgbm,clock_NY_macro_end1h_quote,3,906,4.72940081662895,4.752013083677816,0.750918514977818,9.152791549616671
joint_ols,mean_market,lightgbm,clock_NY_macro_end1h_quote,7,906,4.72940081662895,4.752013083677816,0.7461919047516739,9.53097346488091
joint_ols,mean_market,ridge,clock_NY_macro_end1h_quote,3,906,4.382476588137866,4.403430136967549,0.15574610694347055,9.55402504615696
joint_ols,mean_market,ridge,clock_NY_macro_end1h_quote,7,906,4.382476588137866,4.403430136967549,0.5828432682139184,9.126971742884376
pca_1,all_references,lightgbm,clock_NY_macro_end1h_quote,3,906,-6.49658414552196,-6.646472561666,-13.824203329741318,0.149957076552126
pca_1,all_references,lightgbm,clock_NY_macro_end1h_quote,7,906,-6.49658414552196,-6.646472561666,-14.136923091001679,0.8150054132650549
pca_1,all_references,ridge,clock_NY_macro_end1h_quote,3,906,-44.52836466533877,-45.55571779487106,-54.25563732215447,-35.03381376512435
pca_1,all_references,ridge,clock_NY_macro_end1h_quote,7,906,-44.52836466533877,-45.55571779487106,-50.888523628648045,-38.44368858325312
pca_1,mean_market,lightgbm,clock_NY_macro_end1h_quote,3,906,4.689506714624641,4.797702455371943,0.7683292832231129,9.134958516823879
pca_1,mean_market,lightgbm,clock_NY_macro_end1h_quote,7,906,4.689506714624641,4.797702455371943,0.8176854017910365,9.456449306886359
pca_1,mean_market,ridge,clock_NY_macro_end1h_quote,3,906,4.394088666767312,4.495468557476833,0.1947052643656258,9.521213990102035
pca_1,mean_market,ridge,clock_NY_macro_end1h_quote,7,906,4.394088666767312,4.495468557476833,0.5992410606602715,9.132952033798775
pca_2,all_references,lightgbm,clock_NY_macro_end1h_quote,3,906,3.253003085983012,6.590164391140265,0.6766005540444945,6.159991609803424
pca_2,all_references,lightgbm,clock_NY_macro_end1h_quote,7,906,3.253003085983012,6.590164391140265,0.7643765637857998,6.449605055533267
pca_2,all_references,ridge,clock_NY_macro_end1h_quote,3,906,7.016675900266844,14.214879740311474,2.6856803992726097,11.925696771152705
pca_2,all_references,ridge,clock_NY_macro_end1h_quote,7,906,7.016675900266844,14.214879740311474,3.0723448151362334,11.66707077438752
pca_2,mean_market,lightgbm,clock_NY_macro_end1h_quote,3,906,2.699701051798396,5.469245883887434,0.3374422254188416,5.1918263057249
pca_2,mean_market,lightgbm,clock_NY_macro_end1h_quote,7,906,2.699701051798396,5.469245883887434,0.5638433502794385,5.369483563792875
pca_2,mean_market,ridge,clock_NY_macro_end1h_quote,3,906,4.243250394385581,8.596277627975718,-0.02585796191636102,9.395127345182983
pca_2,mean_market,ridge,clock_NY_macro_end1h_quote,7,906,4.243250394385581,8.596277627975718,0.19513341793016026,9.31730254321136
sequential_ols,all_references,lightgbm,clock_NY_macro_end1h_quote,3,906,-7.1648646431908,-7.2060543047014045,-14.483981906273186,-0.5386629745816411
sequential_ols,all_references,lightgbm,clock_NY_macro_end1h_quote,7,906,-7.1648646431908,-7.2060543047014045,-14.85202729707188,0.14862301054722754
sequential_ols,all_references,ridge,clock_NY_macro_end1h_quote,3,906,-46.378479429515636,-46.64510189402985,-56.24371983261871,-36.893587498163356
sequential_ols,all_references,ridge,clock_NY_macro_end1h_quote,7,906,-46.378479429515636,-46.64510189402985,-52.88005067764409,-40.16631906067256
sequential_ols,mean_market,lightgbm,clock_NY_macro_end1h_quote,3,906,4.654478942742979,4.681236798153691,0.6946390534472732,9.124253608770763
sequential_ols,mean_market,lightgbm,clock_NY_macro_end1h_quote,7,906,4.654478942742979,4.681236798153691,0.7162557012788233,9.457432740046986
sequential_ols,mean_market,ridge,clock_NY_macro_end1h_quote,3,906,4.3198635161535135,4.344697720965948,0.20482125087034012,9.362668376891518
sequential_ols,mean_market,ridge,clock_NY_macro_end1h_quote,7,906,4.3198635161535135,4.344697720965948,0.5798628817355127,9.033923448520952
