model,month,epoch,train_loss_scaled,clean_loss_scaled,candidate_mean_loss_scaled,candidate_max_loss_scaled,argmax_counts
tcn_tick_mean_20260912,2025-12,1,0.19360305504365402,0.19359925321557306,0.19360685416243292,0.19479073042219336,"[128, 0, 0, 45, 10, 189, 44, 206, 45, 936, 1213]"
tcn_tick_mean_20260912,2025-12,2,0.1880121590061621,0.187983015044169,0.18804129416292364,0.19287993013858795,"[0, 0, 0, 42, 5, 189, 21, 318, 27, 835, 1379]"
tcn_tick_max_20260912,2025-12,1,0.19422639838673852,0.19406444443897766,0.19406760958108035,0.1943883462385698,"[128, 0, 0, 135, 47, 390, 79, 161, 75, 761, 1040]"
tcn_tick_max_20260912,2025-12,2,0.19006855650381607,0.18950228664008054,0.18951738625764847,0.1906348250129006,"[0, 0, 0, 224, 101, 349, 110, 292, 98, 554, 1088]"
tcn_shuffled_mean_20260912,2025-12,1,0.19360563836314462,0.19360097497701645,0.19361030039462176,0.19550824639472095,"[128, 0, 0, 48, 7, 94, 8, 170, 43, 1033, 1285]"
tcn_shuffled_mean_20260912,2025-12,2,0.18803419917821884,0.1879799338904294,0.18808846378868277,0.19660078463229266,"[0, 0, 0, 12, 0, 46, 1, 107, 17, 1168, 1465]"
tcn_shuffled_max_20260912,2025-12,1,0.19450003518299622,0.19427851045673544,0.19427977773276242,0.19472156126390805,"[128, 0, 0, 74, 42, 123, 80, 191, 131, 844, 1203]"
tcn_shuffled_max_20260912,2025-12,2,0.19148959625851025,0.19056434726173227,0.19059496440670706,0.19241484322331168,"[0, 1, 0, 101, 21, 160, 32, 236, 69, 856, 1340]"
gru_tick_mean_20260910,2025-12,1,0.19268972358920358,0.1926868286999789,0.19269261780110272,0.19352622804316608,"[128, 0, 0, 18, 1, 35, 4, 872, 114, 575, 1069]"
gru_tick_max_20260910,2025-12,1,0.1931604119864377,0.19293811985037543,0.19294290989637375,0.19338269938122143,"[128, 0, 0, 16, 7, 37, 27, 883, 516, 425, 777]"
gru_shuffled_mean_20260910,2025-12,1,0.19269269637086175,0.19268406995318152,0.1927013329484246,0.1947042467919263,"[128, 0, 0, 54, 4, 128, 4, 223, 36, 1040, 1199]"
gru_shuffled_max_20260910,2025-12,1,0.1936806243928996,0.1933459138328379,0.1933563764799725,0.19401533563028683,"[128, 0, 0, 75, 24, 120, 41, 191, 81, 919, 1237]"
gru_tick_mean_20260911,2025-12,1,0.1934956583109769,0.19349553842436185,0.19349576939236035,0.19386868517507205,"[128, 0, 0, 10, 29, 9, 5, 438, 790, 585, 822]"
gru_tick_max_20260911,2025-12,1,0.19373994930223984,0.19361211156303232,0.19361214678395877,0.1938677802681923,"[128, 0, 0, 65, 52, 16, 19, 563, 688, 562, 723]"
gru_shuffled_mean_20260911,2025-12,1,0.19349769231947986,0.19349281015721234,0.19350257583639838,0.19518886642022568,"[128, 0, 0, 3, 11, 22, 61, 86, 153, 1160, 1192]"
gru_shuffled_max_20260911,2025-12,1,0.19418776780366898,0.19396064159545032,0.1939631388946013,0.19441489536653866,"[128, 0, 0, 27, 54, 48, 92, 121, 148, 970, 1228]"
gru_tick_mean_20260912,2025-12,1,0.19204300235618244,0.19203966923735358,0.19204633682966232,0.1934864351695234,"[128, 0, 0, 3, 4, 8, 7, 13, 13, 1327, 1313]"
gru_tick_mean_20260912,2025-12,2,0.18650240654295142,0.1864881840619174,0.18651662970131094,0.19187366556037555,"[0, 0, 0, 0, 0, 2, 2, 19, 3, 1418, 1372]"
gru_tick_max_20260912,2025-12,1,0.19263154742392627,0.19239545139399442,0.19239897551861676,0.1928676407445561,"[128, 0, 0, 41, 37, 192, 149, 341, 309, 756, 863]"
gru_tick_max_20260912,2025-12,2,0.18795417858795685,0.187300213358619,0.18730890886350113,0.18860815262252634,"[0, 0, 0, 51, 32, 265, 253, 602, 561, 482, 570]"
gru_shuffled_mean_20260912,2025-12,1,0.1920496252450076,0.19203876907175238,0.19206048074093732,0.1947366866198453,"[128, 0, 0, 1, 1, 8, 7, 13, 18, 1328, 1312]"
gru_shuffled_mean_20260912,2025-12,2,0.18654642389579254,0.18649351664564826,0.18659932979128577,0.1966490386561914,"[0, 0, 0, 0, 0, 2, 1, 9, 1, 1426, 1377]"
gru_shuffled_max_20260912,2025-12,1,0.1932114904577082,0.19274070994420486,0.1927522380243648,0.19368226826190948,"[128, 0, 0, 48, 35, 62, 39, 92, 90, 1052, 1270]"
gru_shuffled_max_20260912,2025-12,2,0.1894867013801228,0.18832368877801028,0.18834836916490036,0.19064971669153732,"[0, 2, 0, 79, 36, 106, 53, 193, 93, 853, 1401]"
