model,family,placement,aggregation,seed,month,epochs,n_train,n_forecast,n_parameters,last_training_target,first_test_origin,initial_parameter_hash,candidate_hash,batch_order_hash,final_torch_rng_hash,optimizer_steps
gru_shuffled_mean_20260912,gru,shuffled,mean,20260912,2025-12,2,2816,736,5673,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00,93c5921c74b0781bc4f7eaaa6b86c64d6ad746ed05c034c98cee991540375f3a,39b72841a87b450466899592501cf8a1a43548b744fc105efb48dddc93b053b0,6edef99104d89253709b139ebe7cceba90c8e9ab719431fa73e16a634d7c0d00,14ce82dfaba7adfb6b2eabed5afd0142e0cbd86d5e8192bc923154ecc643f5a3,44
gru_shuffled_max_20260912,gru,shuffled,max,20260912,2025-12,2,2816,736,5673,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00,93c5921c74b0781bc4f7eaaa6b86c64d6ad746ed05c034c98cee991540375f3a,39b72841a87b450466899592501cf8a1a43548b744fc105efb48dddc93b053b0,6edef99104d89253709b139ebe7cceba90c8e9ab719431fa73e16a634d7c0d00,14ce82dfaba7adfb6b2eabed5afd0142e0cbd86d5e8192bc923154ecc643f5a3,44
tcn_tick_mean_20260910,tcn,tick,mean,20260910,2026-01,1,3557,699,5923,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00,cc040fb7b1c4436de96d7ec3daa1f5202fd3e7eb4ac6d461b768078cb3934953,316d3c71b743265377f2b938d4718989743c572f4663f15f90f8cc6f18832c55,d8c9fa7ac1d832de33e38eca5b4ab82013311c99e9b1336052d49255c9f41465,a939431e968f54d05e4aa034adb47f8d09c959040ec784ede999be1130ebbbc8,28
tcn_tick_max_20260910,tcn,tick,max,20260910,2026-01,1,3557,699,5923,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00,cc040fb7b1c4436de96d7ec3daa1f5202fd3e7eb4ac6d461b768078cb3934953,316d3c71b743265377f2b938d4718989743c572f4663f15f90f8cc6f18832c55,d8c9fa7ac1d832de33e38eca5b4ab82013311c99e9b1336052d49255c9f41465,a939431e968f54d05e4aa034adb47f8d09c959040ec784ede999be1130ebbbc8,28
tcn_shuffled_mean_20260910,tcn,shuffled,mean,20260910,2026-01,1,3557,699,5923,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00,cc040fb7b1c4436de96d7ec3daa1f5202fd3e7eb4ac6d461b768078cb3934953,9e122eb95d778ed8c17d425b6f63d9ac4dc711fe96ce9b3e478f133eca3d0ac8,d8c9fa7ac1d832de33e38eca5b4ab82013311c99e9b1336052d49255c9f41465,a939431e968f54d05e4aa034adb47f8d09c959040ec784ede999be1130ebbbc8,28
tcn_shuffled_max_20260910,tcn,shuffled,max,20260910,2026-01,1,3557,699,5923,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00,cc040fb7b1c4436de96d7ec3daa1f5202fd3e7eb4ac6d461b768078cb3934953,9e122eb95d778ed8c17d425b6f63d9ac4dc711fe96ce9b3e478f133eca3d0ac8,d8c9fa7ac1d832de33e38eca5b4ab82013311c99e9b1336052d49255c9f41465,a939431e968f54d05e4aa034adb47f8d09c959040ec784ede999be1130ebbbc8,28
tcn_tick_mean_20260911,tcn,tick,mean,20260911,2026-01,4,3557,699,5923,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00,4d52604425a59d975f1bc213b893d210f54ba6115012c7afb5d9e4db79f8ba0a,316d3c71b743265377f2b938d4718989743c572f4663f15f90f8cc6f18832c55,592693026e93e1cafc10b9b25e4f60de09b0225278ee01a3f620c419fd206c52,8920289d79f303be8367164569ec0bf21eb2dc300326791ecbd4cf6e5ec1799b,112
tcn_tick_max_20260911,tcn,tick,max,20260911,2026-01,4,3557,699,5923,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00,4d52604425a59d975f1bc213b893d210f54ba6115012c7afb5d9e4db79f8ba0a,316d3c71b743265377f2b938d4718989743c572f4663f15f90f8cc6f18832c55,592693026e93e1cafc10b9b25e4f60de09b0225278ee01a3f620c419fd206c52,8920289d79f303be8367164569ec0bf21eb2dc300326791ecbd4cf6e5ec1799b,112
tcn_shuffled_mean_20260911,tcn,shuffled,mean,20260911,2026-01,4,3557,699,5923,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00,4d52604425a59d975f1bc213b893d210f54ba6115012c7afb5d9e4db79f8ba0a,7881957c18dc314d89e48aa482948071e127707de8590fe361852f3b2e866ff7,592693026e93e1cafc10b9b25e4f60de09b0225278ee01a3f620c419fd206c52,8920289d79f303be8367164569ec0bf21eb2dc300326791ecbd4cf6e5ec1799b,112
tcn_shuffled_max_20260911,tcn,shuffled,max,20260911,2026-01,4,3557,699,5923,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00,4d52604425a59d975f1bc213b893d210f54ba6115012c7afb5d9e4db79f8ba0a,7881957c18dc314d89e48aa482948071e127707de8590fe361852f3b2e866ff7,592693026e93e1cafc10b9b25e4f60de09b0225278ee01a3f620c419fd206c52,8920289d79f303be8367164569ec0bf21eb2dc300326791ecbd4cf6e5ec1799b,112
