model,primary_model,new_model,n,days,q10_prediction_sd,q90_prediction_sd,clean_tail,clean_q10,coverage80,width80,worst_tail_h1,sensitivity_h1,worst_tail_h6,sensitivity_h6,worst_tail_h24,sensitivity_h24,stress_excess
tcn_clean_ensemble_raw,True,False,1814,77,2.873543300265066,1.6675468261947304,1.6740940588243776,1.6127197741888548,0.7673649393605292,23.66020760997084,1.750612750222821,0.9599491791092529,1.8515508050308551,2.309184638860689,1.8904261048445128,2.7835374503221555,0.07651869139844344
tcn_clean_ensemble_cal,True,False,1814,77,2.8998920667676593,2.4693476978746727,1.6735002050449213,1.618901845386,0.7998897464167586,25.438293085484812,1.7435069721922112,0.959949179109253,1.8381718355469936,2.3091846388606894,1.873919551490693,2.7835374503221555,0.07000676714728969
tcn_shuffled_20260910_raw,False,False,1814,77,2.827759376505656,2.297465942582579,1.7116987859765058,1.6443999754408083,0.7508269018743109,22.780991068485683,1.797514855712594,0.9152651185369018,1.9010614779937722,2.13214165767472,1.956907325116955,2.7589393227208148,0.08581606973608776
tcn_shuffled_20260910_cal,False,False,1814,77,2.7721425870276266,3.2684277878336525,1.6950197279098949,1.6388854096397207,0.7954796030871003,25.237556373517545,1.7721647070172564,0.9152651185369018,1.8636822453094495,2.13214165767472,1.9132529413436115,2.7589393227208148,0.07714497910736169
tcn_shuffled_20260911_raw,False,False,1814,77,3.6621491293864263,2.0636688902853355,1.7098904548934035,1.6421003506911704,0.7783902976846747,24.59210542531103,1.7971963816107204,1.1706226547602914,1.9025952658479834,2.6316708514288214,1.9403792481348705,3.192689053673203,0.08730592671731703
tcn_shuffled_20260911_cal,False,False,1814,77,3.777472020395668,3.1610276472005947,1.7149758571998193,1.6496325326758348,0.7894156560088202,25.26418484921202,1.80243527034405,1.1706226547602914,1.9078703788007967,2.6316708514288214,1.945834801709487,3.192689053673203,0.08745941314423064
tcn_shuffled_20260912_raw,False,False,1814,77,2.4101491846626755,1.4898899880082523,1.6563296414352549,1.6208154434388409,0.7662624035281147,23.401480500858437,1.7394706313679176,1.0437099000453423,1.8286980140763207,2.269975966629146,1.8638650689311222,2.771487431594529,0.08314098993266295
tcn_shuffled_20260912_cal,False,False,1814,77,2.806698682839695,1.8040338207768267,1.6545450118438068,1.6168289553715223,0.7943770672546858,24.888406604502112,1.7289378218238143,1.0437099000453423,1.8133049823249379,2.269975966629146,1.8462346832881493,2.771487431594529,0.07439280998000755
tcn_shuffled_ensemble_raw,True,False,1814,77,2.767652884544329,1.6906858057708793,1.6772099793711448,1.6188697452591714,0.7712238147739802,23.591525664885047,1.7588955161386455,1.0183107781086018,1.8586251359917367,2.3187304253702608,1.9006482308412576,2.8552219863325217,0.08168553676750048
tcn_shuffled_ensemble_cal,True,False,1814,77,2.879483958922319,2.625150406536686,1.6757051031549082,1.6195202513666351,0.7921719955898566,25.027240013455774,1.7528236246074649,1.0183107781086018,1.846384453723951,2.318730425370261,1.8857744977310458,2.8552219863325217,0.07711852145255688
