variable,stat,submitted,recomputed,matches_rounding
BTC_VOL_24,N,715,715.0,True
BTC_VOL_24,mean,0.430,0.4295769877686179,True
BTC_VOL_24,std,0.189,0.18874503619005595,True
BTC_VOL_24,min,0.170,0.17030028988688,True
BTC_VOL_24,q25,0.291,0.290667999620825,True
BTC_VOL_24,median,0.386,0.38624212795715,True
BTC_VOL_24,q75,0.520,0.5203284249683,True
BTC_VOL_24,max,1.635,1.6349104306984201,True
BTC_VOL_24,skew,1.85,1.8490910832479657,True
BTC_VOL_24,excess_kurtosis,6.72,6.716518111472061,True
ACCOUNT_LS,N,715,715.0,True
ACCOUNT_LS,mean,1.486,1.4859945928111886,True
ACCOUNT_LS,std,0.649,0.6490979436721309,True
ACCOUNT_LS,min,0.446,0.44600921,True
ACCOUNT_LS,q25,0.921,0.92144168,True
ACCOUNT_LS,median,1.438,1.43803633,True
ACCOUNT_LS,q75,2.001,2.0005147699999997,True
ACCOUNT_LS,max,3.271,3.27055247,True
ACCOUNT_LS,skew,0.37,0.37407493008065207,True
ACCOUNT_LS,excess_kurtosis,-0.75,-0.749715692095402,True
TOPTRADER_ACCOUNT_LS,N,715,715.0,True
TOPTRADER_ACCOUNT_LS,mean,1.694,1.6937056948671327,True
TOPTRADER_ACCOUNT_LS,std,0.738,0.737581968183196,True
TOPTRADER_ACCOUNT_LS,min,0.594,0.5942809,True
TOPTRADER_ACCOUNT_LS,q25,1.058,1.0578504450000001,True
TOPTRADER_ACCOUNT_LS,median,1.563,1.56349918,True
TOPTRADER_ACCOUNT_LS,q75,2.220,2.220058795,True
TOPTRADER_ACCOUNT_LS,max,3.982,3.9818335,True
TOPTRADER_ACCOUNT_LS,skew,0.60,0.5999421386037435,True
TOPTRADER_ACCOUNT_LS,excess_kurtosis,-0.35,-0.3484287959263175,True
OI,N,715,715.0,True
OI,mean,87.35,87.34631562937064,True
OI,std,6.71,6.707275621979134,True
OI,min,72.55,72.550377,True
OI,q25,81.70,81.70300950000001,True
OI,median,88.25,88.24863800000001,True
OI,q75,91.15,91.15260699999999,True
OI,max,103.62,103.621458,True
OI,skew,0.12,0.12276538555867605,True
OI,excess_kurtosis,-0.56,-0.5641858505094124,True
FUNDING,N,711,711.0,True
FUNDING,mean,0.459,0.4586454289732771,True
FUNDING,std,0.443,0.4427012490917392,True
FUNDING,min,-1.369,-1.3688,True
FUNDING,q25,0.200,0.1996,True
FUNDING,median,0.456,0.45630000000000004,True
FUNDING,q75,0.845,0.8454999999999999,True
FUNDING,max,1.000,1.0,True
FUNDING,skew,-0.81,-0.8107193848318376,True
FUNDING,excess_kurtosis,0.85,0.8543942509565188,True
DXY_ret,N,715,715.0,True
DXY_ret,mean,0.001,0.0007392038155872606,True
DXY_ret,std,0.203,0.2029121917393862,True
DXY_ret,min,-1.149,-1.14869797952197,True
DXY_ret,q25,-0.067,-0.066512102221765,True
DXY_ret,median,-0.002,-0.002059626177874918,True
DXY_ret,q75,0.079,0.07893000903442499,True
DXY_ret,max,1.035,1.0350752582477,True
DXY_ret,skew,-0.46,-0.45926833424886576,True
DXY_ret,excess_kurtosis,6.00,5.999119753626147,True
VIX,N,715,715.0,True
VIX,mean,17.69,17.689118881118883,True
VIX,std,2.84,2.8398347746782973,True
VIX,min,13.48,13.48,True
VIX,q25,15.85,15.844999999999999,True
VIX,median,16.84,16.84,True
VIX,q75,18.74,18.735,True
VIX,max,31.57,31.57,True
VIX,skew,1.53,1.5341681510237934,True
VIX,excess_kurtosis,2.37,2.3691378041274205,True
USDKRW_ret,N,715,715.0,True
USDKRW_ret,mean,0.011,0.011239721079775958,True
USDKRW_ret,std,0.298,0.2979822711183332,True
USDKRW_ret,min,-2.254,-2.25356072845261,True
USDKRW_ret,q25,-0.079,-0.078927089045775,True
USDKRW_ret,median,-0.001,-0.0006832677965640244,True
USDKRW_ret,q75,0.095,0.09520673083933,True
USDKRW_ret,max,2.070,2.0702105952836702,True
USDKRW_ret,skew,-0.12,-0.11780643184846432,True
USDKRW_ret,excess_kurtosis,13.03,13.030991957098621,True
