table,label,stat,submitted,source,value,matches_printed_precision,file,column
6,DROP_TOP5_DAYS,leverage_p,0.00,rerun_B300,0.0,True,exp2_subsample_stability.csv,M2_leverage_p
6,FIRST_HALF,N,356,saved_v4,356.0,True,exp2_subsample_stability.csv,n
6,FIRST_HALF,N,356,rerun_B300,356.0,True,exp2_subsample_stability.csv,n
6,FIRST_HALF,beta,-2.01,saved_v4,-2.01,True,exp2_subsample_stability.csv,q10_dn
6,FIRST_HALF,beta,-2.01,rerun_B300,-2.01,True,exp2_subsample_stability.csv,q10_dn
6,FIRST_HALF,p,1.00,saved_v4,1.0,True,exp2_subsample_stability.csv,q10_p
6,FIRST_HALF,p,1.00,rerun_B300,0.987,False,exp2_subsample_stability.csv,q10_p
6,FIRST_HALF,leverage_p,0.45,saved_v4,0.45,True,exp2_subsample_stability.csv,M2_leverage_p
6,FIRST_HALF,leverage_p,0.45,rerun_B300,0.513,False,exp2_subsample_stability.csv,M2_leverage_p
6,SECOND_HALF,N,358,saved_v4,358.0,True,exp2_subsample_stability.csv,n
6,SECOND_HALF,N,358,rerun_B300,358.0,True,exp2_subsample_stability.csv,n
6,SECOND_HALF,beta,-3.48,saved_v4,-3.48,True,exp2_subsample_stability.csv,q10_dn
6,SECOND_HALF,beta,-3.48,rerun_B300,-3.48,True,exp2_subsample_stability.csv,q10_dn
6,SECOND_HALF,p,0.32,saved_v4,0.32,True,exp2_subsample_stability.csv,q10_p
6,SECOND_HALF,p,0.32,rerun_B300,0.273,False,exp2_subsample_stability.csv,q10_p
6,SECOND_HALF,leverage_p,0.49,saved_v4,0.49,True,exp2_subsample_stability.csv,M2_leverage_p
6,SECOND_HALF,leverage_p,0.49,rerun_B300,0.513,False,exp2_subsample_stability.csv,M2_leverage_p
