mode,definition,strategy,calibration,n,days,seeds,loss_bp,below_rate,below_lo,below_hi
available_macro,EQ,dynamics_vol,calibrated,1088,78,1,1.8346725900637766,0.09283088235294118,0.07878760749844008,0.10566155032005094
available_macro,EQ,linear,calibrated,1088,78,4,1.8929939910151707,0.08731617647058823,0.07389799593803459,0.10000431406384815
available_macro,EQ,persistence,calibrated,1088,78,1,2.090776106112944,0.08915441176470588,0.07669347372047455,0.10215773350603426
available_macro,EQ,selected,calibrated,1088,78,4,1.6914307529067192,0.10087316176470588,0.08637372776742078,0.1159271337307209
available_macro,EQ,threshold,calibrated,1088,78,4,1.748324809709331,0.0974264705882353,0.08027016851406425,0.11582859331338033
available_macro,PCA,ar_quantile,raw,1088,78,1,1.9812641575582641,0.15073529411764705,0.12730210978400577,0.17838773869663557
available_macro,PCA,dynamics_vol,raw,1088,78,1,1.8875453256147297,0.15441176470588236,0.13201395248612832,0.18072682154526773
available_macro,PCA,linear,raw,1088,78,1,1.9602528943277648,0.15992647058823528,0.1369634268478729,0.18664464127420427
available_macro,PCA,persistence,raw,1088,78,1,2.108841398170619,0.1332720588235294,0.11596534035036773,0.1504885373113174
available_macro,PCA,selected,raw,1088,78,1,1.7014485007502984,0.17371323529411764,0.1516892185818623,0.19638061448590316
available_macro,PCA,threshold,raw,1088,78,1,1.7505662269279005,0.15808823529411764,0.1375658794683185,0.17881023741590973
available_macro,PCA,ar_quantile,calibrated,1088,78,1,1.8940436732727468,0.0900735294117647,0.07642304681465589,0.10335259617043298
available_macro,PCA,dynamics_vol,calibrated,1088,78,1,1.8199683036844507,0.09191176470588236,0.07743472170462357,0.1049697672311975
available_macro,PCA,linear,calibrated,1088,78,1,1.8749561754212645,0.08731617647058823,0.07348778861382012,0.09982428703012372
available_macro,PCA,persistence,calibrated,1088,78,1,2.072169960173608,0.09099264705882353,0.07945865514885536,0.10304033725411539
available_macro,PCA,selected,calibrated,1088,78,1,1.646733782555868,0.10018382352941177,0.08632134321707781,0.1146843543352656
available_macro,PCA,threshold,calibrated,1088,78,1,1.7204685689709558,0.09375,0.07786443371938044,0.11058949766029316
strict,EQ,ar_quantile,raw,467,77,1,2.0722797103065633,0.16488222698072805,0.13411506140917906,0.2
strict,EQ,dynamics_vol,raw,467,77,1,2.038080896771398,0.16274089935760172,0.13364003982223682,0.1930901317633866
strict,EQ,linear,raw,467,77,1,2.139549331793111,0.17987152034261242,0.14884508834980534,0.21333477011494253
strict,EQ,persistence,raw,467,77,1,2.194460515871521,0.139186295503212,0.11064477646402356,0.16521496998211913
strict,EQ,selected,raw,467,77,1,1.941325732604377,0.1841541755888651,0.15383782883782884,0.2171950566827227
strict,EQ,threshold,raw,467,77,1,1.9949553574678742,0.19271948608137046,0.16016023777217805,0.22595388350672332
strict,EQ,ar_quantile,calibrated,467,77,1,1.9928428865581327,0.07922912205567452,0.053295547994110605,0.10756143667296786
strict,EQ,dynamics_vol,calibrated,467,77,1,1.9829980540400018,0.09207708779443255,0.061692084241103846,0.12295540396816663
strict,EQ,linear,calibrated,467,77,1,2.050791116010734,0.08565310492505353,0.05800295907730589,0.11337868480725624
strict,EQ,persistence,calibrated,467,77,1,2.1236193446735534,0.08779443254817987,0.061536709304363064,0.11263188418248989
strict,EQ,selected,calibrated,467,77,1,1.8818482685609634,0.0835117773019272,0.057687876639489544,0.10948076923076923
strict,EQ,threshold,calibrated,467,77,1,1.8357961013299757,0.0835117773019272,0.05881713554987212,0.11014503118027345
