mode,definition,strategy,calibration,fold,n,loss_bp,below_rate
strict,EQ,linear,calibrated,2026-03,89,2.0619326177418467,0.0449438202247191
strict,EQ,persistence,calibrated,2025-12,132,2.302038311665614,0.11363636363636363
strict,EQ,persistence,calibrated,2026-01,126,1.495209849164894,0.03968253968253968
strict,EQ,persistence,calibrated,2026-02,120,2.6266234138034084,0.13333333333333333
strict,EQ,persistence,calibrated,2026-03,89,2.0704486086685683,0.056179775280898875
strict,EQ,selected,calibrated,2025-12,132,2.079680485714448,0.07575757575757576
strict,EQ,selected,calibrated,2026-01,126,1.1400443740617772,0.05555555555555555
strict,EQ,selected,calibrated,2026-02,120,1.9630510760841122,0.10833333333333334
strict,EQ,selected,calibrated,2026-03,89,2.5291415397953427,0.10112359550561797
strict,EQ,threshold,calibrated,2025-12,132,1.9487569080606284,0.07575757575757576
strict,EQ,threshold,calibrated,2026-01,126,1.1456397980979356,0.06349206349206349
strict,EQ,threshold,calibrated,2026-02,120,1.9854631081518916,0.10833333333333334
strict,EQ,threshold,calibrated,2026-03,89,2.443535729421673,0.0898876404494382
