mode,definition,fold,candidate,strategy,window,form,alpha,inner_score,inner_months,train_n,test_n,features,train_last_label,first_origin,coefficients
available_macro,PCA,2026-01,25,dynamics_vol,90,change,0.05,1.6379934932244344,"['2025-10', '2025-11', '2025-12']",908,294,"['e_now', 'e_change1', 'btc_vol24', 'downside24']",2025-12-31T17:00:00+00:00,2026-01-02T03:00:00+00:00,"{'e_now': 0.9695651032971726, 'e_change1': -0.18283615785320617, 'btc_vol24': 0.0, 'downside24': 0.0, 'intercept': -10.812586212779328}"
available_macro,PCA,2026-02,1,persistence,90,change,,1.8911339591914411,"['2025-11', '2025-12', '2026-01']",887,280,['e_now'],2026-01-30T17:00:00+00:00,2026-02-02T03:00:00+00:00,"{'intercept': -12.98933062719228, 'e_now': 1.0}"
available_macro,PCA,2026-02,13,ar_quantile,90,change,0.05,1.805837913955291,"['2025-11', '2025-12', '2026-01']",887,280,['e_now'],2026-01-30T17:00:00+00:00,2026-02-02T03:00:00+00:00,"{'e_now': 0.8265059981249705, 'intercept': -12.157593203480367}"
available_macro,PCA,2026-02,24,dynamics_vol,90,change,0.01,1.7290304392463822,"['2025-11', '2025-12', '2026-01']",887,280,"['e_now', 'e_change1', 'btc_vol24', 'downside24']",2026-01-30T17:00:00+00:00,2026-02-02T03:00:00+00:00,"{'e_now': 0.740115512207328, 'e_change1': -0.342611474054525, 'btc_vol24': 0.0, 'downside24': -0.0005602468173441046, 'intercept': -9.90420324480178}"
available_macro,PCA,2026-03,1,persistence,90,change,,2.1182708699051718,"['2025-12', '2026-01', '2026-02']",887,201,['e_now'],2026-02-27T17:00:00+00:00,2026-03-02T03:00:00+00:00,"{'intercept': -14.799554505082387, 'e_now': 1.0}"
available_macro,PCA,2026-03,8,ar_quantile,90,level,0.0,1.978268048533294,"['2025-12', '2026-01', '2026-02']",887,201,['e_now'],2026-02-27T17:00:00+00:00,2026-03-02T03:00:00+00:00,"{'e_now': 0.5244750076701796, 'intercept': -12.96736463418697}"
available_macro,PCA,2026-03,23,dynamics_vol,90,change,0.0,1.761545880093209,"['2025-12', '2026-01', '2026-02']",887,201,"['e_now', 'e_change1', 'btc_vol24', 'downside24']",2026-02-27T17:00:00+00:00,2026-03-02T03:00:00+00:00,"{'e_now': 0.5996176301263483, 'e_change1': -0.3772663216400857, 'btc_vol24': -0.00013157281016223682, 'downside24': -0.0010310220735657196, 'intercept': -10.16603896389082}"
strict,EQ,2025-11,0,persistence,all,change,,1.5309781586064024,"['2025-08', '2025-09', '2025-10']",742,120,['e_now'],2025-10-31T17:00:00+00:00,2025-11-03T11:00:00+00:00,"{'intercept': -9.93644317963455, 'e_now': 1.0}"
strict,EQ,2025-11,6,ar_quantile,all,change,0.01,1.258892623282571,"['2025-08', '2025-09', '2025-10']",742,120,['e_now'],2025-10-31T17:00:00+00:00,2025-11-03T11:00:00+00:00,"{'e_now': 0.23333603810586723, 'intercept': -8.210691738668066}"
strict,EQ,2025-11,18,dynamics_vol,all,change,0.01,1.2622141805192229,"['2025-08', '2025-09', '2025-10']",742,120,"['e_now', 'e_change1', 'btc_vol24', 'downside24']",2025-10-31T17:00:00+00:00,2025-11-03T11:00:00+00:00,"{'e_now': 0.2556405187760936, 'e_change1': -0.04805482619115168, 'btc_vol24': 0.0, 'downside24': -0.0004937396385051609, 'intercept': -7.848531032514479}"
strict,EQ,2025-12,1,persistence,90,change,,1.6113038958670278,"['2025-09', '2025-10', '2025-11']",428,132,['e_now'],2025-11-28T17:00:00+00:00,2025-12-01T11:00:00+00:00,"{'intercept': -10.874126998933226, 'e_now': 1.0}"
strict,EQ,2025-12,7,ar_quantile,all,change,0.05,1.4466667684093297,"['2025-09', '2025-10', '2025-11']",862,132,['e_now'],2025-11-28T17:00:00+00:00,2025-12-01T11:00:00+00:00,"{'e_now': 0.6064271612618685, 'intercept': -8.75571687901833}"
strict,EQ,2025-12,19,dynamics_vol,all,change,0.05,1.4466667684093297,"['2025-09', '2025-10', '2025-11']",862,132,"['e_now', 'e_change1', 'btc_vol24', 'downside24']",2025-11-28T17:00:00+00:00,2025-12-01T11:00:00+00:00,"{'e_now': 0.6064271612618685, 'e_change1': 0.0, 'btc_vol24': 0.0, 'downside24': 0.0, 'intercept': -8.75571687901833}"
strict,EQ,2026-01,1,persistence,90,change,,1.93144289278326,"['2025-10', '2025-11', '2025-12']",399,126,['e_now'],2025-12-31T17:00:00+00:00,2026-01-02T11:00:00+00:00,"{'intercept': -13.112923280508388, 'e_now': 1.0}"
strict,EQ,2026-01,13,ar_quantile,90,change,0.05,1.8249641855233856,"['2025-10', '2025-11', '2025-12']",399,126,['e_now'],2025-12-31T17:00:00+00:00,2026-01-02T11:00:00+00:00,"{'e_now': 0.8355959315878825, 'intercept': -11.7183731426337}"
strict,EQ,2026-01,25,dynamics_vol,90,change,0.05,1.8109282982828152,"['2025-10', '2025-11', '2025-12']",399,126,"['e_now', 'e_change1', 'btc_vol24', 'downside24']",2025-12-31T17:00:00+00:00,2026-01-02T11:00:00+00:00,"{'e_now': 1.0, 'e_change1': -0.2364244400312427, 'btc_vol24': 0.0, 'downside24': 0.0, 'intercept': -11.47606693508253}"
strict,EQ,2026-02,1,persistence,90,change,,1.9990776898933165,"['2025-11', '2025-12', '2026-01']",378,120,['e_now'],2026-01-30T17:00:00+00:00,2026-02-02T11:00:00+00:00,"{'intercept': -13.867935243356849, 'e_now': 1.0}"
strict,EQ,2026-02,13,ar_quantile,90,change,0.05,1.872613618442297,"['2025-11', '2025-12', '2026-01']",378,120,['e_now'],2026-01-30T17:00:00+00:00,2026-02-02T11:00:00+00:00,"{'e_now': 0.8226267202265894, 'intercept': -12.337378700889214}"
strict,EQ,2026-02,24,dynamics_vol,90,change,0.01,1.839105663872515,"['2025-11', '2025-12', '2026-01']",378,120,"['e_now', 'e_change1', 'btc_vol24', 'downside24']",2026-01-30T17:00:00+00:00,2026-02-02T11:00:00+00:00,"{'e_now': 0.8713479803064215, 'e_change1': -0.3610751512813292, 'btc_vol24': 0.0, 'downside24': -0.0002663940848306398, 'intercept': -11.384312459596837}"
strict,EQ,2026-03,1,persistence,90,change,,2.237653343925666,"['2025-12', '2026-01', '2026-02']",378,89,['e_now'],2026-02-27T17:00:00+00:00,2026-03-02T11:00:00+00:00,"{'intercept': -15.240369450962156, 'e_now': 1.0}"
strict,EQ,2026-03,12,ar_quantile,90,change,0.01,2.0302040302771185,"['2025-12', '2026-01', '2026-02']",378,89,['e_now'],2026-02-27T17:00:00+00:00,2026-03-02T11:00:00+00:00,"{'e_now': 0.49100092707720633, 'intercept': -13.05148254215469}"
strict,EQ,2026-03,23,dynamics_vol,90,change,0.0,1.91840103592569,"['2025-12', '2026-01', '2026-02']",378,89,"['e_now', 'e_change1', 'btc_vol24', 'downside24']",2026-02-27T17:00:00+00:00,2026-03-02T11:00:00+00:00,"{'e_now': 0.5414801084347204, 'e_change1': -0.3594779347900609, 'btc_vol24': -0.010241064576046677, 'downside24': -0.0017602091256869663, 'intercept': -9.773628241769252}"
