scope,sample,h,method,model,q,term,n,status,coef_raw,effect_bp_per_sd,scenario
core,all,1,pca,M2,0.5,btc_ret,2523,estimated,103.75867904121394,0.4737678521493362,clock_UTC_quote
core,all,1,pca,M2,0.5,account_ls,2523,estimated,0.720073793354352,0.4473399197274159,clock_UTC_quote
core,all,1,pca,M2,0.9,e_origin,2523,estimated,0.3325810914596794,3.190281693735544,clock_UTC_quote
core,all,1,pca,M2,0.9,downside,2523,estimated,-84524.26228805367,-1.4258220065727891,clock_UTC_quote
core,all,1,pca,M2,0.9,btc_vol,2523,estimated,568.855321455795,1.111291841752065,clock_UTC_quote
core,all,1,pca,M2,0.9,btc_ret,2523,estimated,101.57339955116583,0.4637897454510536,clock_UTC_quote
core,all,1,pca,M2,0.9,account_ls,2523,estimated,1.5057952080960146,0.9354628841270932,clock_UTC_quote
core,all,1,seq_xgb,M0,0.1,e_origin,2523,estimated,0.4491336858333695,4.313501433734287,clock_UTC_quote
core,all,1,seq_xgb,M0,0.1,downside,2523,estimated,-113238.81021289776,-1.9102016773530488,clock_UTC_quote
core,all,1,seq_xgb,M0,0.5,e_origin,2523,estimated,0.3715186999450241,3.568083391247815,clock_UTC_quote
core,all,1,seq_xgb,M0,0.5,downside,2523,estimated,-62997.81459326884,-1.0626968870424611,clock_UTC_quote
core,all,1,seq_xgb,M0,0.9,e_origin,2523,estimated,0.3563532869904213,3.4224340387583174,clock_UTC_quote
core,all,1,seq_xgb,M0,0.9,downside,2523,estimated,11736.78047050453,0.1979852817186231,clock_UTC_quote
core,all,1,seq_xgb,M1,0.1,e_origin,2523,estimated,0.4557415828725436,4.376963993438662,clock_UTC_quote
core,all,1,seq_xgb,M1,0.1,downside,2523,estimated,-103733.02505999616,-1.749850586508029,clock_UTC_quote
core,all,1,seq_xgb,M1,0.1,btc_vol,2523,estimated,-114.21100118771729,-0.2231178105769175,clock_UTC_quote
core,all,1,seq_xgb,M1,0.1,btc_ret,2523,estimated,260.0076751565637,1.1872093875861502,clock_UTC_quote
core,all,1,seq_xgb,M1,0.5,e_origin,2523,estimated,0.3793428198590346,3.643226613703221,clock_UTC_quote
core,all,1,seq_xgb,M1,0.5,downside,2523,estimated,-105557.6505714072,-1.7806298105733975,clock_UTC_quote
core,all,1,seq_xgb,M1,0.5,btc_vol,2523,estimated,313.97167595879387,0.6133618670232379,clock_UTC_quote
core,all,1,seq_xgb,M1,0.5,btc_ret,2523,estimated,94.85152094747876,0.4330972769471664,clock_UTC_quote
core,all,1,seq_xgb,M1,0.9,e_origin,2523,estimated,0.3468348635932765,3.331018644488143,clock_UTC_quote
core,all,1,seq_xgb,M1,0.9,downside,2523,estimated,-10906.132401272123,-0.1839732541094078,clock_UTC_quote
core,all,1,seq_xgb,M1,0.9,btc_vol,2523,estimated,293.1717789935978,0.5727280627238399,clock_UTC_quote
core,all,1,seq_xgb,M1,0.9,btc_ret,2523,estimated,87.76174763786591,0.4007249809218211,clock_UTC_quote
core,all,1,seq_xgb,M2,0.1,e_origin,2523,estimated,0.4480755170068425,4.303338729634532,clock_UTC_quote
core,all,1,seq_xgb,M2,0.1,downside,2523,estimated,-148190.74187269618,-2.4997984627462566,clock_UTC_quote
core,all,1,seq_xgb,M2,0.1,btc_vol,2523,estimated,-34.89797458159911,-0.0681752160583694,clock_UTC_quote
core,all,1,seq_xgb,M2,0.1,btc_ret,2523,estimated,236.30546334942477,1.0789837809880125,clock_UTC_quote
core,all,1,seq_xgb,M2,0.1,account_ls,2523,estimated,0.9935194228964468,0.6172157673115226,clock_UTC_quote
core,all,1,seq_xgb,M2,0.5,e_origin,2523,estimated,0.3839392587006285,3.687371032522528,clock_UTC_quote
core,all,1,seq_xgb,M2,0.5,downside,2523,estimated,-115660.88884765469,-1.951059212522265,clock_UTC_quote
core,all,1,seq_xgb,M2,0.5,btc_vol,2523,estimated,237.8331668795967,0.4646208764909863,clock_UTC_quote
core,all,1,seq_xgb,M2,0.5,btc_ret,2523,estimated,98.2408560239302,0.4485731678723678,clock_UTC_quote
core,all,1,seq_xgb,M2,0.5,account_ls,2523,estimated,1.1485979004749258,0.7135569956018125,clock_UTC_quote
core,all,1,seq_xgb,M2,0.9,e_origin,2523,estimated,0.323476655612384,3.106685296104152,clock_UTC_quote
core,all,1,seq_xgb,M2,0.9,downside,2523,estimated,-90967.53587248876,-1.534512233761618,clock_UTC_quote
core,all,1,seq_xgb,M2,0.9,btc_vol,2523,estimated,585.2095364573931,1.1432407486604583,clock_UTC_quote
core,all,1,seq_xgb,M2,0.9,btc_ret,2523,estimated,52.3739979754636,0.2391425638664218,clock_UTC_quote
