h,q,block_days,reference,term,estimate,low95,high95,p_centered,n_boot
12,0.0,5,ETH,down_pct,1.0760969058733145,-0.5262813599810091,3.12229129093993,0.23843058350100604,1987
12,0.0,5,ETH,ls_z,0.43933908691434664,-1.0923029132044004,2.8823764989846548,0.6488933601609658,1987
12,0.0,5,ETH,down_x_ls,-1.540643577402455,-4.38745657502468,1.1481204342345366,0.28470824949698187,1987
12,0.0,5,without_DOGE,down_pct,0.7876865429123342,-0.512200938471349,2.3993312699193985,0.2746478873239437,1987
12,0.0,5,without_DOGE,ls_z,0.6150472323330419,-0.37489836771299123,2.536067234316491,0.3611670020120724,1987
12,0.0,5,without_DOGE,down_x_ls,-0.7598753442437739,-2.4659827643110135,0.964878944284701,0.38028169014084506,1987
6,0.1,5,mean5,down_pct,1.7038989284539572,-1.5010884347701452,5.009140456998372,0.3403826787512588,992
6,0.1,5,mean5,ls_z,-0.8379282382982023,-2.296467813002935,1.9311590640260892,0.4199395770392749,992
6,0.1,5,mean5,down_x_ls,-0.3622126852952554,-4.472691602368801,1.0779637283084686,0.850956696878147,992
6,0.1,5,median5,down_pct,1.2207881020114906,-0.5443777476150052,3.4258026145828007,0.20040281973816718,992
6,0.1,5,median5,ls_z,-0.5520791651536672,-2.4760989819474544,1.082975321187781,0.5166163141993958,992
6,0.1,5,median5,down_x_ls,0.28841408886863906,-2.3526510842258754,1.3637023973267652,0.7854984894259819,992
6,0.1,5,BTC,down_pct,0.2826800110565544,-1.2760094229514005,2.71113388239888,0.7854984894259819,992
6,0.1,5,BTC,ls_z,-0.5992654383210425,-1.801185954311884,1.3113814940106698,0.48036253776435045,992
6,0.1,5,BTC,down_x_ls,0.07617474426113952,-2.524247626338865,1.5352916474538343,0.9365558912386707,992
6,0.1,5,ETH,down_pct,0.8669806345990287,-2.6842995071643583,3.8937787809972497,0.6263846928499497,992
6,0.1,5,ETH,ls_z,-0.6818257365197979,-2.353079639941954,1.3225749921768668,0.4501510574018127,992
6,0.1,5,ETH,down_x_ls,-0.5556368921368986,-3.8372606515384584,2.4089053438612926,0.7170191339375629,992
6,0.1,5,without_DOGE,down_pct,0.5408588165022075,-1.1361067858860894,2.768487687483038,0.5649546827794562,992
6,0.1,5,without_DOGE,ls_z,-0.8108544324472926,-2.73078343520164,0.8255284517691713,0.3957703927492447,992
6,0.1,5,without_DOGE,down_x_ls,0.18386236042635506,-1.938543706875702,2.3150412554370012,0.8257804632426989,992
6,0.5,5,mean5,down_pct,3.9071995873734426,0.5251632348053382,5.3889927316168835,0.02,499
6,0.5,5,mean5,ls_z,0.36450943650449474,-0.998931208096523,2.1475548558861046,0.576,499
6,0.5,5,mean5,down_x_ls,-1.997333584634525,-3.343107660435377,0.3782745821194742,0.056,499
6,0.5,5,median5,down_pct,-0.055164899324208205,-1.5603816354084048,1.920624553971192,0.936,499
6,0.5,5,median5,ls_z,-0.5507116118519976,-1.6833438210868688,1.7758688226775703,0.486,499
6,0.5,5,median5,down_x_ls,-0.015665275882862623,-1.7411881746209126,1.3905996966424266,0.99,499
6,0.5,5,BTC,down_pct,-0.6590515480018366,-2.4091849078107446,0.9490486688126588,0.428,499
6,0.5,5,BTC,ls_z,0.004918475977491121,-1.0184778543700794,1.9494257676146605,0.996,499
6,0.5,5,BTC,down_x_ls,0.570816654021532,-1.5357727470487632,2.361525120547139,0.526,499
6,0.5,5,ETH,down_pct,-1.7335983898565743,-4.149451961988614,0.7991564981446705,0.172,499
6,0.5,5,ETH,ls_z,-0.7301402831470183,-2.5665426110283804,2.447613629657632,0.5,499
6,0.5,5,ETH,down_x_ls,0.5365928119981445,-1.7715107356412854,3.149858841894967,0.608,499
6,0.5,5,without_DOGE,down_pct,-1.0679891200688607,-2.1902546741565425,1.2320170218746225,0.266,499
6,0.5,5,without_DOGE,ls_z,-0.528824062085322,-1.6554762675402843,1.5995837483833462,0.446,499
6,0.5,5,without_DOGE,down_x_ls,0.7637203415810668,-1.2723790986014112,1.8739224315673766,0.286,499
1,0.1,5,mean5,down_pct,-3.770319376402953,-7.299978712209401,-0.9934739674615535,0.024096385542168676,497
1,0.1,5,mean5,ls_z,-1.5618980633328516,-3.173498623233222,0.2543647857979218,0.07028112449799197,497
1,0.1,5,mean5,down_x_ls,2.0579795358507518,-1.735932384077076,5.3322446028709685,0.2710843373493976,497
1,0.1,5,median5,down_pct,-2.5059626926092715,-4.179683152433838,2.004513864957221,0.13654618473895583,497
1,0.1,5,median5,ls_z,-1.852023272309611,-3.198439197904173,0.08367334342841867,0.040160642570281124,497
1,0.1,5,median5,down_x_ls,1.655669936584753,-2.054698179561452,3.267282468559974,0.20481927710843373,497
1,0.1,5,BTC,down_pct,-0.917705074344747,-2.770160300394965,2.143722114428574,0.40562248995983935,497
1,0.1,5,BTC,ls_z,-1.5825242972305946,-2.72976513525949,0.20187623692560136,0.04417670682730924,497
1,0.1,5,BTC,down_x_ls,0.07277319672543014,-2.60987753364693,2.527189503754716,0.9578313253012049,497
1,0.1,5,ETH,down_pct,-2.9566874631893514,-4.906138701230271,0.09710488496541897,0.04216867469879518,497
1,0.1,5,ETH,ls_z,-1.970090507701073,-3.6347333936800124,0.09121869961237837,0.04216867469879518,497
1,0.1,5,ETH,down_x_ls,2.3623649985574695,0.05333384180573136,4.190065597307078,0.03815261044176707,497
1,0.1,5,without_DOGE,down_pct,-1.629461291939103,-3.7481461180758866,2.6147020612148397,0.2389558232931727,497
1,0.1,5,without_DOGE,ls_z,-1.6709036860668913,-2.6910962003872783,0.4479934024889754,0.05823293172690763,497
1,0.1,5,without_DOGE,down_x_ls,1.5802895188060386,-2.35209337067077,3.1062465608538408,0.2389558232931727,497
12,0.1,5,mean5,down_pct,-0.17738563242247407,-2.8314901269696495,3.3949004164024625,0.93158953722334,496
12,0.1,5,mean5,ls_z,-0.27387627563331884,-1.5847970533282314,2.282469527320055,0.7364185110663984,496
12,0.1,5,mean5,down_x_ls,0.9166782329522192,-2.339128234619566,4.132589157830483,0.5975855130784709,496
12,0.1,5,median5,down_pct,1.2343607271338266,-2.0936166651212718,3.6836675192207364,0.3963782696177062,496
12,0.1,5,median5,ls_z,0.0496886438221878,-1.4164377653521267,1.8103901011405745,0.9336016096579477,496
12,0.1,5,median5,down_x_ls,-1.5750570067409235,-3.704464683602378,3.333804743790367,0.3440643863179074,496
12,0.1,5,BTC,down_pct,1.0893489894051331,-2.916306157111206,3.0898382280352967,0.4346076458752515,496
12,0.1,5,BTC,ls_z,-0.13780595239362062,-1.3615115108886453,2.0279289961212443,0.8631790744466801,496
12,0.1,5,BTC,down_x_ls,-0.7206270571249294,-3.4171303382729254,3.885298264518516,0.7022132796780685,496
12,0.1,5,ETH,down_pct,0.8003380286634041,-2.5916788475771013,2.6573098372662867,0.5090543259557344,496
12,0.1,5,ETH,ls_z,-0.002556005660538929,-1.5763853398463952,2.148538601897696,1.0,496
12,0.1,5,ETH,down_x_ls,-2.219793843923624,-3.6699587369955413,2.7977967156503585,0.2535211267605634,496
12,0.1,5,without_DOGE,down_pct,2.836664548715968,-1.5078609778756804,4.192455893516855,0.12474849094567404,496
12,0.1,5,without_DOGE,ls_z,-0.045603939376655966,-1.2085768496252323,2.080047237019974,0.9577464788732394,496
12,0.1,5,without_DOGE,down_x_ls,-1.9663806408593656,-3.669621337898327,2.190594581312306,0.19517102615694165,496
6,0.1,1,mean5,down_pct,1.7038989284539572,-2.534885044030851,5.163359087679784,0.37,499
6,0.1,1,mean5,ls_z,-0.8379282382982023,-2.9682014876270393,1.5141726775704931,0.424,499
6,0.1,1,mean5,down_x_ls,-0.3622126852952554,-5.108095511023497,2.0564120127758407,0.85,499
6,0.1,1,median5,down_pct,1.2207881020114906,-1.137970623725303,3.4466650373282337,0.242,499
6,0.1,1,median5,ls_z,-0.5520791651536672,-2.5820557549463725,0.5956907301103023,0.498,499
6,0.1,1,median5,down_x_ls,0.28841408886863906,-2.346988764559494,1.8730932091269756,0.824,499
6,0.1,1,BTC,down_pct,0.2826800110565544,-1.8843514915573953,2.371979180399197,0.792,499
6,0.1,1,BTC,ls_z,-0.5992654383210425,-1.9952711641608485,0.9820808703009417,0.418,499
6,0.1,1,BTC,down_x_ls,0.07617474426113952,-2.6910551185178404,1.9882442031666905,0.944,499
6,0.1,1,ETH,down_pct,0.8669806345990287,-3.1475318363948652,3.334525298284588,0.692,499
6,0.1,1,ETH,ls_z,-0.6818257365197979,-2.6585650698466825,0.7862483866655127,0.408,499
6,0.1,1,ETH,down_x_ls,-0.5556368921368986,-3.1863736016519786,2.523119114445201,0.696,499
6,0.1,1,without_DOGE,down_pct,0.5408588165022075,-1.8435783291903807,2.7895283196314997,0.564,499
6,0.1,1,without_DOGE,ls_z,-0.8108544324472926,-2.9130294129245375,0.23857624995399943,0.35,499
6,0.1,1,without_DOGE,down_x_ls,0.18386236042635506,-1.5427344396753453,2.710069908498069,0.818,499
6,0.1,10,mean5,down_pct,1.7038989284539572,-0.9237244634388323,5.15605397618213,0.2869022869022869,480
6,0.1,10,mean5,ls_z,-0.8379282382982023,-1.9857225013557516,2.211483903445427,0.3762993762993763,480
6,0.1,10,mean5,down_x_ls,-0.3622126852952554,-3.6473785397112004,0.9031882391048408,0.8128898128898129,480
6,0.1,10,median5,down_pct,1.2207881020114906,-0.3802632065117159,3.225621183802525,0.16632016632016633,480
6,0.1,10,median5,ls_z,-0.5520791651536672,-2.422181752932787,1.4250847902969004,0.5031185031185031,480
6,0.1,10,median5,down_x_ls,0.28841408886863906,-1.9747783640211518,1.3640477231715695,0.7255717255717256,480
6,0.1,10,BTC,down_pct,0.2826800110565544,-1.1452385243802348,3.1051219365292155,0.7858627858627859,480
6,0.1,10,BTC,ls_z,-0.5992654383210425,-1.9957942631410674,1.7821294096391562,0.5467775467775468,480
6,0.1,10,BTC,down_x_ls,0.07617474426113952,-2.7748181364983835,1.5136730735644712,0.9438669438669439,480
6,0.1,10,ETH,down_pct,0.8669806345990287,-1.9206390721900441,4.323365299744168,0.5363825363825364,480
6,0.1,10,ETH,ls_z,-0.6818257365197979,-2.096197737344776,1.6238410583844871,0.4158004158004158,480
6,0.1,10,ETH,down_x_ls,-0.5556368921368986,-4.313839338764498,2.4278328432227654,0.735966735966736,480
6,0.1,10,without_DOGE,down_pct,0.5408588165022075,-0.9896392231859046,2.7404350965054927,0.5509355509355509,480
6,0.1,10,without_DOGE,ls_z,-0.8108544324472926,-2.7999020549146727,1.070356759670755,0.3804573804573805,480
6,0.1,10,without_DOGE,down_x_ls,0.18386236042635506,-1.975701676048137,1.9468133691687424,0.7900207900207901,480
