date,window_days,reference,n_before,n_after,estimate,regime
2025-08-28 00:00:00+00:00,14,ETH,14,14,0.8957112131420217,after
2025-08-28 00:00:00+00:00,14,XRP,14,14,1.2892368796103497,after
2025-08-28 00:00:00+00:00,14,SOL,14,14,0.7990283969612175,after
2025-08-29 00:00:00+00:00,14,ETH,14,14,1.0594955678633848,after
2025-08-29 00:00:00+00:00,14,XRP,14,14,1.638240672682521,after
2025-08-29 00:00:00+00:00,14,SOL,14,14,0.9150339197555848,after
2025-08-30 00:00:00+00:00,14,ETH,14,14,0.5417169285881247,after
2025-08-30 00:00:00+00:00,14,XRP,14,14,1.2528061624469018,after
2025-08-30 00:00:00+00:00,14,SOL,14,14,0.40374621147899425,after
2025-08-31 00:00:00+00:00,14,ETH,14,14,1.0442948639817686,after
2025-08-31 00:00:00+00:00,14,XRP,14,14,1.5718583059085152,after
2025-08-31 00:00:00+00:00,14,SOL,14,14,0.5211941926367789,after
2025-09-01 00:00:00+00:00,14,ETH,14,14,0.761638128976772,after
2025-09-01 00:00:00+00:00,14,XRP,14,14,1.0349627994985617,after
2025-09-01 00:00:00+00:00,14,SOL,14,14,-0.011863683629352195,after
2025-09-02 00:00:00+00:00,14,ETH,14,14,0.19874821243146634,after
2025-09-02 00:00:00+00:00,14,XRP,14,14,0.2510404542529372,after
2025-09-02 00:00:00+00:00,14,SOL,14,14,-0.9248600796370372,after
2025-09-03 00:00:00+00:00,14,ETH,14,14,0.13173216867213178,after
2025-09-03 00:00:00+00:00,14,XRP,14,14,0.004890397389612389,after
2025-09-03 00:00:00+00:00,14,SOL,14,14,-1.0211733143693582,after
2025-09-04 00:00:00+00:00,14,ETH,14,14,0.036770239253836934,after
2025-09-04 00:00:00+00:00,14,XRP,14,14,-0.26037994982162616,after
2025-09-04 00:00:00+00:00,14,SOL,14,14,-1.2794594788033482,after
2025-09-05 00:00:00+00:00,14,ETH,14,14,-1.1277117008996953,after
2025-09-05 00:00:00+00:00,14,XRP,14,14,-1.5379526548848474,after
2025-09-05 00:00:00+00:00,14,SOL,14,14,-2.525543814063486,after
2025-09-06 00:00:00+00:00,14,ETH,14,14,-1.1177271584830866,after
2025-09-06 00:00:00+00:00,14,XRP,14,14,-1.5835940342605905,after
2025-09-06 00:00:00+00:00,14,SOL,14,14,-2.4236197387046925,after
2025-09-07 00:00:00+00:00,14,ETH,14,14,-1.5742003452195465,after
2025-09-07 00:00:00+00:00,14,XRP,14,14,-1.8904108014160332,after
2025-09-07 00:00:00+00:00,14,SOL,14,14,-2.5371238154072895,after
2025-09-08 00:00:00+00:00,14,ETH,14,14,-1.898916551937381,after
2025-09-08 00:00:00+00:00,14,XRP,14,14,-2.3377715465001074,after
2025-09-08 00:00:00+00:00,14,SOL,14,14,-2.908916321692189,after
2025-09-09 00:00:00+00:00,14,ETH,14,14,-2.1821099510285666,after
2025-09-09 00:00:00+00:00,14,XRP,14,14,-2.5252875095414833,after
2025-09-09 00:00:00+00:00,14,SOL,14,14,-2.8255759652411676,after
2025-09-10 00:00:00+00:00,14,ETH,14,14,-1.2437077272477648,after
2025-09-10 00:00:00+00:00,14,XRP,14,14,-1.7176979653959759,after
2025-09-10 00:00:00+00:00,14,SOL,14,14,-1.7834185702623024,after
2025-09-11 00:00:00+00:00,14,ETH,14,14,-1.3709136566842872,after
