h,q,reference,term,estimate,n,month_FE
1,0.1,ETH,const,-9.690446324104185,1839,True
1,0.1,ETH,current_btc,2.0357013709625154,1839,True
1,0.1,ETH,current_refspread,0.9666217556746801,1839,True
1,0.1,ETH,down_pct,-2.9566874631893514,1839,True
1,0.1,ETH,up_pct,1.3016772754168877,1839,True
1,0.1,ETH,btc_vol24,-0.5076874558474531,1839,True
1,0.1,ETH,ls_z,-1.970090507701073,1839,True
1,0.1,ETH,usdt_range,-2.154121739951176,1839,True
1,0.1,ETH,venue_volume,0.8327986617254481,1839,True
1,0.1,ETH,usdt_volume_surprise,-0.19294006457990953,1839,True
1,0.1,ETH,usdt_unchanged,1.298943870504333,1839,True
1,0.1,ETH,hour_sin,-0.2938396302490798,1839,True
1,0.1,ETH,hour_cos,-0.17808978016294175,1839,True
1,0.1,ETH,weekend,0.07841879967546894,1839,True
1,0.1,ETH,down_x_ls,2.3623649985574695,1839,True
1,0.1,ETH,month_Feb,-0.7135089137423752,1839,True
1,0.1,ETH,month_Mar,-2.192121439230038,1839,True
1,0.1,without_DOGE,const,-7.58802698274224,1839,True
1,0.1,without_DOGE,current_btc,1.8149971777855645,1839,True
1,0.1,without_DOGE,current_refspread,0.8253626882731147,1839,True
1,0.1,without_DOGE,down_pct,-1.629461291939103,1839,True
1,0.1,without_DOGE,up_pct,0.9973174007779835,1839,True
1,0.1,without_DOGE,btc_vol24,-0.12057430171242944,1839,True
1,0.1,without_DOGE,ls_z,-1.6709036860668913,1839,True
1,0.1,without_DOGE,usdt_range,-0.40455998699652795,1839,True
1,0.1,without_DOGE,venue_volume,0.3981063569528971,1839,True
1,0.1,without_DOGE,usdt_volume_surprise,-0.7042479562659967,1839,True
1,0.1,without_DOGE,usdt_unchanged,0.6426212680779412,1839,True
1,0.1,without_DOGE,hour_sin,0.22392319022598173,1839,True
1,0.1,without_DOGE,hour_cos,0.10821343046471887,1839,True
1,0.1,without_DOGE,weekend,0.334437119848499,1839,True
1,0.1,without_DOGE,down_x_ls,1.5802895188060386,1839,True
1,0.1,without_DOGE,month_Feb,-0.5056319995836371,1839,True
1,0.1,without_DOGE,month_Mar,-3.3102641739919365,1839,True
1,0.5,mean5,const,-2.129553327825464,1839,True
1,0.5,mean5,current_btc,2.3434559690460626,1839,True
1,0.5,mean5,current_refspread,1.2744711055440976,1839,True
1,0.5,mean5,down_pct,-1.240393339262102,1839,True
1,0.5,mean5,up_pct,2.620262833197474,1839,True
1,0.5,mean5,btc_vol24,-0.1589819693270877,1839,True
1,0.5,mean5,ls_z,-0.8972012578110129,1839,True
1,0.5,mean5,usdt_range,-0.31403926145764305,1839,True
1,0.5,mean5,venue_volume,-0.3538060451936641,1839,True
1,0.5,mean5,usdt_volume_surprise,-0.45187436152244753,1839,True
1,0.5,mean5,usdt_unchanged,0.5712191263857018,1839,True
1,0.5,mean5,hour_sin,0.7833910853621021,1839,True
1,0.5,mean5,hour_cos,0.20382403943272334,1839,True
1,0.5,mean5,weekend,0.15133984780132215,1839,True
1,0.5,mean5,down_x_ls,1.71491556063197,1839,True
1,0.5,mean5,month_Feb,0.6839808392179187,1839,True
1,0.5,mean5,month_Mar,-0.3768628692964091,1839,True
1,0.5,median5,const,-0.9048537606315861,1839,True
1,0.5,median5,current_btc,2.4567705501491455,1839,True
1,0.5,median5,current_refspread,1.0069856377175301,1839,True
1,0.5,median5,down_pct,-1.139575588315644,1839,True
1,0.5,median5,up_pct,1.54829182766359,1839,True
1,0.5,median5,btc_vol24,-0.14745351304052323,1839,True
1,0.5,median5,ls_z,-1.1295338417582839,1839,True
1,0.5,median5,usdt_range,-0.2646660126523867,1839,True
1,0.5,median5,venue_volume,-0.058592693497407144,1839,True
1,0.5,median5,usdt_volume_surprise,-0.6378477170415218,1839,True
1,0.5,median5,usdt_unchanged,-0.3278683187337832,1839,True
1,0.5,median5,hour_sin,0.5325529511943993,1839,True
1,0.5,median5,hour_cos,0.31983797558510374,1839,True
1,0.5,median5,weekend,-0.2538338474494557,1839,True
1,0.5,median5,down_x_ls,0.5172840967027865,1839,True
1,0.5,median5,month_Feb,1.0078318426403414,1839,True
1,0.5,median5,month_Mar,-0.655532994914171,1839,True
1,0.5,BTC,const,-1.475116165811811,1839,True
1,0.5,BTC,current_btc,2.444465391118287,1839,True
1,0.5,BTC,current_refspread,0.27548086767872204,1839,True
1,0.5,BTC,down_pct,-0.16979195097924915,1839,True
1,0.5,BTC,up_pct,1.302940117842125,1839,True
1,0.5,BTC,btc_vol24,0.006569459019515819,1839,True
1,0.5,BTC,ls_z,-0.4568428056536871,1839,True
1,0.5,BTC,usdt_range,-0.4086818586501937,1839,True
1,0.5,BTC,venue_volume,0.1843848891484871,1839,True
1,0.5,BTC,usdt_volume_surprise,-0.7410437733064261,1839,True
1,0.5,BTC,usdt_unchanged,-0.3409418784149825,1839,True
1,0.5,BTC,hour_sin,0.05552318142336218,1839,True
1,0.5,BTC,hour_cos,-0.3015800194915291,1839,True
1,0.5,BTC,weekend,0.6059469468447424,1839,True
