h,q,block_days,reference,term,contrast,estimate,primary,low95,high95,p_centered,n_boot,p_holm_24
6,0.0,5,ETH,down_pct,mean5_minus_ETH,2.895844058448967,True,0.4053749988990847,4.8010089871713175,0.01608848667672197,1988,0.3056812468577174
6,0.0,5,ETH,ls_z,mean5_minus_ETH,0.9290910326211055,True,-0.20479042863664715,1.6426292170594798,0.057817998994469585,1988,0.9250879839115134
6,0.0,5,ETH,down_x_ls,mean5_minus_ETH,-1.4748403835159276,True,-3.793469907071772,0.6312011250209297,0.1860231271995978,1988,1.0
6,0.0,5,median5,down_pct,mean5_minus_median5,1.844893325340159,True,0.3778554332798967,2.9595569534666355,0.008547008547008548,1988,0.20512820512820515
6,0.0,5,median5,ls_z,mean5_minus_median5,0.6718378598287862,True,-0.03383043152602063,1.1401979762324401,0.033685268979386625,1988,0.5726495726495726
6,0.0,5,median5,down_x_ls,mean5_minus_median5,-1.377479751623449,True,-2.4891606174164203,-0.1602485885382949,0.023629964806435394,1988,0.4253393665158371
6,0.0,5,without_DOGE,down_pct,mean5_minus_without_DOGE,2.342872025408917,True,0.5536400830411264,3.5655255487162947,0.00904977375565611,1988,0.2081447963800905
6,0.0,5,without_DOGE,ls_z,mean5_minus_without_DOGE,0.6688503826922478,True,-0.21765994540161987,1.3019224367413242,0.09049773755656108,1988,1.0
6,0.0,5,without_DOGE,down_x_ls,mean5_minus_without_DOGE,-1.7828566102771188,True,-3.0425682166270476,-0.3265146841882191,0.013071895424836602,1988,0.27450980392156865
12,0.0,5,BTC,down_pct,mean5_minus_BTC,1.1073430055500995,False,-0.8661289838089068,3.1436999821853955,0.2761569416498994,1987,
12,0.0,5,BTC,ls_z,mean5_minus_BTC,0.2065396073021859,False,-1.119422654486699,1.35384559456788,0.7424547283702213,1987,
12,0.0,5,BTC,down_x_ls,mean5_minus_BTC,-0.14721783341678985,False,-1.6798534768926339,1.611290258435126,0.8697183098591549,1987,
