h,q,block_days,reference,effect,estimate,low95,high95,p_centered,n_boot
6,0.1,1,mean5,ls_at_down_0pct,-0.8379282382982023,-2.9682014876270393,1.5141726775704931,0.424,499
6,0.1,1,mean5,ls_at_down_1pct,-1.2001409235934577,-6.269717099183538,1.6576702905495775,0.558,499
6,0.1,1,median5,ls_at_down_0pct,-0.5520791651536672,-2.5820557549463725,0.5956907301103023,0.498,499
6,0.1,1,median5,ls_at_down_1pct,-0.2636650762850281,-3.7510815785027387,1.3273183855052264,0.864,499
6,0.1,1,BTC,ls_at_down_0pct,-0.5992654383210425,-1.9952711641608485,0.9820808703009417,0.418,499
6,0.1,1,BTC,ls_at_down_1pct,-0.5230906940599029,-3.1088025943651783,1.6839875664394177,0.698,499
6,0.1,1,ETH,ls_at_down_0pct,-0.6818257365197979,-2.6585650698466825,0.7862483866655127,0.408,499
6,0.1,1,ETH,ls_at_down_1pct,-1.2374626286566965,-4.084063273412754,1.8575911439720256,0.408,499
6,0.1,1,without_DOGE,ls_at_down_0pct,-0.8108544324472926,-2.9130294129245375,0.23857624995399943,0.35,499
6,0.1,1,without_DOGE,ls_at_down_1pct,-0.6269920720209375,-2.979358360953771,1.7306588534953087,0.566,499
6,0.1,10,mean5,ls_at_down_0pct,-0.8379282382982023,-1.9857225013557516,2.211483903445427,0.3762993762993763,480
6,0.1,10,mean5,ls_at_down_1pct,-1.2001409235934577,-4.670744877562814,1.3669240061672843,0.4594594594594595,480
6,0.1,10,median5,ls_at_down_0pct,-0.5520791651536672,-2.422181752932787,1.4250847902969004,0.5031185031185031,480
6,0.1,10,median5,ls_at_down_1pct,-0.2636650762850281,-3.0065445830337234,0.9343676975950823,0.8004158004158004,480
6,0.1,10,BTC,ls_at_down_0pct,-0.5992654383210425,-1.9957942631410674,1.7821294096391562,0.5467775467775468,480
6,0.1,10,BTC,ls_at_down_1pct,-0.5230906940599029,-2.501594817838981,1.5360580167250981,0.6382536382536382,480
6,0.1,10,ETH,ls_at_down_0pct,-0.6818257365197979,-2.096197737344776,1.6238410583844871,0.4158004158004158,480
6,0.1,10,ETH,ls_at_down_1pct,-1.2374626286566965,-4.6426716254059395,2.277588356101388,0.4781704781704782,480
6,0.1,10,without_DOGE,ls_at_down_0pct,-0.8108544324472926,-2.7999020549146727,1.070356759670755,0.3804573804573805,480
6,0.1,10,without_DOGE,ls_at_down_1pct,-0.6269920720209375,-2.681117379903226,0.7811977743238484,0.4864864864864865,480
