window_days,reference,spec,primary,n_before,n_after,p,mean_before,mean_after,estimate,hac_se,hac_p,hac_low95,hac_high95,condition_number,low95,high95,p_centered,n_boot
28,XRP,controlled_trend,False,28,28,11,0.17526026679012677,9.336385820463686,11.92363570971881,2.2068769524999983,6.55554139544392e-08,7.598236364507422,16.2490350549302,16.214233839587664,7.059581160958353,18.441298684864325,0.003,1999
28,SOL,unadjusted,False,28,28,2,0.8038046480774679,9.408849343493204,8.605044695415735,0.7227753787533023,1.1071925112391758e-32,7.188430984147005,10.021658406684466,2.6180339887498953,7.358673960000178,9.881019570698873,0.0005,1999
28,SOL,controlled,False,28,28,10,0.8038046480774679,9.408849343493204,9.019157281162482,0.8967466031918848,8.500909782293211e-24,7.261566235647805,10.776748326677158,6.68920899943663,7.023520134190557,10.913469865436184,0.0005,1999
28,SOL,controlled_trend,False,28,28,11,0.8038046480774679,9.408849343493204,10.497031321553631,2.101938754329364,5.914880541023953e-07,6.377307065359207,14.616755577748055,15.315422491224327,5.264963277744198,15.482198584841441,0.0025,1999
42,ETH,unadjusted,False,41,42,2,0.49934804639954383,9.032193138732492,8.532845092332952,0.5777206884225381,2.2923911913789356e-49,7.4005333499011225,9.665156834764781,2.6323828821829043,7.468613172663512,9.639873717411072,0.0005,1999
42,ETH,controlled,False,41,42,10,0.49934804639954383,9.032193138732492,10.202995849858064,1.1285226756432092,1.5521691896934034e-19,7.991132049860658,12.41485964985547,9.383143213974185,7.929233102161313,12.356508414601151,0.0005,1999
42,ETH,controlled_trend,False,41,42,11,0.49934804639954383,9.032193138732492,9.338191369004956,1.8302183741729379,3.356780605128245e-07,5.751029271782644,12.925353466227268,27.92641799925563,5.521270741407169,13.866740793482904,0.0005,1999
42,XRP,unadjusted,False,41,42,2,0.055545785926983546,9.795465119246805,9.739919333319822,0.5977280715956507,1.0727846228226723e-59,8.5683938404438,10.911444826195844,2.6323828821829043,8.64756956410891,10.808141471807977,0.0005,1999
42,XRP,controlled,False,41,42,10,0.055545785926983546,9.795465119246805,9.966629309941903,0.6479678109021088,2.1829704434318775e-53,8.696635737432544,11.236622882451261,5.757038697279916,8.511739668276753,11.111535036700872,0.0005,1999
42,XRP,controlled_trend,False,41,42,11,0.055545785926983546,9.795465119246805,9.242624186449373,1.2090040540961517,2.0923000522184763e-14,6.873019783258066,11.61222858964068,21.230034862653564,6.222944355575603,12.406637832372288,0.0005,1999
42,SOL,unadjusted,False,41,42,2,0.6416230363967885,9.679201590345576,9.03757855394879,0.574079438950553,7.704465570839266e-56,7.912403529340777,10.162753578556805,2.6323828821829043,7.998510788878032,10.008464064975993,0.0005,1999
42,SOL,controlled,False,41,42,10,0.6416230363967885,9.679201590345576,9.299446363162723,0.6489264516906202,1.4108274816735716e-46,8.027573889233771,10.571318837091674,6.353287130920194,8.230110045137726,10.59904841972798,0.0005,1999
42,SOL,controlled_trend,False,41,42,11,0.6416230363967885,9.679201590345576,8.667872238679106,1.4468924857614225,2.089633513006654e-09,5.832015077085163,11.503729400273048,20.683282392433195,5.318834706535968,11.949843131144574,0.0005,1999
