model,month,epoch,train_loss_scaled,validation_tail_loss_bp
linear_shuffled_20260912,2026-01,9,0.17087886084149748,1.5271979900478154
linear_tick_20260910,2026-01,1,0.17773667097587004,1.4922278612426119
linear_tick_20260910,2026-01,2,0.17226148753780407,1.475215650169848
linear_tick_20260910,2026-01,3,0.17159372477320092,1.5146344932648677
linear_tick_20260910,2026-01,4,0.17074437666467682,1.5112288370424172
linear_tick_20260910,2026-01,5,0.1698512622771831,1.5283184888010453
linear_tick_20260910,2026-01,6,0.1690347684222245,1.5258386668243895
linear_tick_20260910,2026-01,7,0.16928029968467775,1.5596428076873075
linear_tick_20260910,2026-01,8,0.16880346149453826,1.525504329137985
linear_tick_20260910,2026-01,9,0.16955966537513892,1.5952562803521992
linear_tick_20260910,2026-01,10,0.16864810380413922,1.553849444355267
linear_tick_20260911,2026-01,1,0.17850465857916592,1.4974647557092913
linear_tick_20260911,2026-01,2,0.17293412009269576,1.4982286984184543
linear_tick_20260911,2026-01,3,0.17042704298060357,1.520238638400711
linear_tick_20260911,2026-01,4,0.17041429889664425,1.5199302655314044
linear_tick_20260911,2026-01,5,0.1707256339758717,1.5290670000808952
linear_tick_20260911,2026-01,6,0.16983930151548413,1.5955592492839834
linear_tick_20260911,2026-01,7,0.16953420048770482,1.503405000392835
linear_tick_20260911,2026-01,8,0.16944972526829,1.5589954084684878
linear_tick_20260911,2026-01,9,0.16958849041250604,1.6015136723780365
linear_tick_20260912,2026-01,1,0.1791051059878764,1.4838489978215477
linear_tick_20260912,2026-01,2,0.17334629190760636,1.4958750482877092
linear_tick_20260912,2026-01,3,0.17143066479228541,1.5002335084211311
linear_tick_20260912,2026-01,4,0.17050993793393768,1.5638998654888812
linear_tick_20260912,2026-01,5,0.17019424015795426,1.4871491365014826
linear_tick_20260912,2026-01,6,0.16955799574336847,1.5119250497059227
linear_tick_20260912,2026-01,7,0.16898605062360578,1.5272174556268225
linear_tick_20260912,2026-01,8,0.1690017477792386,1.5542465584905751
linear_tick_20260912,2026-01,9,0.16915695534353442,1.5243221592526086
tcn_clean_20260910,2026-02,1,0.1992753926944586,1.396442757743749
tcn_clean_20260910,2026-02,2,0.1891944194621099,1.36945350025584
tcn_clean_20260910,2026-02,3,0.18400438886409567,1.3798141427743869
tcn_clean_20260910,2026-02,4,0.1826408467260477,1.4007478868209375
tcn_clean_20260910,2026-02,5,0.18081294941515788,1.3790480523177808
tcn_clean_20260910,2026-02,6,0.17868927191941888,1.393578543411498
tcn_clean_20260910,2026-02,7,0.17812262908910767,1.3933104728258021
tcn_clean_20260910,2026-02,8,0.17711799951297805,1.4073872341066553
tcn_clean_20260910,2026-02,9,0.17650314117567137,1.3948046758023263
tcn_clean_20260910,2026-02,10,0.17645765715685927,1.3861874606502342
tcn_clean_20260911,2026-02,1,0.19917807159942766,1.385657009277677
tcn_clean_20260911,2026-02,2,0.19034288341471456,1.3716711980950882
tcn_clean_20260911,2026-02,3,0.18495461515006023,1.3797670661422161
tcn_clean_20260911,2026-02,4,0.1823353959249031,1.379681807788116
tcn_clean_20260911,2026-02,5,0.18054806299301523,1.3838180615484288
tcn_clean_20260911,2026-02,6,0.1792206461576484,1.3795929668394549
tcn_clean_20260911,2026-02,7,0.17916922296649018,1.386078724972613
tcn_clean_20260911,2026-02,8,0.17803387460877823,1.3771403032510956
tcn_clean_20260911,2026-02,9,0.17727665300890866,1.3762935547859754
tcn_clean_20260911,2026-02,10,0.1765114525096248,1.3757740324330932
tcn_clean_20260912,2026-02,1,0.1992777862564483,1.3947054764369353
tcn_clean_20260912,2026-02,2,0.19055469172165426,1.3771027891441288
tcn_clean_20260912,2026-02,3,0.18538847663909505,1.4006685013124878
tcn_clean_20260912,2026-02,4,0.18404310282614353,1.3885776088530317
tcn_clean_20260912,2026-02,5,0.18127772239923942,1.3876773462308112
tcn_clean_20260912,2026-02,6,0.1797264816916565,1.4029228569482641
tcn_clean_20260912,2026-02,7,0.17858539750270253,1.394868734256569
tcn_clean_20260912,2026-02,8,0.17844065481322743,1.394038084241745
tcn_clean_20260912,2026-02,9,0.17768063307324747,1.400007529742185
tcn_clean_20260912,2026-02,10,0.1753745936762857,1.4092854043723806
tcn_shuffled_20260910,2026-02,1,0.19930709460471788,1.3980920308299876
tcn_shuffled_20260910,2026-02,2,0.18968557129028824,1.3660297128506755
tcn_shuffled_20260910,2026-02,3,0.1842704044520172,1.376497916197951
tcn_shuffled_20260910,2026-02,4,0.18337266889072124,1.3983377805294068
tcn_shuffled_20260910,2026-02,5,0.18182985157349082,1.378797575391928
tcn_shuffled_20260910,2026-02,6,0.1796832165261093,1.389917532100851
tcn_shuffled_20260910,2026-02,7,0.17926042676221796,1.3898559722357087
tcn_shuffled_20260910,2026-02,8,0.17831833143496054,1.3987522476649388
tcn_shuffled_20260910,2026-02,9,0.1778145438675842,1.3963913675691892
tcn_shuffled_20260910,2026-02,10,0.17674195962966105,1.3916098001642383
tcn_shuffled_20260911,2026-02,1,0.1991788153876203,1.3856919208457774
tcn_shuffled_20260911,2026-02,2,0.19056611110725094,1.369707174535228
tcn_shuffled_20260911,2026-02,3,0.18559635193879526,1.379128560201756
tcn_shuffled_20260911,2026-02,4,0.1831223103013509,1.3787752603356083
tcn_shuffled_20260911,2026-02,5,0.18134420028476284,1.3836754505895286
tcn_shuffled_20260911,2026-02,6,0.1802487260479606,1.376898272036546
tcn_shuffled_20260911,2026-02,7,0.18005845427812894,1.3840864278890097
tcn_shuffled_20260911,2026-02,8,0.17917118456550868,1.3794994235413627
tcn_shuffled_20260911,2026-02,9,0.1780820959571621,1.3749929214665797
tcn_shuffled_20260911,2026-02,10,0.17756300332760072,1.378060449135294
tcn_shuffled_20260912,2026-02,1,0.19936499114924552,1.3961788719430697
tcn_shuffled_20260912,2026-02,2,0.1908945917758438,1.3784862515258631
tcn_shuffled_20260912,2026-02,3,0.18563883881323762,1.3951155871654495
tcn_shuffled_20260912,2026-02,4,0.18472066938410794,1.3920018177707913
tcn_shuffled_20260912,2026-02,5,0.1824224931163207,1.3870732159658203
tcn_shuffled_20260912,2026-02,6,0.18028664518981447,1.3972800055707726
tcn_shuffled_20260912,2026-02,7,0.17969494624639495,1.3902473113775318
tcn_shuffled_20260912,2026-02,8,0.1792383220865927,1.3917410282556755
tcn_shuffled_20260912,2026-02,9,0.17876517519117502,1.406053362370821
tcn_shuffled_20260912,2026-02,10,0.1768835338259849,1.402936871976915
tcn_tick_20260910,2026-02,1,0.19921083124232178,1.3947143385455705
tcn_tick_20260910,2026-02,2,0.18926601052350855,1.3702274965476875
tcn_tick_20260910,2026-02,3,0.18392207537426167,1.3810711236714632
tcn_tick_20260910,2026-02,4,0.18285367278770948,1.401870306740854
tcn_tick_20260910,2026-02,5,0.18102260002229892,1.3794727752667604
tcn_tick_20260910,2026-02,6,0.17875720819103946,1.3923036125675134
tcn_tick_20260910,2026-02,7,0.17847551673142795,1.3894399670617592
tcn_tick_20260910,2026-02,8,0.17732250025133142,1.399567390512838
tcn_tick_20260910,2026-02,9,0.1766752358687327,1.3959291798592026
tcn_tick_20260910,2026-02,10,0.1762820665364693,1.389970870216308
tcn_tick_20260911,2026-02,1,0.1991345049924243,1.3845658779585026
tcn_tick_20260911,2026-02,2,0.19021328180803537,1.371387705647496
tcn_tick_20260911,2026-02,3,0.18505400221885399,1.3787621600447186
tcn_tick_20260911,2026-02,4,0.1823339241365042,1.3833422304561336
tcn_tick_20260911,2026-02,5,0.18055856369433707,1.3830259457064737
tcn_tick_20260911,2026-02,6,0.17932698795934668,1.3808687437783016
tcn_tick_20260911,2026-02,7,0.17904695781058658,1.3886273553000186
tcn_tick_20260911,2026-02,8,0.17796797358846492,1.3805011098760904
tcn_tick_20260911,2026-02,9,0.17709869424052396,1.3795145440849221
tcn_tick_20260911,2026-02,10,0.17642281412428804,1.3784810980819169
tcn_tick_20260912,2026-02,1,0.19930662265134344,1.394532415908068
tcn_tick_20260912,2026-02,2,0.1907264227372836,1.3804573786317609
tcn_tick_20260912,2026-02,3,0.18543543356212366,1.39396663335384
tcn_tick_20260912,2026-02,4,0.18421149644381377,1.3933890680795518
tcn_tick_20260912,2026-02,5,0.18166529163031248,1.3885458519376712
tcn_tick_20260912,2026-02,6,0.17984880601920106,1.4031814839591519
tcn_tick_20260912,2026-02,7,0.1787927390294023,1.3927164037032183
tcn_tick_20260912,2026-02,8,0.17885858688183956,1.393116549664886
tcn_tick_20260912,2026-02,9,0.17807584946033642,1.4043842062880436
tcn_tick_20260912,2026-02,10,0.17615181313409722,1.4070467337633192
linear_clean_20260910,2026-02,1,0.18771209727039082,1.3726282764817932
linear_clean_20260910,2026-02,2,0.18299960064618206,1.4033966967783194
linear_clean_20260910,2026-02,3,0.18199937907834732,1.3883395348329055
linear_clean_20260910,2026-02,4,0.18369003593272157,1.4203615468266677
linear_clean_20260910,2026-02,5,0.18117882657330875,1.4063914217184874
linear_clean_20260910,2026-02,6,0.18140148773860185,1.4041711629146114
linear_clean_20260910,2026-02,7,0.18044773638914605,1.3986662751466146
linear_clean_20260910,2026-02,8,0.18033627180221795,1.4100808499641952
linear_clean_20260910,2026-02,9,0.1807055621215104,1.3856361446745546
linear_clean_20260911,2026-02,1,0.18826525686889028,1.3820184968411726
linear_clean_20260911,2026-02,2,0.18312218450124318,1.3931862237329322
linear_clean_20260911,2026-02,3,0.18151307119757612,1.4347002111878344
linear_clean_20260911,2026-02,4,0.18184939619714768,1.3880857376461504
linear_clean_20260911,2026-02,5,0.18136377837045728,1.388705891285698
linear_clean_20260911,2026-02,6,0.18071094607467522,1.3844735844654674
linear_clean_20260911,2026-02,7,0.18011798216880917,1.394462828861408
linear_clean_20260911,2026-02,8,0.18029077894013498,1.3911854684246527
linear_clean_20260911,2026-02,9,0.17996068479096167,1.3993614960296448
linear_clean_20260912,2026-02,1,0.18803306719166968,1.3948353011181278
linear_clean_20260912,2026-02,2,0.18229977375603681,1.3731022775795507
linear_clean_20260912,2026-02,3,0.1827604302849707,1.4551754337913987
linear_clean_20260912,2026-02,4,0.18144852986346413,1.3963320629321518
linear_clean_20260912,2026-02,5,0.18110084815976607,1.387083958098486
linear_clean_20260912,2026-02,6,0.18075801081982495,1.384643309583252
linear_clean_20260912,2026-02,7,0.18052555627331915,1.4055592704646314
linear_clean_20260912,2026-02,8,0.1803342516519198,1.3946706034968974
linear_clean_20260912,2026-02,9,0.18028345206540602,1.3949458252565021
linear_clean_20260912,2026-02,10,0.18044220147168846,1.4181590129204968
linear_shuffled_20260910,2026-02,1,0.18796930473155235,1.3749374751244139
linear_shuffled_20260910,2026-02,2,0.1845440446339562,1.4061713882749647
linear_shuffled_20260910,2026-02,3,0.18294149899939047,1.3872972008382063
linear_shuffled_20260910,2026-02,4,0.18546342345948125,1.428933593743637
linear_shuffled_20260910,2026-02,5,0.18271988189796656,1.4161697782823899
linear_shuffled_20260910,2026-02,6,0.18282262817312467,1.4245699828666751
linear_shuffled_20260910,2026-02,7,0.1822905516651097,1.3972397562983025
linear_shuffled_20260910,2026-02,8,0.1816250157068148,1.4058604214797172
linear_shuffled_20260910,2026-02,9,0.18282228862316657,1.3931665587685107
linear_shuffled_20260911,2026-02,1,0.18938568196139477,1.3812593130799327
linear_shuffled_20260911,2026-02,2,0.1837257720107438,1.3950453036099022
linear_shuffled_20260911,2026-02,3,0.18317592844729252,1.4200405036189248
linear_shuffled_20260911,2026-02,4,0.1832857476945495,1.392110394475643
linear_shuffled_20260911,2026-02,5,0.1827259474491467,1.401207485533345
linear_shuffled_20260911,2026-02,6,0.18257032366447123,1.3856014454119423
linear_shuffled_20260911,2026-02,7,0.18195870907555148,1.3900261628328072
linear_shuffled_20260911,2026-02,8,0.18209608499149132,1.4036255042393253
linear_shuffled_20260911,2026-02,9,0.18118756080213355,1.4116359265462315
linear_shuffled_20260912,2026-02,1,0.1887381776863385,1.3824543947432397
linear_shuffled_20260912,2026-02,2,0.18353044901789484,1.373526336292592
linear_shuffled_20260912,2026-02,3,0.18331327148408455,1.449140020110482
linear_shuffled_20260912,2026-02,4,0.18276312000910042,1.4001261805257792
linear_shuffled_20260912,2026-02,5,0.18266842139769812,1.3826147047998403
linear_shuffled_20260912,2026-02,6,0.1820815540860571,1.3866479519009258
linear_shuffled_20260912,2026-02,7,0.18200368512256349,1.4053358892049506
linear_shuffled_20260912,2026-02,8,0.1816583890327364,1.398603382762895
linear_shuffled_20260912,2026-02,9,0.18155366442962279,1.385907381084059
linear_shuffled_20260912,2026-02,10,0.18239951506361143,1.4211202276184283
linear_tick_20260910,2026-02,1,0.18788238307323227,1.3690363916170858
linear_tick_20260910,2026-02,2,0.18335382584987256,1.3902684236671803
linear_tick_20260910,2026-02,3,0.18219430342870374,1.3930052908039754
linear_tick_20260910,2026-02,4,0.18440065123026317,1.4268402036780803
linear_tick_20260910,2026-02,5,0.18139021643199346,1.4141961576006665
linear_tick_20260910,2026-02,6,0.18138470289410077,1.4118759093377504
linear_tick_20260910,2026-02,7,0.18102674889028256,1.3958576603848831
linear_tick_20260910,2026-02,8,0.18011270935191026,1.4143843461569467
linear_tick_20260910,2026-02,9,0.1813994981941813,1.3874895972241974
linear_tick_20260911,2026-02,1,0.18874549317389902,1.3776506807854212
linear_tick_20260911,2026-02,2,0.18336150921167158,1.4046356152356199
linear_tick_20260911,2026-02,3,0.18184949657909694,1.4191253036043652
linear_tick_20260911,2026-02,4,0.18184076026019586,1.389696204195704
linear_tick_20260911,2026-02,5,0.18138793446425452,1.3842170110569456
linear_tick_20260911,2026-02,6,0.1810804554439517,1.3843192869183631
linear_tick_20260911,2026-02,7,0.18062555213719314,1.3863900913457967
linear_tick_20260911,2026-02,8,0.18053772144558777,1.3894333469777571
linear_tick_20260911,2026-02,9,0.18037357241473206,1.401784042348695
linear_tick_20260912,2026-02,1,0.18812352147439432,1.378627703048191
linear_tick_20260912,2026-02,2,0.1827452785019836,1.3763314609565298
linear_tick_20260912,2026-02,3,0.18253983354878245,1.4596114178028394
linear_tick_20260912,2026-02,4,0.18152301004309998,1.3992826970759227
linear_tick_20260912,2026-02,5,0.18131027839293057,1.3841987249322782
linear_tick_20260912,2026-02,6,0.18120622527053085,1.3815079246686572
linear_tick_20260912,2026-02,7,0.18092998318929984,1.4059706846323288
linear_tick_20260912,2026-02,8,0.18043175323044797,1.3926932969515349
linear_tick_20260912,2026-02,9,0.18019528403466026,1.4022996644726877
linear_tick_20260912,2026-02,10,0.18101697774631545,1.4213957457559208
tcn_clean_20260910,2026-03,1,0.2045975844528052,1.900892557403691
tcn_clean_20260910,2026-03,2,0.1959841685333243,1.910901319212789
tcn_clean_20260910,2026-03,3,0.19119502572109212,1.9961894663965365
tcn_clean_20260910,2026-03,4,0.18961549211504655,1.861526405423522
tcn_clean_20260910,2026-03,5,0.1874752353918017,1.845437413914963
tcn_clean_20260910,2026-03,6,0.18657280074599433,1.851831742943752
tcn_clean_20260910,2026-03,7,0.18555527122420049,1.841280775578148
tcn_clean_20260910,2026-03,8,0.1841756106614786,1.865886019999938
tcn_clean_20260910,2026-03,9,0.18317326676898832,1.8319417704879193
tcn_clean_20260910,2026-03,10,0.18312486092698235,1.855271483154364
tcn_clean_20260910,2026-03,11,0.1815862347661285,1.8276371009577659
tcn_clean_20260910,2026-03,12,0.18066495002521904,1.8683585006111925
tcn_clean_20260910,2026-03,13,0.18028750086049422,1.8224745208025348
tcn_clean_20260910,2026-03,14,0.17913576934624212,1.8459241367962906
tcn_clean_20260910,2026-03,15,0.1784222443730263,1.8369454593985435
tcn_clean_20260910,2026-03,16,0.17781784744213341,1.8433609692277868
tcn_clean_20260910,2026-03,17,0.17670547810407897,1.8511445333182024
tcn_clean_20260910,2026-03,18,0.1762023136892534,1.8811888812298474
tcn_clean_20260910,2026-03,19,0.17624134117646711,1.8585329050163772
tcn_clean_20260910,2026-03,20,0.17542440037437396,1.8844854654898704
tcn_clean_20260910,2026-03,21,0.17343301880404519,1.9254173089595992
tcn_clean_20260911,2026-03,1,0.20491386924427107,1.8459348192337686
tcn_clean_20260911,2026-03,2,0.197187210914949,1.9876522383719453
tcn_clean_20260911,2026-03,3,0.19080889337877754,1.8235886478862129
tcn_clean_20260911,2026-03,4,0.18857582177072096,1.852162771491173
tcn_clean_20260911,2026-03,5,0.1877025225826556,1.8192799149110634
tcn_clean_20260911,2026-03,6,0.18620122764439226,1.8054100675087694
tcn_clean_20260911,2026-03,7,0.18527315790808585,1.7791913408302122
tcn_clean_20260911,2026-03,8,0.18385426259845655,1.7736526963865509
tcn_clean_20260911,2026-03,9,0.1829617370846299,1.7956711820119247
tcn_clean_20260911,2026-03,10,0.1824450408170095,1.773128239762069
tcn_clean_20260911,2026-03,11,0.1811697006407863,1.775853214179344
tcn_clean_20260911,2026-03,12,0.1798401869232305,1.7739019923216512
tcn_clean_20260911,2026-03,13,0.17950156659511812,1.778633586636107
tcn_clean_20260911,2026-03,14,0.17987646694619133,1.8142646304968038
tcn_clean_20260911,2026-03,15,0.17844102273153378,1.7783381363405093
tcn_clean_20260911,2026-03,16,0.17785564990386882,1.7817334542548238
tcn_clean_20260911,2026-03,17,0.177022054998265,1.846462917530278
tcn_clean_20260911,2026-03,18,0.17707961184281346,1.8166708824786846
tcn_clean_20260912,2026-03,1,0.20296658005217502,1.97425667789447
tcn_clean_20260912,2026-03,2,0.19363269556188437,1.8106107940419378
tcn_clean_20260912,2026-03,3,0.1902134149733837,1.8240743347038273
tcn_clean_20260912,2026-03,4,0.18878419002177602,1.818728717461372
tcn_clean_20260912,2026-03,5,0.18696903007096669,1.8176907987698474
tcn_clean_20260912,2026-03,6,0.18640174897060313,1.8149559531213328
tcn_clean_20260912,2026-03,7,0.18471171185146412,1.7898968587908535
tcn_clean_20260912,2026-03,8,0.18323963856001624,1.8029881507415424
tcn_clean_20260912,2026-03,9,0.1826324684778064,1.807984584189296
tcn_clean_20260912,2026-03,10,0.1821753133453781,1.8224580698876858
tcn_clean_20260912,2026-03,11,0.1811984835884426,1.8236024534032773
tcn_clean_20260912,2026-03,12,0.18025207909674568,1.8186776706674685
tcn_clean_20260912,2026-03,13,0.1795215807474801,1.83696664113833
tcn_clean_20260912,2026-03,14,0.17949375826046063,1.8113540067627578
tcn_clean_20260912,2026-03,15,0.1777692847576065,1.8146702672195656
tcn_shuffled_20260910,2026-03,1,0.2046435214167229,1.9006216075945463
tcn_shuffled_20260910,2026-03,2,0.1963838758720451,1.9353049612727526
tcn_shuffled_20260910,2026-03,3,0.1921067590209855,2.0074804755507727
tcn_shuffled_20260910,2026-03,4,0.18998957500194724,1.8671696764271124
tcn_shuffled_20260910,2026-03,5,0.18802921787005988,1.8548657580259023
tcn_shuffled_20260910,2026-03,6,0.18708633003487807,1.8445442912719503
tcn_shuffled_20260910,2026-03,7,0.18615154461408048,1.8330607012198328
tcn_shuffled_20260910,2026-03,8,0.1852444819851893,1.8737153417652233
tcn_shuffled_20260910,2026-03,9,0.1844628731402698,1.82668308792973
tcn_shuffled_20260910,2026-03,10,0.18413358118794323,1.8672521538006153
tcn_shuffled_20260910,2026-03,11,0.18301948401625648,1.839023073393506
tcn_shuffled_20260910,2026-03,12,0.18162484838594636,1.8728878249871117
tcn_shuffled_20260910,2026-03,13,0.18158993395222858,1.8541413350276508
tcn_shuffled_20260910,2026-03,14,0.179980418266927,1.8598616075911656
tcn_shuffled_20260910,2026-03,15,0.179400845811777,1.8400222707511968
tcn_shuffled_20260910,2026-03,16,0.17865834132597547,1.8455076422540448
tcn_shuffled_20260910,2026-03,17,0.17764741407018975,1.862663609125354
tcn_shuffled_20260911,2026-03,1,0.20486514054377256,1.8451494644270814
tcn_shuffled_20260911,2026-03,2,0.19709578285467425,1.9429648337028205
tcn_shuffled_20260911,2026-03,3,0.19091253819338885,1.8203140205692494
tcn_shuffled_20260911,2026-03,4,0.18925974204508844,1.8661722302472292
tcn_shuffled_20260911,2026-03,5,0.18825929451201895,1.8070403814676046
tcn_shuffled_20260911,2026-03,6,0.18658707700485735,1.8031347639403645
tcn_shuffled_20260911,2026-03,7,0.1858447389977311,1.775819527056883
tcn_shuffled_20260911,2026-03,8,0.1845185091196299,1.7747740216855867
tcn_shuffled_20260911,2026-03,9,0.18378433007838949,1.802720962665471
tcn_shuffled_20260911,2026-03,10,0.1836887218760928,1.7859190341348201
tcn_shuffled_20260911,2026-03,11,0.1824298863676233,1.7769550788814539
tcn_shuffled_20260911,2026-03,12,0.181420139356715,1.7825019062666796
tcn_shuffled_20260911,2026-03,13,0.18079134098742042,1.7795229351614361
tcn_shuffled_20260911,2026-03,14,0.18093446236418376,1.8560009349669302
tcn_shuffled_20260911,2026-03,15,0.18012627711424517,1.7767580811802215
tcn_shuffled_20260911,2026-03,16,0.17861223569255075,1.790786075976765
tcn_shuffled_20260912,2026-03,1,0.20299444504834097,1.992472563429006
tcn_shuffled_20260912,2026-03,2,0.193844016735146,1.8048987665015075
tcn_shuffled_20260912,2026-03,3,0.19096365571372567,1.8141482810604046
tcn_shuffled_20260912,2026-03,4,0.18979039626299873,1.829821711139398
