task,method,info,algorithm,q,period,n,pinball,baseline_pinball,skill,below_rate
observed_change,baseline,with_positioning,linear_qr,0.5,2026-01,220,13.283943056849553,14.26555639864685,0.06881002846060791,0.4681818181818182
observed_change,baseline,with_positioning,linear_qr,0.5,2026-02,204,15.806454922512398,16.601638280535468,0.0478978848102829,0.5588235294117647
observed_change,baseline,with_positioning,linear_qr,0.5,2026-03,153,23.25776681919992,21.983397890051634,-0.057969606678728525,0.673202614379085
observed_change,baseline,with_positioning,quantile_lightgbm,0.1,all,577,9.19997410824788,8.587026022983327,-0.07138071826310832,0.14731369150779897
observed_change,baseline,with_positioning,quantile_lightgbm,0.1,2026-01,220,5.945658577321379,8.374700244345386,0.2900452071301418,0.06363636363636363
observed_change,baseline,with_positioning,quantile_lightgbm,0.1,2026-02,204,6.4418160955726025,6.572494775461143,0.01988266013940987,0.08823529411764706
observed_change,baseline,with_positioning,quantile_lightgbm,0.1,2026-03,153,17.556926078114458,11.578372727524982,-0.5163552332683856,0.3464052287581699
observed_change,baseline,with_positioning,quantile_lightgbm,0.5,all,577,16.619579519536263,17.137983525319658,0.03024883324327543,0.5528596187175043
observed_change,baseline,with_positioning,quantile_lightgbm,0.5,2026-01,220,13.026542496708425,14.26555639864685,0.0868535279882916,0.5045454545454545
observed_change,baseline,with_positioning,quantile_lightgbm,0.5,2026-02,204,15.308285990997343,16.601638280535468,0.07790509994754624,0.5343137254901961
observed_change,baseline,with_positioning,quantile_lightgbm,0.5,2026-03,153,23.534429355118377,21.983397890051634,-0.07055467370531687,0.6470588235294118
observed_change,sequential_ols,without_positioning,linear_qr,0.1,all,577,9.595516940019602,8.587026022983327,-0.11744356129083933,0.1611785095320624
observed_change,sequential_ols,without_positioning,linear_qr,0.1,2026-01,220,7.089922266204996,8.374700244345386,0.15341181662088432,0.10454545454545454
observed_change,sequential_ols,without_positioning,linear_qr,0.1,2026-02,204,6.729661024979209,6.572494775461143,-0.023912723385472567,0.0784313725490196
observed_change,sequential_ols,without_positioning,linear_qr,0.1,2026-03,153,17.019474030917998,11.578372727524982,-0.4699366164347101,0.35294117647058826
observed_change,sequential_ols,without_positioning,linear_qr,0.5,all,577,16.75030637719917,17.137983525319658,0.022620931310135428,0.5597920277296361
