target,h,model,state,value,days,n,tail_loss,q10_loss,q50_loss,q90_loss,below10,above90,coverage80,width80
mean5,12,update_linear_full_raw,negative_basis,1,77,1074,1.7028605558285619,1.6859348469685198,3.846221335717703,1.7197862646886037,0.1610800744878957,0.12476722532588454,0.7141527001862198,21.216477496228748
mean5,12,update_linear_full_cal28,high_downside,0,59,967,1.6013690009249866,1.5611855789974727,3.6250501831771724,1.641552422852501,0.10444674250258532,0.08790072388831438,0.8076525336091003,23.937186801485247
mean5,12,update_linear_full_cal28,high_downside,1,53,864,1.799748152264919,1.7756626140940304,4.1947374471565535,1.823833690435807,0.11689814814814815,0.11226851851851852,0.7708333333333334,25.53567847111051
mean5,12,update_linear_full_cal28,high_dispersion,0,77,859,1.672591709947633,1.6638525544698721,3.9119608898776415,1.6813308654253933,0.1280558789289872,0.10128055878928988,0.770663562281723,23.90469132701529
mean5,12,update_linear_full_cal28,high_dispersion,1,78,972,1.714763321611456,1.6611004209652036,3.8778830011015373,1.7684262222577085,0.09465020576131687,0.09773662551440329,0.8076131687242798,25.386785994001627
mean5,12,update_linear_full_cal28,low_usdt_volume,0,78,1379,1.6840292165205086,1.6487028822370373,3.9265489250463537,1.7193555508039802,0.11312545322697606,0.09572153734590283,0.7911530094271211,24.71381538984458
mean5,12,update_linear_full_cal28,low_usdt_volume,1,73,452,1.72838481829551,1.7041541567763798,3.794171933266961,1.7526154798146398,0.10176991150442478,0.11061946902654868,0.7876106194690266,24.623306224513364
mean5,12,update_linear_full_cal28,negative_basis,0,78,757,1.7514514522642843,1.75643459509215,3.952817170155172,1.7464683094364182,0.12813738441215325,0.11360634081902246,0.7582562747688243,24.22945814580338
mean5,12,update_linear_full_cal28,negative_basis,1,77,1074,1.6551745606026897,1.5961061126471512,3.852322238052256,1.714243008558228,0.09776536312849161,0.0893854748603352,0.8128491620111732,25.017119198978172
mean5,12,update_lgbm_price_raw,high_downside,0,59,967,1.6305940157237058,1.6279490267310348,3.649793192284468,1.633239004716377,0.12202688728024819,0.12719751809720786,0.750775594622544,22.034335120931168
mean5,12,update_lgbm_price_raw,high_downside,1,53,864,1.9305878165109744,1.9703223563139505,4.285130302179366,1.8908532767079984,0.12731481481481483,0.15625,0.7164351851851852,24.35352217253822
mean5,12,update_lgbm_price_raw,high_dispersion,0,77,859,1.7584742389321062,1.7957586487937516,3.97371829604348,1.721189829070461,0.14668218859138532,0.13853317811408614,0.7147846332945286,22.341311603664757
mean5,12,update_lgbm_price_raw,high_dispersion,1,78,972,1.7842416825387102,1.7839799849694769,3.928270145803192,1.7845033801079435,0.10493827160493827,0.14300411522633744,0.7520576131687243,23.824545834840983
mean5,12,update_lgbm_price_raw,low_usdt_volume,0,78,1379,1.7661658369933537,1.7840225282882645,3.980920325316209,1.7483091456984428,0.1312545322697607,0.1348803480783176,0.7338651196519217,23.160133483776715
mean5,12,update_lgbm_price_raw,low_usdt_volume,1,73,452,1.7904194633992723,1.8062348632624945,3.854012100466816,1.7746040635360498,0.10398230088495575,0.1592920353982301,0.7367256637168141,23.032790143551708
