target,h,model,n,tail_loss,q10_loss,q50_loss,q90_loss,below10,above90,coverage80,width80
mean5,1,hist28,1839,1.6837625968426728,1.645055772958675,3.903453016106009,1.7224694207266706,0.1152800435019032,0.1022294725394236,0.7824904839586732,24.240498029663826
mean5,1,delta28,1839,2.103202910895167,2.090957050047748,4.87563187606899,2.115448771742586,0.1076672104404567,0.1147362697117998,0.7775965198477434,29.833013729855058
mean5,6,update_linear_price_raw,1837,1.7186004944455775,1.7161935165795108,3.8384011915884817,1.721007472311644,0.1589548176374523,0.1279259662493195,0.713119216113228,21.10986296517853
mean5,6,update_linear_price_cal28,1837,1.671496861515011,1.6333278867679877,3.826217570530254,1.709665836262034,0.1094175285792052,0.0985302123026674,0.7920522591181274,25.054408605172096
mean5,6,freeze_linear_price_raw,1837,1.740128167330106,1.7678768298692282,3.851340178513275,1.7123795047909838,0.1720195971692977,0.1257485029940119,0.7022318998366902,20.518832589883207
mean5,6,freeze_linear_price_cal28,1837,1.6683019770751049,1.632689742445545,3.8255508023783658,1.7039142117046642,0.1159499183451279,0.0990745781164942,0.7849755035383778,24.62605071739186
mean5,6,update_linear_local_raw,1837,1.7130528498356543,1.7058202297042062,3.834773308226173,1.7202854699671022,0.1589548176374523,0.1268372346216657,0.7142079477408819,21.32765306147048
mean5,6,update_linear_local_cal28,1837,1.6730189053982192,1.6354321979525053,3.8253082157593927,1.7106056128439329,0.1061513336962438,0.0985302123026674,0.7953184540010887,25.05257071824989
mean5,6,update_linear_local_cal14,1837,1.6745291640955302,1.6378756399327488,3.828566044838804,1.711182688258311,0.1028851388132825,0.0979858464888405,0.799129014697877,25.302767865667324
mean5,6,update_linear_local_cal56,1837,1.6780756209960366,1.6495716989826346,3.826732469355786,1.7065795430094384,0.1045182362547632,0.1007076755579749,0.7947740881872618,24.938290223833285
mean5,6,freeze_linear_local_raw,1837,1.7273011236042162,1.7437097635276169,3.8475143642632506,1.710892483680815,0.1682090364725095,0.1241154055525313,0.7076755579749592,21.04356227516605
mean5,6,freeze_linear_local_cal28,1837,1.6745630648921763,1.644638560801845,3.8277861962373736,1.704487568982508,0.1099618943930321,0.0974414806750136,0.7925966249319543,24.81161623603457
mean5,6,update_linear_full_raw,1837,1.7262729836565716,1.726274678605572,3.8312085977039727,1.726271288707571,0.1611322808927599,0.1273816004354926,0.7114861186717474,20.98328215976047
mean5,6,update_linear_full_cal28,1837,1.6743280558124625,1.6352649017852303,3.8305527947021214,1.7133912098396946,0.1110506260206859,0.0979858464888405,0.7909635274904736,24.9006640937908
mean5,6,freeze_linear_full_raw,1837,1.751411325511876,1.7883631524549346,3.8322319558079374,1.7144594985688173,0.1763745236799129,0.1262928688078388,0.6973326075122482,20.43435192914758
mean5,6,freeze_linear_full_cal28,1837,1.673288840477766,1.6421391256501172,3.8313118641420383,1.7044385553054149,0.1164942841589548,0.0958083832335329,0.7876973326075123,24.492896360773607
mean5,6,update_lgbm_price_raw,1837,1.7479210197926702,1.7605415536913347,3.9102908487034,1.7353004858940055,0.1382689167120304,0.1377245508982036,0.724006532389766,22.453425469836628
mean5,6,update_lgbm_price_cal28,1837,1.7139680820773897,1.723286712399297,3.912331779929,1.7046494517554829,0.1083287969515514,0.0996189439303211,0.7920522591181274,25.935994183022224
mean5,6,freeze_lgbm_price_raw,1837,1.7561030143185627,1.7832048684505142,3.939713911624361,1.7290011601866115,0.1322808927599346,0.1399020141535111,0.7278170930865542,22.773507383388303
mean5,6,freeze_lgbm_price_cal28,1837,1.727145686939876,1.7613125171350106,3.929861810487623,1.692978856744742,0.1066956995100707,0.0958083832335329,0.7974959172563963,26.11874797082733
mean5,6,update_lgbm_local_raw,1837,1.7479278262215576,1.7532464956833365,3.9006337990113455,1.7426091567597788,0.1399020141535111,0.1415351115949918,0.718562874251497,22.496968068009213
mean5,6,update_lgbm_local_cal28,1837,1.716523107897317,1.7238404837926826,3.904602585236841,1.7092057320019518,0.1066956995100707,0.0963527490473598,0.7969515514425695,25.90626018077233
mean5,6,update_lgbm_local_cal14,1837,1.7173119821719671,1.7264866329251505,3.892908737887956,1.7081373314187844,0.1050626020685901,0.0979858464888405,0.7969515514425695,26.14170171938234
mean5,6,update_lgbm_local_cal56,1837,1.7234852165364247,1.7405076799222754,3.910871660124145,1.7064627531505738,0.0974414806750136,0.1017964071856287,0.8007621121393577,26.2365287326058
mean5,6,freeze_lgbm_local_raw,1837,1.7570641756651086,1.7839443563484056,3.9110042920600265,1.7301839949818114,0.1241154055525313,0.1415351115949918,0.7343494828524768,23.229235799961277
mean5,6,freeze_lgbm_local_cal28,1837,1.7342829448988366,1.773284546402644,3.906609575468513,1.695281343395029,0.1007076755579749,0.0974414806750136,0.8018508437670114,26.265250410061093
mean5,6,update_lgbm_full_raw,1837,1.7583900714839409,1.765366736171793,3.894257439648561,1.7514134067960885,0.1431682090364725,0.1409907457811649,0.7158410451823626,22.058428865490672
mean5,6,update_lgbm_full_cal28,1837,1.716972445780488,1.7217626677307984,3.903233167562589,1.712182223830177,0.1110506260206859,0.1012520413718018,0.7876973326075123,25.746613546886977
mean5,6,update_lgbm_full_cal14,1837,1.715867588951875,1.7251564549162224,3.8939459636382905,1.706578722987528,0.1088731627653783,0.1017964071856287,0.789330430048993,25.95800349908694
mean5,6,update_lgbm_full_cal56,1837,1.7261667959028486,1.738483040041264,3.916709671845126,1.7138505517644331,0.0974414806750136,0.1066956995100707,0.7958628198149156,25.928569660482964
mean5,6,freeze_lgbm_full_raw,1837,1.7695627399564628,1.8145450599769095,3.895551244948391,1.7245804199360162,0.150789330430049,0.1360914534567229,0.713119216113228,22.189504096203557
mean5,6,freeze_lgbm_full_cal28,1837,1.7268676133438594,1.755054490055803,3.9056280209992194,1.698680736631916,0.1126837234621665,0.1007076755579749,0.7866086009798585,25.734566399463144
mean5,6,update_threshold_local_raw,1837,1.7234292169284249,1.726572963889747,3.838740554245909,1.7202854699671022,0.1600435492651061,0.1268372346216657,0.713119216113228,21.25367789669273
mean5,6,update_threshold_local_cal28,1837,1.6763508948751158,1.6420961769062985,3.82860713583209,1.7106056128439329,0.1115949918345128,0.0985302123026674,0.7898747958628198,25.11060405313652
mean5,6,freeze_threshold_local_raw,1837,1.7430045256659243,1.7751165676510336,3.8571425650732896,1.710892483680815,0.1731083287969515,0.1241154055525313,0.7027762656505171,20.827702903879118
mean5,6,freeze_threshold_local_cal28,1837,1.6772548269292484,1.6500220848759886,3.834215082550743,1.704487568982508,0.1143168209036472,0.0974414806750136,0.7882416984213392,24.781266490976325
mean5,6,update_qar_qar_raw,1837,1.7265422582061145,1.728920789688872,3.9066427668583934,1.7241637267233565,0.1627653783342406,0.1279259662493195,0.7093086554164398,21.01453192001596
