target,h,model,month,n,tail_loss,q10_loss,q50_loss,q90_loss,below10,above90,coverage80,width80
mean5,12,update_linear_local_cal28,2025-12,736,2.1143278047773033,2.481584042229684,4.218304804588377,1.747071567324923,0.04755434782608696,0.11548913043478261,0.8369565217391305,29.240793349520846
mean5,12,update_linear_local_cal28,2026-01,722,1.4539923930216483,1.3981132523388449,3.225978397499964,1.5098715337044515,0.11218836565096953,0.09141274238227147,0.796398891966759,21.53286213052383
mean5,12,update_linear_local_cal28,2026-02,672,1.824365947650826,1.8259836696448644,4.230850537655984,1.8227482256567877,0.11160714285714286,0.1130952380952381,0.7752976190476191,25.45619044163867
mean5,12,update_linear_local_cal28,2026-03,437,1.872764848599786,1.8211664234739329,4.43432588316912,1.924363273725639,0.11670480549199085,0.09153318077803203,0.7917620137299771,29.194925086252315
mean5,12,update_linear_full_raw,2025-11,720,1.799776096355788,2.257242421274447,3.4908778897264843,1.3423097714371288,0.2013888888888889,0.09861111111111111,0.7,16.790865109457577
mean5,12,update_linear_full_raw,2025-12,736,2.0327986756683734,2.311019943634435,4.2100286706906225,1.7545774077023115,0.11684782608695653,0.14266304347826086,0.7404891304347826,23.517353864621832
mean5,12,update_linear_full_raw,2026-01,722,1.4589443264159954,1.4128109847032801,3.274138262899339,1.5050776681287106,0.1371191135734072,0.10664819944598337,0.7562326869806094,20.01504070817751
mean5,12,update_linear_full_raw,2026-02,672,1.9210055204696224,1.9627944343977084,4.214463110358166,1.879216606541536,0.17857142857142858,0.16517857142857142,0.65625,20.460700666227446
mean5,12,update_linear_full_raw,2026-03,437,1.9855304057796597,2.0572849797059587,4.454682547005415,1.9137758318533604,0.20137299771167047,0.11441647597254005,0.6842105263157895,22.872779192408103
mean5,12,update_linear_full_cal28,2025-11,720,1.7234031617880465,2.098399859326985,3.486990894984274,1.348406464249108,0.17916666666666667,0.09722222222222222,0.7236111111111111,17.675679577385438
mean5,12,update_linear_full_cal28,2025-12,736,2.122669835319749,2.4998766964644754,4.22826536745246,1.745462974175023,0.04755434782608696,0.11413043478260869,0.8383152173913043,29.37466137529127
mean5,12,update_linear_full_cal28,2026-01,722,1.4541386057586987,1.3979570007931816,3.228061565373442,1.510320210724216,0.1038781163434903,0.0886426592797784,0.8074792243767313,21.72241268924108
mean5,12,update_linear_full_cal28,2026-02,672,1.8355548035595255,1.839278886685957,4.240351363581011,1.831830720433094,0.11904761904761904,0.12053571428571429,0.7604166666666666,24.57370655702999
mean5,12,update_linear_full_cal28,2026-03,437,1.876716993367438,1.827273654558714,4.461098661211722,1.926160332176162,0.10755148741418764,0.08466819221967964,0.8077803203661327,29.77797040759612
mean5,12,update_lgbm_price_raw,2025-11,720,1.8570463521109306,2.321601381923341,3.5618191961504,1.3924913222985196,0.2263888888888889,0.11388888888888889,0.6597222222222222,15.293301825487442
mean5,12,update_lgbm_price_raw,2025-12,736,2.09301683325931,2.385646722541636,4.254650706732648,1.8003869439769844,0.09646739130434782,0.15217391304347827,0.751358695652174,23.521598224722673
mean5,12,update_lgbm_price_raw,2026-01,722,1.5023377253199774,1.5007556723171576,3.268964410936086,1.5039197783227969,0.1260387811634349,0.11634349030470914,0.7576177285318559,20.2733779614872
mean5,12,update_lgbm_price_raw,2026-02,672,1.9900911105321948,2.044849485269487,4.37527728705089,1.9353327357949024,0.10416666666666667,0.18154761904761904,0.7142857142857143,24.870670295758405
mean5,12,update_lgbm_price_raw,2026-03,437,1.8827991366399248,1.8739148173686064,4.419505621116704,1.8916834559112428,0.15331807780320367,0.11899313501144165,0.7276887871853547,25.167450553936053
mean5,12,update_lgbm_price_cal28,2025-11,720,1.740873281133653,2.0810664660619413,3.57537218801847,1.400680096205364,0.175,0.10277777777777777,0.7222222222222222,17.44920482796463
mean5,12,update_lgbm_price_cal28,2025-12,736,2.2190665133255614,2.6637951860753346,4.209926551304437,1.7743378405757886,0.04483695652173913,0.11820652173913043,0.8369565217391305,30.575632766798208
mean5,12,update_lgbm_price_cal28,2026-01,722,1.503216992984624,1.5058681055490333,3.263155430863497,1.5005658804202149,0.12326869806094183,0.09556786703601108,0.7811634349030471,21.641014172689673
mean5,12,update_lgbm_price_cal28,2026-02,672,1.9503646370246936,2.059140863631316,4.3613390712548705,1.841588410418071,0.09375,0.12202380952380952,0.7842261904761905,27.639432931514257
mean5,12,update_lgbm_price_cal28,2026-03,437,1.875519555942039,1.8414859334579934,4.472293227549648,1.9095531784260846,0.12585812356979406,0.07322654462242563,0.8009153318077803,29.384304340333678
mean5,12,update_lgbm_local_raw,2025-11,720,1.8649353302476206,2.343966653384988,3.572187818840504,1.385904007110253,0.23055555555555557,0.11388888888888889,0.6555555555555556,15.56253357500168
mean5,12,update_lgbm_local_raw,2025-12,736,2.0885601886632132,2.4015744747889,4.245900103761998,1.775545902537527,0.09646739130434782,0.14402173913043478,0.7595108695652174,23.65317940396492
mean5,12,update_lgbm_local_raw,2026-01,722,1.5036926502910692,1.498980097590237,3.294843623969322,1.5084052029919013,0.12742382271468145,0.11357340720221606,0.7590027700831025,20.32537364450965
mean5,12,update_lgbm_local_raw,2026-02,672,1.9582587687092956,1.9887519422600046,4.378888943299207,1.9277655951585861,0.10863095238095238,0.16815476190476192,0.7232142857142857,24.349689298342554
mean5,12,update_lgbm_local_raw,2026-03,437,1.8881754251763643,1.8874668162856354,4.43196916108806,1.8888840340670927,0.16247139588100687,0.11899313501144165,0.7185354691075515,24.74592066182086
mean5,12,update_lgbm_local_cal28,2025-11,720,1.746539055043457,2.100421031360277,3.5769092781412124,1.392657078726637,0.17777777777777778,0.1,0.7222222222222222,17.764603142078695
mean5,12,update_lgbm_local_cal28,2025-12,736,2.2284574636475667,2.703122247215212,4.269296042952426,1.7537926800799215,0.04619565217391304,0.11684782608695653,0.8369565217391305,30.869607826442223
mean5,12,update_lgbm_local_cal28,2026-01,722,1.5067272241066143,1.5014321098179984,3.2840987960868917,1.51202233839523,0.12188365650969529,0.09279778393351801,0.7853185595567868,21.834823754644045
mean5,12,update_lgbm_local_cal28,2026-02,672,1.9239771650444786,1.9964400495502408,4.369765147641477,1.8515142805387161,0.09523809523809523,0.11755952380952381,0.7872023809523809,27.27805855072607
mean5,12,update_lgbm_local_cal28,2026-03,437,1.8644685704456319,1.8234980423387677,4.503023226736398,1.9054390985524965,0.11441647597254005,0.07322654462242563,0.8123569794050344,29.21304195854926
mean5,12,update_lgbm_full_raw,2025-11,720,1.8904145274690498,2.408562070144001,3.580265309491978,1.3722669847940983,0.2361111111111111,0.09722222222222222,0.6666666666666666,15.49788329821952
mean5,12,update_lgbm_full_raw,2025-12,736,2.0973983175248434,2.41778465563742,4.229264627364997,1.7770119794122667,0.09103260869565218,0.14945652173913043,0.7595108695652174,23.869556727284657
mean5,12,update_lgbm_full_raw,2026-01,722,1.509255398990754,1.5090842802839255,3.3034211874618347,1.5094265176975823,0.12188365650969529,0.10803324099722991,0.7700831024930748,20.840713121129085
mean5,12,update_lgbm_full_raw,2026-02,672,1.9867736084123,1.9911330151295477,4.393320323380839,1.9824142016950523,0.11607142857142858,0.19345238095238096,0.6904761904761905,23.02356554456231
mean5,12,update_lgbm_full_raw,2026-03,437,1.9297479414530174,1.972296793601757,4.442357662305853,1.8871990893042778,0.18306636155606407,0.12128146453089245,0.6956521739130435,23.593896542785565
mean5,12,update_lgbm_full_cal28,2025-11,720,1.7477578748563831,2.1112248224889076,3.559736808759697,1.3842909272238586,0.17777777777777778,0.09444444444444444,0.7277777777777777,17.67989196140678
mean5,12,update_lgbm_full_cal28,2025-12,736,2.2481674703860395,2.7375496979716023,4.244547871456528,1.7587852428004764,0.042119565217391304,0.12364130434782608,0.8342391304347826,30.941871448829932
mean5,12,update_lgbm_full_cal28,2026-01,722,1.5214009640763118,1.52412711446905,3.2791248092727296,1.5186748136835726,0.12742382271468145,0.07894736842105263,0.7936288088642659,21.766384950143166
mean5,12,update_lgbm_full_cal28,2026-02,672,1.920254486490051,1.990205103996411,4.404158931054049,1.8503038689836908,0.10119047619047619,0.13392857142857142,0.7648809523809523,26.365201241846325
mean5,12,update_lgbm_full_cal28,2026-03,437,1.8744950784895427,1.8412821596919997,4.533035066042207,1.9077079972870858,0.12356979405034325,0.07093821510297482,0.8054919908466819,29.48690397003476
mean5,12,update_threshold_local_raw,2025-11,720,1.797532009780584,2.2527542481240386,3.5067642949065267,1.3423097714371288,0.20833333333333334,0.09861111111111111,0.6930555555555555,16.496765927635277
mean5,12,update_threshold_local_raw,2025-12,736,2.0224590250499874,2.2922078621094393,4.2062738117711005,1.7527101879905358,0.11684782608695653,0.1358695652173913,0.7472826086956522,23.947896682880366
mean5,12,update_threshold_local_raw,2026-01,722,1.4674151533960913,1.4281108128015743,3.296784251608038,1.5067194939906081,0.15096952908587258,0.10664819944598337,0.7423822714681441,19.48572043912553
mean5,12,update_threshold_local_raw,2026-02,672,1.887598611905318,1.920253786615793,4.2186300560456536,1.8549434371948434,0.1636904761904762,0.15178571428571427,0.6845238095238095,21.46499524657391
mean5,12,update_threshold_local_raw,2026-03,437,1.9356147817912592,1.957453731729158,4.437590452495113,1.9137758318533604,0.1945080091533181,0.11441647597254005,0.6910755148741419,23.347567364733884
mean5,12,update_threshold_local_cal28,2025-11,720,1.7107049817409767,2.073003499232846,3.512397851033494,1.3484064642491072,0.18472222222222223,0.09722222222222222,0.7180555555555556,17.57032997701156
