target,h,model,state,value,days,n,tail_loss,q10_loss,q50_loss,q90_loss,below10,above90,coverage80,width80
median5,6,update_threshold_local_raw,high_downside,0,59,967,1.2632698437100514,1.258204929485683,2.773759078880779,1.268334757934419,0.14581178903826267,0.10237849017580145,0.7518097207859359,16.692870743082146
median5,6,update_threshold_local_raw,high_downside,1,53,870,1.3217084219282647,1.2831673970212152,2.949822588182589,1.3602494468353146,0.1425287356321839,0.10919540229885058,0.7482758620689656,17.098483152614318
median5,6,update_threshold_local_raw,high_dispersion,0,77,862,1.3059581394495872,1.2777285783747365,2.8687201484997256,1.3341877005244376,0.14501160092807425,0.11020881670533643,0.7447795823665894,16.581438089197043
median5,6,update_threshold_local_raw,high_dispersion,1,78,975,1.2776742048611955,1.2632182232431688,2.846906577425438,1.2921301864792225,0.14358974358974358,0.10153846153846154,0.7548717948717949,17.15331971122773
median5,6,update_threshold_local_raw,low_usdt_volume,0,78,1383,1.2946965600077749,1.277430122210379,2.8655243676573425,1.311962997805171,0.1547360809833695,0.1005061460592914,0.7447577729573391,16.88958799750125
median5,6,update_threshold_local_raw,low_usdt_volume,1,73,454,1.2795218578292007,1.2474756458241376,2.8316089879437465,1.3115680698342636,0.11233480176211454,0.1211453744493392,0.7665198237885462,16.87089460526578
median5,6,update_threshold_local_raw,negative_basis,0,78,760,1.3066577570355031,1.2883988030638753,2.929409776349197,1.3249167110071312,0.13026315789473683,0.125,0.7447368421052631,16.67642331721982
median5,6,update_threshold_local_raw,negative_basis,1,77,1077,1.2798592113261165,1.2570628708380385,2.8061460083297827,1.3026555518141945,0.1541318477251625,0.09192200557103064,0.7539461467038069,17.032130575903274
median5,6,update_threshold_local_cal28,high_downside,0,59,967,1.2475387542065879,1.2218417964664976,2.762093376223317,1.2732357119466782,0.1189245087900724,0.09203722854188211,0.7890382626680456,18.051149464485633
median5,6,update_threshold_local_cal28,high_downside,1,53,870,1.3081164957208968,1.2477863449966393,2.9544885836369157,1.3684466464451541,0.10574712643678161,0.10919540229885058,0.7850574712643679,18.88469066116411
median5,6,update_threshold_local_cal28,high_dispersion,0,77,862,1.2922083018055674,1.2442190137192701,2.86289127577193,1.3401975898918652,0.11136890951276102,0.10324825986078887,0.7853828306264501,18.05104472048828
median5,6,update_threshold_local_cal28,high_dispersion,1,78,975,1.2621002773728731,1.2252085615427368,2.844653418314524,1.2989919932030094,0.11384615384615385,0.09743589743589744,0.7887179487179488,18.795017290573824
median5,6,update_threshold_local_cal28,low_usdt_volume,0,78,1383,1.2737450747291383,1.2321718468268816,2.8592626995321364,1.315318302631395,0.12002892263195951,0.09399855386840203,0.7859725234996384,18.44453776191148
median5,6,update_threshold_local_cal28,low_usdt_volume,1,73,454,1.2837927053844764,1.2400913505916342,2.83477764123154,1.3274940601773184,0.09030837004405286,0.11894273127753303,0.7907488986784141,18.450102825213214
median5,6,update_threshold_local_cal28,negative_basis,0,78,760,1.298594217834966,1.2737814140341581,2.936688398744596,1.3234070216357743,0.09473684210526316,0.11973684210526316,0.7855263157894737,18.253686181907227
median5,6,update_threshold_local_cal28,negative_basis,1,77,1077,1.2604454234358184,1.2061478761970466,2.7943047163659904,1.3147429706745901,0.12534818941504178,0.08635097493036212,0.7883008356545961,18.581560732702773
median5,6,update_qar_qar_raw,high_downside,0,59,967,1.2643958868839897,1.2469951146637428,2.800103899215734,1.2817966591042367,0.13960703205791106,0.10858324715615306,0.7518097207859359,16.95223605114855
median5,6,update_qar_qar_raw,high_downside,1,53,870,1.3298251053469556,1.2931644890295364,3.0021675891117674,1.3664857216643747,0.14597701149425288,0.09770114942528736,0.7563218390804598,17.46703423313849
median5,6,update_qar_qar_raw,high_dispersion,0,77,862,1.3018036143970215,1.259282148454329,2.8860004421416594,1.3443250803397138,0.13109048723897912,0.10208816705336426,0.7668213457076566,17.126600880889093
median5,6,update_qar_qar_raw,high_dispersion,1,78,975,1.2897066140086533,1.277329404479902,2.9044655301976845,1.3020838235374046,0.15282051282051282,0.10461538461538461,0.7425641025641025,17.257438035861274
median5,6,update_qar_qar_raw,low_usdt_volume,0,78,1383,1.2977625712612004,1.2711648214203861,2.9112776015874666,1.324360321102015,0.15184381778741865,0.09616775126536514,0.7519884309472162,17.195987248998186
median5,6,update_qar_qar_raw,low_usdt_volume,1,73,454,1.2881344233797998,1.2618423641214584,2.848654956108779,1.314426482638141,0.1145374449339207,0.12555066079295155,0.7599118942731278,17.19621515182081
median5,6,update_qar_qar_raw,negative_basis,0,78,760,1.3122111570355361,1.301815775000606,2.965639727819311,1.3226065390704662,0.12894736842105264,0.11842105263157894,0.7526315789473684,16.836870821295868
median5,6,update_qar_qar_raw,negative_basis,1,77,1077,1.283508063994115,1.2456057496147404,2.8465181800614445,1.3214103783734896,0.1522748375116063,0.09285051067780872,0.754874651810585,17.449498811612145
median5,6,update_qar_qar_cal28,high_downside,0,59,967,1.2509353285106806,1.218015674495837,2.791734902600564,1.2838549825255239,0.11582213029989659,0.10548086866597725,0.7786970010341262,18.07206140324698
median5,6,update_qar_qar_cal28,high_downside,1,53,870,1.3198447501759065,1.2607478553898912,2.99455824516041,1.3789416449619218,0.10344827586206896,0.09770114942528736,0.7988505747126436,18.851766315209247
median5,6,update_qar_qar_cal28,high_dispersion,0,77,862,1.2946606382866381,1.2408000444723752,2.878318638916508,1.3485212321009012,0.0962877030162413,0.10556844547563805,0.7981438515081206,18.314067651820242
median5,6,update_qar_qar_cal28,high_dispersion,1,78,975,1.273766077045933,1.2360022082989663,2.8961668280597666,1.311529945792899,0.12205128205128205,0.09846153846153846,0.7794871794871795,18.553839749028537
median5,6,update_qar_qar_cal28,low_usdt_volume,0,78,1383,1.2812246720157923,1.2322636436595928,2.896475780881706,1.330185700371992,0.11496746203904555,0.09399855386840203,0.7910339840925524,18.437905281949917
median5,6,update_qar_qar_cal28,low_usdt_volume,1,73,454,1.2907173434471932,1.2565003793952922,2.861337707367626,1.3249343074990942,0.0947136563876652,0.12555066079295155,0.7797356828193832,18.451755652500296
median5,6,update_qar_qar_cal28,negative_basis,0,78,760,1.303393362283454,1.2839097179991357,2.978396595926528,1.3228770065677722,0.09868421052631579,0.11842105263157894,0.7828947368421053,18.06860677304492
median5,6,update_qar_qar_cal28,negative_basis,1,77,1077,1.2695825812325363,1.2060356599325317,2.8238550707522196,1.3331295025325411,0.11792014856081709,0.09006499535747446,0.7920148560817084,18.70434440451043
median5,6,hist7,high_downside,0,59,967,1.2802621807116996,1.2387432180679836,2.89538621136243,1.3217811433554152,0.11995863495346432,0.10754912099276112,0.7724922440537746,17.85684127948243
median5,6,hist7,high_downside,1,53,870,1.3578003966650658,1.2998947695607213,3.132889406475663,1.41570602376941,0.11149425287356322,0.09885057471264368,0.7896551724137931,19.11436417336635
median5,6,hist7,high_dispersion,0,77,862,1.326303865351586,1.278799849534837,2.9906393608807433,1.373807881168335,0.10788863109048724,0.10788863109048724,0.7842227378190255,18.301105972549024
median5,6,hist7,high_dispersion,1,78,975,1.3087445558089776,1.257895047272347,3.0230985855816366,1.3595940643456086,0.12307692307692308,0.09948717948717949,0.7774358974358975,18.586163076667667
median5,6,hist7,low_usdt_volume,0,78,1383,1.3070097937080576,1.2595875154410001,3.017544014137515,1.354432071975115,0.12075198843094721,0.09544468546637744,0.7838033261026753,18.42683050111429
median5,6,hist7,low_usdt_volume,1,73,454,1.3473685664065567,1.2924308536005826,2.9783896001522328,1.4023062792125305,0.1013215859030837,0.1277533039647577,0.7709251101321586,18.530299041954137
median5,6,hist7,negative_basis,0,78,760,1.3505860777151353,1.3221208194577496,3.0760457268566346,1.3790513359725214,0.08947368421052632,0.12894736842105264,0.781578947368421,18.458863207871964
median5,6,hist7,negative_basis,1,77,1077,1.2932724742649186,1.2293048454983082,2.95975626519058,1.3572401030315293,0.13463324048282266,0.08542246982358404,0.7799442896935933,18.447842442066428
median5,6,hist28,high_downside,0,59,967,1.2663520289522796,1.2417816426059602,2.85375582651492,1.2909224152985987,0.12306101344364012,0.09617373319544985,0.7807652533609101,18.189120928063915
median5,6,hist28,high_downside,1,53,870,1.328002632707982,1.2717564670472474,3.0672987093167885,1.3842487983687162,0.12643678160919541,0.10114942528735632,0.7724137931034483,18.39702710736717
