datetime_utc,BTC,ETH,XRP,SOL,DOGE,mean5,median5,reference_component,dispersion,without_BTC,without_ETH,without_XRP,without_SOL,without_DOGE
2025-12-01 22:00:00+00:00,10.284831371381031,-0.04404600804974734,-4.78481263255226,-100.19630948284508,-181.00203455929,-55.148474262271215,-4.78481263255226,-50.363661629718955,83.2510360440333,-71.50680067068427,-68.92458132582658,-67.73938966970096,-43.88651545712774,-23.685084188016514
2025-11-28 12:00:00+00:00,-96.34354101386577,-29.11595357788066,-47.38271003843941,-33.2906739778327,-62.49621005499861,-53.725817732603424,-47.38271003843941,-6.343107694164011,27.18761504977402,-43.07138691228785,-59.878283771284124,-55.311594656144436,-58.834603671296115,-51.53321965200463
2025-12-01 06:00:00+00:00,-11.115907089163102,-9.733229241239982,-12.25520683219905,-113.67239529056938,-119.56337212293278,-53.26802211522086,-12.25520683219905,-41.01281528302181,57.87463118789933,-63.806050871735295,-64.15172033371607,-63.52122593597631,-38.16692882138373,-36.694184613292876
2025-11-28 08:00:00+00:00,-76.89246666027216,-40.44253258465247,-28.560368689438675,-55.63456958796564,-64.14842287018274,-53.13567207850234,-55.63456958796564,2.498897509463305,19.085149884384734,-47.19647343305988,-56.3089569519648,-59.279497925768254,-52.510947701136516,-50.38248438058224
2025-10-10 23:00:00+00:00,157.49364422799948,87.45941950712321,-87.04623224502939,-102.22115264736154,-317.7196588119191,-52.40679599383746,-87.04623224502939,34.639436251191924,185.53505658851458,-104.8819060492967,-87.37334986907763,-43.746936931039485,-39.953206830456445,13.921419710682944
2025-12-01 15:00:00+00:00,-7.165321644038158,-3.339633424879196,-16.409385122146958,-90.34547161481221,-139.7584285326925,-51.40364806771381,-16.409385122146958,-34.99426294556685,60.858052712122046,-62.46322967363272,-63.41965172842246,-60.152213804105514,-41.6681921809392,-29.31495295146913
2025-12-01 16:00:00+00:00,11.045630215145152,-5.260538350171373,-0.19043052703615615,-93.4148876550811,-166.02004757394263,-50.76805477821722,-5.260538350171373,-45.50751642804585,76.73287427272331,-66.22147602655781,-62.14493388522868,-63.41246084101249,-40.10634655900125,-21.95505657928587
2025-12-02 01:00:00+00:00,-11.801308397023647,-12.102144850070218,-13.012420266722557,-73.09374839496563,-137.40966437115532,-49.48385725598747,-13.012420266722557,-36.471436989264916,55.758199270190126,-58.90449447072843,-58.82928535746679,-58.601716503303706,-43.581384471242934,-27.502405477195513
2025-12-01 07:00:00+00:00,-7.632112179516426,-5.096840069560571,-2.9301167372786097,-110.91460361911665,-120.1905572813633,-49.35284597736711,-7.632112179516426,-41.720733797850684,60.54360995260216,-59.783029426829785,-60.41684745431874,-60.958528287389235,-33.96240656692973,-31.643418151368063
2025-12-01 04:00:00+00:00,-4.1056208135170635,-5.123468950261056,-7.156706653148603,-61.38751418539812,-163.15000354034657,-48.184662828534286,-7.156706653148603,-41.02795617538568,68.68745591454051,-59.204423332288584,-58.94996129810259,-58.4416518723807,-44.883949989318324,-19.44332765058121
2025-12-01 09:00:00+00:00,-14.089914108321722,-14.117723481961164,-14.281890657779073,-101.21996052151694,-93.40762132482361,-47.4234220188805,-14.281890657779073,-33.14153136110143,45.62720555296108,-55.75679899652019,-55.74984665311034,-55.70880485915586,-33.97428739322139,-35.92737219239473
2025-12-01 14:00:00+00:00,-15.917510513894229,-14.133861002783021,-15.961126737487064,-43.50545805751338,-145.0191458809691,-46.90742043852936,-15.961126737487064,-30.946293701042293,56.19083071638799,-54.65489791968814,-55.10081029746594,-54.64399386378993,-47.75791103378335,-22.379489077919423
2025-11-28 13:00:00+00:00,-77.01197807729265,-28.831322298916717,-36.588567324908894,-21.833114821454558,-62.79321314398345,-45.411639133311255,-36.588567324908894,-8.82307180840236,23.502132071649005,-37.511554397315905,-49.556718341909885,-47.61740708541184,-51.30627021127543,-41.06624563064321
2025-12-01 02:00:00+00:00,-16.960459169483855,-13.004151663933428,-7.951845809257563,-66.92255232691124,-111.48166455286379,-43.264134704489976,-16.960459169483855,-26.30367553500612,44.91063284539828,-49.8400535882415,-50.82913046462912,-52.09220692829808,-37.34953029888466,-26.209752242396522
2025-12-02 00:00:00+00:00,-0.1426813201188537,-6.661435987744824,4.809182553238145,-57.32076080597892,-156.62849759443986,-43.18883863100886,-6.661435987744824,-36.52740264326404,68.11626144100869,-53.950377958731366,-52.32068929182488,-55.18834392707062,-39.65585808726635,-14.828923890151113
2025-12-01 10:00:00+00:00,-4.068950924907,9.099296604864193,3.792226647023611,-81.23990239278456,-132.91450895262182,-41.06636780368511,-4.068950924907,-36.99741687877811,63.14208214662193,-50.31572202337964,-53.607783905822444,-52.28101641636229,-31.022984156410253,-18.10433251645094
2025-12-01 08:00:00+00:00,-6.694576462624724,-9.014584531499281,-12.11733529111747,-116.57243130169803,-60.38676933441067,-40.957139384270036,-12.11733529111747,-28.839804093152566,47.75240104008029,-49.52278011468136,-48.94277809746273,-48.16709040755818,-22.053316404913037,-36.09973189673488
2025-11-28 00:00:00+00:00,-49.10104830934792,-27.252441346483636,-29.658762475284206,-35.710913807784905,-55.22294072694223,-39.38922133316858,-35.710913807784905,-3.678307525383673,12.252953290303925,-36.96126458912374,-42.42341632983981,-41.82183604763967,-40.308798214514496,-35.43079148472516
2025-10-11 04:00:00+00:00,-2.5604131236445227,-55.689193562571404,-34.72889013807823,-43.13400383433752,-57.26971869276731,-38.6764438702798,-43.13400383433752,4.457559964057722,22.220284758024643,-47.70545155693861,-34.423256447206896,-39.66333230333019,-37.56205387926536,-34.02812516465792
2025-09-22 06:00:00+00:00,-6.434830335786401,-93.55321254269633,-23.84586702693703,-31.151930913422277,-37.41890699724415,-38.48094956321724,-31.151930913422277,-7.3290186497949605,32.89732510723452,-46.492479370074946,-24.712883818347464,-42.13972019728729,-40.31320422566598,-38.74646020471051
