scenario,h,model,n,min_hours,median_hours,max_hours
clock_FXKST_USNY_quote,6,M0,1522,6.0,6.0,6.0
clock_FXKST_USNY_quote,6,M1,1522,6.0,6.0,6.0
clock_FXKST_USNY_quote,6,M2,1522,6.0,6.0,6.0
clock_FXKST_USNY_quote,12,M0,597,12.0,12.0,12.0
clock_FXKST_USNY_quote,12,M1,597,12.0,12.0,12.0
clock_FXKST_USNY_quote,12,M2,597,12.0,12.0,12.0
clock_NY_macro_end1h_quote,1,M0,1350,1.0,1.0,1.0
clock_NY_macro_end1h_quote,1,M1,1350,1.0,1.0,1.0
clock_NY_macro_end1h_quote,1,M2,1350,1.0,1.0,1.0
clock_NY_macro_end1h_quote,3,M0,940,3.0,3.0,3.0
clock_NY_macro_end1h_quote,3,M1,940,3.0,3.0,3.0
clock_NY_macro_end1h_quote,3,M2,940,3.0,3.0,3.0
clock_NY_macro_end1h_quote,6,M0,323,6.0,6.0,6.0
clock_NY_macro_end1h_quote,6,M1,323,6.0,6.0,6.0
clock_NY_macro_end1h_quote,6,M2,323,6.0,6.0,6.0
clock_NY_macro_end1h_quote,12,M0,767,12.0,12.0,12.0
clock_NY_macro_end1h_quote,12,M1,767,12.0,12.0,12.0
clock_NY_macro_end1h_quote,12,M2,767,12.0,12.0,12.0
