definition,reference,cohort,h,group,outcome,n,outcome_n,days,status,mean,ci_low,ci_high,bootstrap_valid_fraction
EQ,linear,full12,12,reference_only,delta_market_bp,126,126,47,adequate,11.934336133225306,4.293406910495685,19.895352992390112,1.0
EQ,linear,full12,12,reference_only,delta_g_bp,126,126,47,adequate,-0.02805136100797308,-0.15558171008676674,0.1336734732338866,1.0
EQ,linear,full12,12,reference_only,fall10,126,126,47,adequate,0.03968253968253968,0.008064516129032258,0.07142857142857142,1.0
EQ,linear,full12,12,reference_only,local_down,126,126,47,adequate,0.48412698412698413,0.39006737588652485,0.5660446725860155,1.0
EQ,linear,full12,12,neither,e_now,114,114,46,adequate,-14.2595853194498,-19.124045376258834,-10.892242004542911,1.0
EQ,linear,full12,12,neither,delta_e,114,114,46,adequate,7.907133888163598,5.904771338008774,10.451784050053533,1.0
EQ,linear,full12,12,neither,target,114,114,46,adequate,-6.352451431286197,-10.758774638533822,-2.283065180053958,1.0
EQ,linear,full12,12,neither,local_logreturn_bp,114,114,46,adequate,11.44710311652904,-0.058620419889359995,22.587768852078455,1.0
EQ,linear,full12,12,neither,local_change_krw,114,114,46,adequate,1.6666666666666667,-0.019725513282802205,3.292623501736305,1.0
EQ,linear,full12,12,neither,delta_log_volume,114,114,46,adequate,-0.12890533481449654,-0.2993804194719621,0.022779592832829425,1.0
EQ,linear,full12,12,neither,delta_local_bp,114,114,46,adequate,11.483074148157447,-0.17064525681727413,22.818164944859294,1.0
EQ,linear,full12,12,neither,delta_quote_bp,114,114,46,adequate,-0.18783779748319424,-0.7283896270388196,0.22211432182884375,1.0
EQ,linear,full12,12,neither,delta_fx_bp,114,114,46,adequate,-4.86379496753933,-16.862544340136974,9.424543925012898,1.0
EQ,linear,full12,12,neither,delta_market_bp,114,114,46,adequate,1.425440381822722,-9.872201216612865,13.082357994697231,1.0
EQ,linear,full12,12,neither,delta_g_bp,114,114,46,adequate,0.05025212320575027,-0.01972853977256104,0.13368644445514405,1.0
EQ,linear,full12,12,neither,fall10,114,114,46,adequate,0.06140350877192982,0.016522151469990518,0.11305168170631665,1.0
EQ,linear,full12,12,neither,local_down,114,114,46,adequate,0.38596491228070173,0.2815533980582524,0.5,1.0
EQ,linear,common_path,1,both,e_now,123,123,62,adequate,2.995405298258325,1.2513061797091263,4.822728366803195,1.0
EQ,linear,common_path,1,both,delta_e,123,123,62,adequate,-3.9074329036082274,-5.899159904668341,-2.2114551423404714,1.0
EQ,linear,common_path,1,both,target,123,123,62,adequate,-0.9120276053499013,-3.1372803921513643,1.1657991040938784,1.0
EQ,linear,common_path,1,both,local_logreturn_bp,123,123,62,adequate,-2.6027268861753994,-4.176265639865234,-1.1479112178573512,1.0
EQ,linear,common_path,1,both,local_change_krw,123,123,62,adequate,-0.3821138211382114,-0.6129184418746196,-0.16806722689075632,1.0
EQ,linear,common_path,1,both,delta_log_volume,123,123,62,adequate,-0.05718765683901,-0.11747583067584556,0.0134875904837854,1.0
EQ,linear,common_path,1,both,delta_local_bp,123,123,62,adequate,-2.622128897780046,-4.203409753952438,-1.1724735056377964,1.0
EQ,linear,common_path,1,both,delta_quote_bp,123,123,62,adequate,0.1800536113711044,0.0720941889079055,0.3032861911569141,1.0
EQ,linear,common_path,1,both,delta_fx_bp,123,123,62,adequate,1.501296043917374,-0.35423320362770516,3.482109527485696,1.0
EQ,linear,common_path,1,both,delta_market_bp,123,123,62,adequate,-2.955079146865993,-5.774799153199429,-0.4929375952978309,1.0
EQ,linear,common_path,1,both,delta_g_bp,123,123,62,adequate,-0.011574514250341048,-0.03742075115678281,0.01331352978822999,1.0
EQ,linear,common_path,1,both,fall10,123,123,62,adequate,0.3008130081300813,0.2330482897384306,0.3772222222222222,1.0
EQ,linear,common_path,1,both,local_down,123,123,62,adequate,0.4634146341463415,0.3898305084745763,0.5384615384615384,1.0
EQ,linear,common_path,1,ml_only,e_now,4,4,3,limited,-2.2399906327516637,-13.647518119951698,5.712585794880933,0.9769884942471235
EQ,linear,common_path,1,ml_only,delta_e,4,4,3,limited,5.807313338930198,-3.2023209655369915,25.38107437528957,0.9769884942471235
EQ,linear,common_path,1,ml_only,target,4,4,3,limited,3.567322706178533,-9.394697208446496,18.643458374472747,0.9769884942471235
EQ,linear,common_path,1,ml_only,local_logreturn_bp,4,4,3,limited,-8.513155473528453,-20.373521478444417,6.74991588233346,0.9769884942471235
EQ,linear,common_path,1,ml_only,local_change_krw,4,4,3,limited,-1.25,-3.0,1.0,0.9769884942471235
EQ,linear,common_path,1,ml_only,delta_log_volume,4,4,3,limited,-0.10245523542024104,-0.1832812406084976,0.006972497633633168,0.9769884942471235
EQ,linear,common_path,1,ml_only,delta_local_bp,4,4,3,limited,-8.455304229194462,-20.1321493968595,6.6884716015837435,0.9769884942471235
EQ,linear,common_path,1,ml_only,delta_quote_bp,4,4,3,limited,-0.494868809888961,-0.9908474886042987,-0.00021284113208941413,0.9769884942471235
EQ,linear,common_path,1,ml_only,delta_fx_bp,4,4,3,limited,5.039279017415819,-13.585872183221293,21.884094165489657,0.9769884942471235
EQ,linear,common_path,1,ml_only,delta_market_bp,4,4,3,limited,9.718207360597756,1.057214392648362,33.12633091791784,0.9769884942471235
EQ,linear,common_path,1,ml_only,delta_g_bp,4,4,3,limited,0.0,-0.14299152761309342,0.14299152761309342,0.9769884942471235
EQ,linear,common_path,1,ml_only,fall10,4,4,3,limited,0.0,0.0,0.0,0.9769884942471235
EQ,linear,common_path,1,ml_only,local_down,4,4,3,limited,0.75,0.0,1.0,0.9769884942471235
EQ,linear,common_path,1,reference_only,e_now,58,58,36,adequate,-6.766477511473147,-8.110245928387652,-5.4652101396055395,1.0
EQ,linear,common_path,1,reference_only,delta_e,58,58,36,adequate,3.0667890441513643,1.3383008471369677,5.219811665525592,1.0
EQ,linear,common_path,1,reference_only,target,58,58,36,adequate,-3.699688467321782,-5.799758124296146,-1.3857031746526427,1.0
EQ,linear,common_path,1,reference_only,local_logreturn_bp,58,58,36,adequate,1.8916347430451834,-0.7216251886078101,4.5450484236779864,1.0
EQ,linear,common_path,1,reference_only,local_change_krw,58,58,36,adequate,0.27586206896551724,-0.10734126984126982,0.6666666666666666,1.0
EQ,linear,common_path,1,reference_only,delta_log_volume,58,58,36,adequate,-0.06501743880926847,-0.15359062330860893,0.032816034358519305,1.0
EQ,linear,common_path,1,reference_only,delta_local_bp,58,58,36,adequate,1.9105027272988588,-0.724089933289619,4.582335182908767,1.0
EQ,linear,common_path,1,reference_only,delta_quote_bp,58,58,36,adequate,0.19090074504845236,0.0008991609688855656,0.346873958694108,1.0
EQ,linear,common_path,1,reference_only,delta_fx_bp,58,58,36,adequate,-1.0259929912992367,-3.953629312298879,1.2870324170967171,1.0
EQ,linear,common_path,1,reference_only,delta_market_bp,58,58,36,adequate,2.0279072009538175,-1.1099490696264667,6.3972203907557255,1.0
EQ,linear,common_path,1,reference_only,delta_g_bp,58,58,36,adequate,-0.03652863785123821,-0.06873184975948189,0.002513628216920599,1.0
EQ,linear,common_path,1,reference_only,fall10,58,58,36,adequate,0.034482758620689655,0.0,0.07047283702213275,1.0
EQ,linear,common_path,1,reference_only,local_down,58,58,36,adequate,0.25862068965517243,0.1636178107606679,0.3650946275946276,1.0
EQ,linear,common_path,1,neither,e_now,54,54,31,adequate,-13.4388523578725,-17.375316728091104,-10.453593526765388,1.0
EQ,linear,common_path,1,neither,delta_e,54,54,31,adequate,6.3705520303465955,4.405191844326605,8.718559657332067,1.0
EQ,linear,common_path,1,neither,target,54,54,31,adequate,-7.068300327525901,-12.019138492763215,-3.0275889487135887,1.0
EQ,linear,common_path,1,neither,local_logreturn_bp,54,54,31,adequate,-0.638707085368381,-4.073416294465274,2.936582750192099,1.0
EQ,linear,common_path,1,neither,local_change_krw,54,54,31,adequate,-0.09259259259259259,-0.5973611111111111,0.4307824933687003,1.0
EQ,linear,common_path,1,neither,delta_log_volume,54,54,31,adequate,-0.015820127533834244,-0.13936743303179855,0.12016647378633398,1.0
EQ,linear,common_path,1,neither,delta_local_bp,54,54,31,adequate,-0.6767291062250876,-4.147090502568908,2.9157586251357444,1.0
EQ,linear,common_path,1,neither,delta_quote_bp,54,54,31,adequate,0.05527148742136126,-0.11914181545697576,0.2253272987254896,1.0
EQ,linear,common_path,1,neither,delta_fx_bp,54,54,31,adequate,0.762774129576197,-2.4018319007804525,3.976967060961094,1.0
EQ,linear,common_path,1,neither,delta_market_bp,54,54,31,adequate,6.21116691993663,3.475734544151766,9.613833845844097,1.0
EQ,linear,common_path,1,neither,delta_g_bp,54,54,31,adequate,0.01806859963656568,-0.005815731922993681,0.0460002443151748,1.0
EQ,linear,common_path,1,neither,fall10,54,54,31,adequate,0.05555555555555555,0.0,0.13513513513513514,1.0
EQ,linear,common_path,1,neither,local_down,54,54,31,adequate,0.35185185185185186,0.23404255319148937,0.4642857142857143,1.0
EQ,linear,common_path,6,both,e_now,123,123,62,adequate,2.995405298258325,1.2513061797091263,4.822728366803195,1.0
EQ,linear,common_path,6,both,delta_e,123,123,62,adequate,-2.0311464435266675,-3.8605075149011623,-0.44039208495734644,1.0
EQ,linear,common_path,6,both,target,123,123,62,adequate,0.9642588547316584,-0.40475570803491356,2.3070835600870105,1.0
EQ,linear,common_path,6,both,local_logreturn_bp,123,123,62,adequate,-1.56776582169287,-6.542698750148851,2.9338602547777226,1.0
EQ,linear,common_path,6,both,local_change_krw,123,123,62,adequate,-0.23577235772357724,-0.9688701923076923,0.42119999999999985,1.0
EQ,linear,common_path,6,both,delta_log_volume,123,123,62,adequate,-0.2210766406491485,-0.36127559189595226,-0.05252441968692167,1.0
EQ,linear,common_path,6,both,delta_local_bp,123,123,62,adequate,-1.6200488994620703,-6.614827294311935,2.887404667822907,1.0
EQ,linear,common_path,6,both,delta_quote_bp,123,123,62,adequate,0.14762523791563256,-0.12147603131388354,0.4313638185987704,1.0
EQ,linear,common_path,6,both,delta_fx_bp,123,123,62,adequate,3.0416363428249804,-3.344331035317765,8.868446019386326,1.0
EQ,linear,common_path,6,both,delta_market_bp,123,123,62,adequate,-3.588829070970287,-7.597750245706995,0.7325736844181316,1.0
EQ,linear,common_path,6,both,delta_g_bp,123,123,62,adequate,-0.011530053835121049,-0.06551068072235826,0.04696502429906513,1.0
EQ,linear,common_path,6,both,fall10,123,123,62,adequate,0.21138211382113822,0.16026109082863146,0.2717486651411136,1.0
EQ,linear,common_path,6,both,local_down,123,123,62,adequate,0.45528455284552843,0.3660605400696864,0.5532242225859247,1.0
EQ,linear,common_path,6,ml_only,e_now,4,4,3,limited,-2.2399906327516637,-13.647518119951698,5.712585794880933,0.9769884942471235
EQ,linear,common_path,6,ml_only,delta_e,4,4,3,limited,3.429421447840745,-11.163717935149968,23.579314088274224,0.9769884942471235
EQ,linear,common_path,6,ml_only,target,4,4,3,limited,1.1894308150890809,-5.451132140269035,16.8416980874574,0.9769884942471235
EQ,linear,common_path,6,ml_only,local_logreturn_bp,4,4,3,limited,-5.086565326704234,-13.51351556998958,6.781960246383391,0.9769884942471235
EQ,linear,common_path,6,ml_only,local_change_krw,4,4,3,limited,-0.75,-2.0,1.0,0.9769884942471235
EQ,linear,common_path,6,ml_only,delta_log_volume,4,4,3,limited,-0.581286658462489,-0.894942986942052,-0.3573982147262402,0.9769884942471235
EQ,linear,common_path,6,ml_only,delta_local_bp,4,4,3,limited,-5.077140044894302,-13.398851676727606,6.705336607751443,0.9769884942471235
EQ,linear,common_path,6,ml_only,delta_quote_bp,4,4,3,limited,-0.4971815485739091,-0.9887512833052712,0.0,0.9769884942471235
EQ,linear,common_path,6,ml_only,delta_fx_bp,4,4,3,limited,30.0459952060648,6.033217929579669,48.142004804583735,0.9769884942471235
EQ,linear,common_path,6,ml_only,delta_market_bp,4,4,3,limited,-21.0779390712902,-52.14108230581238,19.1114124794886,0.9769884942471235
EQ,linear,common_path,6,ml_only,delta_g_bp,4,4,3,limited,0.03568690653405596,-0.14299152761309342,0.14286957687465862,0.9769884942471235
EQ,linear,common_path,6,ml_only,fall10,4,4,3,limited,0.25,0.0,0.5,0.9769884942471235
EQ,linear,common_path,6,ml_only,local_down,4,4,3,limited,0.5,0.0,1.0,0.9769884942471235
EQ,linear,common_path,6,reference_only,e_now,58,58,36,adequate,-6.766477511473147,-8.110245928387652,-5.4652101396055395,1.0
EQ,linear,common_path,6,reference_only,delta_e,58,58,36,adequate,4.711062094396071,2.7630854404447396,6.9981824961277725,1.0
EQ,linear,common_path,6,reference_only,target,58,58,36,adequate,-2.055415417077076,-3.8705904724684146,0.05638543541904219,1.0
EQ,linear,common_path,6,reference_only,local_logreturn_bp,58,58,36,adequate,5.527722859388706,-0.22890942412730966,10.776677406819893,1.0
EQ,linear,common_path,6,reference_only,local_change_krw,58,58,36,adequate,0.8103448275862069,-0.034544334975369455,1.5715456674473067,1.0
EQ,linear,common_path,6,reference_only,delta_log_volume,58,58,36,adequate,-0.2173777625826219,-0.3866371542022969,-0.0163111579924808,1.0
EQ,linear,common_path,6,reference_only,delta_local_bp,58,58,36,adequate,5.572169108105668,-0.2449016825428099,10.84365909785894,1.0
EQ,linear,common_path,6,reference_only,delta_quote_bp,58,58,36,adequate,0.15588529140866172,-0.2675055589433831,0.5113576354560251,1.0
EQ,linear,common_path,6,reference_only,delta_fx_bp,58,58,36,adequate,0.6613237585723594,-4.199588778791851,5.179066416136357,1.0
EQ,linear,common_path,6,reference_only,delta_market_bp,58,58,36,adequate,-1.651293436432716,-6.832051091834591,4.726476517665763,1.0
EQ,linear,common_path,6,reference_only,delta_g_bp,58,58,36,adequate,-0.0270226272582014,-0.1265153122346218,0.07819116772145583,1.0
EQ,linear,common_path,6,reference_only,fall10,58,58,36,adequate,0.034482758620689655,0.0,0.08069453587886763,1.0
EQ,linear,common_path,6,reference_only,local_down,58,58,36,adequate,0.3275862068965517,0.23070617906683483,0.4444444444444444,1.0
EQ,linear,common_path,6,neither,e_now,54,54,31,adequate,-13.4388523578725,-17.375316728091104,-10.453593526765388,1.0
EQ,linear,common_path,6,neither,delta_e,54,54,31,adequate,8.181838469699692,5.078467761236934,11.303877565418665,1.0
EQ,linear,common_path,6,neither,target,54,54,31,adequate,-5.257013888172808,-10.438891087331879,-1.203275993516325,1.0
EQ,linear,common_path,6,neither,local_logreturn_bp,54,54,31,adequate,11.42371396623462,3.5406910999696968,19.334940265636796,1.0
EQ,linear,common_path,6,neither,local_change_krw,54,54,31,adequate,1.6666666666666667,0.5090749601275917,2.8283854166666664,1.0
EQ,linear,common_path,6,neither,delta_log_volume,54,54,31,adequate,-0.4092845682137015,-0.5543986496719455,-0.2394592067700847,1.0
EQ,linear,common_path,6,neither,delta_local_bp,54,54,31,adequate,11.473793228991351,3.5268395276695226,19.430831669517353,1.0
EQ,linear,common_path,6,neither,delta_quote_bp,54,54,31,adequate,0.20362716327119562,-0.2706094826381317,0.6104959653167658,1.0
EQ,linear,common_path,6,neither,delta_fx_bp,54,54,31,adequate,-14.06730607434059,-26.569936714651405,0.6719215052124472,1.0
EQ,linear,common_path,6,neither,delta_market_bp,54,54,31,adequate,10.549606604933478,1.0866414329896328,18.989599079257932,1.0
EQ,linear,common_path,6,neither,delta_g_bp,54,54,31,adequate,0.022117546844821524,-0.04276056379983473,0.0984612891411384,1.0
EQ,linear,common_path,6,neither,fall10,54,54,31,adequate,0.037037037037037035,0.0,0.07936507936507936,1.0
EQ,linear,common_path,6,neither,local_down,54,54,31,adequate,0.25925925925925924,0.13793103448275862,0.410766806722689,1.0
EQ,linear,common_path,12,both,e_now,123,123,62,adequate,2.995405298258325,1.2513061797091263,4.822728366803195,1.0
EQ,linear,common_path,12,both,delta_e,123,123,62,adequate,-4.037876271110802,-6.411339398415611,-1.9001069446335996,1.0
EQ,linear,common_path,12,both,target,123,123,62,adequate,-1.0424709728524764,-3.059317871867277,0.7952149456380053,1.0
EQ,linear,common_path,12,both,local_logreturn_bp,123,123,62,adequate,1.6781861426561593,-7.737547928265103,10.966152081491261,1.0
EQ,linear,common_path,12,both,local_change_krw,123,123,62,adequate,0.24390243902439024,-1.1406307870370371,1.6072146807440921,1.0
EQ,linear,common_path,12,both,delta_log_volume,123,123,62,adequate,-0.055412242511635644,-0.24740069691415792,0.1371134577643005,1.0
EQ,linear,common_path,12,both,delta_local_bp,123,123,62,adequate,1.6853529843960677,-7.697110732280864,10.971447366338268,1.0
EQ,linear,common_path,12,both,delta_quote_bp,123,123,62,adequate,-0.7205612697995366,-1.2631018892363999,-0.25671766695187537,1.0
EQ,linear,common_path,12,both,delta_fx_bp,123,123,62,adequate,0.9611137729433497,-10.42485620277975,12.98735531368079,1.0
EQ,linear,common_path,12,both,delta_market_bp,123,123,62,adequate,-6.062313654065133,-15.02555408094251,3.2381695221956646,1.0
EQ,linear,common_path,12,both,delta_g_bp,123,123,62,adequate,0.098531895415062,0.01892095216272186,0.19655573727543801,1.0
EQ,linear,common_path,12,both,fall10,123,123,62,adequate,0.2682926829268293,0.203125,0.3416666666666667,1.0
EQ,linear,common_path,12,both,local_down,123,123,62,adequate,0.3983739837398374,0.2844788041758937,0.5238287250384025,1.0
EQ,linear,common_path,12,ml_only,e_now,4,4,3,limited,-2.2399906327516637,-13.647518119951698,5.712585794880933,0.9769884942471235
EQ,linear,common_path,12,ml_only,delta_e,4,4,3,limited,-2.71072692909877,-16.29315973701513,11.697443020067256,0.9769884942471235
EQ,linear,common_path,12,ml_only,target,4,4,3,limited,-4.950717561850435,-10.5805739421342,3.3083527367511016,0.9769884942471235
EQ,linear,common_path,12,ml_only,local_logreturn_bp,4,4,3,limited,-3.3530377062966013,-60.95514978977286,20.33209782097823,0.9769884942471235
EQ,linear,common_path,12,ml_only,local_change_krw,4,4,3,limited,-0.5,-9.0,3.0,0.9769884942471235
EQ,linear,common_path,12,ml_only,delta_log_volume,4,4,3,limited,-0.25006462377622496,-0.4110941292257593,-0.09605224930606315,0.9769884942471235
EQ,linear,common_path,12,ml_only,delta_local_bp,4,4,3,limited,-3.279580097825616,-60.44389532065514,20.126428445026615,0.9769884942471235
EQ,linear,common_path,12,ml_only,delta_quote_bp,4,4,3,limited,-0.9908095977047002,-2.970099031165282,-0.0007881623028531126,0.9769884942471235
EQ,linear,common_path,12,ml_only,delta_fx_bp,4,4,3,limited,34.20415948601022,18.265333708364654,67.85850149603571,0.9769884942471235
EQ,linear,common_path,12,ml_only,delta_market_bp,4,4,3,limited,-32.573000955770574,-55.238346186692176,3.479934069619245,0.9769884942471235
EQ,linear,common_path,12,ml_only,delta_g_bp,4,4,3,limited,-0.07149576380654671,-0.42897458283928025,0.14299152761309342,0.9769884942471235
EQ,linear,common_path,12,ml_only,fall10,4,4,3,limited,0.5,0.0,1.0,0.9769884942471235
EQ,linear,common_path,12,ml_only,local_down,4,4,3,limited,0.25,0.0,1.0,0.9769884942471235
EQ,linear,common_path,12,reference_only,e_now,58,58,36,adequate,-6.766477511473147,-8.110245928387652,-5.4652101396055395,1.0
EQ,linear,common_path,12,reference_only,delta_e,58,58,36,adequate,4.366938111598645,1.3876426510598612,7.671482508642062,1.0
EQ,linear,common_path,12,reference_only,target,58,58,36,adequate,-2.3995393998745005,-4.923952073833955,0.4724608659710264,1.0
EQ,linear,common_path,12,reference_only,local_logreturn_bp,58,58,36,adequate,4.5576240607099585,-5.538595200195252,13.259027733145635,1.0
EQ,linear,common_path,12,reference_only,local_change_krw,58,58,36,adequate,0.6724137931034483,-0.8076923076923076,1.9523655913978488,1.0
EQ,linear,common_path,12,reference_only,delta_log_volume,58,58,36,adequate,-0.04917862631971066,-0.23379514338432625,0.12434604043307008,1.0
EQ,linear,common_path,12,reference_only,delta_local_bp,58,58,36,adequate,4.609559526664496,-5.589056193871261,13.402347620981976,1.0
EQ,linear,common_path,12,reference_only,delta_quote_bp,58,58,36,adequate,-0.7123600927921908,-1.4908111135454454,-0.13834555585606154,1.0
EQ,linear,common_path,12,reference_only,delta_fx_bp,58,58,36,adequate,7.431539670385417,-1.2942282224751682,16.115331208714387,1.0
EQ,linear,common_path,12,reference_only,delta_market_bp,58,58,36,adequate,-7.130087387674235,-18.486819174976226,4.996939522722808,1.0
EQ,linear,common_path,12,reference_only,delta_g_bp,58,58,36,adequate,0.16828639501450232,0.015156277640057754,0.3510864642244813,1.0
EQ,linear,common_path,12,reference_only,fall10,58,58,36,adequate,0.05172413793103448,0.0,0.1,1.0
EQ,linear,common_path,12,reference_only,local_down,58,58,36,adequate,0.3448275862068966,0.21311475409836064,0.4898159263705482,1.0
EQ,linear,common_path,12,neither,e_now,54,54,31,adequate,-13.4388523578725,-17.375316728091104,-10.453593526765388,1.0
EQ,linear,common_path,12,neither,delta_e,54,54,31,adequate,6.326116145252364,2.47425282097725,10.112759451935313,1.0
EQ,linear,common_path,12,neither,target,54,54,31,adequate,-7.112736212620134,-13.657280771837726,-1.6612124912835016,1.0
EQ,linear,common_path,12,neither,local_logreturn_bp,54,54,31,adequate,25.483155029758535,7.4552091759255745,42.86972742792677,1.0
EQ,linear,common_path,12,neither,local_change_krw,54,54,31,adequate,3.7222222222222223,1.0754179728317659,6.267043010752688,1.0
EQ,linear,common_path,12,neither,delta_log_volume,54,54,31,adequate,-0.16708698707250497,-0.4666182420557038,0.11518096056565201,1.0
EQ,linear,common_path,12,neither,delta_local_bp,54,54,31,adequate,25.597810870122455,7.429663599513179,43.029813309401476,1.0
EQ,linear,common_path,12,neither,delta_quote_bp,54,54,31,adequate,-0.4892899497794012,-1.1676469381917365,0.12648467321916326,1.0
EQ,linear,common_path,12,neither,delta_fx_bp,54,54,31,adequate,-15.826953185199953,-39.01244861940414,6.943700237538739,1.0
EQ,linear,common_path,12,neither,delta_market_bp,54,54,31,adequate,-3.1024848529196256,-16.504618941179526,11.259647355080709,1.0
EQ,linear,common_path,12,neither,delta_g_bp,54,54,31,adequate,0.1470332630286072,0.06867975270553395,0.2370022997912587,1.0
EQ,linear,common_path,12,neither,fall10,54,54,31,adequate,0.07407407407407407,0.0,0.18181818181818182,1.0
EQ,linear,common_path,12,neither,local_down,54,54,31,adequate,0.25925925925925924,0.10710486322188449,0.4418828264758497,1.0
EQ,threshold,full12,12,both,e_now,245,245,68,adequate,4.525878484553777,2.969811438647448,6.047582008753522,1.0
EQ,threshold,full12,12,both,delta_e,245,245,68,adequate,-6.355389912999751,-7.527949548149723,-5.317031511556813,1.0
EQ,threshold,full12,12,both,target,245,245,68,adequate,-1.8295114284459733,-3.2717658518925634,-0.5615308331311485,1.0
EQ,threshold,full12,12,both,local_logreturn_bp,245,245,68,adequate,-2.661459095718573,-8.524950847690166,3.422656350812383,1.0
EQ,threshold,full12,12,both,local_change_krw,245,245,68,adequate,-0.3877551020408163,-1.2470137585991246,0.5036140960809102,1.0
EQ,threshold,full12,12,both,delta_log_volume,245,245,68,adequate,0.05536162830332668,-0.033042985333904866,0.13417404921458279,1.0
EQ,threshold,full12,12,both,delta_local_bp,245,245,68,adequate,-2.70069328877975,-8.534937366666213,3.394118801964521,1.0
EQ,threshold,full12,12,both,delta_quote_bp,245,245,68,adequate,-0.10905700723912205,-0.4061375096065835,0.18771599570479286,1.0
