definition,variant,information,calibration,threshold_bp,sample,strategy,fold,n,events,alarms,true_positives,false_positives,false_negatives,alarm_rate,recall,precision,cost,missed_severity_bp
EQ,original,F,calibrated,-10.0,nonoverlap,historical,2025-12,40,7.0,40.0,7.0,33.0,0.0,1.0,1.0,0.175,0.0825,0.0
EQ,original,F,calibrated,-10.0,nonoverlap,historical,2026-01,37,5.0,37.0,5.0,32.0,0.0,1.0,1.0,0.13513513513513514,0.0864864864864865,0.0
EQ,original,F,calibrated,-10.0,nonoverlap,historical,2026-02,36,9.0,36.0,9.0,27.0,0.0,1.0,1.0,0.25,0.07500000000000001,0.0
EQ,original,F,calibrated,-10.0,nonoverlap,historical,2026-03,25,9.0,25.0,9.0,16.0,0.0,1.0,1.0,0.36,0.064,0.0
EQ,original,F,calibrated,-10.0,nonoverlap,state_hist,2025-12,40,7.0,26.0,6.0,20.0,1.0,0.65,0.8571428571428571,0.23076923076923078,0.07250000000000001,0.5133872441683853
EQ,original,F,calibrated,-10.0,nonoverlap,state_hist,2026-01,37,5.0,14.0,3.0,11.0,2.0,0.3783783783783784,0.6,0.21428571428571427,0.07837837837837838,0.20089589864195462
EQ,original,F,calibrated,-10.0,nonoverlap,state_hist,2026-02,36,9.0,23.0,9.0,14.0,0.0,0.6388888888888888,1.0,0.391304347826087,0.038888888888888896,0.0
EQ,original,F,calibrated,-10.0,nonoverlap,state_hist,2026-03,25,9.0,19.0,8.0,11.0,1.0,0.76,0.8888888888888888,0.42105263157894735,0.08,0.27884270281265117
EQ,original,F,calibrated,-10.0,nonoverlap,always_alarm,2025-12,40,7.0,40.0,7.0,33.0,0.0,1.0,1.0,0.175,0.0825,0.0
EQ,original,F,calibrated,-10.0,nonoverlap,always_alarm,2026-01,37,5.0,37.0,5.0,32.0,0.0,1.0,1.0,0.13513513513513514,0.0864864864864865,0.0
EQ,original,F,calibrated,-10.0,nonoverlap,always_alarm,2026-02,36,9.0,36.0,9.0,27.0,0.0,1.0,1.0,0.25,0.07500000000000001,0.0
