definition,variant,information,calibration,threshold_bp,sample,reference,n,block_days,reference_cost,ml_cost,difference,difference_lo,difference_hi,improvement_pct,improvement_lo,improvement_hi,ratio_valid_fraction,p_centered_boot
EQ,original,R,raw,-20.0,nonoverlap,linear,138,5,0.060144927536231886,0.06811594202898551,-0.007971014492753625,-0.021376772082878956,0.0,-13.253012048192772,-45.84935897435897,0.0,1.0,0.113
EQ,original,R,raw,-20.0,nonoverlap,threshold,138,5,0.05652173913043479,0.06811594202898551,-0.011594202898550725,-0.029732604945370906,0.0015037593984962407,-20.51282051282051,-59.46894262683737,3.1250000000000004,1.0,0.213
EQ,original,R,raw,-20.0,nonoverlap,historical,138,5,0.0782608695652174,0.06811594202898551,0.010144927536231885,-0.004966312056737589,0.03400068027210884,12.962962962962962,-9.272486772486772,36.424162257495595,1.0,0.383
EQ,original,R,raw,-20.0,nonoverlap,state_hist,138,5,0.053623188405797106,0.06811594202898551,-0.014492753623188406,-0.03873822069105279,0.014669077151477401,-27.027027027027025,-146.23745819397993,21.542619542619537,1.0,0.2965
EQ,original,R,calibrated,-5.0,full,linear,509,5,0.06267190569744598,0.059872298624754426,0.002799607072691552,-0.004243957254271596,0.009932296505676896,4.467084639498432,-7.1241830065359535,15.058571837120805,1.0,0.46
EQ,original,R,calibrated,-5.0,full,threshold,509,5,0.05717092337917486,0.059872298624754426,-0.002701375245579568,-0.008494639707144975,0.002822746660636446,-4.725085910652921,-15.572797776864077,4.914071190211349,1.0,0.353
EQ,original,R,calibrated,-5.0,full,historical,509,5,0.06777996070726916,0.059872298624754426,0.007907662082514736,0.001973575640890816,0.01397253052164262,11.666666666666668,2.9090175921545045,20.192490213708997,1.0,0.009
EQ,original,R,calibrated,-5.0,full,state_hist,509,5,0.06719056974459725,0.059872298624754426,0.00731827111984283,0.0014931234471707259,0.01318936100102615,10.891812865497078,2.3693766937669376,19.159708298694316,1.0,0.019
EQ,original,R,calibrated,-5.0,nonoverlap,linear,138,5,0.057971014492753624,0.0552536231884058,0.002717391304347825,-0.007815231643356641,0.015254497586660812,4.687499999999999,-14.930555555555554,22.830615942028977,1.0,0.664
EQ,original,R,calibrated,-5.0,nonoverlap,threshold,138,5,0.05869565217391304,0.0552536231884058,0.0034420289855072463,-0.00750093984962406,0.01715308944786555,5.864197530864198,-16.355459057071958,23.76095360824742,1.0,0.6105
