definition,reference,seed,group,n,delta_e_mean,local_return_mean
CAP,linear,20260928,both,212,-4.416146651434835,-3.367321149784289
CAP,linear,20260928,ml_only,13,-4.877365906045233,2.0745908082341056
CAP,linear,20260928,neither,250,3.9087832031737144,4.065348022694383
CAP,linear,20260928,reference_only,34,3.013242266400742,-9.851402247421614
CAP,threshold,20260925,both,205,-4.824518307513651,-3.557894224886226
CAP,threshold,20260925,ml_only,21,0.08237451882445732,1.6976953590313455
CAP,threshold,20260925,neither,259,3.8388994044307445,3.3372174291493186
CAP,threshold,20260925,reference_only,24,3.0432763902376188,-7.338986440567513
CAP,threshold,20260926,both,205,-4.857711457363163,-3.9253170300525504
CAP,threshold,20260926,ml_only,21,0.08237451882445732,1.6976953590313455
CAP,threshold,20260926,neither,259,3.8388994044307445,3.3372174291493186
CAP,threshold,20260926,reference_only,24,3.326801211868865,-4.20058331310516
CAP,threshold,20260927,both,204,-4.908621136167092,-3.5419314009161
CAP,threshold,20260927,ml_only,21,0.08237451882445732,1.6976953590313455
CAP,threshold,20260927,neither,259,3.8388994044307445,3.3372174291493186
CAP,threshold,20260927,reference_only,25,3.414843684139638,-7.317999395536498
CAP,threshold,20260928,both,204,-4.908621136167092,-3.5419314009161
CAP,threshold,20260928,ml_only,21,0.08237451882445732,1.6976953590313455
CAP,threshold,20260928,neither,259,3.8388994044307445,3.3372174291493186
CAP,threshold,20260928,reference_only,25,3.414843684139638,-7.317999395536498
PCA,linear,20260925,both,262,-5.656183617882171,-3.128886446114573
PCA,linear,20260925,ml_only,12,4.11578081935715,1.2249771207778561
PCA,linear,20260925,neither,111,7.8832901539044276,10.582435735774867
PCA,linear,20260925,reference_only,124,6.013976092269127,-3.0249590098733177
PCA,linear,20260926,both,262,-5.708741938469299,-2.9116190117394325
PCA,linear,20260926,ml_only,11,6.180127817938941,-7.340468673133379
PCA,linear,20260926,neither,112,7.646903311770972,11.340136138614389
PCA,linear,20260926,reference_only,124,6.1250267373806375,-3.484024072827244
PCA,linear,20260927,both,261,-5.778107324965217,-2.6467529227460616
PCA,linear,20260927,ml_only,7,0.9855914823031259,-2.807323888346364
PCA,linear,20260927,neither,116,7.909788246030651,10.42242551154111
PCA,linear,20260927,reference_only,125,6.175191514977316,-4.032485226156699
PCA,linear,20260928,both,257,-5.915396571515394,-3.190318741166291
PCA,linear,20260928,ml_only,10,5.12978442659985,-3.322184107937056
PCA,linear,20260928,neither,113,7.726873740262643,10.819220647785091
PCA,linear,20260928,reference_only,129,6.07806082508294,-2.9065988343145177
PCA,threshold,20260925,both,244,-6.056395880148692,-3.9215371908609593
PCA,threshold,20260925,ml_only,30,1.5076618901146013,5.059551704579676
PCA,threshold,20260925,neither,152,7.206538970373434,7.976007505946725
PCA,threshold,20260925,reference_only,83,6.329931554554233,-4.973466162134742
PCA,threshold,20260926,both,244,-6.101024346438013,-3.4674722763768373
PCA,threshold,20260926,ml_only,29,2.1014123672154312,0.08530686054309185
PCA,threshold,20260926,neither,153,7.056750467653282,8.899776425395704
PCA,threshold,20260926,reference_only,83,6.461128491597538,-6.308307597485656
PCA,threshold,20260927,both,242,-6.2903821219487375,-3.254466798933324
PCA,threshold,20260927,ml_only,26,0.8109846950690278,2.9664302033352907
PCA,threshold,20260927,neither,156,7.176526782874394,8.250080171503686
PCA,threshold,20260927,reference_only,85,6.704661150391938,-6.847903537475217
PCA,threshold,20260928,both,242,-6.207130118732403,-3.7018314555889673
PCA,threshold,20260928,ml_only,25,1.326656564791354,1.7083781877369015
PCA,threshold,20260928,neither,157,7.053868573760613,8.41675310412656
PCA,threshold,20260928,reference_only,85,6.467637800058377,-5.574230044408561
