definition,variant,information,strategy,state,n,e_state,scale_state,loss,too_high,too_low,below,q_change,actual_delta_mean,actual_delta_q10
EQ,own_scale,F,linear,1,248,low,high,2.344082591082588,0.6123118466780431,1.7317707444045447,0.06451612903225806,-9.385350443140169,7.252010504596343,-6.126793875289756
EQ,own_scale,F,linear,2,10,middle,low,1.8034143340694175,0.49489952863063247,1.308514805438785,0.1,-13.239328330601818,-0.7040686413591202,-15.995061184426907
EQ,own_scale,F,linear,3,98,middle,high,1.8427856466918435,0.20357050130736692,1.6392151453844765,0.05102040816326531,-16.784258507689746,-0.6182964997420533,-11.227067973918828
EQ,own_scale,F,linear,4,9,high,low,1.0197033029838272,0.0,1.0197033029838272,0.0,-17.16570818279395,-6.968675152955678,-18.08524520743306
EQ,own_scale,F,linear,5,133,high,high,2.2517939497730324,1.0601726958250068,1.1916212539480255,0.24060150375939848,-22.340220773818373,-11.601977896365899,-25.425941828634183
EQ,own_scale,F,threshold,0,11,low,low,1.4519150187540153,0.0,1.4519150187540153,0.0,-8.787111972880398,5.732038214659752,-2.5209192230800115
EQ,own_scale,F,threshold,1,248,low,high,2.1815419936695384,0.5668389500232999,1.6147030436462384,0.08064516129032258,-8.265198876284598,7.252010504596343,-6.126793875289756
EQ,own_scale,F,threshold,2,10,middle,low,1.3856872406909129,0.44629236671362316,0.9393948739772899,0.1,-9.602136973672435,-0.7040686413591202,-15.995061184426907
EQ,own_scale,F,threshold,3,98,middle,high,1.70045923336995,0.4146605271278821,1.285798706242068,0.08163265306122448,-13.01554964313175,-0.6182964997420533,-11.227067973918828
EQ,own_scale,F,threshold,4,9,high,low,1.2245797242897953,0.04005818931537726,1.1845215349744178,0.1111111111111111,-18.769381403460546,-6.968675152955678,-18.08524520743306
EQ,own_scale,F,threshold,5,133,high,high,2.0086837420071446,0.816868560207903,1.1918151817992422,0.19548872180451127,-22.612497980793986,-11.601977896365899,-25.425941828634183
EQ,own_scale,F,historical,0,11,low,low,2.1371488464315105,0.0,2.1371488464315105,0.0,-15.63945024965535,5.732038214659752,-2.5209192230800115
EQ,own_scale,F,historical,1,248,low,high,2.7949931474941594,0.23235203406379337,2.562641113430366,0.012096774193548387,-18.11623170296977,7.252010504596343,-6.126793875289756
EQ,own_scale,F,historical,2,10,middle,low,1.6567969027148255,0.06119240360673196,1.5956044991080935,0.1,-16.59212207287702,-0.7040686413591202,-15.995061184426907
EQ,own_scale,F,historical,3,98,middle,high,1.9236600845553211,0.112530480656103,1.8111296038992182,0.05102040816326531,-18.604558671338566,-0.6182964997420533,-11.227067973918828
EQ,own_scale,F,historical,4,9,high,low,1.0419201012564219,0.12373791782757082,0.918182183428851,0.1111111111111111,-16.01301041188022,-6.968675152955678,-18.08524520743306
EQ,own_scale,F,historical,5,133,high,high,2.527809970789332,1.5842596904468698,0.9435502803424626,0.2932330827067669,-19.27719215484956,-11.601977896365899,-25.425941828634183
EQ,own_scale,F,state_hist,0,11,low,low,1.3672650789217675,0.3837707437334384,0.983494335188329,0.09090909090909091,-3.676493199741938,5.732038214659752,-2.5209192230800115
EQ,own_scale,F,state_hist,1,248,low,high,2.0881477138583335,0.5020716518031919,1.5860760620551417,0.07258064516129033,-8.050892725062639,7.252010504596343,-6.126793875289756
EQ,own_scale,F,state_hist,2,10,middle,low,1.508227931679696,0.4860020489577317,1.0222258827219644,0.1,-10.386325191959061,-0.7040686413591202,-15.995061184426907
EQ,own_scale,F,state_hist,3,98,middle,high,1.48864719698873,0.28786874198574697,1.200778455002983,0.05102040816326531,-12.306226892009944,-0.6182964997420533,-11.227067973918828
EQ,own_scale,F,state_hist,4,9,high,low,1.1538138458009812,0.0985025790982967,1.0553112667026845,0.1111111111111111,-17.4123405098733,-6.968675152955678,-18.08524520743306
EQ,own_scale,F,state_hist,5,133,high,high,1.9354228764298187,0.6795404565428413,1.2558824198869771,0.15037593984962405,-23.4057571435214,-11.601977896365899,-25.425941828634183
CAP,original,F,ml_selected,0,64,low,low,1.1132607392195863,0.03785312874452215,1.075407610475064,0.03125,-6.271851034750819,4.440166038061466,-2.917918381658379
CAP,original,F,ml_selected,1,186,low,high,1.3941004613845724,0.3004182543941835,1.0936822069903889,0.0913978494623656,-5.521831323321986,5.081192686143919,-5.162848506265066
