definition,variant,information,calibration,threshold_bp,sample,strategy,n,events,alarms,true_positives,false_positives,false_negatives,alarm_rate,recall,precision,cost,missed_severity_bp
CAP,original,B,calibrated,-20.0,nonoverlap,never_alarm,138,4.0,0.0,0.0,0.0,4.0,0.0,0.0,,0.026086956521739132,0.1341127379355532
CAP,own_scale,F,raw,-5.0,full,ml_selected,509,143.0,295.0,131.0,164.0,12.0,0.5795677799607073,0.916083916083916,0.4440677966101695,0.05343811394891945,0.09863442643780303
CAP,own_scale,F,raw,-5.0,full,linear,509,143.0,390.0,135.0,255.0,8.0,0.7662082514734774,0.9440559440559441,0.34615384615384615,0.06424361493123772,0.06672874609576154
CAP,own_scale,F,raw,-5.0,full,threshold,509,143.0,300.0,128.0,172.0,15.0,0.5893909626719057,0.8951048951048951,0.4266666666666667,0.06031434184675836,0.11746925777004945
CAP,own_scale,F,raw,-5.0,full,historical,509,143.0,509.0,143.0,366.0,0.0,1.0,1.0,0.28094302554027506,0.0719056974459725,0.0
CAP,own_scale,F,raw,-5.0,full,state_hist,509,143.0,259.0,121.0,138.0,22.0,0.5088408644400786,0.8461538461538461,0.4671814671814672,0.06601178781925346,0.16468660755705122
CAP,own_scale,F,raw,-5.0,full,always_alarm,509,143.0,509.0,143.0,366.0,0.0,1.0,1.0,0.28094302554027506,0.0719056974459725,0.0
CAP,own_scale,F,raw,-5.0,full,never_alarm,509,143.0,0.0,0.0,0.0,143.0,0.0,0.0,,0.2528487229862475,1.8169562068693774
CAP,own_scale,F,raw,-5.0,nonoverlap,ml_selected,138,38.0,73.0,36.0,37.0,2.0,0.5289855072463768,0.9473684210526315,0.4931506849315068,0.03985507246376811,0.06652713714281809
CAP,own_scale,F,raw,-5.0,nonoverlap,linear,138,38.0,106.0,35.0,71.0,3.0,0.7681159420289855,0.9210526315789473,0.330188679245283,0.07101449275362319,0.064620761985588
CAP,own_scale,F,raw,-5.0,nonoverlap,threshold,138,38.0,77.0,36.0,41.0,2.0,0.5579710144927537,0.9473684210526315,0.4675324675324675,0.0427536231884058,0.06652713714281809
CAP,own_scale,F,raw,-5.0,nonoverlap,historical,138,38.0,138.0,38.0,100.0,0.0,1.0,1.0,0.2753623188405797,0.07246376811594203,0.0
CAP,own_scale,F,raw,-5.0,nonoverlap,state_hist,138,38.0,65.0,32.0,33.0,6.0,0.47101449275362317,0.8421052631578947,0.49230769230769234,0.06304347826086956,0.11279024784605154
CAP,own_scale,F,raw,-5.0,nonoverlap,always_alarm,138,38.0,138.0,38.0,100.0,0.0,1.0,1.0,0.2753623188405797,0.07246376811594203,0.0
CAP,own_scale,F,raw,-5.0,nonoverlap,never_alarm,138,38.0,0.0,0.0,0.0,38.0,0.0,0.0,,0.24782608695652175,1.8722080736856392
CAP,own_scale,F,raw,-10.0,full,ml_selected,509,71.0,152.75,55.75,97.0,15.25,0.300098231827112,0.7852112676056338,0.3649754500818331,0.04602161100196465,0.07762057352965403
CAP,own_scale,F,raw,-10.0,full,linear,509,71.0,162.0,57.0,105.0,14.0,0.3182711198428291,0.8028169014084507,0.35185185185185186,0.04538310412573674,0.0744546356207911
CAP,own_scale,F,raw,-10.0,full,threshold,509,71.0,143.0,53.0,90.0,18.0,0.28094302554027506,0.7464788732394366,0.3706293706293706,0.04950884086444009,0.0994566193101721
CAP,own_scale,F,raw,-10.0,full,historical,509,71.0,509.0,71.0,438.0,0.0,1.0,1.0,0.13948919449901767,0.08605108055009825,0.0
