definition,strategy,threshold_bp,cost
EQ,never_alarm,-13.0,0.1361493123772102
EQ,ml_selected,-12.5,0.04459724950884087
EQ,linear,-12.5,0.06404715127701376
EQ,threshold,-12.5,0.06208251473477407
EQ,historical,-12.5,0.08840864440078586
EQ,state_hist,-12.5,0.044204322200392936
EQ,always_alarm,-12.5,0.08388998035363458
EQ,never_alarm,-12.5,0.1449901768172888
EQ,ml_selected,-12.0,0.05294695481335954
EQ,linear,-12.0,0.07210216110019647
EQ,threshold,-12.0,0.06915520628683694
EQ,historical,-12.0,0.08605108055009825
EQ,state_hist,-12.0,0.05088408644400786
EQ,always_alarm,-12.0,0.08271119842829075
EQ,never_alarm,-12.0,0.1555992141453831
EQ,ml_selected,-11.5,0.05471512770137525
EQ,linear,-11.5,0.07210216110019647
EQ,threshold,-11.5,0.0669941060903733
EQ,historical,-11.5,0.08585461689587427
EQ,state_hist,-11.5,0.051277013752455795
EQ,always_alarm,-11.5,0.0825147347740668
EQ,never_alarm,-11.5,0.15736738703339884
EQ,ml_selected,-11.0,0.05481335952848723
EQ,linear,-11.0,0.07210216110019647
EQ,threshold,-11.0,0.07053045186640472
EQ,historical,-11.0,0.08349705304518663
EQ,state_hist,-11.0,0.051669941060903744
EQ,always_alarm,-11.0,0.08153241650294696
EQ,never_alarm,-11.0,0.1662082514734774
EQ,ml_selected,-10.5,0.056090373280943025
EQ,linear,-10.5,0.07190569744597251
EQ,threshold,-10.5,0.06994106090373281
EQ,historical,-10.5,0.08015717092337916
EQ,state_hist,-10.5,0.05225933202357564
EQ,always_alarm,-10.5,0.08074656188605107
EQ,never_alarm,-10.5,0.17328094302554028
EQ,ml_selected,-10.0,0.056286836935167
EQ,linear,-10.0,0.07308447937131632
EQ,threshold,-10.0,0.06601178781925346
EQ,historical,-10.0,0.07956777996070727
EQ,state_hist,-10.0,0.058742632612966604
EQ,always_alarm,-10.0,0.07956777996070727
EQ,never_alarm,-10.0,0.18388998035363457
EQ,ml_selected,-9.5,0.05903732809430256
EQ,linear,-9.5,0.07603143418467584
EQ,threshold,-9.5,0.06719056974459725
EQ,historical,-9.5,0.07878192534381138
EQ,state_hist,-9.5,0.05972495088408645
EQ,always_alarm,-9.5,0.07878192534381138
EQ,never_alarm,-9.5,0.19096267190569746
EQ,ml_selected,-9.0,0.05726915520628685
EQ,linear,-9.0,0.07288801571709236
EQ,threshold,-9.0,0.06581532416502948
EQ,historical,-9.0,0.07721021611001964
EQ,state_hist,-9.0,0.06404715127701376
EQ,always_alarm,-9.0,0.07721021611001964
EQ,never_alarm,-9.0,0.20510805500982318
EQ,ml_selected,-8.5,0.057072691552062876
EQ,linear,-8.5,0.07092337917485267
EQ,threshold,-8.5,0.06797642436149313
EQ,historical,-8.5,0.0768172888015717
EQ,state_hist,-8.5,0.06247544204322201
EQ,always_alarm,-8.5,0.0768172888015717
EQ,never_alarm,-8.5,0.20864440078585458
EQ,ml_selected,-8.0,0.05839882121807466
EQ,linear,-8.0,0.06954813359528489
EQ,threshold,-8.0,0.06836935166994107
EQ,historical,-8.0,0.07426326129666011
EQ,state_hist,-8.0,0.060707269155206287
EQ,always_alarm,-8.0,0.07426326129666011
EQ,never_alarm,-8.0,0.23163064833005895
EQ,ml_selected,-7.5,0.05731827111984283
EQ,linear,-7.5,0.06679764243614932
EQ,threshold,-7.5,0.06738703339882123
EQ,historical,-7.5,0.07367387033398821
EQ,state_hist,-7.5,0.061493123772102164
EQ,always_alarm,-7.5,0.07367387033398821
EQ,never_alarm,-7.5,0.2369351669941061
EQ,ml_selected,-7.0,0.05579567779960708
EQ,linear,-7.0,0.0650294695481336
EQ,threshold,-7.0,0.0669941060903733
EQ,historical,-7.0,0.07269155206286837
EQ,state_hist,-7.0,0.06286836935166994
EQ,always_alarm,-7.0,0.07269155206286837
EQ,never_alarm,-7.0,0.24577603143418467
EQ,ml_selected,-6.5,0.055108055009823194
EQ,linear,-6.5,0.06522593320235757
EQ,threshold,-6.5,0.06404715127701376
EQ,historical,-6.5,0.07190569744597249
EQ,state_hist,-6.5,0.06719056974459725
EQ,always_alarm,-6.5,0.07190569744597249
EQ,never_alarm,-6.5,0.2528487229862475
EQ,ml_selected,-6.0,0.0599705304518664
EQ,linear,-6.0,0.06522593320235757
EQ,threshold,-6.0,0.07111984282907663
EQ,historical,-6.0,0.07072691552062868
EQ,state_hist,-6.0,0.0719056974459725
EQ,always_alarm,-6.0,0.07072691552062868
EQ,never_alarm,-6.0,0.2634577603143418
EQ,ml_selected,-5.5,0.06159135559921415
EQ,linear,-5.5,0.06424361493123773
EQ,threshold,-5.5,0.06895874263261298
EQ,historical,-5.5,0.06915520628683693
EQ,state_hist,-5.5,0.07072691552062868
EQ,always_alarm,-5.5,0.06915520628683693
EQ,never_alarm,-5.5,0.2776031434184676
EQ,ml_selected,-5.0,0.060707269155206287
EQ,linear,-5.0,0.06247544204322201
EQ,threshold,-5.0,0.06385068762278978
EQ,historical,-5.0,0.06777996070726916
EQ,state_hist,-5.0,0.06719056974459725
EQ,always_alarm,-5.0,0.06777996070726916
EQ,never_alarm,-5.0,0.2899803536345776
EQ,ml_selected,-4.5,0.062229862475442044
EQ,linear,-4.5,0.0636542239685658
EQ,threshold,-4.5,0.06581532416502948
EQ,historical,-4.5,0.06640471512770137
EQ,state_hist,-4.5,0.06660117878192533
EQ,always_alarm,-4.5,0.06640471512770137
EQ,never_alarm,-4.5,0.3023575638506876
EQ,ml_selected,-4.0,0.060903732809430254
EQ,linear,-4.0,0.06306483300589391
EQ,threshold,-4.0,0.0650294695481336
EQ,historical,-4.0,0.06444007858546169
EQ,state_hist,-4.0,0.06463654223968565
EQ,always_alarm,-4.0,0.06444007858546169
EQ,never_alarm,-4.0,0.3200392927308448
EQ,ml_selected,-3.5,0.06144400785854617
EQ,linear,-3.5,0.06267190569744598
EQ,threshold,-3.5,0.06286836935166994
EQ,historical,-3.5,0.06345776031434185
EQ,state_hist,-3.5,0.0636542239685658
EQ,always_alarm,-3.5,0.06345776031434185
EQ,never_alarm,-3.5,0.32888015717092345
EQ,ml_selected,-3.0,0.06036345776031434
EQ,linear,-3.0,0.061493123772102164
EQ,threshold,-3.0,0.06110019646365423
EQ,historical,-3.0,0.0618860510805501
EQ,state_hist,-3.0,0.0618860510805501
EQ,always_alarm,-3.0,0.0618860510805501
EQ,never_alarm,-3.0,0.34302554027504917
EQ,ml_selected,-2.5,0.05977406679764243
EQ,linear,-2.5,0.06110019646365422
EQ,threshold,-2.5,0.06070726915520629
EQ,historical,-2.5,0.060707269155206287
EQ,state_hist,-2.5,0.060707269155206287
EQ,always_alarm,-2.5,0.060707269155206287
EQ,never_alarm,-2.5,0.35363457760314343
EQ,ml_selected,-2.0,0.05780943025540275
EQ,linear,-2.0,0.06129666011787819
EQ,threshold,-2.0,0.0581532416502947
EQ,historical,-2.0,0.05854616895874263
EQ,state_hist,-2.0,0.05854616895874263
EQ,always_alarm,-2.0,0.05854616895874263
EQ,never_alarm,-2.0,0.37308447937131634
EQ,ml_selected,-1.5,0.057514734774066795
EQ,linear,-1.5,0.058153241650294694
EQ,threshold,-1.5,0.05540275049115914
EQ,historical,-1.5,0.05697445972495088
EQ,state_hist,-1.5,0.05697445972495088
EQ,always_alarm,-1.5,0.05697445972495088
EQ,never_alarm,-1.5,0.3872298624754421
EQ,ml_selected,-1.0,0.05314341846758349
EQ,linear,-1.0,0.05579567779960707
EQ,threshold,-1.0,0.053241650294695485
EQ,historical,-1.0,0.05442043222003929
EQ,state_hist,-1.0,0.05442043222003929
EQ,always_alarm,-1.0,0.05442043222003929
EQ,never_alarm,-1.0,0.41021611001964636
EQ,ml_selected,-0.5,0.05171905697445972
EQ,linear,-0.5,0.054813359528487225
EQ,threshold,-0.5,0.05206286836935167
EQ,historical,-0.5,0.05304518664047151
EQ,state_hist,-0.5,0.05304518664047151
EQ,always_alarm,-0.5,0.05304518664047151
EQ,never_alarm,-0.5,0.4225933202357564
EQ,ml_selected,0.0,0.05112966601178782
EQ,linear,0.0,0.05225933202357563
EQ,threshold,0.0,0.05225933202357564
EQ,historical,0.0,0.05206286836935167
EQ,state_hist,0.0,0.05206286836935167
EQ,always_alarm,0.0,0.05206286836935167
EQ,never_alarm,0.0,0.431434184675835
CAP,ml_selected,-30.0,0.001768172888015717
CAP,linear,-30.0,0.004322200392927309
CAP,threshold,-30.0,0.005108055009823183
CAP,historical,-30.0,0.001768172888015717
CAP,state_hist,-30.0,0.001768172888015717
CAP,always_alarm,-30.0,0.09980353634577604
CAP,never_alarm,-30.0,0.001768172888015717
CAP,ml_selected,-29.5,0.001768172888015717
CAP,linear,-29.5,0.004518664047151276
CAP,threshold,-29.5,0.006090373280943025
CAP,historical,-29.5,0.001768172888015717
CAP,state_hist,-29.5,0.001768172888015717
CAP,always_alarm,-29.5,0.09980353634577604
CAP,never_alarm,-29.5,0.001768172888015717
CAP,ml_selected,-29.0,0.001768172888015717
CAP,linear,-29.0,0.004911591355599214
CAP,threshold,-29.0,0.006876227897838899
CAP,historical,-29.0,0.001768172888015717
CAP,state_hist,-29.0,0.001768172888015717
CAP,always_alarm,-29.0,0.09980353634577604
CAP,never_alarm,-29.0,0.001768172888015717
CAP,ml_selected,-28.5,0.003536345776031434
CAP,linear,-28.5,0.007465618860510805
CAP,threshold,-28.5,0.009430255402750491
CAP,historical,-28.5,0.003536345776031434
CAP,state_hist,-28.5,0.003536345776031434
CAP,always_alarm,-28.5,0.09960707269155207
CAP,never_alarm,-28.5,0.003536345776031434
CAP,ml_selected,-28.0,0.003536345776031434
CAP,linear,-28.0,0.008447937131630648
CAP,threshold,-28.0,0.009823182711198428
CAP,historical,-28.0,0.003536345776031434
CAP,state_hist,-28.0,0.003536345776031434
CAP,always_alarm,-28.0,0.09960707269155207
CAP,never_alarm,-28.0,0.003536345776031434
CAP,ml_selected,-27.5,0.0037328094302554026
CAP,linear,-27.5,0.00962671905697446
CAP,threshold,-27.5,0.009823182711198428
CAP,historical,-27.5,0.003536345776031434
CAP,state_hist,-27.5,0.003536345776031434
CAP,always_alarm,-27.5,0.09960707269155207
CAP,never_alarm,-27.5,0.003536345776031434
CAP,ml_selected,-27.0,0.003929273084479371
CAP,linear,-27.0,0.010216110019646367
CAP,threshold,-27.0,0.010216110019646365
CAP,historical,-27.0,0.003536345776031434
CAP,state_hist,-27.0,0.003536345776031434
CAP,always_alarm,-27.0,0.09960707269155207
CAP,never_alarm,-27.0,0.003536345776031434
CAP,ml_selected,-26.5,0.007514734774066798
CAP,linear,-26.5,0.01218074656188605
CAP,threshold,-26.5,0.012377210216110022
CAP,historical,-26.5,0.007072691552062868
CAP,state_hist,-26.5,0.0076620825147347745
CAP,always_alarm,-26.5,0.09921414538310412
CAP,never_alarm,-26.5,0.007072691552062868
CAP,ml_selected,-26.0,0.009332023575638507
CAP,linear,-26.0,0.015127701375245581
CAP,threshold,-26.0,0.014341846758349706
CAP,historical,-26.0,0.008840864440078585
CAP,state_hist,-26.0,0.009430255402750491
CAP,always_alarm,-26.0,0.09901768172888017
CAP,never_alarm,-26.0,0.008840864440078585
CAP,ml_selected,-25.5,0.009528487229862477
CAP,linear,-25.5,0.015520628683693517
CAP,threshold,-25.5,0.01493123772102161
CAP,historical,-25.5,0.008840864440078585
CAP,state_hist,-25.5,0.010412573673870334
CAP,always_alarm,-25.5,0.09901768172888017
CAP,never_alarm,-25.5,0.008840864440078585
CAP,ml_selected,-25.0,0.009774066797642436
CAP,linear,-25.0,0.016110019646365423
CAP,threshold,-25.0,0.015520628683693517
CAP,historical,-25.0,0.008840864440078585
CAP,state_hist,-25.0,0.010412573673870334
CAP,always_alarm,-25.0,0.09901768172888017
CAP,never_alarm,-25.0,0.008840864440078585
CAP,ml_selected,-24.5,0.008889980353634579
CAP,linear,-24.5,0.01728880157170923
CAP,threshold,-24.5,0.01669941060903733
CAP,historical,-24.5,0.008840864440078585
CAP,state_hist,-24.5,0.010412573673870334
CAP,always_alarm,-24.5,0.09901768172888017
CAP,never_alarm,-24.5,0.008840864440078585
CAP,ml_selected,-24.0,0.008447937131630648
CAP,linear,-24.0,0.0174852652259332
CAP,threshold,-24.0,0.017092337917485264
CAP,historical,-24.0,0.008840864440078585
CAP,state_hist,-24.0,0.010412573673870334
CAP,always_alarm,-24.0,0.09901768172888017
CAP,never_alarm,-24.0,0.008840864440078585
CAP,ml_selected,-23.5,0.007907662082514736
CAP,linear,-23.5,0.01768172888015717
CAP,threshold,-23.5,0.017092337917485264
CAP,historical,-23.5,0.010609037328094303
CAP,state_hist,-23.5,0.010216110019646367
CAP,always_alarm,-23.5,0.0988212180746562
CAP,never_alarm,-23.5,0.010609037328094303
CAP,ml_selected,-23.0,0.008349705304518664
CAP,linear,-23.0,0.01768172888015717
CAP,threshold,-23.0,0.017092337917485264
CAP,historical,-23.0,0.010609037328094303
CAP,state_hist,-23.0,0.01100196463654224
CAP,always_alarm,-23.0,0.0988212180746562
CAP,never_alarm,-23.0,0.010609037328094303
CAP,ml_selected,-22.5,0.008595284872298626
CAP,linear,-22.5,0.0174852652259332
CAP,threshold,-22.5,0.017092337917485264
CAP,historical,-22.5,0.012377210216110022
CAP,state_hist,-22.5,0.01119842829076621
CAP,always_alarm,-22.5,0.09862475442043223
CAP,never_alarm,-22.5,0.012377210216110022
CAP,ml_selected,-22.0,0.007514734774066798
CAP,linear,-22.0,0.019646365422396856
CAP,threshold,-22.0,0.019449901768172885
CAP,historical,-22.0,0.014145383104125739
CAP,state_hist,-22.0,0.012180746561886053
CAP,always_alarm,-22.0,0.09842829076620825
CAP,never_alarm,-22.0,0.014145383104125739
CAP,ml_selected,-21.5,0.011640471512770137
CAP,linear,-21.5,0.023182711198428293
CAP,threshold,-21.5,0.01944990176817289
CAP,historical,-21.5,0.02121807465618861
CAP,state_hist,-21.5,0.015717092337917484
CAP,always_alarm,-21.5,0.09803536345776033
CAP,never_alarm,-21.5,0.017681728880157174
CAP,ml_selected,-21.0,0.011787819253438114
CAP,linear,-21.0,0.021414538310412574
CAP,threshold,-21.0,0.019842829076620824
CAP,historical,-21.0,0.02121807465618861
CAP,state_hist,-21.0,0.015717092337917484
CAP,always_alarm,-21.0,0.09803536345776033
CAP,never_alarm,-21.0,0.017681728880157174
CAP,ml_selected,-20.5,0.016306483300589394
CAP,linear,-20.5,0.02337917485265226
CAP,threshold,-20.5,0.0206286836935167
CAP,historical,-20.5,0.024754420432220044
CAP,state_hist,-20.5,0.01925343811394892
CAP,always_alarm,-20.5,0.09764243614931238
CAP,never_alarm,-20.5,0.021218074656188607
CAP,ml_selected,-20.0,0.01719056974459725
CAP,linear,-20.0,0.02337917485265226
CAP,threshold,-20.0,0.01944990176817289
CAP,historical,-20.0,0.024754420432220044
CAP,state_hist,-20.0,0.01944990176817289
CAP,always_alarm,-20.0,0.09764243614931238
CAP,never_alarm,-20.0,0.021218074656188607
CAP,ml_selected,-19.5,0.01944990176817289
CAP,linear,-19.5,0.02337917485265226
CAP,threshold,-19.5,0.021611001964636542
CAP,historical,-19.5,0.02632612966601179
CAP,state_hist,-19.5,0.021611001964636542
CAP,always_alarm,-19.5,0.0974459724950884
CAP,never_alarm,-19.5,0.022986247544204322
CAP,ml_selected,-19.0,0.020972495088408646
CAP,linear,-19.0,0.025736738703339878
CAP,threshold,-19.0,0.023968565815324163
CAP,historical,-19.0,0.028094302554027506
CAP,state_hist,-19.0,0.02082514734774067
CAP,always_alarm,-19.0,0.09724950884086445
CAP,never_alarm,-19.0,0.02475442043222004
CAP,ml_selected,-18.5,0.02224950884086444
CAP,linear,-18.5,0.026522593320235755
CAP,threshold,-18.5,0.02455795677799607
CAP,historical,-18.5,0.029862475442043224
CAP,state_hist,-18.5,0.022789783889980358
CAP,always_alarm,-18.5,0.09705304518664049
CAP,never_alarm,-18.5,0.026522593320235755
CAP,ml_selected,-18.0,0.01930255402750491
CAP,linear,-18.0,0.024950884086444008
CAP,threshold,-18.0,0.025343811394891946
CAP,historical,-18.0,0.029862475442043224
CAP,state_hist,-18.0,0.02337917485265226
CAP,always_alarm,-18.0,0.09705304518664049
CAP,never_alarm,-18.0,0.026522593320235755
CAP,ml_selected,-17.5,0.019204322200392927
CAP,linear,-17.5,0.02730844793713163
CAP,threshold,-17.5,0.023968565815324163
CAP,historical,-17.5,0.035559921414538315
CAP,state_hist,-17.5,0.02495088408644401
CAP,always_alarm,-17.5,0.09666011787819254
CAP,never_alarm,-17.5,0.03005893909626719
CAP,ml_selected,-17.0,0.021856581532416503
CAP,linear,-17.0,0.031237721021611008
CAP,threshold,-17.0,0.026522593320235755
CAP,historical,-17.0,0.04007858546168958
CAP,state_hist,-17.0,0.02495088408644401
